TF,Target
SATB1,OASL2
LZTS1,HEXA
MAPK11,AFF3
NAP1L3,LGALS1
HIF3A,SLC22A3
HCFC1,CASP12
NDN,C1QBP
CBX7,CD9
GFI1B,BPIFC
MCM6,NLRC3
NR3C2,CSAD
PML,DOK2
ZBTB20,SERPINB9
EYA2,IFI27
RPS6KA5,FLT3
MECOM,GEM
SPI1,SYK
NR3C2,CYC1
CBFB,SLC6A6
CTR9,CTSS
SOX6,1600014C10RIK
ANKRD6,RNASE6
MCM4,STK10
HOXA9,PRSS57
APBB1,JUN
MYCN,PRPS2
SMARCA2,GPSM1
EPAS1,CORO7
EYA2,IGHV1-77
TTF2,ATP8B4
CENPK,MYO5A
CREB5,TMEM184C
HIST1H1C,RFTN1
VDR,ZFP111
RPS6KA5,TNPO1
HNF4A,VEGFC
APBB1,UPP1
SLA2,RMND5A
MIS18BP1,EPSTI1
GATA2,9030619P08RIK
RBL2,ZFP422
BATF2,PRODH
SOX18,TRIQK
MYCN,NUP88
NFKBIA,CD52
CD7,LGALS1
RBL2,INKA1
MCM6,B3GNT5
TRIB3,PRKCQ
HNF4A,CFP
RARB,MGST2
IRF7,MAP2K1
LDB2,IGKC
RUNX2,NUP93
CREB5,PA2G4
LZTS1,TOMM70A
NAP1L3,PLXNA4OS1
TAF12,NUPR1
NDN,TEX10
NFATC1,DPP4
EPAS1,EPB41L4B
EGR1,ADGRG3
NOTCH1,BIRC3
MEF2C,PRNP
SPI1,KCNK5
ESR1,ECT2
ELL2,ESR1
SPI1,CCND3
ANKRD6,F630028O10RIK
MCM4,TXNIP
RPS6KA5,FDFT1
EPOR,SNX30
LZTS1,TEAD2
GFI1B,PLIN2
PRDM16,EIF2S1
MYCN,PRIM2
ZFP111,PML
CREB5,MAP4K2
MIS18BP1,RAI14
EPAS1,HIST1H1C
SMARCA2,RCSD1
GATA2,PAG1
HIST1H1C,PDIA4
ARNTL,THRB
HDAC11,ZFP467
KLF8,CAD
PGR,COL4A2
ZFP111,YOD1
HNF4A,SEPT6
APBB1,TMEM184C
TEAD2,PRKCD
H1F0,UQCRFS1
EGR1,KCNK5
SPI1,RRAS
NFAT5,PHC1
PA2G4,GM45837
RUNX2,CCND3
RARB,XPC
HCFC1,CD7
TRPS1,RAG2
SATB1,FAM169B
THRB,MEIS1
MAPK11,TEC
ZFP111,PAQR7
HNF4A,ZFP248
IRF8,PRKCD
ELL2,PDZK1IP1
DEK,PBX3
IRF6,PEAR1
MCM6,CHRNB1
ZBTB38,TMEM14C
CTR9,PLAC8
MCM4,BACE1
HIF3A,CD52
GATA2,MEIS1
CTR9,SPNS3
ESR1,IDH1
ARNTL,SSH3
MAPK12,COL4A1
YBX1,GM28875
MCM7,MYO1G
NDN,CENPE
SMARCA2,VDR
ELF1,WFDC18
MAPK12,NCF1
SLA2,ALDH1A1
SOX6,SEMA3D
KLF8,TOM1L1
LDB2,GRAMD1A
KLF8,CLEC12A
XPC,OAT
PHC1,HEBP1
MEF2C,IGHV1-77
ZBTB38,ESAM
NFAT5,LGALS3BP
SPO11,H2-Q6
RORC,TIMP2
KLF3,ITM2A
LDB2,SPO11
KLF10,UAP1L1
RUNX2,HSPA1A
RARB,CTPS
H1F0,MEF2C
BTG2,EEPD1
TEAD2,LACTB
NUPR1,TSPAN2
KLF8,SPNS3
NFATC1,ENPP5
ZFP111,TOM1L1
RUNX1T1,KIF20B
REL,GPR160
REL,ABCF3
MYC,DOCK11
PHC1,NUPR1
TLR4,GBP5
KLF10,AP1S2
ETS1,SYDE1
MCM5,SERPINB6A
EPOR,TNPO1
ARNTL,MCM5
IKZF1,SP100
MCM6,PECAM1
CBFB,RIPOR2
PA2G4,P2RX1
MYCN,RCSD1
RUNX2,SNAP47
RUNX1T1,GBP9
TRPS1,CERS5
EGR1,SDSL
MCM2,TLR7
TLE2,PLAC8
PRDM16,FILIP1L
NFKB1,VMAC
HMGB2,JUN
TAF12,GM8995
HNF4A,CCDC112
MAPK12,CAMK1D
JUN,CCDC112
NFIA,MNDAL
ARID3B,PLSCR4
MYC,KCTD12
KLF10,DUSP2
NFE2,ABLIM1
ARNTL,FGD2
ARNTL,SH2D5
DACH1,SLC39A13
PGR,PCNA
HNRNPAB,ARL11
EPAS1,HSPA1A
TLR4,SYK
HCFC1,COL4A2
ARNTL,ANKRD44
TRIB3,PTTG1IP
E2F8,TGM2
NDN,PKIB
YBX1,THRB
NFKB1,IER3
MCM7,TSPAN2
EPOR,ATP2B4
KLF8,TXNIP
IRF8,TMEM268
RAD51,CYC1
PGR,S100A6
NFE2,IFI27L2A
TEAD2,NEAT1
KLF3,TIMM50
DEK,ALDOC
RUNX2,CST7
PRDM5,CKAP2L
KLF8,UBE2L6
ESR1,GSTM5
SATB1,EMCN
PBX3,MYO5C
TTF2,OBSCN
PRDM5,USP3
MCM4,RIPOR2
EGR1,CDCA5
NFKBIA,LSP1
LDB2,TRMT6
GFI1B,ADGRG3
ARNTL,GMNN
EGR1,PGRMC1
NOTCH1,MAPKAPK3
HMGB2,C1RL
NAP1L3,ZFP120
PBX3,CD44
TLR4,TNFRSF13B
ARNTL,GSTM5
ZBTB20,IPCEF1
RORA,ESAM
PGR,GLRX5
TRIB3,ZFP53
EYA2,PRKCH
ELF1,RFTN1
DACH1,PCMTD1
H1F0,SLC43A2
HOXA9,TFPI
MCM4,CSF2RB
HCFC1,ITGB2
PHC1,FTX
HNF4A,NPC1
NFKB1,ULK1
NFIA,CDKN1C
XPC,PEAR1
ID1,CCDC112
TLR4,WDSUB1
HNF4A,PDE4B
H1F0,MAST3
ZKSCAN4,STAM2
EYA2,MAP3K2
VDR,ITGA5
GATA2,RAB27B
ELF1,GYPC
ARNTL,RGL1
VDR,SPO11
MCM4,CD55
GFI1B,NEDD9
NFAT5,HACD4
GFI1B,CASP12
KLF10,TYMS
VDR,GIMAP8
