TF,Target
ARNTL,MED16
ARNTL,F2RL3
NFATC1,SNAP47
IRF7,EZR
CBX7,NFKBIA
XPC,SYK
SLA2,METTL7A1
MEF2A,IRGM2
MCM2,OAT
XPC,EIF1AD
TSC22D3,RGS2
MCM4,NUDT19
ZFP467,LTB
MED16,DNTT
MEF2A,GIMAP1
NDN,GYPC
MCM2,STARD4
CTR9,TOP3B
SATB1,SMPDL3A
MED16,KCNK5
PRDM5,SYK
MED16,APOE
PML,MLLT3
PRDM5,1600014C10RIK
NOTCH1,QARS
ZFP467,WBP1L
MYCN,ABCD3
CBX7,EBI3
TAF12,ZFR
ZFP467,RNF125
CTR9,LIG1
PML,TNFRSF13B
SLA2,IFI27L2A
H1F0,ZFP945
BTG2,SH2D3C
NFKBIA,ZFP945
RBL2,GRINA
MED16,ITGA6
NDN,SCARF1
VEZF1,SPNS3
PML,CERS4
ARNTL,NFAT5
VEZF1,SLFN8
CTR9,H1F0
MCM2,CYBC1
VEZF1,SH2D3C
MEF2A,QARS
PML,ABCG2
SATB1,ICAM1
NDN,TPST2
H1F0,IRAK3
NDN,CBX7
VEZF1,MINDY1
MLLT3,PYGM
HIST1H1C,RASSF5
CTR9,DENND2D
SATB1,SQOR
MLLT3,MYO1G
MCM2,MCTP1
MLLT3,GEM
MCM5,PGLYRP2
MCM4,SDC1
JUN,MAGED1
H1F0,RP2
CTR9,RAB38
ZFP467,HIST1H1C
MCM2,TGM2
MCM5,XPC
MLLT3,MAN2A2
HIST1H1C,GM28875
ARNTL,SCARF1
MED16,CCNG2
HIST1H1C,PTGS1
XPC,SYTL1
NDN,SERPINA3G
MED16,TRPC6
PRDM5,PAFAH2
VEZF1,DEF8
VEZF1,EMCN
MED16,TREML2
ARNTL,DUSP6
MCM5,VAV1
MED16,PGM1
NFKBIA,PRKCH
KLF10,RBL2
TSC22D3,CD300A
XPC,FCHO2
MED16,TSPAN14
MCM5,STXBP4
RBL2,TFEC
TAF12,NFKBIA
MCM5,MPL
SLA2,CDK19
XRCC6,CYBC1
MCM4,IRAK3
ARNTL,SERPINA3G
CBX7,TAF12
TAF12,UNC93B1
SLA2,1600014C10RIK
EYA2,NUP88
SLA2,FUT8
IRF7,RAB37
SATB1,TNFRSF13B
EYA2,TBXAS1
CTR9,MYO5A
HIST1H1C,IL18RAP
ARNTL,WLS
MEF2A,PCMTD1
ZFP467,IL15
BTG2,MYO1F
IRF7,LDHB
XRCC6,TGM2
IRF7,MSH6
MED16,RNF38
ARNTL,FAM76B
IRF7,PACSIN2
PRDM5,RAB38
IRF7,RPA2
PML,AC174780.1
EYA2,SLC39A6
MEF2A,LDHB
EYA2,ANO10
CBX7,EZR
RBL2,ALDOC
CTR9,MPL
H1F0,RCN2
MCM4,CD69
RBL2,TIE1
ZBTB38,PLIN3
ARNTL,TYROBP
VEZF1,SLCO3A1
XRCC6,ITGA6
SLA2,BTK
PML,PPIC
EYA2,RCSD1
MYCN,SERPINB9
NDN,CD48
ZBTB38,IIGP1
ZFP467,IMPACT
NFATC1,IGHM
MYCN,PECAM1
NFKBIA,RNF13
MCM5,USP11
PML,OCRL
HIST1H1C,CYP51
TSC22D3,VEZF1
BTG2,ARHGAP27
SLA2,PAFAH2
ZFP467,ADSSL1
MLLT3,CHRNB1
NDN,EZR
MCM5,VAV3
MEF2A,ASB13
NFAT5,DDX4
CBX7,ZFP62
EYA2,PRKCH
NFATC1,IL1R1
MCM2,EMCN
SLA2,DOK2
HIST1H1C,ABCG2
MYCN,SCARF1
XRCC6,CSAD
CBX7,IIGP1
XPC,STXBP4
MCM4,IER2
IRF7,STK17B
NFKBIA,FNDC3A
CTR9,PREP
NOTCH1,S100A6
RBL2,FGFR1OP
CBFB,SLC7A4
EYA2,ARHGAP18
XRCC6,ZBTB38
NFATC1,PRKAR2B
NFATC1,GM20559
HIST1H1C,H1F0
ZBTB38,BC005561
MYCN,EBI3
MYCN,CHRNB1
ARNTL,IRGM2
MLLT3,SLC39A6
RBL2,ICE1
CBX7,TFR2
NDN,PLIN3
MCM2,GIMAP1OS
CBX7,NAIP5
BTG2,ANXA2
NFKBIA,FES
NFKBIA,ABHD4
ZBTB38,CBFB
SLA2,LAX1
ARNTL,KLF10
CBX7,EIF1AD
IRF7,MMRN1
MCM2,PPT1
VEZF1,CD274
SLA2,OBSL1
HIST1H1C,CSGALNACT1
TSC22D3,LAX1
CBFB,PROCR
TSC22D3,SLC28A2
HIST1H1C,XRCC6
MYCN,FGD2
VEZF1,CCL3
MCM2,SLCO3A1
NDN,SQOR
NDN,EIF1AD
MCM4,SNX30
MED16,SCARF1
KLF10,PLIN2
MLLT3,ARHGAP18
MYCN,OTULINL
XPC,ZFP120
NDN,BC035044
H1F0,RAB37
MCM2,DCAF4
MED16,CBX7
CTR9,NUBP2
ARNTL,NCF1
BTG2,CTR9
ZBTB38,PGRMC1
NFKBIA,PDE7A
MCM5,PIP4K2A
CBX7,CTSS
PRDM5,ZFP120
KLF10,ABI1
BTG2,ITPR1
CTR9,CSF3R
ZBTB38,GM4759
RBL2,CSAD
MEF2A,IMPACT
MEF2A,KPNA3
ZBTB38,TFEC
IRF7,DNTT
NFKBIA,ZFP157
NFKBIA,IL18RAP
NFATC1,B4GALT4
RBL2,ZBTB38
NDN,PCMTD1
TSC22D3,EFTUD2
MCM4,MUC13
SLA2,VAV1
ZFP467,SLA2
MYCN,PLCG2
BTG2,TAF12
PML,NCEH1
MCM2,NFKBIA
KLF10,ABLIM1
MYCN,SHISA8
MCM2,ROBO4
CBFB,SELENBP1
RBL2,TSC22D3
NFAT5,CTSH
XPC,ART4
TSC22D3,MYO5A
PML,CCL4
MCM2,UNC93B1
IRF7,VSIR
IRF7,DNAJC9
NFATC1,TSPAN14
KLF10,RASAL3
XPC,MYO1G
EYA2,NFATC1
MCM4,CTSH
TAF12,NAIP5
NFAT5,CYP4V3
BTG2,IRGM2
PML,TIMM50
MLLT3,MAST3
PRDM5,ART4
MCM2,SERPINF1
SLA2,PDK3
NFAT5,GM4951
TAF12,SQOR
MYCN,MAP4K2
MCM2,PRELID3B
BTG2,EZR
EYA2,TESPA1
IRF7,MAGED2
NFKBIA,CYP51
TSC22D3,ICE1
RBL2,DEF8
ZBTB38,TAPT1
XRCC6,DOCK10
NDN,FCHO2
MCM5,NUP88
IRF7,PYGL
HIST1H1C,PGM1
MCM2,SERPINA3G
H1F0,PAFAH1B2
KLF10,CTSC
MLLT3,RNF213
KLF10,MED16
CBX7,ELOVL5
TSC22D3,CD74
KLF10,MILR1
MLLT3,SSTR2
BTG2,PLIN3
TAF12,TMEM206
IRF7,ABCD3
