TF,Target
FOXO1,SFXN1
E2F8,PAQR7
TRIB3,ME2
KLF8,GM10384
MAML3,FGD5
TTF2,SLC35D3
MIS18BP1,GMNN
MED16,BC005561
TLE2,PHKB
KLF10,TSPAN3
MCM4,VAV3
MCM4,ZMIZ1
IRF6,PTGS1
PML,NLRC3
SOX18,TSPAN14
E2F8,RAB11FIP3
HOXA9,ZBTB20
TRPS1,HEXA
ELF1,PRDM5
HIF3A,PRR5
SLA2,GNG2
CD7,ATP10A
MLLT3,FGFR1OP
MLLT3,NAP1L3
MCM4,IL18RAP
EGR1,CDK17
BTG2,ITGA2B
HNRNPAB,PCMTD1
DACH1,SLC39A8
BATF2,ZFR
TLR4,CLOCK
MCM5,GM11346
TEAD2,PGR
NFATC1,PKD2
LZTS1,SDSL
MECOM,N4BP3
MCM5,CST7
AEBP1,PDZK1IP1
RPS6KA5,CKAP2
LZTS1,PIRB
FOXO1,IER2
HDAC11,RAB27B
LZTS1,KLF6
NOTCH1,MYCN
TLR4,SERPINB1A
MEF2C,SH2D5
MECOM,TRMT6
MAPK12,CDK6
PBX1,SGPL1
KLF8,LGALS3BP
ZFP111,SNN
MECOM,PRKG1
RPS6KA5,MPL
TCF19,SSTR2
NFE2,C230085N15RIK
HLF,PANX1
CTR9,AC174780.1
HIST1H1C,IL1R1
MYCN,PDE7A
MAPK11,CD7
DACH1,NRROS
H1F0,LZTS1
IRF8,SSTR2
SOX18,NAV1
KLF8,PLIN3
RARB,ACOX1
HNRNPAB,WDFY3
TSC22D3,KNSTRN
FOXO1,GM973
ZBTB38,SLC29A1
TLE2,MAN1A
MAML3,AKAP8L
TLR4,VDR
KLF8,CYC1
EGR1,RUBCNL
ZBTB38,IRGM2
MLLT3,ARRDC4
REL,EPOR
THRB,TGM2
ANKRD6,IGHV1-81
XRCC6,MPO
EPOR,GNG11
KLF3,GLRX5
ARID3B,THRB
MEF2A,TRPV2
MAML3,ART4
XRCC6,TXNRD3
XRCC6,TRIM59
FOXO1,BC016579
E2F8,PRNP
RPS6KA5,SSH3
ELL2,LY9
KLF8,TOP2A
TRPS1,TMEM173
CTR9,BCL2
CD7,GPR160
APBB1,BC016579
HNRNPAB,SNX10
VEZF1,CD53
KLF6,STXBP4
NFKB1,FAM171A1
NFAT5,PANX1
NFAT5,ARHGAP15
TRIB3,COL4A2
SLA2,TRP53BP2
IRF7,TTC39B
PRDM5,CLOCK
HMGB2,INKA1
HOXA9,EIF1AD
MCM6,SLFN10-PS
MCM6,MTMR6
ZFP111,P2RY14
EYA2,TMEM14C
YBX1,HELLS
MEF2C,F630028O10RIK
NR3C2,SGPL1
HDAC11,CDKN1C
MCM4,CD274
RAD51,ZFP945
ELL2,FCGRT
ANKRD6,8430419K02RIK
TSC22D3,SSTR2
RAI14,AKAP8L
ARNTL,SLBP
BATF2,UMPS
RAD51,PPIC
KLF6,LDHD
TTF2,MYOF
XPC,DPY19L3
NOTCH1,TSC22D3
LZTS1,STK10
TAF12,NFATC1
EYA2,P2RY14
MLLT3,MINDY1
YBX1,IER2
NFKBIA,HDAC11
BTG2,ANGPT1
HNF4A,SNAP47
MYCN,ATP8B4
PBX3,ARHGAP27
NFKBIA,MCTP2
BATF2,NCEH1
TAF12,ITGA2B
NFATC1,SPNS2
HNRNPAB,SLC39A8
HLF,MTCH2
KLF8,FCHO2
H1F0,DEF8
MAML3,RNASE6
NAP1L3,RUNX1T1
HMGB2,EIF3A
ARID3B,CRIP1
HIF3A,SLFN2
MAML3,SLC22A18
MCM7,GRINA
PRDM16,CTSB
KLF3,PLPPR3
SMARCA2,OASL1
NUPR1,ZFP111
BTG2,CD63-PS
ARNTL,FGD2
MCM7,SLC7A4
ARNTL,IRF6
CBFB,CTSH
MCM5,MCM4
ELL2,MYO5A
TTF2,TNFRSF13B
NFKBIA,MINDY1
E2F8,TAPT1
PRDM16,CTSG
RPS6KA5,STXBP4
PRDM16,8430419K02RIK
HNF4A,FAM171A1
NFE2,ARHGAP27
DEK,GIMAP1
RORC,ADAM17
YBX1,BC016579
FOXO1,GSTT1
NFAT5,IL12A
NFKBIA,THEMIS2
APBB1,RAB38
HIST1H1C,VAV1
BATF2,DENND2D
MAML3,PARVG
HDAC11,ADGRL4
VEZF1,RARB
ANKRD6,SULT1A1
THRB,ICAM1
RAI14,RNASE6
MAML3,PRSS57
HMGB2,ARHGEF3
H1F0,ARHGAP18
NFE2,MAGED1
CD7,HDAC11
AEBP1,SPC24
DEK,DEF8
TCF19,TMEM206
YBX1,SLC44A2
ZFP111,TFPI
YBX1,UAP1L1
RBL2,PACSIN2
RUNX1T1,NAV1
CENPK,CTTN
TLE2,TBC1D10C
ELL2,CTSL
TCF19,BTBD3
SOX6,NFKB1
MAPK11,HCFC1
ARID3B,EIF3G
VDR,NFAT5
MIS18BP1,NDST2
NFIA,RGCC
XPC,EBI3
TEAD2,UBE2L6
TTF2,CREG1
KLF3,TRP53BP2
ESR1,MPL
IRF7,MAN1A
ESR1,TIE1
PML,CCNA2
BATF2,ITGB5
ZBTB38,ZFP111
TRIB3,CREB5
PML,PRSS57
HNRNPAB,DPP4
TCF19,RGS3
GFI1B,SORL1
NFE2,HNRNPAB
RBL2,OBSL1
TCF19,SMARCA2
IRF7,NCF1
VDR,NRROS
THRB,MMP2
ELF1,STXBP1
TEAD2,GCNT1
MCM2,NPR2
DACH1,CTSH
ZBTB20,ZFP945
RORA,VAV3
IRF7,NAIP5
AEBP1,USP3
MEF2C,BC035044
GFI1B,RP2
JUN,ADGRL4
IRF6,OAS2
MECOM,SLC43A3
H1F0,EGR1
RAI14,CAPG
VEZF1,ADGRG3
HLF,GNG2
NFIA,GBP7
MECOM,OASL1
PRDM5,MAPK12
ARNTL,ECT2
RUNX1T1,EMID1
HDAC11,PTGER4
ELL2,GM7694
