TF,Target
NFAT5,TPST2
PML,CTSS
SLA2,CALCRL
SATB1,PIP4K2A
H1F0,TCIRG1
NFKBIA,DUSP1
PRDM5,RNASE6
VEZF1,IL17RA
MEF2A,SERPINB1A
SATB1,CSF2RB
TAF12,IFI27L2A
MYCN,ITSN1
PRDM5,MAGED1
EYA2,RBL2
NFATC1,SAT1
MCM2,IL15RA
SATB1,RASSF5
NFATC1,PRPS2
MLLT3,PAQR5
NOTCH1,SHISA8
PRDM5,STXBP4
TSC22D3,RNASE6
SLA2,ALDOC
NDN,PLEK
TSC22D3,C030034L19RIK
KLF10,CALCRL
MLLT3,PLEK
MEF2A,SLC2A3
BTG2,SQOR
ZBTB38,PLCG2
TSC22D3,PRELID3B
NDN,PRKCQ
H1F0,SQOR
MLLT3,GPRASP1
TSC22D3,RCN2
SLA2,ANXA2
IRF7,TAF12
ZBTB38,DDX4
KLF10,RCN2
XPC,FUT7
TAF12,FUT8
TSC22D3,MSH6
VEZF1,PACSIN2
HIST1H1C,PIK3CG
KLF10,CD9
MYCN,SLC28A2
XPC,PGLYRP2
GATA2,CYBC1
BTG2,PACSIN2
NFAT5,H1F0
TAF12,NFAM1
CBX7,CYBC1
CBFB,TESPA1
MLLT3,GAA
ZBTB38,CASP2
MYCN,MYCT1
RBL2,UMPS
KLF10,OBSL1
TAF12,SLA2
MEF2A,ART4
SATB1,PAFAH2
PRDM5,APLP2
NDN,GATA2
