TF,Target
RBL2,ELANE
CD7,INSIG1
LZTS1,PBX3
TEAD2,SSH3
IRF8,TOMM22
SLA2,2810468N07RIK
DEK,SLC2A1
ID1,PIRB
HNF4A,ARHGAP18
MCM6,VEGFC
HIST1H1C,MAN1A
EGR1,PTTG1IP
HIST1H1C,CDCA5
RORA,PDE4B
KLF3,LACTB
EPOR,TYMS
RARB,SLC22A3
ZBTB20,SLA
NAP1L3,NUBP2
MED16,ABCG2
EPOR,PGRMC1
ANKRD6,HMGB2
HLF,PLBD2
ANKRD6,CSF3R
KLF10,C1QTNF12
IRF7,NFAT5
CBFB,PYGM
EPAS1,PIK3R1
SPI1,FGFR1OP
LZTS1,YOD1
MYC,FILIP1L
HMGB2,ARID3B
TCF19,PSEN1
THRB,HEXA
MCM2,TBXA2R
MEIS1,STAM2
NDN,TOMM70A
VDR,WFDC18
RORA,CD63-PS
ARNTL,HAT1
MED16,TXNL1
MCM4,AZIN1
PA2G4,SEPT8
TTF2,RAMP1
CENPK,SFXN1
NFKB1,PRKCQ
RORC,DTL
LZTS1,SLC16A10
PRDM5,TNS2
NFKBIA,SLC43A3
TLE2,CDC6
RAD51,TFPI
XPC,TEC
SATB1,P2RY14
HMGB2,TSPAN6
NFKB1,ACSS1
MAPK11,PHF8
LDB2,GIMAP1
HNRNPAB,TGM2
CBFB,PSMC4
HMGB2,TGTP2
TCF19,PKIB
REL,EEPD1
CD7,PLXNA4OS1
ARNTL,ZFP248
NR3C2,RPGRIP1
MCM6,PLSCR4
MLLT3,PGM2L1
KLF3,DIP2B
CENPK,CLIP3
RUNX2,PRKCH
SATB1,HGFAC
NR3C2,DCAF4
ARID3B,IER2
XPC,MMRN1
HIF3A,TMEM147
ELF1,NCAPH
CLOCK,TMEM268
PML,ENG
NR3C2,SPI1
ZBTB20,ASAH1
IRF6,RASAL3
MAPK12,PRKCD
HLF,TMEM106A
ID1,TOM1L1
KLF8,TBC1D5
ID1,PRODH
PGR,SQLE
SMARCA2,ZKSCAN4
SLA2,UBA7
ZFP111,ARHGAP15
MEF2C,SELENBP1
CTR9,PDGFRB
AEBP1,PTP4A3
HMGB2,PAG1
YBX1,OTUB2
MEF2C,DEK
SPO11,ERP29
NFKB1,RASSF2
ZFP111,TXN2
ZFP111,CIPC
RAI14,MEF2A
RAD51,MINDY1
TLR4,HOXA9
BATF2,AP1G2
SPI1,H2-AA
MYC,MAST3
IRF8,ZMIZ1
MAML3,VDR
FOXO1,PAG1
ELF1,PRKCD
SOX6,LONP2
THRB,IRF6
TLE2,HDAC7
MCM5,FAM110C
BATF2,MYCN
PHC1,ARL8B
MCM7,RAG2
TAF12,RAG2
NFE2,KDM7A
THRB,LDLR
MEIS1,4930555A03RIK
FOXO1,DUSP2
APBB1,RGL1
TSC22D3,SFXN1
CBFB,STRAP
NFATC1,FGFR1OP
HCFC1,TTF2
PRDM5,MICAL1
TLR4,PRDM16
PRDM16,RIPOR2
HLF,HNMT
PHC1,BTG2
MECOM,MYO1F
PRDM16,INPP1
SMARCA2,GCLM
ID1,CBFB
NOTCH1,FAM111A
HIST1H1C,RHOF
E2F8,TPM4
DEK,LHCGR
ELF1,ZFP945
APBB1,IPCEF1
E2F8,RASA4
NAP1L3,EPB41L4B
HCFC1,PAFAH2
MIS18BP1,MCM7
KLF3,F2RL3
DACH1,TXNRD3
ZBTB38,KPNA3
JUN,F2R
CD7,SATB1
NAP1L3,SLC37A1
TRPS1,RGS2
CBX7,GIMAP5
FOXO1,RSL1
XPC,CD33
EPOR,ADSSL1
ZBTB38,SPNS3
FOXO1,SUGP2
NOTCH1,ME2
EPOR,PEA15A
TTF2,MIS18BP1
SPO11,TOM1L1
CENPK,KCTD12
RBL2,KRT18
IRF7,HEATR5A
REL,RPTOR
HMGB2,FPGT
MECOM,CCND3
THRB,PTP4A3
HIF3A,IRGM2
ESR1,SLFN2
KLF8,JPT1
NFATC1,TOM1L1
CENPK,RNF114
LZTS1,P2RX1
MCM5,RPTOR
RARB,FUCA2
HOXA9,RASSF2
APBB1,HSD3B7
RAI14,UBA7
ZKSCAN4,B230219D22RIK
MYC,ARL11
H1F0,POR
HCFC1,RUBCNL
ELL2,ST8SIA4
TCF19,BCL2
HNF4A,PLCG2
NDN,SEPT6
TLR4,E2F8
ANKRD6,F2RL3
IRF6,RHOF
NFATC1,ARHGEF39
IRF6,MAP4K2
ELF1,RAB27B
NFKB1,AP1G2
GFI1B,AFDN
CBFB,THBS1
NFE2,FLT3
VDR,ELANE
RPS6KA5,NKG7
REL,SSH2
KLF8,H2-DMB2
TSC22D3,CORO2B
CD7,PPP1R9A
MIS18BP1,OAT
NFATC1,SLC43A3
TLE2,EMB
MED16,ANO10
E2F8,ARHGEF39
TRPS1,BPIFC
ELF1,SLC18A1
MEF2A,FTX
MAPK11,FUT8
XPC,PLPP2
IRF8,UBL4A
MYC,ITGB2
TCF19,ELMO3
SMARCA2,SLC12A2
LZTS1,PA2G4
ANKRD6,KIF23
NUPR1,RGS3
LZTS1,E430014B02RIK
HNRNPAB,IL1R1
PML,MEF2C
IRF8,KCNK5
NAP1L3,HSD3B7
HIST1H1C,OCRL
NFE2,DEF8
MYC,EIF2S1
ZFP111,SLC37A1
NFIA,SLC26A11
HNRNPAB,FNDC3A
SOX18,RASAL3
GFI1B,BATF2
THRB,FCHO2
PRDM16,ARFGEF2
SLA2,DENND1C
TRPS1,SLC2A1
BATF2,FAM111A
NDN,IL1R1
MAPK11,ASNS
MEF2C,TTC39B
TEAD2,ELOVL6
PBX3,KLF10
HLF,NDST2
NR3C2,EEPD1
MCM4,LYN
NFAT5,HLF
VDR,PREP
HNF4A,OTULINL
ARID3B,NUBP2
ZBTB20,IGHV1-81
TLR4,PRIM1
HIST1H1C,SLCO3A1
CBFB,ABHD17B
MEF2C,ASB13
PBX1,PLD4
MIS18BP1,STRAP
ELL2,PGLYRP2
RBL2,JCHAIN
IRF7,ATAD2
HNRNPAB,DDX39
ELF1,TIPIN
MCM5,PPIC
TLE2,TMEM33
HOXA9,SNAP47
MCM5,CD93
NUPR1,PCLAF
PGR,ALS2CL
SLA2,SLC25A53
RAD51,CD7
NFE2,ALDH1A1
XRCC6,MTMR6
ARID3B,GUCY1A1
MIS18BP1,TNFAIP2
MECOM,OAT
AEBP1,NEAT1
CTR9,MYCT1
ANKRD6,GM4951
PA2G4,KLF6
EPOR,ABCD3
NR3C2,MAPK11
MED16,UBE2L6
GFI1B,PLA2G4A
TLR4,H2-DMA
NFKBIA,SORL1
KLF6,2810468N07RIK
MCM2,LAX1
EPAS1,IFI213
MEIS1,KIF23
NFAT5,UNC119B
ID1,HDAC7
RAI14,SLC6A6
PRDM16,NFAM1
LDB2,NFKBIA
ID1,MED16
NAP1L3,HACD4
RARB,CTNNAL1
XRCC6,PYGM
RUNX1T1,IGHV1-81
PBX3,MPL
RARB,E430014B02RIK
REL,DHFR
MCM7,PGM1
NOTCH1,FLNA
PML,BLNK
YBX1,RGL1
GATA2,ELOVL5
MLLT3,FAM111A
CLOCK,GEM
VEZF1,ZBTB20
CBX7,QARS
NOTCH1,ABHD4
TAF12,SERPINF1
NFKBIA,HJURP
VEZF1,ADORA2A
CENPK,OCRL
NFIA,ENG
MCM7,MYC
ZBTB20,SELL
HDAC11,SNN
PBX3,GPR171
MAPK12,OAT
MYC,MCM7
NR3C2,ARL8B
IRF6,LHCGR
TLR4,MAMDC2
NFKB1,ABHD4
MCM2,CD93
EGR1,FLNA
CD7,AFF3
MCM4,GP9
GATA2,GBP5
IRF7,CASTOR1
RUNX1T1,PRDM16
MAPK11,IFI203
HIF3A,NASP
EPAS1,ZNRF2
ZKSCAN4,CD34
PBX3,STAM2
RORC,CSGALNACT1
RPS6KA5,RNF13
NOTCH1,SNX10
CBFB,PDGFRB
EYA2,SEPT8
ZFP467,ZFP367
DEK,MAN2A2
H1F0,TFEC
RAI14,ZC2HC1A
SATB1,VLDLR
PBX3,SERPINB6A
SPO11,DUSP5
E2F8,MPZL1
E2F8,PITPNC1
HIST1H1C,LY9
HIST1H1C,NFKBIA
HMGB2,FAM169B
HMGB2,TSPAN3
ZBTB38,TAPT1
HIF3A,EGR1
ESR1,THBS1
ID1,MYO5C
TSC22D3,VEZF1
MLLT3,RGL1
BTG2,LY9
CD7,INPP5K
MECOM,LYN
CBFB,BLNK
KLF10,FUT8
PHC1,CCDC112
MAML3,ECE1
NFKBIA,CCRL2
RAD51,IFT88
GFI1B,IGHM
MCM6,ARHGEF3
IRF8,FKBP9
DACH1,APBB1
JUN,PIK3IP1
MEF2A,ZFP467
KLF6,UBL4A
ESR1,RASAL3
LDB2,TSPAN3
TTF2,RHOF
HDAC7,TSC22D3
EGR1,FLT3
SATB1,SORL1
RAD51,PROCR
MYC,ELANE
HIST1H1C,BCLAF3
HOXA9,RNASE6
LZTS1,SLC25A37
JUN,ADORA2A
RARB,SLC28A2
TRIB3,GSAP
NFE2,TCIRG1
HLF,CHST11
RAD51,NUP88
RAI14,GP9
APBB1,SELL
RARB,EIF3G
CTR9,TFEC
TAF12,IGHV1-81
PBX1,SPO11
TAF12,UPP1
NFIA,ARHGEF39
BATF2,CTNNAL1
KLF8,TEX10
THRB,SERPINB6A
VEZF1,NAGA
NFATC1,SYTL4
RPS6KA5,TFR2
RORA,APP
NFIA,CORO2B
SPI1,IIGP1
PBX3,FSTL1
HDAC7,PTP4A3
RUNX1T1,SLC26A11
MIS18BP1,IRAK3
TSC22D3,RAD51
MAPK11,C1RL
RORA,HDAC7
ARNTL,GSTM1
GFI1B,B4GALT4
NFE2,IL18RAP
ARNTL,GIMAP1
