TF,Target
POU5F1,CLCN5
EPAS1,GM44390
RLIM,SERPING1
MCM6,SMS-PS
FOXQ1,PMM1
EED,P4HB
EPAS1,GM22455
UTF1,MIR763
MDM2,GM22455
KLF6,ZBTB10
JARID2,SLCO3A1
ID1,GM28900
HSPB1,GM45213
HIST1H1B,ATP13A3
MYBL2,GM25057
RBPJ,COBL
HSPB1,XBP1
SOX17,PIPOX
BHLHE40,GLDC
DNMT3A,BCL3
BTG2,SPP1
ELF3,GM3851
ZFP42,EHMT2
RBPJ,GM37917
JARID2,GM24494
AKT1,FN1
ESRRB,GM25787
SMAD7,GM43535
GATA6,CSTB
DNMT3A,GM24455
NR0B1,SNORA62
ZFP42,CHCHD10
HIST1H1B,CSTB
CBX7,ODC1
CREB3,GM23245
ID1,MRAS
ZBTB10,GM26109
CREB3L2,CDH1
EED,KRTCAP2
SMAD7,FNDC3B
EPAS1,DNMT3B
AKT1,LAMA1
EGR1,ME1
CITED2,STARD10
MDM2,GM25636
NFXL1,HMMR
HMGA1,SNORA65
KLF3,P4HA2
EED,GM28010
ID1,GM44450
NFATC2IP,SNHG5
HMGA1,TCL1
KLF3,CCNB1
SMARCA2,GM17538
TCF7L2,CTH
RBBP7,NUP62CL
EGR1,GLS
KLF4,CLCN5
ZBTB10,SOAT1
DNMT3A,RPL23A-PS3
UTF1,GM24201
POU5F1,GM24044
RBBP7,GM10259
ESRRB,AF357399
FOXQ1,IFRD1
FOXH1,PCBD1
KLF2,GASK1B
TCEA3,RENBP
KLF4,SNORA68
ZBTB10,GM27743
KLF3,GM28960
EPAS1,EGR1
MYCN,SNORD65
EGR1,FAM102A
FOXH1,KPNA2
ID2,MIR669J
RLIM,HSP90B1
RBBP7,CHST15
SMARCA2,HS3ST1
DAB2,GM17035
PCBD1,GLS
TFCP2L1,MYO7A
MCM6,HIST1H2BF
CREB3,SLC45A4
HNF1B,GM24523
TCF7L2,SNHG3
POU5F1,GM43108
TRP53,LAMB1
EGR1,SNORA73B
CCND1,HSPH1
ETV5,ZFP57
CREB3L2,BEX3
DNMT3L,LAMA5
KLF4,HK2
MYBL2,MOV10
ID2,SH3PXD2B
TCF7L2,RLIM
MDM2,LDLRAP1
SOX7,ITGA3
RBBP7,PRXL2A
HIST1H1B,RPL23A-PS3
PEG3,RPS27RT
BCL3,MIR669G
JARID2,SPRY4
AKT1,TNS4
BCL3,GM17035
TRP53,PRXL2A
DTX1,CENPV
RBPJ,SLC38A4
RLIM,GM25263
ELF3,STMN1
DNMT3B,RRAS2
TRIM28,GM25451
DAB2,GM25472
KPNA2,GM26060
RBPJ,CTNNAL1
KPNA2,GM22571
MSC,NUP62CL
PML,DNMT3L
DNMT3A,LGMN
HMGA1,MIR3082
TFEB,RASGRP2
TGIF1,NXF7
CREB3,RBPMS2
TCEA3,GM23569
BTG2,MIR8091
KDM5B,PGAM1-PS2
TRP53,GM10337
HIST1H1D,CCNB1
TGIF1,NRG1
SMAD7,PLEKHA7
NANOG,HKDC1
MYCN,CDC20
PHC1,FGF3
POU5F1,ATP6V0A1
GATA6,CHCHD10
CREB3,GM44206
HMGA1,MIR7005
PHC1,EDA2R
DNMT3A,S100A6
AKT1,SORD
CREB3,MRPL23-PS1
ZFP42,GM9531
EGR1,GM27640
DNMT3L,MARCKS
SOX17,SLC26A10
NFXL1,CSRP1
ELF3,HNF1B
PARP1,GM23542
BHLHE40,TUBB2B
POU5F1,AURKA
HSPB1,GM37784
RLIM,SNORD93
ID2,GM26109
HSPB1,GM25835
PEG3,GM27640
SUZ12,GM12276
HNF1B,LIFR
KLF6,GM43940
RUNX1,GM10012
KAT2B,GM22166
SMAD7,PLOD3
RBBP7,RRM2
BHLHE40,GM14870
KDM5B,SLC7A3
KLF3,GM44380
EED,MARC2
NR0B1,GM23639
DNMT3A,TIMP2
XBP1,GM22051
RBPJ,ATP13A3
EHMT2,APAF1
SOX7,COL4A1
DTX1,RNF157
MCM6,KPNA2
CBX7,RLIM
XBP1,RNPEP
CREB3,MIR7003
TCF7L2,HIST1H4K
MSC,FAM102A
PARP1,GM9531
KAT2B,WDFY1
ELF3,PIPOX
HIST1H1B,NUP62CL
EHMT2,GM26447
ETV5,ARIH2
SMAD7,EIF4A-PS4
ILK,DTX1
ELF3,SETX
KLF3,DPPA2
CREB3L2,MIR1949
SOX2,DTX1
POU5F1,TMED2
KLF6,SNORD32A
RBBP7,BHLHE40
MYCN,GM23566
HSPB1,D230025D16RIK
KLF3,GM24315
NANOG,GM26493
TFCP2L1,SERPINE2
TRIM28,TNS4
DNMT3B,APP
EHMT2,MIR669D
JARID2,CCNE1
TFCP2L1,GM21860
ID1,VILL
RBBP7,GM26229
TGIF1,LNCENC1
AKT1,ELF3
SOX2,ENAH
DAB2,GM24523
KLF6,GM26073
MYCN,MIR467C
KLF2,LRRK1
DAB2,BMPER
TCF7L2,TINAGL1
BMP4,MIR669K
ETS1,SNORA31
CREB3L2,KRT42
NR0B1,ALG13
HMGA1,GALK1
PARP1,SELENOW
TRP53,MANF
ZFP42,NFXL1
ETV5,TUBB4B
SMARCA2,SNORD65
ILK,DPP4
ZFP42,MFGE8
JARID2,TDGF1
MYCN,CCND2
ID1,CDC20
FOXH1,SOX2
NR0B1,MYMX
CCND1,CTSD
BCL3,PIK3R1
EGR1,MIR669E
NFXL1,GM42413
SOX17,RESF1
RLIM,HIST1H2AI
ZBTB10,GM10052
BHLHE40,CLDN6
DTX1,PNRC2
KDM5B,AY036118
CBX7,GHR
MCM6,GM25673
JARID2,HIST1H2AH
DNMT3L,SLC38A4
ID1,GM26229
AKT1,GM22988
NR0B1,LGMN
MYBL2,EMP2
DAB2,SHKBP1
PCBD1,DDX21
SOX2,SERPING1
DAB2,BEX3
PEG3,BUB1B
PCBD1,TUBB6
RLIM,GM37404
NFXL1,GM28900
DAB2,GM24339
KLF6,MSL3
KLF6,GM26491
EED,KPNA2
EHMT2,TCN2
ID1,SNORA17
RUNX1,CLIC1
ZFP42,GM9385
DNMT3L,GM25040
DNMT3B,CTDSPL
BMP4,PEG3
NR0B1,IFRD1
ELF3,HTRA1
ILK,KDELR3
PARP1,RRBP1
TFEB,SEC23A
PCBD1,SNORA44
SOX17,UBALD2
DTX1,LRPAP1
ZBTB10,RPL15-PS3
CBX7,GM44346
PHC1,SETX
KDM5B,GM26109
GATA4,GM22678
FOXQ1,ZYX
SOX7,CSTB
ETS1,SLC26A10
MCM6,GM10717
ZFP42,PLOD3
ID1,GM23632
JARID2,BEND5
TCEA3,CKB
HIST1H1B,GM26109
JARID2,ATP6V0A1
GATA6,GORASP2
ZFPM1,SRM
HNF1B,CKAP4
SMAD7,OBSL1
DAB2,CCND1
KLF2,RPL22L1
HMGA1,GM15446
TRIM28,CDCA7
CITED2,GM3788
MYCN,GM4202
ILK,BHLHE40
TFCP2L1,2210409E12RIK
TAX1BP3,LOXL2
FOXQ1,FGF10
PARP1,SNORD17
NR0B1,ENAH
ID2,GM12112
TFCP2L1,FRMD4A
ZFP42,RIAN
ZBTB10,CALR
NR0B1,PHC1
NR0B1,SOCS2
SMARCA2,DNAJC10
GATA6,SNURF
CCND1,P3H1
MSC,GM24346
PEG3,GM44170
TRP53,CR1L
DNMT3A,GM25535
CREB3,GM42429
EPAS1,EED
SOX2,GM43107
JARID2,MFSD1
DAB2,SPARC
ID2,RPL22L1
KLF2,WDFY1
CREB3,CTDSPL
MYBL2,HS3ST1
DAB2,PLK1
NFATC2IP,PNP
POU5F1,SNORD72
CITED2,ALPL
UTF1,DNMT3B
ILK,FRRS1
EPAS1,SEC23A
EGR1,MIR669A-1
RLIM,COBL
MYCN,NFATC2IP
ILK,ALG13
PML,GM22411
ID2,GM38009
HIST1H1D,SMAD7
TFEB,SNORD35B
DNMT3B,HIST1H3H
ESRRB,TDGF1
NFATC2IP,GM10182
HNF1B,FOXH1
TAX1BP3,SERPINH1
EED,RBMS1
AKT1,HDLBP
TRP53,GM23542
GATA4,FN1
FOXQ1,GM23158
ZFP42,HIP1
ETS1,GM27743
EHMT2,CEMIP
SOX2,GM27743
BMP4,RBMS1
MCM6,GM44330
PEG3,RUNX1
ELF3,GM43107
KLF2,AQP8
SOX7,SLC6A6
ILK,ZFP532
KLF2,DUSP9
BHLHE40,SOX2
FOXH1,GGTA1
PHC1,P3H4
MCM6,KDM3A
TAX1BP3,MDM2
TGIF1,MKRN1
ELF3,GCLM
SOX7,NDRG4
MYBL2,MIR1957A
KAT2B,GM23571
HMGA1,LMF2
ELF3,NUSAP1
TCEA3,CSTB
XBP1,SMS
SMAD7,RBMS1
BMP4,NANOG
EED,SORD
FOXH1,PTPN14
KLF2,LAMA1
BCL3,ZFP979
KAT2B,TMEM144
AKT1,HMGA1
SMARCA2,LGALS3
ELF3,LNCENC1
MCM6,GM10337
CREB3,RPS25-PS1
KLF4,PROS1
ELF3,PLEKHA7
TFEB,SNHG5
BHLHE40,PRDX1
KLF6,MIR669A-1
TRP53,MT-TP
EED,MYO5B
ZBTB10,SNORD85
HIST1H1D,MIR186
MSC,SLC38A4
KPNA2,HIST1H2BN
SUZ12,GM27520
KDM5B,TYRO3
HSPB1,ITGA3
MDM2,GM24523
NANOG,MYH9
BHLHE40,MDM2
DNMT3B,MIR763
TRIM28,ZYX
MYCN,NUSAP1
HSPB1,CTSA
DNMT3B,SNORA65
SOX2,ME1
PCBD1,SNORD11
JARID2,TENM4
ELF3,TSPAN9
CITED2,GM33051
RUNX1,SNORA74A
RBPJ,PATJ
BTG2,ZFP57
HIST1H1B,GM23833
MDM2,RPS27RT
PEG3,GM20721
KLF3,GM8818
CITED2,CTSD
TAX1BP3,CAR2
TFCP2L1,HSD17B14
SOX17,GM42413
TFCP2L1,MIR669I
TAX1BP3,CFC1
MDM2,ETV5
CREB3L2,AMOT
KLF4,PLA2G1B
PARP1,DKK1
BTG2,GM25040
PML,MSMO1
SUZ12,PROS1
UTF1,SPSB1
PML,SRPRB
BHLHE40,SGK1
ZFP42,ARHGAP29
BMP4,GM27520
RUNX1,SNORD65
CCND1,GM24494
MYCN,CST3
EHMT2,GM15421
POU5F1,CKB
BTG2,GM3851
KPNA2,STARD8
