TF,Target
CREB3,SNORD34
HIST1H1D,UBE2C
CBX7,SLC16A1
ELF3,TET2
HMGA1,EMB
UTF1,ZFP710
CBX7,MIR291B
TCEA3,GM28960
DNMT3B,FOLR1
ELF3,BMPER
ETV5,GM44320
BHLHE40,FOXH1
RLIM,SMAD7
ELF3,GM15452
AKT1,D230025D16RIK
SOX7,LMF2
JARID2,PDCD4
MCM6,RPL15-PS3
DNMT3A,GM25193
KLF4,RHPN1
TFEB,GM15446
KLF6,GM26917
DNMT3L,GNPDA1
DNMT3B,PRDX1
GATA6,RBMS1
EHMT2,TRP53
CREB3,TGIF1
DTX1,GM22678
ID1,CDC20
TGIF1,PLK2
NR0B1,SNHG3
ETS1,NFXL1
BMP4,GM25195
MCM6,SNORD35B
BHLHE40,GM44335
PML,FST
TCF7L2,EIF2S2
GATA6,ITGA6
TCEA3,RPL23A-PS3
SUZ12,LAMA1
MCM6,VEGFA
RBPJ,CDC42SE2
GATA6,UBQLN2
ID1,PLAT
CREB3,SLC6A6
TFCP2L1,SNORA3
CREB3L2,RPP25
XBP1,PLTP
CCND1,GM27743
DNMT3L,JPT1
HNF1B,GM22620
UTF1,MIR186
TAX1BP3,MIR669I
TRIM28,GM10039
HIST1H1D,HIST1H2AI
ZFPM1,TAGLN2
RLIM,GM21748
CITED2,AHCY
MSC,MT1
CBX7,GM25680
TFCP2L1,KRT8
BCL3,GM22051
EPAS1,GM27406
PHC1,GM25787
RBBP7,SNORD49A
HNF1B,PRC1
PHC1,MIR295
PML,LDHB
RUNX1,RPL22L1
HSPB1,GM23245
PARP1,HMMR
RBBP7,LY6G6E
KLF6,TYRO3
TFEB,AQP8
AKT1,MIR291B
MCM6,ATP6V0A1
PCBD1,DENND2C
SOX2,PLXNA1
TCF7L2,GM12112
KLF6,NUSAP1
SOX17,GM26287
MYCN,ZFPM1
BMP4,CLCN2
ID2,KLB
HMGA1,GABARAPL2
JARID2,FKBP11
HSPB1,GM43535
PML,AKR1B8
KLF6,ANXA2
TRP53,GM38009
DNMT3B,ALPL
DAB2,ZFPM1
CREB3L2,SPARC
DTX1,GM45105
MYCN,GM24616
CREB3L2,UNG
CBX7,GM21860
BTG2,RBBP7
