TF,Target
TFCP2L1,GM27501
CREB3L2,TPD52
RBPJ,LRPAP1
TRP53,HIST1H2AL
CCND1,MORF4L2
HMGA1,GM25753
PML,GM37784
DAB2,TMEM144
NANOG,GM25040
GATA4,RBPJ
DNMT3L,SEC24D
MYBL2,GM26491
DNMT3B,RAB11A
ZFP42,LAPTM5
TAX1BP3,SNORD35A
JARID2,PDK1
HIST1H1B,COTL1
GATA4,GM42429
CCND1,STXBP2
KDM5B,FABP3
TFCP2L1,TCL1
KPNA2,MIR1949
FOXQ1,GM14303
HMGA1,GM22862
ZFPM1,RAB3IL1
TFCP2L1,AKR1B8
TGIF1,SPARC
KPNA2,PLOD3
KAT2B,HIST1H2BK
TRP53,ADAM19
CREB3,LTBP4
UTF1,GM25535
RBPJ,TGIF1
RBPJ,BMPER
MYBL2,GM26917
SOX7,GDPD5
PML,GM15452
TAX1BP3,CREB3L2
KPNA2,MT1
TAX1BP3,TET1
DNMT3L,PLTP
CREB3L2,FOXQ1
SOX17,GM22858
DNMT3B,FDPS
PHC1,GM23651
CREB3L2,GM28900
PEG3,CCND1
FOXQ1,ITGA6
KDM5B,GM14870
TGIF1,NUTF2-PS2
CREB3L2,GM25753
ZFPM1,GM26447
HSPB1,LY6G6E
TFCP2L1,LRPAP1
TFCP2L1,SNORD49A
ZFP42,SNORA26
ETV5,HIST1H2AI
XBP1,GM25535
GATA6,GPX3
KAT2B,VIM
HIST1H1B,BCAT1
SOX2,GM42429
HMGA1,TYRO3
HSPB1,GM25535
POU5F1,GM26073
ETV5,IFITM1
FOXQ1,NDRG1
GATA6,PHLDB2
KLF2,GATA6
GATA6,GM22455
UTF1,GM22862
SOX17,MIR3535
RBPJ,GM25040
NR0B1,XBP1
GATA6,NDRG4
TGIF1,BHLHE40
TGIF1,FGFR3
JARID2,CALU
BHLHE40,SLC25A5
POU5F1,PRXL2A
RBPJ,FAM129B
CCND1,AMPD2
XBP1,GM24494
FOXQ1,HIST1H4D
HMGA1,SLC7A3
NANOG,TENM4
JARID2,SPINK1
TAX1BP3,F3
KDM5B,HIST1H2AP
ETV5,TFRC
RBPJ,PLOD1
TGIF1,GM26073
GATA6,DNAJC10
TRP53,EIF4A-PS4
TAX1BP3,GM25040
DNMT3L,FST
ELF3,DPPA4
ESRRB,FAM25C
SOX17,PRC1
CREB3L2,HSPB1
CREB3L2,EPS8
ZFPM1,IFITM2
DNMT3B,GM26073
DNMT3A,MIR3535
KLF2,PML
HIST1H1B,2810025M15RIK
FOXQ1,SRGN
UTF1,GM26092
ZFPM1,GSTA4
ELF3,COL4A2
KAT2B,RHOX5
SOX2,BMPER
SOX17,GM24451
ZFPM1,DPP4
ZFPM1,SNORD70
BCL3,KAT6B
XBP1,SNORD65
CREB3L2,ABHD5
KDM5B,CHCHD10
KPNA2,SNORA26
SOX17,SNORD49A
HIST1H1D,GM43558
KAT2B,HSP90AA1
KAT2B,KIT
GATA4,MIR677
ELF3,ITGA6
HIST1H1B,KLF2
HIST1H1D,POU5F1
TGIF1,UBE2C
POU5F1,GM10717
DNMT3L,GM23158
HIST1H1D,KPNA2
HIST1H1B,GM14519
RBPJ,MT-TF
SOX7,BEX1
PEG3,PFKP
SOX17,SLC6A8
HMGA1,FXYD3
BCL3,MIR1949
DNMT3B,HIST1H2AP
SOX7,SNHG5
FOXQ1,2410141K09RIK
ELF3,FGF4
PHC1,GM23833
BHLHE40,GLDC
GATA6,VSIR
DNMT3L,GM7329
PML,SLC25A5
HIST1H1B,TGIF1
KLF2,SNORA65
TFCP2L1,PLK1
KDM5B,PHLDA3
GATA6,ZFAS1
RBPJ,GM26491
RBPJ,RNF157
TAX1BP3,ZFP42
ZFP42,HSPG2
HIST1H1D,MYLPF
NFXL1,GM23571
BCL3,LAMC1
RBPJ,RPL17-PS10
KPNA2,GM8355
MYBL2,GM26318
HSPB1,CCND1
TGIF1,GM24916
TGIF1,HIST1H1A
GATA4,NXF7
PML,GM24201
HIST1H1D,FN1
GATA4,FST
CCND1,SLC26A10
GATA4,ZFP989
JARID2,GM25535
PCBD1,HIST1H1B
FOXQ1,HIST1H3I
JARID2,GM29397
ELF3,WDR45
PML,CKB
KLF2,HIST1H2BN
JARID2,IL33
CREB3L2,GM38312
KPNA2,HIST1H1D
BHLHE40,SEPT1
PEG3,GM10052
FOXQ1,GM24916
MYBL2,UTF1
DNMT3B,MEG3
JARID2,GM23130
KAT2B,DNMT3B
PML,GNPDA1
ELF3,PDGFRA
FOXQ1,CCNG1
XBP1,GM24616
HIST1H1D,TPD52
DAB2,AMPD2
TFCP2L1,MIR5117
TRP53,MIR3082
HSPB1,GM38312
TAX1BP3,HSPA5
GATA6,AMPD2
NR0B1,PDGFRA
RBPJ,GM23413
ETV5,TNS4
ETV5,PHLDA3
SOX2,GM49347
MYBL2,GM26073
BCL3,GM24455
KPNA2,KDM5B
MYBL2,COMMD3
HIST1H1B,TSPAN9
KAT2B,TRP53
ZFPM1,ETV5
KDM5B,CTSA
GATA4,GM26917
FOXQ1,LDHB
DNMT3B,GM10719
CREB3,KDELR3
PEG3,DNMT3L
ZFPM1,NDRG1
TFCP2L1,MARC2
ELF3,SPRY2
TAX1BP3,GM23413
DNMT3A,HSPB1
HSPB1,GM37917
ZFPM1,GNAS
RBPJ,RRBP1
ZFPM1,ARHGAP29
CCND1,DNMT3B
DNMT3L,MT2
DNMT3B,KAT6B
ESRRB,FAM129B
HIST1H1D,GM43107
DAB2,GM3788
ESRRB,GM22884
XBP1,FST
KDM5B,LOXL2
NR0B1,TINAGL1
DNMT3L,GM24044
ZFP42,GM25535
PCBD1,MIR669A-3
PCBD1,PCOLCE
NFXL1,APP
ESRRB,GM25791
HIST1H1B,FST
GATA4,GM24488
KAT2B,GM25791
ZFPM1,PSRC1
BHLHE40,GM29397
HSPB1,PFKP
BHLHE40,GM23130
CCND1,ADAM19
ZFPM1,GM26073
HIST1H1B,GM25960
CREB3L2,XBP1
CREB3L2,TET2
GATA6,MYLPF
NFXL1,NUTF2-PS2
NFXL1,RCC2
MYBL2,HIST1H1B
DNMT3A,HMGA1
PML,UAP1L1
KPNA2,PRC1
HIST1H1B,RNF157
GATA6,FAM25C
BCL3,HS3ST1
KPNA2,LRP2
TRP53,KHDC3
EPAS1,SNORD49A
NANOG,MRPL23-PS1
HMGA1,DNMT3L
MYBL2,GM13597
HIST1H1D,GM23344
KAT2B,EPAS1
PCBD1,ULK1
CCND1,GM25040
HSPB1,GM23158
PML,AKR1B8
DNMT3B,APOE
TRP53,GM22925
EPAS1,JAM2
CREB3,MIR8091
DAB2,GM23130
TRP53,AURKA
DNMT3B,RPL15-PS3
EPAS1,GM28900
HIST1H1B,GM25500
ESRRB,MT-TF
CREB3,GM24289
RBPJ,SPARC
CREB3,OPLAH
CCND1,CCNB1
NFXL1,WDR45
BCL3,GM43558
NANOG,PRXL2A
DNMT3B,CAR2
GATA6,GM33051
CREB3L2,NR0B1
BHLHE40,HSPB1
KAT2B,GM26447
GATA6,RBPJ
CREB3L2,LAMA5
CREB3L2,TDH
DNMT3L,GM26073
DNMT3B,LAPTM5
PCBD1,CAR2
GATA4,GM14303
HIST1H1B,GSTA4
HMGA1,CALCOCO2
HIST1H1D,CCNB1
TGIF1,SLC2A1
DNMT3L,GM25673
HIST1H1D,GM20721
BHLHE40,TET1
RBPJ,RCC2
TAX1BP3,SPARC
NR0B1,CCN2
BHLHE40,UPP1
TFCP2L1,KDELR3
EPAS1,GM22571
PCBD1,ADAMTS9
PHC1,NDRG1
TAX1BP3,SNORA81
PCBD1,UNG
RBPJ,UTF1
TFCP2L1,TDH
MYBL2,PLA2G1B
ZFPM1,GM10717
KAT2B,RPL17-PS10
HSPB1,ATP6V0A1
CCND1,RAB3IL1
TRP53,MIR3535
PHC1,HIST1H2BG
TRP53,MIR3473F
HMGA1,PDGFRA
FOXQ1,LMF2
HMGA1,SPP1
BHLHE40,SEC24D
JARID2,GM49347
ETV5,GM24564
RBPJ,GM43521
SOX17,XBP1
EPAS1,LTBP4
PHC1,PSRC1
SOX7,GASK1B
CREB3,TINAGL1
PHC1,MRPL23-PS1
NANOG,GM13597
DAB2,AMOTL2
CREB3L2,RPS27RT
EPAS1,UPP1
POU5F1,GM24761
TAX1BP3,GM44346
KDM5B,VIM
PHC1,GM26073
POU5F1,KHDC3
KDM5B,POU5F1
ELF3,LAMB1
NFXL1,MIR3473F
PEG3,HIST1H2AP
PML,HSPB1
EPAS1,SERPINE2
KLF2,GM24451
SOX2,B2M
ESRRB,GM28439
CREB3,LEFTY2
KLF2,ITGA3
HIST1H1D,RNF157
GATA4,SRGN
GATA4,GM43521
ESRRB,RRBP1
FOXQ1,THBD
HSPB1,SOX7
TAX1BP3,HIST1H2AL
NANOG,GM37784
SOX7,GM37746
EPAS1,CCND1
CREB3L2,GM44206
KDM5B,MYLPF
EPAS1,GM4322
TRP53,MYMX
NR0B1,GM22455
XBP1,B2M
FOXQ1,MANF
BCL3,HIST1H4K
GATA6,DUSP9
