TF,Target
MSC,TGM1
ZBTB10,GM26318
XBP1,GM23288
TCEA3,GM44429
HIST1H1B,MIR669E
KAT2B,NR0B1
SMARCA2,HSP90AA1
HIST1H1B,DPP4
TFCP2L1,EHD1
TAX1BP3,EIF4A2
EPAS1,HSPB1
ID1,SPP1
PML,GM24916
POU5F1,GM22884
AKT1,FRMD4A
BHLHE40,SRM
ZFP42,MYO5B
DAB2,GM26387
ELF3,LY6E
PCBD1,STMN1
ETS1,LY6G6E
TCEA3,CYP26A1
TGIF1,CCNE1
FOXQ1,PARP1
TGIF1,TRP53
GATA4,SNORD35B
JARID2,MYO18A
RBPJ,SOX17
TFEB,GM22620
BTG2,MEG3
MSC,OAT
SUZ12,DDX21
EHMT2,GM10184
PEG3,HSPH1
RLIM,S100A6
GATA6,ZFP989
ETV5,HSPA5
BHLHE40,TXNDC12
TFCP2L1,GM13502
CCND1,PDK1
CREB3,DDAH2
BTG2,GM15459
RBPJ,AKR1B8
RBPJ,EDA2R
CREB3,SEMA4C
KAT2B,LDLRAP1
FOXQ1,GM25185
MSC,MIR669B
TAX1BP3,HSP25-PS1
TCEA3,SLCO3A1
ZBTB10,GM14303
FOXQ1,GLDC
CBX7,GM26060
BCL3,GM12276
XBP1,MSC
KLF3,CDCA7
DAB2,SNORA43
ZFPM1,PDGFRA
KLF6,LTBP4
TCEA3,CKB
MCM6,GM42429
PARP1,SNORD93
HMGA1,MCM6
DNMT3L,GNG10
SOX2,MIR297A-2
KAT2B,CDC42SE2
MDM2,PNRC2
CITED2,D230025D16RIK
RBBP7,SETX
HNF1B,GCLM
KLF6,ID1
TRIM28,EIF2S2
POU5F1,SNORD34
SUZ12,GM25701
PCBD1,GJA1
GATA6,MT-TP
SOX7,GM25791
NR0B1,GM25835
PARP1,VILL
CREB3L2,FNDC3B
GATA6,CTSL
FOXQ1,MIR1192
EGR1,SNORD65
MDM2,CDH1
NR0B1,PLOD1
HSPB1,PDE4DIP
MCM6,BCAM
KLF3,GM4617
TFCP2L1,ZFP532
RBPJ,COMMD3
MSC,PCBD1
PML,GM28010
KPNA2,NUTF2-PS2
XBP1,GM23651
HNF1B,MIR5117
GATA4,CALCOCO2
UTF1,GM27798
TCF7L2,GM10718
FOXH1,GM43535
TFEB,GM44206
POU5F1,MIR7003
XBP1,GM37376
EED,GM23946
BTG2,GPA33
GATA6,GM26165
CBX7,MIR186
TFCP2L1,GM15446
SOX7,GM25680
EPAS1,EDA2R
HNF1B,MIR669H
HIST1H1D,GM12276
BHLHE40,RENBP
MYCN,HSPG2
MYBL2,ANXA2
PCBD1,PLOD1
NFATC2IP,XBP1
ETV5,MSH6
RBBP7,RCC2
DAB2,MIR1957A
TFCP2L1,CTDSPL
KPNA2,SNX1
ETS1,GM12112
SUZ12,GM42429
SUZ12,GM23946
HNF1B,CFC1
ZFPM1,GM26448
TFEB,GM17538
DNMT3L,TOP2A
EHMT2,TMSB4X
FOXQ1,EPS8
PEG3,RPL22L1
KAT2B,LMF2
DNMT3B,HKDC1
TCF7L2,DCXR
RUNX1,KAT2B
MYBL2,DKC1
KLF6,GM23571
TFCP2L1,HIST1H2AI
MDM2,GM22051
ETV5,PARVB
SMAD7,ELOVL6
MSC,KLF2
HIST1H1B,SMS-PS
DNMT3L,SRM
TFEB,MARC2
CREB3,EPHA2
TFEB,PARVA
HIST1H1D,SLCO3A1
DNMT3B,MIR669H
MYBL2,GM14870
EHMT2,CARHSP1
SOX17,GM10717
MSC,GM7329
BTG2,GM27640
NANOG,GM23651
BHLHE40,EED
KLF6,GM26491
FOXQ1,MIR3082
ID2,SHKBP1
KAT2B,MAGED1
DNMT3L,TXNDC12
EPAS1,SOX7
SOX2,GM25285
TFEB,GM25753
MSC,GM43535
HMGA1,GM21962
FOXH1,CCND1
PML,MIR669B
MCM6,GM21962
EGR1,MIR7063
TCF7L2,MYCN
KPNA2,COBL
HNF1B,AKR1B3
BCL3,MIR3535
MCM6,AHCY
TFCP2L1,CHCHD10
CITED2,CARHSP1
BHLHE40,UCHL1
TCEA3,PLAUR
JARID2,UCP2
MDM2,LEFTY2
KLF4,GM43558
EPAS1,KDM3A
ID1,WDR45
SOX2,SLC7A6
ZFPM1,MIR291B
DNMT3B,HIST1H4N
TCEA3,BCAT1
CREB3,PHC1
PHC1,XBP1
EHMT2,TUBB4B
KLF3,SHROOM3
KLF6,SNORD93
KLF2,GM43558
RBPJ,MIR1192
DNMT3B,SNORD49A
MYBL2,CENPF
SOX2,ETL4
MYBL2,GM49369
ETS1,CNN2
ID2,CNN2
BTG2,ASNS
KAT2B,F2R
HIST1H1B,SMAD7
PCBD1,L1TD1
HIST1H1B,GM23566
DAB2,GM26426
NANOG,GM49347
ETV5,RFFL
HNF1B,GM22411
TRIM28,EPS8L2
TGIF1,TIMP2
RLIM,NPHS1
ILK,SNORA23
DNMT3B,PLOD3
TGIF1,SEC24D
HIST1H1D,EIF4A-PS4
HNF1B,GFPT2
BTG2,MIR5121
EGR1,SAT1
CBX7,LGMN
TFEB,MIR466B-6
HNF1B,GATA6
FOXH1,LIFR
RBBP7,GM25680
SOX2,GM10182
BCL3,SLC7A5
MSC,PHLDA3
BMP4,GM3470
TCEA3,D230025D16RIK
RLIM,MIR3473F
SMARCA2,ITGAV
DNMT3L,SORD
HIST1H1B,GM27390
CREB3,ANXA5
MYBL2,GM27743
ETS1,CTH
HMGA1,MT2
BTG2,RENBP
TCF7L2,ARIH2
ESRRB,MIR669I
ID1,GM43107
EGR1,GM24488
ELF3,SLC45A4
XBP1,GM24494
HSPB1,ARFGAP1
NFXL1,GM44429
ZBTB10,SNORD58B
GATA6,EGR1
KLF2,PLAUR
RBBP7,GM22620
KAT2B,RANBP17
PCBD1,SNORA65
PCBD1,MORC4
FOXQ1,GM26387
CITED2,KDELR2
SUZ12,GM10169
EPAS1,GM13597
ZFPM1,CALCOCO2
PCBD1,PNP
ZBTB10,SNX2
RLIM,ITGA3
KDM5B,GM10182
DNMT3B,GATA6
TRIM28,GM10169
MDM2,NXF7
RBBP7,PIPOX
DAB2,GM10925
ZBTB10,GM20721
RBPJ,KAT6B
BMP4,SNORD87
CITED2,GM29397
SOX17,PDIA3
CITED2,TCL1
JARID2,GM43110
DNMT3B,GM42413
TRP53,SLC9A6
BCL3,CERS4
ETS1,MFGE8
ZBTB10,CREB3L2
PML,LNCENC1
BMP4,ZFP57
BHLHE40,ZFPM1
EGR1,TEX264
NFXL1,RBM47
PHC1,SNORD17
POU5F1,GM44364
ETS1,GM6158
MYCN,SNX1
RBPJ,CENPF
ZFPM1,RRAS2
KLF6,AARS
EED,MT2
DNMT3A,GM13502
PEG3,SERPINE2
CBX7,GM24616
FOXH1,GM22862
DTX1,GM26229
HIST1H1D,BCAT1
ZFPM1,VSIR
DNMT3B,IFI30
RBBP7,GM22072
XBP1,FZR1
EED,HIST1H3H
BMP4,SNORD43
DNMT3A,APOE
CREB3,COBL
BHLHE40,MIR669A-1
DNMT3A,SLC25A36
NFATC2IP,ATP13A3
SMAD7,GM43590
ETV5,TPX2
SMARCA2,GM26493
ILK,ASAH1
EHMT2,GM15899
EPAS1,MCM10
TFEB,MCM6
EPAS1,GM14870
POU5F1,MIR1949
NFATC2IP,GM25787
PML,GM27798
HMGA1,B2M
PARP1,INSIG1
GATA4,MOV10
ILK,GM38009
BCL3,COL27A1
BCL3,FOXH1
HIST1H1B,IQSEC1
HIST1H1D,NEU1
ELF3,BASP1
ILK,GM22455
CREB3L2,SPOCK1
HIST1H1D,ATP6V0B
EHMT2,GM8818
MDM2,ADGRE5
CITED2,BUB1B
GATA6,SHKBP1
DNMT3B,MIR763
DNMT3A,XBP1
CBX7,GM25057
CITED2,GM37784
ID2,HSPH1
TAX1BP3,SLC2A1
ELF3,SERPINE2
SMARCA2,GLDC
FOXQ1,RRM2
TFCP2L1,CTSD
