TF,Target
BNC2,RNPEP
TFCP2L1,TTC7
TFCP2L1,COBL
KLF3,HIST1H2BL
TFEB,GM24761
MYCN,FBXO5
ESRRB,RRBP1
ETS1,GM24616
RBPJ,HIST1H1B
ZFPM1,TAGLN2
GATA4,FLNA
ETS1,SNORA73B
FOXH1,FAT1
ZFP57,GM22571
GATA6,TGIF1
FOXH1,GRB10
TGIF1,MKRN1
CREB3,GM25057
SOX2,F2R
KLF6,OPLAH
KLF3,PNRC2
ETS1,STAG3
SOX2,GM47315
ELF3,VKORC1
NANOG,GM23639
KLF3,GM24339
ZFPM1,GM22925
FOXQ1,GM24044
TFEB,MIR7003
KLF6,LOXL2
SOX2,DDAH2
TCF7L2,GM44429
ZBTB10,GM47315
TFEB,GJB3
TFEB,RAB11A
PEG3,SLC25A5
ETV5,DNMT3L
HNF1B,TGM1
KLF3,GM15452
KDM5B,EPS8
ZFP42,DAB2
ZFP57,HMGA1
TET2,HYOU1
ZBTB10,GCLM
ZFP57,VKORC1
FOXQ1,TFEB
FOXQ1,IFRD1
EPAS1,MIR669E
SOX17,PLK1
MYBL2,TOP2A
HMGA1,DNAJC10
SOX2,GM22677
TET1,GM10719
EGR1,MCM6
ZBTB10,GM38312
GATA4,AMFR
BNC2,GM28010
KDM5B,SLC6A6
MYCN,PLXNB2
TCF7L2,ADAM19
HMGA1,GM26073
HMGA1,PRXL2A
MYCN,GM25451
XBP1,GM26426
SOX7,NANOG
NANOG,GM22571
KLF4,STARD10
MYCN,GM23988
KLF6,HS3ST1
TFEB,MIR291B
BNC2,SNORD72
TCF7L2,RRBP1
PLSCR1,HIST1H2AC
NANOG,JAM2
BHLHE40,SLC1A3
POU5F1,GM15452
KLF6,FRRS1
ETV5,IFITM1
TCF7L2,SNHG12
HNF1B,KDELR2
KLF6,MIR5117
PLSCR1,GATA4
ETV5,MFSD1
ETS1,SNORD110
SOX17,RESF1
ZFP42,CTSD
CREB3L2,FOXQ1
KLF4,MDM2
BHLHE40,GM15899
EPAS1,GM23245
TFCP2L1,GM24761
KLF4,MIR8094
TGIF1,GLIPR1
XBP1,SEC23A
MYBL2,RRM2
POU5F1,P4HA2
ZFP42,ST5
SOX2,COTL1
ZFP42,HIST1H4N
GATA6,RAB3IL1
TET2,MIR466B-6
MSC,GPA33
PLSCR1,LY6E
KLF4,TDH
ZBTB10,SLC20A1
PEG3,GM27501
BNC2,HIST1H2AL
ESRRB,ENAH
PLSCR1,CENPV
TFCP2L1,SNORA43
BHLHE40,GM22030
ZFP57,SOCS2
ETS1,SERPINE2
MSC,SNORD33
TGIF1,SEMA4C
CREB3,MIR297A-2
TCF7L2,MIR669E
NANOG,ADAMTS9
ETV5,PTH1R
MYCN,DENND2C
FOXH1,CRELD2
MYCN,SNX1
KLF2,APAF1
FOXQ1,NEU1
TET1,PDE4DIP
RBPJ,ZFAS1
RUNX1,CKB
FOXQ1,CD63
FOXQ1,TENM4
KLF4,RPS25-PS1
RUNX1,ZBTB10
ZBTB10,GM22620
SOX2,KRT8
RUNX1,LRPAP1
PLSCR1,PTH1R
SOX17,SNORD93
ZFPM1,HSP90AA1
KLF2,CTSD
HMGA1,KAT6B
ETV5,GM44346
TGIF1,ZFP987
BNC2,SNORD110
NANOG,HIST1H4N
PLSCR1,GM23245
CREB3,GM10108
POU5F1,BCAM
ZFP57,GM15247
ZFP57,ID1
KLF2,TGIF1
NFXL1,POU5F1
PEG3,HIST1H3I
KLF3,SLC6A8
ELF3,COMMD3
XBP1,GM26491
TFEB,ZFP979
HNF1B,STARD10
RBPJ,GM23566
TET2,GASK1B
CREB3,KRT17
HMGA1,MRPL23-PS1
SOX17,SPSB1
KDM5B,TXNIP
ZBTB10,CAR2
KLF2,GM27624
FOXH1,GM25316
ELF3,GM38009
EPAS1,SERPINE2
GATA4,RNU73B
KLF4,TTC7
TET1,RPL17-PS10
ZFP57,MYO1C
BNC2,GM44429
NFXL1,VILL
MSC,CRELD2
EGR1,RCC2
HNF1B,RUNX1
GATA4,HIST1H4D
NFXL1,ESRRB
MSC,PRPS2
POU5F1,GAS6
RBPJ,PLSCR1
MYCN,ST5
NFXL1,LEFTY1
XBP1,MIR3091
TET1,EDA2R
MSC,GLIPR2
POU5F1,WDR45
TFEB,GM7993
FOXH1,MIR3082
XBP1,PLTP
TCF7L2,GM24761
SOX2,SLC38A4
BHLHE40,SMAD7
NFXL1,PML
NR0B1,CCND1
CREB3,PEG3
TGIF1,RIAN
HNF1B,GM22051
ELF3,HSP25-PS1
MSC,RRAS2
GATA4,HIST1H2BG
TCF7L2,SLC1A5
FOXQ1,GM15421
FOXH1,P4HA2
EGR1,ELF3
SOX2,DKK1
RUNX1,GM23245
ELF3,PML
BHLHE40,FOXQ1
POU5F1,GM43558
GATA6,FGF4
RUNX1,AMPD2
TET2,LRRK1
MYBL2,PEG3
TFEB,IFITM3
EPAS1,MSC
ZFPM1,GM43558
TET2,AKT1
PEG3,MT2
TET2,GM10259
GATA6,GLMP
TFEB,CDC42SE2
ETS1,WDR45
ZBTB10,PLXNA1
CREB3,SURF4
BHLHE40,ZYX
SOX7,SNORA62
SOX7,IFITM2
ETS1,KLF6
TCF7L2,LDLRAP1
SOX2,MIR669K
KLF3,MIR3070B
EPAS1,MYO18A
ZFP57,ME1
PEG3,ABCC5
RBPJ,LIFR
ZFPM1,CTNNAL1
ZFPM1,TSPAN9
ZFP42,ABHD5
KDM5B,LRRC8D
EPAS1,GM10012
ZBTB10,NSD2
ETV5,GM4322
NR0B1,GJB5
MYCN,GM24289
CREB3L2,ZFP532
TFCP2L1,PIK3R1
ZFP42,ASAH1
TET1,HIST1H2AL
ZBTB10,GM24616
TFEB,GM26287
TFEB,ADGRE5
EGR1,KRT42
KLF2,UCP2
ETS1,DAB2
MYBL2,2810025M15RIK
BHLHE40,FZR1
BHLHE40,FLNA
GATA4,DCXR
GATA6,PCOLCE
MYCN,ITGAV
GATA4,PROS1
GLMP,LRRC8D
SOX17,FLNA
PLSCR1,GM8355
KLF6,GM5616
FOXH1,COL4A2
ESRRB,LAD1
KDM5B,GM44170
KLF4,CCNB1
TFEB,NUTF2-PS2
BHLHE40,SOX7
TGIF1,EIF4A-PS4
HNF1B,ABCC5
CREB3L2,NR0B1
ZFPM1,MID1-PS1
SOX2,AGPAT4
RBPJ,MIR466B-6
ZFP42,TNK2
SOX7,MIR28B
KLF3,ABCC5
KLF3,DPP4
POU5F1,ADGRE5
MSC,GM17545
SOX17,TCN2
TCF7L2,GM24523
RUNX1,SNORA81
PEG3,LGALS3
RUNX1,P4HA1
KLF6,GHR
ZFP42,GM25193
TGIF1,ACTG1
ZFPM1,GNPDA1
HNF1B,PLK2
FOXH1,GM10719
MSC,SNORD72
GATA6,TPM4
ZFP57,HIST1H4K
TET1,GM2399
CREB3L2,P4HA2
TFEB,MSMO1
PLSCR1,GM38009
TCF7L2,GM10169
ETV5,GFPT2
TFEB,GM15181
TET2,UBE2C
GATA6,MIR6928
HMGA1,VSIR
KLF6,SNHG12
EPAS1,TSPAN9
ZFP42,SNHG12
RUNX1,PDCD6IP
MYBL2,IDI1
FOXQ1,GM22620
ZFP42,SNHG5
PLSCR1,ZFYVE21
KLF3,GM27390
MYBL2,GM14303
PLSCR1,LRRK1
XBP1,MIR5117
KLF6,HIST1H2AH
RUNX1,HIST1H1A
MYCN,MCM6
HNF1B,STAG3
TCF7L2,TINAGL1
XBP1,GM20721
SOX7,FGFR3
ESRRB,GM27326
TET2,GDPD5
CREB3,FRMD4A
HNF1B,SNX1
GATA6,GM42429
HNF1B,HELLS
TET1,TMED2
EPAS1,FRRS1
SOX7,GM44364
EGR1,ZBTB10
NANOG,SNORA17
ESRRB,TPD52
TGIF1,RHOX5
ETS1,MSMO1
ZBTB10,RNU73B
CREB3,MIR467C
BNC2,TUBB6
CREB3,SNORA17
RBPJ,GM23542
NR0B1,GM28010
XBP1,BHLHE40
MYCN,EHD1
TGIF1,SNHG5
KLF3,FGF10
ZFP42,MIR6357
XBP1,TYRO3
TCF7L2,GM33051
ZBTB10,ANP32A
SOX17,GM25943
MYBL2,RPS25-PS1
ESRRB,SPSB1
KLF3,FXYD3
TET1,HIST1H2AC
SOX7,MIR763
ETV5,ACP6
SOX2,TMEM9
GLMP,SNHG5
MYBL2,RFFL
HNF1B,GABARAPL2
TET1,SLC38A4
NANOG,DKK1
TET2,GM26109
KLF6,GM22281
SOX2,TPX2
TCF7L2,GJB5
TFEB,MSI2
BHLHE40,GM24339
GATA6,PDIA4
KLF2,SSR3
TGIF1,KANK3
PLSCR1,HIST1H2AK
KLF6,SPP1
RBPJ,GM21860
