TF,Target
HSPB1,GATA4
DAB2,MT2
EPAS1,MIR466B-4
ZFPM1,CLDN6
EPAS1,LEFTY2
TFCP2L1,IFITM2
HIST1H1D,GM22468
TGIF1,RNU73B
FOXQ1,SNORD93
DNMT3A,TFCP2L1
GATA4,SNORD32A
PEG3,MIR669J
SOX2,TDGF1-PS1
PHC1,APOE
DNMT3A,GRB10
KAT2B,GM14303
POU5F1,LEFTY2
MYBL2,MIR466B-6
BHLHE40,GLIPR2
KDM5B,HSP90AA1
ZFPM1,HTRA1
ZFPM1,PATJ
RBPJ,GM43521
CREB3,GM25673
CCND1,NRG1
NFXL1,NR0B1
GATA6,HIST1H3I
FOXQ1,SEC24D
KDM5B,MME
HIST1H1D,LOXL2
ZFPM1,MIR669G
ZFP42,MIR669J
UTF1,GM37746
TRP53,SNORD93
KPNA2,BCAT1
TGIF1,TPM4
TRP53,TNS4
ELF3,STXBP2
HIST1H1D,SNORA3
DAB2,ZFP57
PCBD1,TYRO3
TAX1BP3,INSIG1
GATA6,LGMN
HMGA1,GM10259
ZFPM1,MIR7005
PCBD1,GM4322
ZFPM1,GM10719
SOX2,LAMA5
SOX7,XBP1
GATA4,CCNB1
DNMT3B,AU018091
DNMT3L,GM22925
POU5F1,LTBP4
ELF3,TFRC
HIST1H1D,GATA6
HSPB1,UAP1L1
ETV5,GM24044
ETV5,GM24488
JARID2,HTRA1
HSPB1,GM10259
CCND1,PRSS35
HMGA1,GM29397
HSPB1,RHOX5
ELF3,CAR2
ESRRB,TAX1BP3
HIST1H1B,AKR1B8
SOX2,LDHB
BCL3,GM43107
DAB2,HIST1H2AH
RBPJ,PHC1
SOX17,HIST1H4N
DAB2,SNHG5
NR0B1,SERPINH1
ELF3,GM22411
ESRRB,P4HB
DNMT3A,SOAT1
PEG3,ZFAS1
ETV5,RPL15-PS3
TGIF1,HIST1H3I
PCBD1,PDPN
KLF2,GNAS
ESRRB,MIR677
NR0B1,TENM4
HMGA1,GM22925
CREB3,MANF
CREB3L2,ARHGAP29
MYBL2,PCOLCE
GATA6,PDCD4
POU5F1,GM8355
HIST1H1D,RHOX5
MYBL2,MIR3473F
XBP1,SPARC
SOX2,HIST2H2BB
SOX2,GM25040
BCL3,BMPER
FOXQ1,GM43535
DNMT3L,NUTF2-PS2
MYBL2,CEMIP
BHLHE40,GM27406
TFCP2L1,PCBD1
GATA4,MIR8091
CREB3,HMGA1
KAT2B,GM22988
KLF2,LRPAP1
TAX1BP3,STARD8
GATA4,MIR669J
POU5F1,PMM1
DNMT3B,GM24451
HMGA1,PODXL
KAT2B,F3
EPAS1,ME1
ESRRB,HIST1H2BL
NFXL1,SNORD65
NANOG,GM28900
DNMT3L,FXYD3
SOX2,GM26491
TAX1BP3,ITGA3
KLF2,GM3788
HIST1H1B,GM23344
ZFPM1,FLRT3
PML,GM22678
NR0B1,COL4A2
BHLHE40,TRP53
RBPJ,SPINK1
DNMT3L,CEMIP
KPNA2,RPL23A-PS3
HMGA1,GM25472
MYBL2,GM37376
NANOG,HIST1H3I
PML,ITPK1
GATA4,ANXA2
BHLHE40,SNORD93
TGIF1,RCC2
ESRRB,LOXL2
PML,RPL23A-PS3
HIST1H1B,LAMB1
TAX1BP3,GM20721
XBP1,GM37746
CCND1,HMCES
GATA6,NPHS1
DNMT3A,GM27743
DNMT3B,STXBP2
HIST1H1D,SOAT1
TAX1BP3,LRP2
POU5F1,GM14303
KLF2,RRM2
EPAS1,HIST1H2AF
ELF3,HIST1H3I
KAT2B,2210409E12RIK
PEG3,AY036118
ETV5,IGF2
DNMT3B,TAX1BP3
TFCP2L1,GM22862
KAT2B,TDH
TGIF1,LOXL2
GATA4,FGF4
JARID2,GM27592
HMGA1,GM25535
ETV5,DNMT3B
KAT2B,CTSA
HIST1H1B,LGMN
KLF2,NR0B1
DNMT3L,KDM5B
DAB2,PLAT
NFXL1,RRBP1
HMGA1,ASS1
DAB2,GM23130
DNMT3B,P4HB
TAX1BP3,GM26156
XBP1,GM23158
TFCP2L1,MAN1A2
NFXL1,MIR669G
HMGA1,KAT6B
EPAS1,2410141K09RIK
PML,GM27501
RBPJ,GM22678
ETV5,FAM25C
HIST1H1D,SPINK1
UTF1,GM25673
ZFP42,GM26318
KDM5B,GM24564
MYBL2,TFCP2L1
RBPJ,SPRY2
CCND1,NSD2
BCL3,HSP90AA1
ZFPM1,SNORD65
HIST1H1D,NID1
KDM5B,GM23130
NFXL1,SNORD85
PCBD1,GM25535
NFXL1,PTH1R
EPAS1,CCNG1
XBP1,VIM
KDM5B,CDC20
ZFP42,SURF4
PML,GM24761
ETV5,TET1
NR0B1,MYLPF
PML,GM24289
TGIF1,CREB3L2
ELF3,PMM1
PHC1,RPL23A-PS3
ELF3,MANF
SOX17,IFITM3
ZFP42,TET1
PCBD1,CCN2
BHLHE40,GM4322
BCL3,SLC26A10
SOX7,PTH1R
POU5F1,NSD2
ETV5,GM44390
TFCP2L1,FLRT3
SOX2,FOXQ1
BHLHE40,GM44335
PML,PMM1
NANOG,OPLAH
GATA6,GM23262
RBPJ,GM4322
BHLHE40,GM24916
GATA4,ZFAS1
ETV5,MIR677
TAX1BP3,LOXL2
BCL3,GM10925
ELF3,NID1
