TF,Target
GATA2,PYGL
JUN,SLC7A4
NFATC1,IER3
KLF10,ADA
KLF10,CD53
EYA2,CD52
NDN,ARHGEF18
MCM4,MCTP1
IRF7,BCLAF3
CTR9,IFI27L2A
NFAT5,MAP2K1
MEF2A,RASSF2
MEF2A,4930555A03RIK
KLF10,TRPC6
MCM4,MAGED2
MCM4,DUSP6
ZFP467,PNO1
PRDM5,MN1
CBX7,JUN
PRDM5,HEXA
XRCC6,CPQ
PML,UBL4A
PML,PRPS2
H1F0,CHRNB1
MED16,CTLA2B
NFATC1,PAQR5
CTR9,DPP4
TAF12,RFTN1
TAF12,QARS
ZBTB38,ABHD17B
VEZF1,SLC2A3
MEF2A,RNF125
MLLT3,VAV3
MED16,EPB41L4B
MCM4,TBC1D5
MLLT3,ZFR
PML,LCK
HIST1H1C,EMID1
TSC22D3,TBXA2R
GATA2,IL12A
TAF12,WFDC17
GATA2,SLC2A1
CTR9,BC035044
JUN,RHOH
NFATC1,EIF1AD
NFKBIA,NCEH1
MEF2A,ZBTB38
ARNTL,ARID5A
XPC,SH2D5
GATA2,GMFB
MCM5,OTULINL
GATA2,RASSF2
NDN,FLT3
NFAT5,MAGED1
CBX7,CAPN5
SLA2,MCTP1
NOTCH1,SH2D3C
SLA2,SLC2A3
NOTCH1,F2RL3
ZBTB38,TAPT1
NFATC1,PECAM1
CBFB,OCRL
NOTCH1,GBP2
SLA2,SESN1
MCM4,UMPS
JUN,RMND5B
CTR9,RHOF
MED16,FDFT1
MLLT3,GRINA
BTG2,RCSD1
CTR9,SH2D3C
NDN,PSTPIP1
SATB1,KCTD20
SLA2,CTSF
H1F0,CERS4
MYCN,LYN
NFAT5,ABHD4
NFAT5,NOTCH1
H1F0,CYP2J6
NFAT5,GM20559
CTR9,DUSP5
PRDM5,ZFR
RBL2,PRELID3B
PRDM5,EPSTI1
SLA2,CBX7
GATA2,NAPRT
MCM4,CD274
VEZF1,TCIRG1
MLLT3,FES
TSC22D3,BTG2
MED16,S100A6
PML,SLC44A2
NFAT5,KIF23
NFATC1,MAN2A2
H1F0,PANX1
MED16,ADGRG3
TAF12,CTR9
CTR9,GAA
NFKBIA,DPP4
ZBTB38,CTSF
JUN,TCIRG1
TAF12,HELLS
SLA2,WLS
ARNTL,ZFP945
CBX7,CD74
EYA2,NGLY1
ZFP467,PLIN2
MED16,ICAM1
H1F0,PIK3CG
MLLT3,NFATC1
CBX7,RNF13
H1F0,IL12A
RBL2,ATP2B4
SATB1,MTMR6
NFATC1,GMFB
CTR9,IL15RA
ZFP467,ABI1
ZFP467,ELOVL5
MCM2,PARP8
