TF,Target
CLOCK,PARVG
HOXA9,MSMO1
ELF1,ZFR
NFIA,MNDAL
GATA2,FRMD6
MIS18BP1,WFDC2
SPI1,LYN
MCM2,EIF3A
HNRNPAB,NCAPH
HIF3A,SLC22A3
TLE2,PLAC8
RBL2,TGTP2
ARNTL,NPDC1
TLE2,ART4
CLOCK,MGST2
TSC22D3,RASSF5
HIF3A,RAB38
LZTS1,TOP2A
ZBTB38,TMEM14C
KLF8,TOM1L1
CBX7,CD9
HCFC1,COL4A2
ANKRD6,KDM7A
SLA2,DUT
MIS18BP1,PTGS1
YBX1,GM28875
KLF10,DUSP2
MCM6,EPSTI1
THRB,MPO
ZBTB20,ENPP5
TLR4,SLC7A4
EYA2,PRKCH
RAD51,KCTD20
HDAC7,ROBO4
KLF6,TSPAN3
NR3C2,PHKB
NFKBIA,NCAPD2
RARB,ARID3B
MYCN,OBSCN
HIF3A,RPGRIP1
PA2G4,KIF20B
XPC,USP3
TRIB3,RRAS
NOTCH1,BIRC3
HMGB2,ME2
PHC1,CTSB
ZFP467,OASL1
KLF8,SPNS3
TSC22D3,MYO5A
NFAT5,HK3
H1F0,ANXA2
NFATC1,ZFP120
DEK,HNF4A
KLF6,ZBTB38
NAP1L3,SLC29A1
EGR1,RMND5B
RUNX2,CST7
ZFP111,PML
KLF3,ANXA4
TEAD2,HIF3A
SATB1,EMCN
NR3C2,PDZK1IP1
RBL2,INKA1
TRIB3,PRKCQ
RUNX2,GRAMD1A
PBX1,BTBD3
MYCN,PRPS2
CENPK,SDF2L1
NDN,JUN
PRDM5,CALHM2
IRF8,TMEM268
CD7,LDHB
TLR4,SYK
PML,CNP
ARID3B,TK1
PRDM16,NUP88
TRPS1,B4GALT6
EGR1,CDCA5
RORC,PDK3
CBFB,ANKRD33B
ZBTB20,GPR171
H1F0,UQCRFS1
NUPR1,RAI14
MCM4,RIPOR2
KLF3,TIMM50
HLF,GM8113
DEK,SYTL4
TLR4,GBP5
HMGB2,CTLA2B
YBX1,WBP1L
RARB,CTPS
BTG2,SNHG5
PBX3,CTLA2A
PA2G4,P2RX1
ELL2,CD9
MCM7,NAPSA
RBL2,ARRDC4
PRDM16,CISH
TCF19,SRGAP3
SOX6,SEMA3D
CTR9,MCM2
SOX6,CYBC1
MLLT3,IGHV1-77
CBFB,RIPOR2
KLF3,CSF2RB
LZTS1,TEAD2
CLOCK,GM8995
NFE2,MILR1
HOXA9,TFPI
HNF4A,ID1
CBFB,SLC6A6
NR3C2,CYC1
TLR4,MEIS1
CLOCK,HDAC11
MED16,TGM2
H1F0,MEF2C
NR3C2,CSAD
ELL2,ABCD3
RBL2,ABCG2
EGR1,SLC35B4
HIST1H1C,PLSCR4
NDN,SYK
VEZF1,ST8SIA4
NAP1L3,LGALS1
TRPS1,RAG2
SLA2,ALDH1A1
MCM7,USP3
MIS18BP1,PGRMC1
NUPR1,SELPLG
EYA2,MAP3K2
EPAS1,HIST1H1C
IRF7,SPO11
IRF8,PRPS2
YBX1,THRB
MCM5,GBP8
HNF4A,PDE4B
GATA2,MEIS1
THRB,MEIS1
PBX1,TMEM184C
EYA2,VEGFC
ARNTL,FECH
NAP1L3,PLXNA4OS1
MEF2A,TSPAN6
CLOCK,BCL2
ZFP467,NAGA
HLF,TPM4
MECOM,RRAS
MIS18BP1,ARHGEF18
VDR,GIMAP8
SMARCA2,GPSM1
NFKB1,RAB37
TTF2,SLC25A37
MCM6,BDH2
MYCN,NUP88
NDN,CENPE
HDAC11,SULT1A1
SMARCA2,ASB13
MAPK12,SARAF
SPI1,PDE12
RAI14,ATP13A2
GATA2,9030619P08RIK
DEK,KIF22
TTF2,NHP2
MLLT3,VAMP5
APBB1,IL18RAP
RBL2,UHRF1
IRF8,MSH6
NDN,C1QBP
MYCN,UMPS
MCM4,PRKAR2B
NFATC1,USP42
PRDM5,GEM
MCM7,ALDH1A1
CBX7,RDH10
MAPK12,1600014C10RIK
ANKRD6,SLC35B4
GFI1B,PLIN2
TSC22D3,FLT3
DEK,GM28875
KLF10,NHP2
MAML3,HAAO
RUNX2,JUN
TAF12,NUPR1
PHC1,TGTP1
SPO11,POMGNT2
IRF6,WFDC17
ELL2,FCGRT
MCM5,ANKRD44
EPOR,TTF2
SLA2,HLF
VDR,CD200R1
MCM4,EXOC3L
EYA2,IGHV1-77
TAF12,VEZF1
LDB2,TRMT6
NDN,RIPOR2
MCM6,CHRNB1
MCM4,STK10
VEZF1,OASL1
CBFB,DPP4
SLA2,PANX1
SOX6,CPXM1
ZBTB38,ESAM
MYC,GGT5
GATA2,MILR1
RAD51,CTSG
H1F0,INKA1
KLF6,ATP13A2
HNF4A,CFP
MAML3,FUT10
GFI1B,NEDD9
HIST1H1C,PDIA4
NFATC1,GM5111
NFAT5,PHC1
DACH1,PCMTD1
PHC1,PPIC
THRB,TRIM35
ZFP467,SLC35B4
E2F8,FNDC3A
EPAS1,ITPK1
MCM7,TOMM70A
NFIA,IL27RA
IRF6,ETS1
MLLT3,EXOC3L
GATA2,ITPR1
RORC,TIMP2
CENPK,NKG7
NAP1L3,EBI3
ZFP467,DEF8
MEF2C,ALS2CL
APBB1,SLC28A2
HOXA9,H2-Q6
CLOCK,MGAT1
MIS18BP1,OAT
AEBP1,MED16
MAPK11,TEC
PGR,S100A6
MYC,SLC25A37
XPC,YOD1
ESR1,LRP12
MIS18BP1,8430419K02RIK
TEAD2,EPSTI1
APBB1,EIF1AD
SPI1,SYK
RARB,SLC44A2
MCM6,DTL
FOXO1,PA2G4
HMGB2,LDLR
BATF2,ESAM
NAP1L3,SDF2L1
LZTS1,RP2
MCM7,LDLR
MCM6,B3GNT5
ZFP111,YOD1
MYC,DOCK11
IKZF1,LRRFIP1
EPOR,ATP2B4
ETS1,PPCDC
PRDM5,KAZALD1
HOXA9,CDKN1C
VDR,ATAD2
RAD51,CYC1
ELF1,WFDC18
NUPR1,TSPAN2
EYA2,PGRMC1
NFAT5,LSP1
MCM4,CD55
EGR1,MAGED1
ETS1,GCLM
E2F8,RBL2
RPS6KA5,FDFT1
ARNTL,GSTM5
RARB,SLC12A6
MCM6,XPC
IKZF1,GCLM
NUPR1,AEBP1
