TF,Target
MED16,MSH6
REL,ABCG3
NFATC1,NCF1
MAML3,TEC
BTG2,TMEM173
HDAC7,IL18BP
XRCC6,KIF20B
TCF19,PARP8
TCF19,SZT2
DACH1,D630039A03RIK
ARNTL,LYN
MYCN,SSH3
PRDM16,TPM4
EGR1,CYBC1
MCM2,AC174780.1
DACH1,FUT8
IRF7,SNAP47
RPS6KA5,JPT1
MCM2,SDC4
MECOM,CD48
PRDM5,ABCF3
CENPK,CYFIP2
MCM5,TMEM123
RBL2,EIF2S1
TLE2,CDC7
ARNTL,SLC35B4
HNF4A,HDAC11
REL,RNF122
EGR1,CD9
KLF3,EMCN
ZFP467,TMBIM1
HLF,ATP8B4
PML,ZFP120
NOTCH1,PDK3
GFI1B,SCARF1
EGR1,SELENOP
RBL2,H2-Q6
MAML3,TMEM14C
MCM4,SPTBN1
KLF3,PRNP
HNF4A,MTCH2
ZBTB20,NAV1
TLE2,FDFT1
IRF6,CDCP1
MYCN,FUT10
ZBTB20,TLE2
TRPS1,NAIP5
KLF6,FAAH
VEZF1,PLBD2
TLR4,TEK
ZBTB20,ORC6
ARNTL,ADAM17
SMARCA2,FBXO30
RBL2,CD53
BTG2,PRODH
VDR,GNG11
VEZF1,CD52
RUNX2,MSH6
EGR1,SLC2A1
MCM5,TGFBR1
IRF7,SPC24
PBX1,ITGB2
ETS1,CSF3R
TLR4,MUC13
PBX1,SHISA8
RBL2,FUT10
H1F0,MYOF
HDAC11,UAP1L1
CBX7,AC174780.1
HNF4A,VSIR
RBL2,4833407H14RIK
SMARCA2,CKAP5
TLR4,DCAF4
BTG2,RHOH
HCFC1,KRT18
KLF3,CTR9
XRCC6,JAM3
CTR9,TLR4
NFKB1,LDHB
HNF4A,CTSC
PRDM5,MCTP1
TLE2,SLC16A11
MEF2A,GAA
CENPK,HNMT
IRF7,ALS2CL
PRDM16,UBL4A
NFKB1,HNMT
VEZF1,PLEK
NFATC1,NAPSA
CENPK,LTB
CTR9,C130089K02RIK
RAI14,CYP2J6
HOXA9,PRNP
RPS6KA5,GM8113
IRF6,COL4A2
ELF1,ENPP4
HOXA9,PRKCQ
HNF4A,TLR7
KLF10,BACE1
DACH1,PDGFRB
ZBTB38,PTP4A3
PRDM16,MSMO1
ARNTL,KLHDC8B
NFATC1,SH2D3C
KLF6,ZFP422
EGR1,KDM7A
MCM2,NAV1
MECOM,SQLE
XRCC6,RUNX2
NOTCH1,VLDLR
PML,CD96
XPC,SELENBP1
IRF7,CAD
IRF8,WDSUB1
EYA2,TEC
EYA2,ABCD3
XRCC6,KCTD12
VEZF1,GIMAP8
MYCN,MCM4
NFKB1,FBXO30
NFKB1,LACTB
PRDM5,TAPT1
ZBTB38,ALDOC
PRDM16,IRF6
TRIB3,DCK
ZFP467,IGKV14-126
ZBTB38,GOLM1
PA2G4,HSPH1
REL,ANXA5
ZBTB20,IL18RAP
NFATC1,OBSL1
XRCC6,SLC35D3
MCM5,TTC39B
TRIB3,TBXAS1
NDN,BDH2
MCM4,C1RL
PBX1,EEPD1
CLOCK,NAV1
RBL2,MAST3
MAML3,STXBP1
HOXA9,ADAM17
ZBTB20,LGALS1
CENPK,SLC35A5
RAI14,TFR2
EYA2,ANGPT1
XPC,MIR17HG
MECOM,IFI203
HOXA9,GCLM
MEF2C,FSTL1
PRDM16,BTBD3
SATB1,CD300A
RAD51,WBP1L
XRCC6,FECH
IRF6,PREP
NFAT5,GMFB
MLLT3,NAIP5
