TF,Target
PRDM16,PTTG1IP
MCM6,MEIS1
NFIA,ARHGEF3
CTR9,H1F0
RPS6KA5,MECOM
NUPR1,ALDOC
VDR,ABHD17B
ZFP111,SLC39A6
NR3C2,MAML3
RORC,GM4951
CREB5,BCL2
IRF7,RNF141
HIST1H1C,TMEM173
IRF6,SERPINB9
ANKRD6,MAGED1
NR3C2,TNFRSF13B
NFKBIA,GYPC
REL,CDK19
DACH1,ADSSL1
ZBTB20,SH2D5
EYA2,GM1966
TEAD2,CASP2
MED16,GRAMD1A
BATF2,PARP8
RUNX2,BTK
CENPK,MAGED1
ZBTB20,GNG11
TCF19,TLE2
DEK,GGT5
KLF3,CD53
MCM4,RAD51
SLA2,CASP2
SLA2,MCTP1
NFE2,B4GALT4
EPAS1,VLDLR
RAD51,HELLS
CD7,TINAGL1
ANKRD6,VAV1
HIST1H1C,PREP
PHC1,SLC35B4
RARB,GM4759
ZBTB20,CBX5
TLR4,VAV1
FOXO1,MYCN
PBX1,CCL3
HLF,ITGAL
LZTS1,HDAC11
PBX1,CASP2
HDAC11,4833439L19RIK
PGR,ZMYM3
MAPK11,HOXA9
NDN,NUPR1
MED16,SLC2A3
TAF12,TBC1D5
NR3C2,UHRF1
TSC22D3,TCF19
TTF2,ITPK1
MAPK12,NFAT5
TLE2,HSPH1
SPO11,RFTN1
PA2G4,HACD4
RPS6KA5,PIP4K2A
MED16,KCTD20
PBX1,MYCN
PRDM16,MAP4K2
PML,ANXA5
AEBP1,4833407H14RIK
PHC1,DOK2
YBX1,SPI1
KLF6,ZFP467
IRF7,SLC12A6
VEZF1,DOK2
HMGB2,USP3
KLF8,OTULINL
MEF2A,NEAT1
MCM5,IGHM
E2F8,PBX3
TCF19,FDFT1
LDB2,PCMTD1
PGR,CTSC
ARNTL,GLB1
PHC1,PEAR1
PHC1,TXNDC11
NFKB1,EPOR
XRCC6,NFAT5
MEF2C,IL4RA
PML,ARHGAP15
SMARCA2,RASSF2
HNRNPAB,PANX1
HDAC11,TBXAS1
MEF2C,TRPC6
AEBP1,DUSP5
IRF8,RCC1
MYCN,ENPP4
IRF6,CALCRL
NR3C2,MUC13
GFI1B,AMPD2
PBX3,9530082P21RIK
MYCN,CBFB
RUNX2,MYCN
NFATC1,S100A6
RUNX1T1,WLS
ELF1,GGT5
ELF1,ADGRG3
BATF2,CYP4V3
PA2G4,RNASE6
MAPK11,IGHM
HIF3A,ITGA6
RARB,PROCR
TEAD2,PTGS1
ZBTB20,MAMDC2
RBL2,P2RX1
PBX3,GM20559
TRPS1,UBL4A
EYA2,CYP2J6
TCF19,BCLAF3
HOXA9,CD52
TTF2,PGR
KLF8,CYP51
SMARCA2,MLLT3
ID1,GRINA
AEBP1,SNX30
NFKB1,SAT1
SMARCA2,IRGM2
NFKB1,HELLS
NFE2,RBM18
KLF10,KCNK5
MCM4,ZMYM3
NDN,MIS18BP1
TCF19,LRRC8C
RAD51,INPP1
KLF10,MAGED1
XRCC6,VMAC
CREB5,SYK
HOXA9,FLT3
MIS18BP1,IL17RA
ZBTB38,TCIRG1
REL,MECOM
NUPR1,PLIN3
CTR9,HACD4
TEAD2,ART4
MAPK12,EIF1AD
NAP1L3,GNG11
NDN,IL27RA
THRB,HK3
YBX1,IRF8
TCF19,DCAF4
MIS18BP1,NFAT5
MAML3,TMOD3
RUNX2,SATB1
ESR1,TREML2
E2F8,ELF1
THRB,TIMM50
HOXA9,SSH3
DACH1,HEXA
MEF2C,ITGB7
MED16,ALS2CL
FOXO1,P2RY14
THRB,CYP51
KLF3,OCRL
MCM6,EYA2
TRPS1,TEAD2
RPS6KA5,TLR4
RBL2,ARHGEF3
MEF2C,TES
KLF3,ZBTB38
KLF6,IL15
HIF3A,ATP2B4
KLF8,IL15
MEF2C,LDHB
KLF6,IDH1
BATF2,TMOD3
MAPK11,OAS2
BTG2,RAI14
RORC,KLF6
LZTS1,PAQR5
BATF2,MN1
MCM5,BIRC3
CBFB,CREB5
SOX18,SCARF1
NUPR1,DEK
REL,MYC
HLF,EPAS1
ZKSCAN4,THRB
AEBP1,ZBTB20
SLA2,EPOR
DEK,ARHGAP15
NFAT5,PEAR1
XRCC6,EIF1AD
XRCC6,RNF38
LDB2,SELL
DACH1,SLCO3A1
ELL2,SATB1
TEAD2,TBXA2R
SLA2,MORC3
SLA2,HDAC11
THRB,PECAM1
NFE2,ART4
CBX7,MYO1G
HNF4A,CTSH
KLF3,SQOR
EGR1,SNAP47
NFIA,HIF3A
MECOM,RMND5B
ZBTB20,EPAS1
HOXA9,B230219D22RIK
MEF2A,H2-OB
ARNTL,PGLYRP2
RARB,PGR
PGR,UBE2L6
TLE2,MEF2C
ZKSCAN4,PLIN2
PGR,SNX10
MYCN,RNF38
ARID3B,SELENBP1
CLOCK,DUSP6
KLF10,E2F8
TSC22D3,RNF213
LZTS1,SPO11
MAML3,FECH
MYCN,NFKB1
REL,INPP1
PHC1,SLA2
ZBTB38,NFIA
PRDM5,GBP2
MCM7,CD274
ARID3B,ARHGAP15
GATA2,SSTR2
HIST1H1C,CD9
DACH1,TPST2
PHC1,TFR2
LDB2,RNF13
MAPK11,DUSP5
MCM4,HACD4
IRF7,GM28875
H1F0,HMGB2
KLF6,TIE1
MCM7,PYGM
EYA2,SYK
MCM7,SLC43A2
KLF3,RAB37
VEZF1,ESAM
EPOR,CEP70
EGR1,LZTS1
HIST1H1C,CYP51
NFE2,SLC6A6
PRDM16,SPO11
KLF10,IGKC
ELF1,GATA2
ARNTL,ATP13A2
YBX1,ESR1
RUNX1T1,PROCR
MCM7,FNDC3A
TCF19,UBE2L6
TSC22D3,PQLC1
MLLT3,USP3
MAPK11,C030034L19RIK
HNRNPAB,TAF12
ZBTB38,HEXA
NFIA,VEZF1
EPOR,GM28875
IRF8,NFATC1
TTF2,PGM1
ZFP467,DOCK10
AEBP1,2610307P16RIK
PML,DOK2
VEZF1,SERPINA3G
ETS1,4930555A03RIK
PGR,NCEH1
IKZF1,PROCR
TLR4,ASB13
TCF19,GIMAP8
HDAC7,MED16
MAML3,PBX1
REL,EPAS1
EPOR,PLXNC1
HNRNPAB,HLF
MECOM,RASA4
TTF2,PRDM16
RUNX1T1,MIS18BP1
NFKBIA,CD69
MCM4,CERS5
RORC,GSN
KLF10,MIS18BP1
MCM2,CTSH
E2F8,BCLAF3
YBX1,ALDOC
LDB2,GM1966
ANKRD6,ADSSL1
HIF3A,TLR4
MECOM,NAPRT
MEF2C,ABHD17B
HDAC7,NEAT1
MEF2A,CNP
RORC,MAPK12
E2F8,PTTG1IP
MED16,PAFAH1B2
HDAC11,SLC37A1
ID1,CBX5
MEF2A,RP2
MED16,DOK2
MEIS1,4930555A03RIK
RARB,NEURL3
NUPR1,BTG2
IRF6,ARHGAP27
KLF3,GATA2
TLE2,BIRC3
ELL2,SAT1
GATA2,CD200R1
RAI14,AC174780.1
FOXO1,CPQ
MAPK12,APOE
GFI1B,H2-OB
HLF,RHOH
MYCN,HDAC11
KLF8,ZMIZ1
TLR4,RORC
CD7,HCFC1
THRB,IRF8
CD7,GIMAP8
ZKSCAN4,HACD4
SOX18,B4GALT4
RUNX2,TCF19
IRF8,NFIA
NFIA,NCEH1
HOXA9,CD274
NUPR1,MYO5A
ARNTL,ZBTB20
PBX1,E2F8
MIS18BP1,ART4
EGR1,IL12A
TTF2,CERS4
VDR,HEXA
ID1,MECOM
H1F0,FAAH
APBB1,PLPPR3
ZFP111,CTLA2B
HNRNPAB,P2RX1
HDAC11,DUSP5
RAI14,LYN
RPS6KA5,GEM
HNF4A,NFE2
RORA,1600014C10RIK
LDB2,ICE1
RAD51,SSTR2
ANKRD6,GMIP
RAD51,NGLY1
CLOCK,CSAD
TLR4,ANKRD6
PRDM16,PDK3
MYCN,CBX5
HOXA9,SLC43A2
ZFP467,SLC44A2
HNF4A,MUC13
EPOR,RPS6KA5
XRCC6,ITGAL
IRF7,TNFRSF13B
LZTS1,ARHGAP18
IRF6,FLNA
KLF6,SNX10
KLF3,AEBP1
HCFC1,SELL
MCM4,ALDOC
TLR4,IER3
HIST1H1C,PLEK
ZKSCAN4,SQLE
PHC1,MED16
XPC,ADSSL1
HDAC11,C030034L19RIK
VDR,DNTT
REL,4833439L19RIK
KLF3,NUPR1
PRDM5,MPRIP
KLF8,TRMT6
ZFP467,HEXA
RORA,PLXNC1
SOX6,KCTD20
AEBP1,ZFP111
MCM2,AP1G2
E2F8,MORC3
PRDM5,FUT8
TEAD2,PML
ARNTL,TLE2
IRF6,HIST1H1C
HIF3A,ST8SIA4
MCM4,CD93
NFKB1,JUN
LDB2,IRAK3
IRF8,SLCO3A1
LZTS1,RORC
CTR9,FGGY
NFKBIA,SMARCA2
AEBP1,FUT7
E2F8,TESPA1
HNRNPAB,ARHGEF3
