TF,Target
NFATC1,SAT1
TAF12,SLA2
KLF10,CALCRL
PRDM5,MAGED1
H1F0,TCIRG1
PRDM5,APLP2
SATB1,RASSF5
PRDM5,RNASE6
IRF7,TAF12
MYCN,ITSN1
MLLT3,GAA
NFATC1,PRPS2
KLF10,RCN2
MLLT3,PLEK
GATA2,CYBC1
MYCN,SLC28A2
SLA2,ALDOC
TAF12,IFI27L2A
ZBTB38,PLCG2
PML,CTSS
CBX7,CYBC1
NDN,PRKCQ
VEZF1,PACSIN2
NFKBIA,DUSP1
TSC22D3,RCN2
TSC22D3,PRELID3B
MLLT3,PAQR5
MCM2,IL15RA
XPC,FUT7
MEF2A,SLC2A3
BTG2,SQOR
ZBTB38,CASP2
SLA2,CALCRL
MEF2A,ART4
ZBTB38,DDX4
SLA2,ANXA2
RBL2,UMPS
NOTCH1,SHISA8
NFAT5,TPST2
KLF10,CD9
TAF12,FUT8
TAF12,NFAM1
TSC22D3,RNASE6
MYCN,MYCT1
SATB1,PAFAH2
NDN,GATA2
H1F0,SQOR
TSC22D3,MSH6
MEF2A,SERPINB1A
KLF10,OBSL1
VEZF1,IL17RA
NFAT5,H1F0
PRDM5,STXBP4
MLLT3,GPRASP1
HIST1H1C,PIK3CG
TSC22D3,C030034L19RIK
SATB1,PIP4K2A
NDN,PLEK
XPC,PGLYRP2
EYA2,RBL2
CBFB,TESPA1
SATB1,CSF2RB
BTG2,PACSIN2
