TF,Target
ELF1,MYO1G
ELF1,IGKC
MCM4,MYO1F
REL,PLCB2
EGR1,FOXO1
RORA,GM4951
TLE2,CLOCK
ZBTB20,TMEM173
MEIS1,RBBP9
ZFP467,TSPAN14
MEF2C,TRIM59
XRCC6,BIRC3
PGR,RHOF
IRF7,KCTD12
CREB5,USP11
MCM2,SLC35D3
MCM4,FLNA
ESR1,PDE7A
HLF,IER2
KLF8,SSTR2
HDAC11,B4GALT4
E2F8,HNRNPAB
DEK,RMND5A
HDAC11,PARP8
YBX1,ETS1
GATA2,PQLC1
TRPS1,LDHB
RARB,MAPK11
MCM5,GM20559
ETS1,KCNK5
SOX6,RPA2
HDAC11,IL1R1
PA2G4,FOXO1
HDAC7,GMFB
RAD51,KLF3
MEF2A,NT5C3
MCM5,LRRC8C
IKZF1,TRP53INP1
HIST1H1C,PSTPIP1
H1F0,RUNX1T1
TRPS1,CTSF
E2F8,OAS2
NFKB1,PRKAR2B
VEZF1,HNRNPAB
VEZF1,APBB1
AEBP1,TRIB3
RBL2,ART4
CREB5,GM10384
EGR1,BCL2
SATB1,NUBP2
RARB,PARVG
ZBTB38,TRIB3
NR3C2,CREB5
YBX1,PRODH
SOX6,RASSF5
PHC1,CDK17
VEZF1,PDZK1IP1
LDB2,ANO10
CTR9,NFAT5
IRF6,ELOVL5
ZFP467,BCL2
HCFC1,ARHGAP27
XRCC6,PDE7A
MCM4,TMOD3
RPS6KA5,HELLS
MEF2A,NEAT1
NFE2,SCARF1
EGR1,OASL2
IRF7,KIF23
HOXA9,KLF6
NDN,SELL
GATA2,PSEN1
FOXO1,RTP4
MLLT3,PIP4K2A
ZBTB20,LYN
EPAS1,SPNS2
H1F0,MEIS1
VEZF1,P2RY14
E2F8,FOXO1
YBX1,EZR
ZFP111,SUGP2
EGR1,PRPS2
VDR,C030034L19RIK
GATA2,SLC35B4
GATA2,PIP4K2A
HNRNPAB,GATA2
PRDM16,MAPKAPK3
HMGB2,IKZF1
PRDM16,KIF23
TRIB3,GM1966
SOX18,BC005561
EGR1,FDFT1
PRDM16,EPB41L4B
DACH1,GRINA
HIST1H1C,ANXA4
NFKBIA,VSIR
PRDM5,MAPK11
XPC,FDFT1
SOX18,PROCR
PRDM5,MYO1F
ARID3B,ANO10
MED16,MAPKAPK3
TLE2,PYGL
MED16,NFKBIA
MCM5,IL12A
APBB1,RASSF5
ID1,EPOR
RUNX1T1,CD274
EYA2,HACD4
NFIA,PANX1
NUPR1,TAPT1
MCM4,9530082P21RIK
PRDM16,LRRFIP1
CENPK,PYGL
CLOCK,SAT1
IRF7,1700017B05RIK
TEAD2,HJURP
MAPK11,NUDT19
MIS18BP1,BIRC3
IKZF1,ABHD17B
MCM6,FLNA
JUN,CD74
REL,MYO5A
MYCN,GRAMD1A
CLOCK,DNAJC9
NFE2,IER2
SPI1,GRINA
RAD51,TNPO1
APBB1,INPP5K
EPOR,ANXA2
PHC1,RMND5A
EGR1,MORC3
LDB2,ELOVL5
ARID3B,IDH1
MAML3,DUSP6
KLF10,TAPT1
AEBP1,BCLAF3
RBL2,PGLYRP2
ZBTB20,BACE1
NUPR1,MGAT1
LZTS1,ASB13
HIST1H1C,EZR
PRDM16,CAPN5
PBX3,STK10
TEAD2,MYO1F
PML,ABCF3
EGR1,USP11
YBX1,IGKC
RAD51,RMND5B
EGR1,KLF6
DEK,NFIA
ZFP467,SELL
IRF6,SERPINB6A
RPS6KA5,IL27RA
IRF7,MYC
EPOR,EPSTI1
ZFP111,TBXA2R
CLOCK,ASB13
EYA2,SQLE
MAML3,ARID3B
ELL2,ZFP120
MEIS1,LIG1
PBX3,TESPA1
RBL2,HLF
LDB2,FLT3
XRCC6,PPT1
MCM4,EYA2
SPI1,NEAT1
HMGB2,RAB38
ELF1,PAQR5
GFI1B,MYCT1
PBX3,ESAM
HNRNPAB,TESPA1
XPC,CD9
PGR,ENPP4
NDN,SH2D3C
TAF12,CPQ
TCF19,PLA2G4A
IRF6,TES
RUNX1T1,KCTD12
MED16,PA2G4
MED16,GRAMD1A
YBX1,INKA1
PA2G4,DUSP1
E2F8,HELLS
PRDM5,AFF3
PML,NAPRT
VDR,CDCA4
RUNX1T1,CCL3
PML,MYO5A
AEBP1,PIK3CG
DEK,ITPK1
SPO11,HJURP
XPC,SLC18A2
IRF7,TSPAN14
CENPK,SGPL1
GFI1B,H2-OB
NFE2,FADS1
CENPK,SATB1
PBX1,TPST2
THRB,YBX1
ESR1,PIK3CG
MCM4,RAB37
VDR,YOD1
MEF2A,CSAD
