TF,Target
DNMT3L,EPS8
GATA4,CCNB1
ESRRB,GM25791
XBP1,TENM4
JARID2,GLIPR2
SOX17,TXNDC5
ETV5,MIR669A-3
CREB3,P3H1
PML,ZFP57
GATA6,STARD8
KDM5B,PCOLCE
ELF3,CREB3L2
PHC1,TPM4
DNMT3A,GM25835
XBP1,GM22411
UTF1,PDGFRA
NFXL1,TPM4
PHC1,SPRY2
DNMT3A,SNORD65
SOX7,SNORD33
TGIF1,MT-TP
BCL3,TMEM150A
XBP1,P4HA1
PHC1,GM37784
DAB2,CKB
NFXL1,GM28010
KLF2,GM12350
SOX2,SEC24D
KDM5B,HIST1H2BF
FOXQ1,PFKP
CCND1,MIR669G
TFCP2L1,B2M
KPNA2,GM10169
KAT2B,PMM1
XBP1,DUSP9
TGIF1,2210409E12RIK
GATA4,CMKLR1
NFXL1,CTSD
MYBL2,SNORD49B
TGIF1,TDGF1
ZFP42,PLAT
PHC1,STXBP2
HIST1H1D,HIST1H3I
CCND1,PSRC1
TFCP2L1,RCC2
NANOG,HIST1H2BG
PEG3,GM37376
RBPJ,SEC24D
PEG3,GM24564
TFCP2L1,LAMB2
MYBL2,MT-TP
TFCP2L1,VSIR
HIST1H1D,UTF1
HIST1H1D,UPP1
HIST1H1D,MYBL2
SOX2,GM23569
BHLHE40,ASS1
GATA4,GM10925
SOX7,GM27501
HIST1H1D,PLA2G1B
HSPB1,HIST1H2AI
SOX17,2210409E12RIK
GATA4,NXF7
BCL3,GM44310
SOX7,RNU73B
UTF1,CCND1
TGIF1,PHLDA3
POU5F1,GM25500
CCND1,ANXA2
SOX17,SPRY2
RBPJ,JAM2
BCL3,GM43558
PHC1,FAM25C
HIST1H1D,RCN3
SOX2,LEFTY2
HMGA1,GM25316
ELF3,BMPER
HIST1H1D,NANOG
NR0B1,MIR677
ELF3,CRIP2
HSPB1,RPL15-PS3
FOXQ1,GM28030
BCL3,SOX17
SOX17,RPS27RT
ELF3,RAB3IL1
CREB3,NR0B1
PCBD1,STARD8
HMGA1,HIST1H3H
DNMT3A,FLRT3
ZFPM1,LAPTM5
DNMT3L,RNF157
ESRRB,GASK1B
HIST1H1B,SLC25A5
BCL3,GM25701
HIST1H1B,HIST1H3H
DNMT3A,CTSZ
EPAS1,RASGRP2
GATA4,PLK1
DNMT3B,GM23651
NFXL1,GM22678
TRP53,TDH
XBP1,FGF4
SOX17,FLRT3
UTF1,FBLIM1
NR0B1,STARD8
KAT2B,CTSD
ELF3,STARD8
SOX7,DAB2
TRP53,GM47315
TRP53,SNORD70
SOX17,DKC1
DAB2,2210409E12RIK
ZFPM1,AU018091
KLF2,ZFPM1
SOX2,TFCP2L1
CCND1,GM23569
DNMT3L,P4HB
CCND1,LAMA1
KDM5B,GATA6
GATA4,RPL17-PS10
HMGA1,JAM2
CCND1,CTSL
DAB2,HIST1H2BN
TFCP2L1,GJB3
ETV5,F3
ZFPM1,GM22620
KLF2,GM4322
DAB2,NR0B1
CREB3,CRIP2
RBPJ,HIST1H3I
ETV5,MIR466B-4
CREB3L2,SNHG5
GATA4,GM9531
NR0B1,MIR8094
GATA4,FOXQ1
ZFPM1,LY6G6E
ZFPM1,RRBP1
ZFPM1,HTRA1
DNMT3A,GM12350
TFCP2L1,SLC7A3
TAX1BP3,SERPINH1
HSPB1,MT-TP
KPNA2,SLC2A1
BCL3,MME
DAB2,TET2
TFCP2L1,P4HA2
KPNA2,GM10719
MYBL2,UAP1L1
BHLHE40,FST
NR0B1,COL4A2
HSPB1,WDR45
DNMT3B,CTSL
DNMT3L,FLRT3
DNMT3A,SAT1
ZFP42,CST3
DNMT3L,MT-TP
KDM5B,AU018091
UTF1,GM24564
CREB3L2,SOX17
GATA6,PATJ
EPAS1,TET1
DAB2,CREB3L2
KLF2,BMPER
CCND1,SNORD65
HSPB1,SGK1
HSPB1,MIR669A-3
GATA6,ARHGAP29
DAB2,GM37376
KLF2,PHLDB2
ZFP42,GM28030
PHC1,SEPT1
BHLHE40,HIST1H3I
DNMT3B,SPRY2
HIST1H1D,IFI30
PML,ANXA2
SOX17,AY036118
FOXQ1,GM10052
EPAS1,SAT1
JARID2,APOE
DAB2,MIR669G
KDM5B,TUBB2B
TRP53,CHST15
ZFP42,XBP1
NANOG,SHKBP1
XBP1,SAT1
UTF1,MIR466B-6
BCL3,TFCP2L1
NR0B1,RHOX5
HMGA1,GM22571
MYBL2,ABHD5
HSPB1,NID1
UTF1,HSPA5
TFCP2L1,GM8355
PCBD1,MIR7005
BCL3,GM6136
DNMT3A,CALR
MYBL2,PDPN
NR0B1,GM26073
HSPB1,TUBB2B
TAX1BP3,TMEM150A
POU5F1,GM27326
HSPB1,SNORD93
KDM5B,SNORA81
BHLHE40,IL33
UTF1,TUBB2B
POU5F1,NDRG1
TAX1BP3,GM26447
XBP1,GM24044
UTF1,XBP1
TGIF1,GM27406
ZFP42,MIR3535
BHLHE40,SOX2
SOX2,SURF4
CREB3L2,NUP210
KLF2,GM42429
GATA4,LAMA1
ESRRB,GLIPR2
JARID2,PRSS35
NFXL1,TMEM150A
NFXL1,CTSZ
DNMT3B,GM10719
UTF1,SOX17
HIST1H1B,SNORD49A
GATA6,GM9531
