TF,Target
RBBP7,APOBEC3
TRIM28,OAT
EED,CALR
CBX7,MIR291B
ETV5,RUNX1
EPAS1,SNORD35A
TGIF1,GPX3
SOX2,MT2
DNMT3B,SETX
ETV5,IQSEC1
TGIF1,DKC1
SOX2,GM28030
MDM2,GM25835
RBPJ,GM44380
DNMT3A,GM25193
BTG2,ELOVL6
PML,AKR1B8
MCM6,SNORD35B
TRIM28,GM25535
RUNX1,EGR1
MDM2,TDH
KLF6,GM26917
PEG3,HIP1
HSPB1,GM23245
PCBD1,SNORA28
SUZ12,SNORD73A
ETV5,ATP6V0A1
BTG2,RBBP7
KDM5B,GFPT1
SOX7,ALPL
TFCP2L1,RPS27RT
TRP53,GM38009
DNMT3A,MIR669J
CBX7,EDA2R
KAT2B,RBM38
ZFP42,BNC2
PARP1,THBD
SOX2,GM23344
PHC1,HSPB1
ELF3,ZYX
ID2,GJB5
HIST1H1D,UBE2C
SOX7,HTRA1
NFXL1,APP
DNMT3B,GM7329
AKT1,GM22455
PML,DNAJC10
ESRRB,ETS1
GATA4,LEFTY2
PHC1,GM25787
PHC1,GM26229
SMAD7,MIR3473F
ETS1,MIR3473F
ETV5,PTH1R
TCF7L2,EIF2S2
DTX1,GM22678
EGR1,GM24564
DNMT3L,TCEA3
HMGA1,GM25701
ELF3,GPA33
KLF2,GM27390
JARID2,PDCD4
GATA6,CREB3
BTG2,PLAUR
GATA4,GM25117
DAB2,PDCD6IP
AKT1,PDCD4
TAX1BP3,ATP13A3
RBBP7,SNORA43
BHLHE40,HIST1H1B
MYCN,CDH1
ILK,GM22411
PHC1,RIF1
NR0B1,SNHG3
KLF6,TYRO3
GATA6,LY6E
SOX7,CAR2
KLF2,GM23833
DNMT3L,BMP4
ID1,CD81
DTX1,DKC1
NANOG,HYOU1
PEG3,SLC26A10
CREB3L2,RPP25
DNMT3L,TRP53
KLF4,GM37917
DAB2,ZFPM1
DNMT3B,FOLR1
MYCN,GM37746
DNMT3B,ATP13A3
KLF6,TMEM150A
NFATC2IP,GM28960
BCL3,GALK1
ZFP42,GM26156
HIST1H1B,EMB
DNMT3B,ALPL
ETV5,LOXL2
DNMT3B,MFSD1
DTX1,GM22677
EGR1,APOBEC3
AKT1,D230025D16RIK
ZBTB10,KIT
TRP53,ASAH1
KAT2B,FXYD3
GATA4,AMPD2
JARID2,SNORD34
PARP1,GM24497
TCF7L2,COTL1
PARP1,PLSCR1
BTG2,LDHB
NANOG,GM15452
SOX17,ZFP979
HIST1H1D,BMP4
CCND1,GM27743
GATA6,RBMS1
FOXQ1,XBP1
CREB3L2,UCHL1
CITED2,GM10259
NFXL1,AARS
PARP1,UNG
PARP1,HMMR
NFATC2IP,SLC7A5
BCL3,RNPEP
BTG2,HIST1H2BN
ILK,SPSB1
HIST1H1B,HIST1H1D
MCM6,ZFPM1
KLF2,GM44170
EED,CLCN2
EED,GM25472
DTX1,P3H2
EPAS1,ESRRB
EED,SNORD33
NFXL1,GM43002
MYCN,KHDC3
GATA6,BNC2
BTG2,ZFP42
TRP53,CTDSPL
AKT1,HSP25-PS1
PARP1,GJA1
PCBD1,ENO1B
CBX7,SLC16A1
