TF,Target
RBBP7,GM22200
TRIM28,UCHL1
TRP53,NUP210
DTX1,DUSP9
TAX1BP3,KDM5B
PARP1,IL33
BCL3,AQP8
ID2,ETS1
BMP4,SNORA65
MSC,GABBR1
FOXH1,SNORA28
XBP1,SNORA17
SOX2,VSIR
JARID2,VKORC1
DNMT3L,CHST15
BHLHE40,2410141K09RIK
RLIM,GFPT2
ELF3,HIST1H1B
CITED2,SLC6A8
KLF6,GM12350
SOX2,GM27773
EGR1,ZFP532
SMAD7,ODC1
RUNX1,HIST2H2BB
ELF3,LIFR
KPNA2,SFI1
HIST1H1B,FAT1
EED,APAF1
BTG2,RNPEP
TCF7L2,SLC38A2
NR0B1,MARCKS
HMGA1,VANGL1
HIST1H1B,CSTB
MSC,SPINK1
NR0B1,MANF
SOX17,GM22166
KLF6,GM23158
XBP1,GM27592
KLF3,BMPER
NR0B1,GM10780
MYCN,MGST3
DAB2,FGF10
DNMT3A,MYO1C
SOX7,AURKA
PHC1,NUSAP1
KLF4,SRGN
TGIF1,SLC16A1
CREB3,SNORD80
DTX1,AMFR
TFEB,GM22858
HMGA1,COL27A1
CCND1,RBPJ
MYBL2,TPX2
EPAS1,ADGRE5
RBBP7,GM15446
TCEA3,ADAM19
MYCN,AMOTL2
ID1,UCP2
BMP4,GM27743
ZFPM1,VAMP8
PARP1,GM43940
PARP1,GM24564
TFCP2L1,NR0B1
HIST1H1D,MID1-PS1
HIST1H1D,ACP6
ZFPM1,GM25451
HIST1H1D,SLC1A3
KLF3,CERS4
SUZ12,HSP25-PS1
HMGA1,GM24451
ILK,MIR3070B
CREB3,MIR8091
TCF7L2,NR0B1
CREB3,AURKA
NR0B1,GM33051
POU5F1,COL4A1
DTX1,RANBP17
TRP53,GM23262
KLF2,MIR3070B
DNMT3A,EIF4A2
UTF1,MIR669I
FOXQ1,DPP4
EPAS1,HIST1H3I
TFCP2L1,MCM6
EGR1,SNORD33
SOX7,SDC4
TGIF1,PNP
ZFP42,MIR291B
SMARCA2,NEU1
MYBL2,FXYD3
ID2,GM24564
ETS1,RCN3
HNF1B,LTBP4
MYCN,VKORC1
RLIM,GM10182
NFXL1,RUNX1
RLIM,MIR669A-2
SMAD7,DNMT3L
NFATC2IP,GRB10
CREB3L2,GM49347
PEG3,SERPINH1
GATA6,GM10698
SMAD7,PNP
ZFP42,GM22620
FOXH1,ATP6V0B
SMAD7,GAS6
MCM6,RNF157
TRP53,ADGRE5
UTF1,GM22748
KAT2B,HIST1H2AF
GATA6,GM24497
DNMT3B,PMM1
BCL3,ELOVL6
AKT1,GABBR1
CITED2,SNORD83B
EHMT2,CMKLR1
DNMT3L,TXNDC5
HMGA1,PLK2
BCL3,GM45105
BCL3,KLF3
KLF2,GM22468
MSC,GHR
RLIM,CD81
SOX7,CDH1
TCEA3,CTBP2
XBP1,HIST1H4K
KDM5B,GM22858
DAB2,LRPAP1
TAX1BP3,GM28010
EED,SNORD80
DAB2,RANBP17
SOX17,HIST1H2AP
NFATC2IP,RRAS2
ILK,GM23136
ELF3,SMS-PS
MYCN,NPHS1
EHMT2,NEU1
CITED2,KRT42
GATA4,GM7329
RBPJ,CDKN1A
AKT1,COLGALT1
PML,SPRY4
DNMT3A,CCND1
ELF3,ITGA3
ZBTB10,GM26387
KLF3,MIR763
XBP1,CERS4
FOXH1,AQP3
NFXL1,HK2
ETS1,RPS27RT
MDM2,VILL
DTX1,GM10108
PHC1,HIST1H2AP
EED,RBPJ
PARP1,SNORD83B
GATA6,BNIP3
KLF4,GM27415
HSPB1,AMFR
NFXL1,GM6136
DNMT3A,AURKA
MSC,PLAUR
TFEB,GSR
PEG3,GSN
KPNA2,VANGL1
BMP4,GM24330
ETV5,COL27A1
KLF6,HIST1H1D
MYCN,EIF2S2
RLIM,ESRRB
FOXQ1,GRB10
MYBL2,TGIF1
BMP4,HIST1H1B
GATA4,LAMB1
BHLHE40,GM37376
HIST1H1D,SNORA28
EGR1,FXYD3
MCM6,ARHGEF40
GATA6,BHLHE40
BCL3,MCM6
KLF3,PNRC2
BCL3,GM6594
KPNA2,SPARC
PML,GABARAPL2
HIST1H1B,RPS25-PS1
MDM2,SPP1
MCM6,ENAH
NANOG,SNORA41
HIST1H1B,EPAS1
MDM2,GM26426
SOX7,NEU1
BTG2,GM26448
MYBL2,SNORD87
RBPJ,PRDX1
HIST1H1D,GM42429
ETS1,ZFAS1
EHMT2,MT-TF
SMARCA2,RAB11A
CBX7,GM27624
TFCP2L1,MIR291B
DNMT3A,EPHA2
DNMT3L,ADAM19
CBX7,NANOG
FOXQ1,GM27415
RLIM,PLAT
SUZ12,MIR3082
AKT1,TXNIP
ETS1,GM10169
DNMT3A,GM24289
CREB3,MIR669A-2
CREB3,GM10182
HNF1B,GM26229
SUZ12,SNORD110
HIST1H1B,AMFR
EGR1,KPNA2
RUNX1,SNORD85
AKT1,TXNDC12
KLF2,MIR7005
TCEA3,GM44330
NR0B1,GNG10
PEG3,NRG1
XBP1,GM37784
RUNX1,HSP90B1
CBX7,GM27406
MCM6,OPLAH
BTG2,FDPS
CREB3L2,APOBEC3
PEG3,GM45105
PCBD1,TCEAL9
CREB3L2,TET1
HSPB1,HIST2H2BB
TCF7L2,CCNE1
RLIM,SLC20A1
KLF2,HK2
MCM6,GM10780
MSC,HIST1H2AK
ELF3,GJA1
BHLHE40,SNORA3
ID2,UHRF1
FOXH1,MYH9
GATA4,DNAJC3
ETS1,GABARAPL2
HMGA1,PDCD6IP
KLF4,SNORD49A
ZFP42,TUBA4A
CITED2,COBL
CITED2,MIR669A-1
ID2,CAR2
SOX17,CARMIL1
AKT1,MIR295
TRIM28,KRTCAP2
XBP1,DAB2
MSC,MIR6357
MDM2,MRPL23-PS1
HIST1H1B,DPPA4
JARID2,WDR1
TCEA3,EMP2
HNF1B,PDCD4
FOXQ1,ACP6
TFEB,GM23946
FOXQ1,PLEKHA7
RLIM,ARHGEF40
PHC1,PLXNB2
SMARCA2,GPA33
KAT2B,TRIM2
BMP4,LRRC8D
NR0B1,PLA2G1B
KLF6,VEGFA
AKT1,GM25195
DAB2,ZBTB10
