TF,Target
ILK,GM38009
HNF1B,RSRP1
TAX1BP3,HMMR
POU5F1,GM23566
KLF6,ZFPM1
CITED2,GM3724
ZBTB10,SLC25A5
PARP1,STAG3
DNMT3A,FAT1
DNMT3B,SAT1
NFATC2IP,GM44170
TAX1BP3,ALG13
TAX1BP3,RBPMS2
HMGA1,PSRC1
RUNX1,GM24044
KLF2,RENBP
JARID2,GM43110
RBBP7,IGF2
FOXQ1,CALD1
CBX7,GNPTAB
EED,HDLBP
ZBTB10,GM23569
TFEB,CCND1
JARID2,MIR669A-2
KLF6,CALD1
EGR1,CMKLR1
MYCN,GM24330
RBBP7,FGF3
TCF7L2,PLXNB2
HSPB1,NSD2
BMP4,SLC1A5
XBP1,LIFR
KLF3,MIR7005
DNMT3A,HSD17B14
ZBTB10,GM27773
NFATC2IP,GM26431
RUNX1,GM23988
GATA4,ID1
TFEB,MCM6
HIST1H1B,SLC6A6
XBP1,GM23368
RLIM,MIR5117
HIST1H1D,CRELD2
ETV5,HSPH1
ID1,GM43590
RUNX1,JARID2
PML,GM38009
DNMT3L,GM24916
SOX2,MIR3091
UTF1,MIR669F
XBP1,EPHA4
SOX7,SORD
MCM6,TUBB4B
KLF4,SNORA3
JARID2,SEC23A
ZBTB10,PML
DNMT3B,GM24339
SMARCA2,GM26493
HIST1H1D,ESRRB
DNMT3A,GM12276
MYBL2,DDX21
KLF2,KDM5B
NFATC2IP,GM24523
DNMT3B,MSL3
KAT2B,FOLR1
EHMT2,PIK3R1
FOXH1,FXYD6
MDM2,HK2
CREB3L2,MT2
ID1,FBXO5
PCBD1,JARID2
SMAD7,GM23632
DTX1,ODC1
BTG2,GM22166
CBX7,GM24616
TRP53,CKB
RLIM,S100A6
PCBD1,CHCHD10
DNMT3L,MIR466B-4
TGIF1,MIR466N
TRP53,LDHB
HIST1H1B,SNORA73A
FOXQ1,GM22353
ESRRB,PDE4DIP
KLF6,LTBP4
CCND1,ARIH2
MSC,FLRT3
EHMT2,AMFR
ETS1,SNORA3
TAX1BP3,HSP90AA1
PML,P4HA2
ELF3,GM23413
ZBTB10,MIR669K
BCL3,SLC1A5
HIST1H1B,GM10052
JARID2,SLC5A11
EGR1,TINAGL1
EHMT2,CHCHD10
TAX1BP3,FOXH1
BHLHE40,GM24451
NFATC2IP,GM37404
POU5F1,GM44364
CREB3,NUP62CL
FOXH1,FDPS
PML,IFI30
FOXH1,GM25791
BTG2,GM10698
POU5F1,GM26092
PARP1,SNURF
HIST1H1B,DPP4
NFXL1,GM22914
AKT1,SNX2
HIST1H1D,GSTA4
MCM6,GM42429
MSC,HIST1H2AI
DAB2,GM42845
CREB3L2,GM24330
MYBL2,DPPA2
FOXH1,GM3470
KLF2,BUB1B
ILK,MIR6928
BHLHE40,CCNE1
EED,SNORD32A
FOXH1,GM15247
FOXH1,GM43535
KLF3,CDCA7
RBPJ,SMS
TFCP2L1,SNORD72
BMP4,MIR1949
PML,PHLDB2
BHLHE40,MIR3082
ELF3,GLUL
CBX7,ABCC5
BCL3,SOCS2
AKT1,UTF1
DNMT3B,MIR467C
MDM2,GM3788
DNMT3B,SNORA28
CBX7,GM25960
MCM6,PRXL2A
MYCN,MGST3
GATA4,SOX7
DNMT3L,KDELR3
DNMT3B,HIST1H2BK
TCF7L2,SRI
SUZ12,TRP53
SOX7,ETL4
KLF6,FOXQ1
TRP53,IDI1
CREB3L2,RPL17-PS10
MYBL2,CD81
SMARCA2,BEX3
PCBD1,GM44206
HIST1H1D,GM12276
ZBTB10,SERPING1
HSPB1,FKBP11
AKT1,PNRC2
TFEB,GM21860
ETS1,GM15459
MCM6,HYOU1
KLF2,AURKA
MSC,GM43535
TFCP2L1,RUNX1
XBP1,GM14303
KDM5B,GM45213
BHLHE40,ARF4
NFATC2IP,GM10182
KLF4,SNORA41
KLF6,GM10719
TRP53,RIAN
XBP1,CCNE1
NFATC2IP,CLDN6
KPNA2,COBL
DTX1,GM22455
DNMT3A,LY6E
EGR1,GM25791
EPAS1,TRIM2
HIST1H1B,LAMC1
EED,PRC1
CITED2,TGM1
CREB3L2,MYO18A
KLF6,GM22468
RUNX1,SNORA21
AKT1,MYBL2
EPAS1,ACP6
KPNA2,EIF4A-PS4
BCL3,MFGE8
MDM2,GM26448
NFXL1,GATA6
PCBD1,COLGALT1
KLF2,PDCD4
SMARCA2,STMN1
HIST1H1B,CCND3
TGIF1,RBPMS2
EGR1,GM15247
BCL3,MIR1949
NANOG,GM26165
DAB2,MIR3082
PHC1,LEFTY1
CCND1,TUBA4A
TAX1BP3,GSN
BTG2,RRM2
BHLHE40,GM12276
XBP1,JPT1
KLF4,TMEM144
XBP1,SORD
EGR1,NDRG1
ID2,HIST1H2AH
ELF3,TFEB
BMP4,GM37746
KLF4,MIR669I
CITED2,2410141K09RIK
ID2,ISYNA1
KLF6,FBLIM1
NFXL1,GM27520
DNMT3A,PIK3R1
GATA6,SNORA21
KDM5B,GNPTAB
BTG2,GM24494
ZFPM1,ST5
CREB3,GM49347
TAX1BP3,GM27743
ETS1,RRBP1
SOX7,LY6E
MSC,GM26165
TGIF1,RCC2
PHC1,TRP53
KAT2B,MYO6
NFXL1,MYLPF
ID1,ENO1B
DTX1,TCL1
BHLHE40,GM9531
MSC,ESRRB
TRP53,GM27743
NFXL1,F2R
SOX17,PDE4DIP
PEG3,RPL22L1
EGR1,KLB
BTG2,MIR5117
HIST1H1D,GM17545
TGIF1,CALCOCO2
PARP1,UBE2C
EHMT2,ABCC5
TCEA3,ELF3
DNMT3L,MYH9
DAB2,GM27501
EPAS1,GM20721
EED,TET2
SMAD7,NDRG1
TFEB,GM22620
ELF3,FGF10
CITED2,MIR1905
TFEB,MIR677
EED,HSPH1
KLF3,SLC45A4
ID1,MEG3
EED,CDH1
KAT2B,TCF7L2
EPAS1,HIST1H2AN
AKT1,SNORA74A
ILK,OAT
PARP1,GM12350
ID1,GM22411
TGIF1,GM22925
CCND1,GM8355
BMP4,MIR669D
SOX17,CRELD2
NFATC2IP,MCM10
MDM2,GPX3
ZFPM1,SNORD65
NANOG,CRYBG2
SOX7,AMFR
XBP1,NEDD4
XBP1,P3H2
PARP1,APP
ZBTB10,GHR
NANOG,SNORA65
ILK,EFEMP2
HSPB1,HMGA1B
KAT2B,GM6158
ELF3,LDHB
DNMT3B,SNX1
HMGA1,GNPDA1
TAX1BP3,2200002D01RIK
BHLHE40,GM22988
CREB3,CTSD
ID2,MSI2
AKT1,GM28900
ID1,HIST1H3H
MCM6,FXYD6
GATA4,SEMA4C
ETS1,MDN1
DNMT3B,CTSZ
KDM5B,PMM1
KLF3,GHR
DNMT3L,MSMO1
MDM2,GM23632
TCEA3,CDC20
PCBD1,TOP2A
MSC,CRYBG2
TFEB,RBMS1
