TF,Target
CREB3L2,FOXQ1
TFCP2L1,FN1
TCF7L2,LDLRAP1
MYBL2,FOXH1
KLF2,ECHDC2
MYBL2,TOP2A
MYCN,DENND2C
KLF3,FGF10
ESRRB,RRBP1
ZBTB10,GM38312
XBP1,GM2399
NFXL1,ESRRB
TCF7L2,SLC1A5
MSC,GLIPR2
KLF6,SELENOK
FOXQ1,CSRP2
FOXQ1,MYBL2
BHLHE40,FZR1
EPAS1,MIR669E
TFCP2L1,COBL
ESRRB,GAS6
KLF2,2410141K09RIK
KLF3,MIR3070B
SOX2,F2R
TCF7L2,GM24523
GLMP,GM25316
GATA4,SNORA73B
BHLHE40,ZYX
ZFPM1,GM37746
HNF1B,HELLS
GATA4,CENPV
ZFP57,MIR7005
ZFPM1,CTNNAL1
EGR1,ELF3
TET1,GM10719
ZFP57,VKORC1
PLSCR1,CENPV
HMGA1,DNAJC10
ZFP42,SNORD70
BNC2,SNORD72
KLF3,GM43107
MYBL2,RFFL
ZBTB10,HIRIP3
BHLHE40,JAM2
PEG3,RPL23A-PS3
ZFP42,SNHG5
TET2,CYP26A1
GATA6,FGF4
EPAS1,TSPAN9
KLF2,GM44380
ETV5,GM4322
RBPJ,ZFAS1
GATA4,FLNA
SOX7,NANOG
PLSCR1,GM23245
XBP1,GM26426
KLF6,STAG3
TGIF1,GLIPR1
CREB3,GM8355
MSC,SNORD33
ETS1,GM24616
ZFPM1,GNPDA1
ETS1,GM8818
ZFP42,RIF1
TFCP2L1,GM44380
SOX2,AGPAT4
PLSCR1,RPL15-PS3
CREB3,FRMD4A
EPAS1,GM23245
KLF6,CAR2
ETS1,SNORA73B
KLF3,GM15452
BNC2,ARHGEF40
KLF3,GM42413
TCF7L2,RRBP1
SOX2,COTL1
ZFPM1,CTDSPL
SOX2,GM43108
TFEB,ZFP979
PEG3,GM27501
TFEB,GM7993
KLF4,SNORD33
EPAS1,MSC
KLF3,RBBP7
BHLHE40,LY6G6E
KLF6,OPLAH
SOX2,DKK1
TET1,SLC38A4
RUNX1,ZBTB10
KLF4,TTC7
SOX17,1810032O08RIK
EPAS1,CALR
TCF7L2,GM44429
KLF6,GM5616
GLMP,SNHG5
TFEB,IFITM3
EGR1,KRT42
ZFP42,DAB2
TGIF1,ACTG1
ETV5,ADGRE5
TCF7L2,TINAGL1
GATA4,HIST1H4D
FOXQ1,CD63
KLF2,SSR3
SOX7,MIR763
CREB3,KRT17
ETS1,MIR5121
KLF4,MIR8094
ZFP42,CCN2
KLF3,GM24339
ESRRB,SPSB1
TCF7L2,GM24761
KLF6,TINAGL1
GATA6,SFMBT2
TFCP2L1,TTC7
MSC,SNORD72
TGIF1,CENPV
ZBTB10,CAR2
ZFP42,SNHG12
ELF3,GM23571
SOX17,IFITM1
KDM5B,RIF1
HMGA1,FOLR1
PLSCR1,MEG3
PEG3,GM10052
EPAS1,ZC3H7A
HNF1B,STAG3
GLMP,SERPINE2
PEG3,SLC25A5
FOXH1,MIR3082
BHLHE40,HSPG2
BHLHE40,GM22030
GATA4,HIST1H2BG
MYBL2,PEG3
KDM5B,SLC6A6
GATA4,GM26156
ETS1,SERPINE2
HNF1B,GABARAPL2
POU5F1,PTH1R
GATA6,TGIF1
PLSCR1,LRRK1
HNF1B,TGM1
NANOG,GM23639
CREB3L2,ZFP532
ETV5,ACP6
SOX7,HSPH1
MYCN,GM24289
ESRRB,ABHD5
GATA6,UBQLN2
ETS1,DAB2
MYCN,FBXO5
MYCN,GM23988
ETS1,KLF6
FOXQ1,GM22620
FOXH1,P4HA2
TCF7L2,GM22030
PLSCR1,ZFYVE21
ELF3,PML
TGIF1,ZFP987
FOXH1,GM22988
ESRRB,EPHA4
SOX2,MIR669K
PLSCR1,PARVB
BHLHE40,ARHGEF40
NR0B1,LRRC8D
SOX17,TCN2
GATA6,GM25636
GATA4,GM26431
TFEB,MSMO1
TFCP2L1,ZFP989
FOXH1,CRELD2
KLF3,FXYD3
KLF3,ABCC5
GLMP,SNORD93
KLF4,HNF1B
MYCN,SNORA21
BHLHE40,GM15899
KLF6,MIR5117
RUNX1,HIST1H1A
NFXL1,CCN2
TET2,LRRK1
TCF7L2,GJB5
EGR1,RCC2
BHLHE40,SMAD7
NANOG,DKK1
KLF6,HS3ST1
SOX7,MIR28B
PEG3,CTSD
ZBTB10,SLC20A1
RBPJ,PLSCR1
ZFPM1,MID1-PS1
BNC2,HIST1H2AL
RUNX1,PDCD6IP
ZFPM1,HIST1H2AC
FOXQ1,SDC4
HNF1B,SLC38A4
NFXL1,LEFTY1
NFXL1,VILL
TCF7L2,GM33051
MYBL2,COTL1
TCF7L2,ADAM19
GLMP,EED
TFEB,ADGRE5
XBP1,MIR3091
NANOG,LRRC2
GATA4,DCXR
KLF3,GM27390
NR0B1,GJB5
ZBTB10,GM22620
MYCN,EHD1
ZFP42,ABHD5
RBPJ,GM23566
PEG3,LGALS3
TFEB,GM15181
SOX7,GM21860
KLF2,ZFP42
ETV5,ESRRB
PLSCR1,PTH1R
EPAS1,GM10012
RBPJ,AKR1B3
GATA4,PROS1
MYBL2,RRM2
RBPJ,PLK2
KDM5B,TAX1BP3
ZFPM1,HSP90AA1
TFEB,MIR7003
KLF2,UCP2
NR0B1,GSR
TET1,RPL17-PS10
RUNX1,KLF6
RUNX1,P4HA1
SOX17,SNORD93
ELF3,GM23600
ZBTB10,GCLM
CREB3,MIR297A-2
KLF6,SNHG12
GATA6,MIR6928
MYCN,SNX1
ZFP57,HIST1H4K
GATA6,TPM4
TET1,BNIP3
KLF3,SLC6A8
MYBL2,TPM4
ETV5,DNMT3L
ZFP42,ASAH1
TCF7L2,GM10169
ETV5,GM44346
ZBTB10,SNORA17
SOX7,IFITM2
TFCP2L1,PIK3R1
EGR1,ZFPM1
RUNX1,AMPD2
KLF4,PDE4DIP
TET1,LGMN
RBPJ,HIST1H1B
KLF4,RPS25-PS1
GATA6,GLMP
RUNX1,RRM2
KDM5B,LRRC8D
CREB3L2,NR0B1
XBP1,SEC23A
HMGA1,VSIR
KDM5B,GM44170
EPAS1,GM23497
MYBL2,GM25117
ESRRB,TPD52
BNC2,GM28010
ZFP42,GM25193
RBPJ,CCND3
PLSCR1,CCND2
TCF7L2,MIR669E
MYCN,MIR28B
SOX2,TNK2
ETV5,ARF4
RBPJ,PMM1
GATA6,RAB3IL1
RBPJ,IL6
PLSCR1,TMEM9
HNF1B,GM22051
TGIF1,MKRN1
HNF1B,GM44206
GATA6,PDIA4
BNC2,TUBB6
TFCP2L1,GM24761
SOX17,GM25943
RUNX1,LRPAP1
ZFP42,TNK2
HNF1B,STARD10
HNF1B,HIST1H2AP
ZBTB10,PLXNA1
CREB3,GM25057
HNF1B,RUNX1
ESRRB,COL4A2
KLF6,HIST1H2AH
KDM5B,TXNIP
POU5F1,WDR45
KDM5B,SPOCK1
ESRRB,GM10718
XBP1,GM26229
FOXQ1,GM15421
TFCP2L1,GM22914
MSC,RBPMS2
KLF6,GHR
ZFP42,HIST1H4N
PEG3,MT2
BHLHE40,FLNA
FOXH1,GM10719
EGR1,MCM6
NANOG,P4HB
TGIF1,RIAN
TGIF1,KANK3
KLF4,MDM2
ZFPM1,TSPAN9
CREB3,GM22353
GATA6,GM42429
ZFP57,HMGA1
XBP1,PLTP
KLF3,HIST1H2BL
SOX17,MPP1
PEG3,HIST1H3I
KLF4,GM22411
TFEB,CDC42SE2
TFCP2L1,AF357399
RUNX1,SNORA81
SOX17,GM23632
PLSCR1,HIST1H2AK
POU5F1,BCAM
ETS1,STAG3
BHLHE40,FOXQ1
SOX2,GM47315
XBP1,TYRO3
SOX2,PARVB
NANOG,ADAMTS9
FOXQ1,TFEB
TET2,GM10259
SOX17,FLNA
ZFP42,GM27743
ETV5,GFPT2
MSC,GPA33
FOXQ1,GM24044
FOXH1,GM25316
TET2,RPL17-PS10
HMGA1,PRXL2A
CREB3,ECHDC2
KLF4,ZFP989
KLF3,RAB11A
CREB3,SNORA17
XBP1,GM26491
SOX17,PLK1
EGR1,ZBTB10
GATA6,PCOLCE
GATA4,RNU73B
ETV5,PTH1R
ZFP42,RPS25-PS1
TET2,GM22677
EPAS1,MYO18A
POU5F1,GAS6
RUNX1,GM23245
FOXQ1,NEU1
RUNX1,CKB
ZBTB10,GM24616
TET2,TDH
SOX7,GM44364
TFEB,NUTF2-PS2
TET2,GDPD5
TET1,HIST1H2AC
ZFPM1,ID2
NR0B1,CCND1
FOXH1,GRB10
KLF2,CTSD
ZBTB10,RNU73B
SOX2,DDAH2
TGIF1,GM49369
RBPJ,MIR466B-6
MYCN,GM22748
HMGA1,MRPL23-PS1
ELF3,GM38009
KLF2,GM24523
HMGA1,GM26073
SOX2,UBALD2
NFXL1,MANF
NANOG,GM22571
GATA4,AMFR
ETV5,LDLRAP1
RBPJ,GM21860
TET2,GM4617
BNC2,SLC25A5
XBP1,MIR5117
KLF6,CEMIP
ZFP57,ME1
FOXH1,SLC20A1
NANOG,JAM2
PLSCR1,GM38009
KLF6,GM22281
TET2,HYOU1
PLSCR1,GATA4
TET2,MIR466B-6
XBP1,BHLHE40
RBPJ,GM23542
PLSCR1,LY6E
TET2,UBE2C
KLF6,FRRS1
NANOG,HIST1H4N
MYBL2,PATJ
HNF1B,PLK2
FOXH1,COL4A2
ETS1,SNORD110
POU5F1,GM15452
ELF3,VKORC1
MSC,RRAS2
CREB3L2,RRM2
TGIF1,RHOX5
SOX2,KRT8
KLF4,TDH
FOXQ1,TENM4
MYCN,MCM6
CREB3L2,P4HA2
KLF4,GDPD5
ZFPM1,MAN1A2
POU5F1,P4HA2
NR0B1,GM28010
KLF3,DPP4
EPAS1,VSIR
TFEB,GM24761
TFEB,GJB3
CREB3,ENAH
MSC,CRELD2
MYBL2,2810025M15RIK
EPAS1,GM22620
SOX17,TDGF1-PS1
FOXQ1,GM43110
TFEB,GM26287
CREB3,MIR467C
SOX17,RESF1
XBP1,GM26447
KLF2,APAF1
ETS1,WDR45
BNC2,RNPEP
POU5F1,GM43558
TCF7L2,SNHG12
ESRRB,ENAH
POU5F1,ADGRE5
KDM5B,MIR669A-1
BHLHE40,NRG1
GATA6,LRRK1
NFXL1,PML
ESRRB,GM27326
TGIF1,SEMA4C
ZFP42,MIR6357
KLF2,GM27624
HNF1B,ABCC5
ELF3,COMMD3
KLF4,CCNB1
PLSCR1,HIST1H2AC
CREB3,GM10108
BHLHE40,GM24339
GLMP,LRRC8D
MSC,GM17545
MSC,GM23566
TGIF1,EIF4A-PS4
FOXH1,FAT1
SOX2,TMEM9
TET1,PDE4DIP
KLF4,CDCA7
TFEB,RAB11A
ZFP57,GM15247
TET1,TMED2
GATA6,GM25500
