TF,Target
PHC1,ELF3
ESRRB,LRRK1
ZFP42,SNORA68
JARID2,MAGED1
HNF1B,SLC25A4
KLF6,GM7993
MCM6,GM25787
ELF3,CLDN6
EPAS1,TUBB4B
PCBD1,GM10925
KDM5B,ULK1
DAB2,PRPS2
MYBL2,GM43535
FOXQ1,GM10184
KLF3,GM27326
CITED2,SNORD93
RBPJ,EED
PCBD1,GM25680
CREB3,CNN2
PML,UBALD2
MYBL2,FGFR3
NFXL1,GM37376
CCND1,GM27390
ZFP42,MYO7A
SOX2,GM24564
GATA4,SNORD33
FOXQ1,GM24315
KLF2,LAMA5
PCBD1,MEG3
TRIM28,RPS27RT
DAB2,SPSB1
MCM6,GM43587
MYBL2,GM22468
TFEB,SFMBT2
SOX17,BEX1
HIST1H1D,BHLHE40
FOXQ1,GM23497
DNMT3B,OAT
KLF3,FN1
ESRRB,RBPJ
BMP4,MT2
UTF1,PRDX4
PML,GJA1
CITED2,IDI1
EHMT2,ZFAS1
PHC1,CTDSPL
DNMT3L,MAGED1
MCM6,OBSL1
KAT2B,GM43002
ILK,P4HB
EED,SNORA26
EHMT2,HMGA1B
FOXQ1,P3H1
MDM2,PLXNA1
ESRRB,NDRG4
DNMT3B,SOAT1
NR0B1,GM44450
MCM6,MDM2
KLF4,ANXA2
PML,HSPB1
DTX1,2410141K09RIK
PML,SNORD11
ILK,ITM2B
MYBL2,TUBB2B
POU5F1,KDM5B
CREB3L2,HIST1H2BN
BCL3,GM27390
CREB3,HNF1B
CITED2,GM22030
RBBP7,HMGA1
NFATC2IP,GM8355
EGR1,COLGALT1
TCF7L2,RNPEP
SOX7,ABHD5
NFATC2IP,HYOU1
ELF3,FGF4
ETV5,BAG2
DNMT3L,SNORA26
UTF1,SH3PXD2B
AKT1,FGFR3
GATA6,GM10719
ETV5,2200002D01RIK
KDM5B,GLIPR2
BHLHE40,UNG
ZBTB10,LY75
BCL3,KPNA2
MSC,P3H1
DNMT3B,AKR1B3
UTF1,STARD10
ID2,RNU73B
HIST1H1B,SURF4
SMAD7,ZFP42
TRP53,2200002D01RIK
KLF4,EED
NFATC2IP,MIR295
TCEA3,GM44320
KLF4,HKDC1
MCM6,GM44320
EHMT2,FST
BCL3,GM26109
MDM2,STMN1
KAT2B,FOXQ1
HNF1B,PTPN14
BCL3,AGPAT4
NFATC2IP,TXNIP
CREB3,GM22166
PEG3,SEC24D
RUNX1,ATP6V0B
ID1,NUTF2-PS2
RBBP7,CUBN
SMARCA2,MIR467C
ZFP42,NUP62CL
HIST1H1D,RPL22L1
EGR1,GM22571
EGR1,THBD
TRP53,BCAT1
FOXH1,GM37784
TFEB,RHPN1
TGIF1,HMMR
KPNA2,FGF10
EHMT2,GM25960
FOXQ1,MIR8091
ZFP42,DENND2C
