TF,Target
NFAT5,GM20559
MED16,FDFT1
NFAT5,NOTCH1
CBFB,OCRL
CTR9,DPP4
PRDM5,MN1
SLA2,CBX7
H1F0,CYP2J6
GATA2,RASSF2
TSC22D3,TBXA2R
NFAT5,MAGED1
PML,SLC44A2
PRDM5,EPSTI1
GATA2,PYGL
ZFP467,PLIN2
GATA2,NAPRT
MLLT3,FES
GATA2,GMFB
MCM4,MAGED2
NDN,ARHGEF18
EYA2,CD52
KLF10,TRPC6
SLA2,WLS
SATB1,KCTD20
MED16,CTLA2B
XPC,SH2D5
NOTCH1,SH2D3C
JUN,RHOH
MCM4,DUSP6
MYCN,LYN
SATB1,MTMR6
SLA2,SESN1
NFKBIA,NCEH1
NFAT5,MAP2K1
PML,UBL4A
CTR9,GAA
TAF12,QARS
TAF12,CTR9
ARNTL,ZFP945
H1F0,CERS4
CBX7,CD74
PRDM5,ZFR
CTR9,RHOF
JUN,SLC7A4
TSC22D3,BTG2
TAF12,WFDC17
JUN,TCIRG1
RBL2,ATP2B4
NOTCH1,F2RL3
RBL2,PRELID3B
NDN,FLT3
NFKBIA,DPP4
MED16,S100A6
MCM4,MCTP1
CTR9,IL15RA
ZFP467,ABI1
MEF2A,RASSF2
GATA2,SLC2A1
MEF2A,4930555A03RIK
NFATC1,IER3
MLLT3,VAV3
NDN,PSTPIP1
MCM4,TBC1D5
MED16,ICAM1
PML,LCK
XRCC6,CPQ
SLA2,MCTP1
MCM2,PARP8
NFATC1,MAN2A2
MLLT3,NFATC1
MLLT3,ZFR
CTR9,DUSP5
MED16,ADGRG3
H1F0,PIK3CG
MEF2A,ZBTB38
CTR9,BC035044
HIST1H1C,EMID1
PRDM5,HEXA
MCM4,CD274
KLF10,CD53
SLA2,SLC2A3
CBX7,CAPN5
BTG2,RCSD1
TAF12,HELLS
TAF12,RFTN1
MCM4,UMPS
ZBTB38,ABHD17B
ARNTL,ARID5A
PML,PRPS2
CBX7,JUN
CBX7,RNF13
IRF7,BCLAF3
NOTCH1,GBP2
H1F0,IL12A
GATA2,IL12A
NFAT5,ABHD4
ZFP467,PNO1
MCM5,OTULINL
MED16,EPB41L4B
VEZF1,TCIRG1
EYA2,NGLY1
ZBTB38,CTSF
NFATC1,PECAM1
CTR9,IFI27L2A
MLLT3,GRINA
NFATC1,EIF1AD
JUN,RMND5B
CTR9,SH2D3C
VEZF1,SLC2A3
NFAT5,KIF23
NFATC1,PAQR5
ZFP467,ELOVL5
NFATC1,GMFB
H1F0,PANX1
H1F0,CHRNB1
ZBTB38,TAPT1
MEF2A,RNF125
SLA2,CTSF
KLF10,ADA
