TF,Target
MCM7,RIPOR2
EGR1,RMND5B
MYC,RGS2
PHC1,CTSB
MAPK12,ITGB7
KLF6,ATP13A2
TEAD2,APLP2
MCM5,GBP8
EPAS1,HSPA1A
ID1,SLFN10-PS
MED16,HIF3A
NAP1L3,SDF2L1
RAD51,KCTD20
KLF8,TOM1L1
TLR4,TNFRSF13B
KLF3,CALCRL
MLLT3,LPCAT2
E2F8,CTTN
HCFC1,AMPD2
NDN,PKIB
NFATC1,GM5111
RBL2,PAFAH1B2
MAPK11,TEC
PBX3,BTG2
HNF4A,CCDC112
XPC,TBC1D5
RAD51,ZFP367
SOX6,RNF114
NFIA,IL27RA
TAF12,TM6SF1
TEAD2,THBS1
MEF2C,CTSC
CD7,1600014C10RIK
SPI1,SYK
JUN,SGMS1
ANKRD6,CPNE8
KLF10,SLC35A5
MYC,GGT5
NDN,C1QBP
H1F0,MEF2C
BTG2,EBI3
SATB1,ZKSCAN4
MAPK11,TRIM35
PBX1,NSMF
SOX6,SEMA3D
HLF,SLC25A53
MCM4,STK10
NFATC1,FRRS1
EGR1,ADGRG3
RORC,FRRS1
PRDM5,KAZALD1
NR3C2,TSPAN2
MCM6,ITGA6
MEF2C,ATAD2
MED16,XPC
CD7,ZNRF2
TSC22D3,MPO
HMGB2,LDLR
NAP1L3,SLC29A1
HNF4A,SEPT6
EGR1,CDCA5
TTF2,NHP2
MIS18BP1,AMPD2
NR3C2,PHKB
MCM4,RNF122
GATA2,MEIS1
RAI14,RPGRIP1
PGR,KIF23
RARB,UPP1
TLE2,ART4
GFI1B,NEDD9
HIST1H1C,PDIA4
HMGB2,ART4
IRF7,MAP2K1
MECOM,KLF8
LDB2,AI504432
THRB,LACTB
KLF10,CD274
HIST1H1C,PLSCR4
MCM6,NLRC3
ELF1,GYPC
CLOCK,PARVG
MLLT3,TMEM33
TRPS1,ADA
MCM4,CSF2RB
EPAS1,ZKSCAN4
PBX3,DTL
SMARCA2,RCSD1
ARID3B,SERPINB9
KLF10,KIF17
NAP1L3,PLXNA4OS1
TLE2,P2RY14
EYA2,MAP3K2
SOX18,SLC18A1
MAML3,FUT10
TTF2,SLC25A37
NFATC1,ZFP120
MCM6,QARS
ESR1,IDH1
SATB1,OASL2
DEK,ALDOC
PBX3,BCLAF3
CREB5,TMEM184C
SOX6,CYBC1
RUNX2,BDH2
ID1,CCDC112
HIF3A,ATP13A2
MCM7,MYO1G
MIS18BP1,ARHGEF18
FOXO1,RAG2
MCM4,FILIP1L
LDB2,SPO11
PHC1,TGTP1
CLOCK,MGST2
ELF1,MBNL3
PRDM5,GYPC
SATB1,FAM169B
