TF,Target
SLA2,RBPMS
NFKBIA,ZFP157
H1F0,PRKAR2B
MCM4,GM4759
NFKBIA,HSD3B7
PML,SLC2A1
PML,PQLC1
HIST1H1C,NCEH1
TAF12,IIGP1
H1F0,PLCG2
ARNTL,KCTD20
CTR9,MAP2K1
VEZF1,TAF12
HIST1H1C,ARID5A
KLF10,ZBTB38
MYCN,SLC6A6
MEF2A,GIMAP1
CTR9,SLC2A1
TAF12,TGM2
RBL2,H2-AA
MCM2,RBL2
HIST1H1C,CALCRL
TAF12,SLC7A4
NFATC1,OASL2
MCM2,MAN1A
CBFB,OAS2
MYCN,NUBP2
MLLT3,SLC12A6
CTR9,RAB37
NFKBIA,BTK
GATA2,SCARF1
NOTCH1,NFAM1
MCM5,PCMTD1
NDN,ICE1
CTR9,TOP3B
KLF10,TIE1
IRF7,PYGM
XPC,NAGA
MCM4,BIRC3
MED16,CNN3
MED16,RASSF2
NFAT5,RPA2
XRCC6,H1F0
ZFP467,LTB
TSC22D3,CD300A
CBX7,INPP1
PML,STARD4
MCM2,SERPINA3G
IRF7,RHOH
CBX7,TFR2
XRCC6,TES
MEF2A,DENND2D
VEZF1,DUSP5
MEF2A,MPL
ZBTB38,TFR2
SATB1,SMPDL3A
VEZF1,EMCN
BTG2,CBFB
MED16,LDHB
MCM5,ELOVL6
XPC,ITSN1
NFATC1,ABCD3
CTR9,RNF13
NFATC1,STXBP4
CTR9,SLC7A4
MED16,APOE
XRCC6,TNFRSF13B
NFATC1,BCL2
VEZF1,PLIN3
ZBTB38,PRDM5
VEZF1,ROBO4
RBL2,TYROBP
ARNTL,MED16
EYA2,RPA2
NFATC1,OCRL
CTR9,MYO5A
PML,TIMM50
MCM5,VAV1
TSC22D3,GAA
MCM4,IGTP
NFAT5,GM4951
TSC22D3,TES
NOTCH1,CD48
ZBTB38,ARHGEF3
CBX7,ZFP62
MLLT3,SELL
ARNTL,SCARF1
CBX7,MILR1
NOTCH1,SERPINF1
BTG2,SH2D3C
MCM5,RELT
ARNTL,XPC
TAF12,VAV1
ARNTL,SLC28A2
NDN,SCARF1
CTR9,FLT3
MEF2A,TESPA1
MED16,ARL8B
MYCN,RMND5A
ZFP467,SCARF1
MYCN,BIRC3
MLLT3,CTSH
