TF,Target
SOX18,GM5111
CBX7,GM10384
NFATC1,TBXA2R
MAPK12,ZMYM3
EYA2,RNF213
XPC,GGT5
MCM4,IGKC
ZFP467,PDZK1IP1
HLF,EIF1AD
RORC,MAPK12
XPC,ZBTB38
ZKSCAN4,9530082P21RIK
MCM7,DEF8
VDR,SPI1
XRCC6,RCSD1
MCM2,MAPK11
CREB5,MED16
PRDM5,TFEC
ZBTB38,CD300A
CTR9,F11R
HIF3A,DPP4
ARID3B,RAD51
FOXO1,MYO5A
PBX3,RARB
E2F8,PBX1
PRDM16,GYPC
APBB1,TES
PBX3,CD74
PHC1,IL15RA
ZFP111,RASAL3
RORA,SH2D5
ZFP467,HEXA
PBX1,CTR9
AEBP1,CDT1
CLOCK,RORA
IRF7,ZFP367
XRCC6,RAB37
HDAC11,MCM6
HDAC11,NGLY1
CLOCK,USP3
SMARCA2,UAP1L1
CLOCK,PPT1
HOXA9,ANXA2
TRPS1,TNPO1
CTR9,PARP8
CREB5,SYK
GFI1B,NAIP5
MAPK11,PRODH
ANKRD6,SP100
NFAT5,PEAR1
NUPR1,ARHGAP27
MIS18BP1,ABCF3
ARNTL,HLF
KLF6,ASAH1
ETS1,4930555A03RIK
HIST1H1C,ADGRG3
KLF6,TLE2
PGR,CTSL
SMARCA2,BC035044
SLA2,ABCF3
RPS6KA5,PIP4K2A
PML,SYTL1
MCM7,STK10
NOTCH1,PBX1
TCF19,IKZF1
NOTCH1,ZDHHC17
NFKBIA,RNF13
CBFB,GM10384
PGR,MCTP1
MAPK11,MPRIP
PBX1,GLB1
TCF19,UBL4A
IRF8,ARNTL
HOXA9,APLP2
RORC,FUCA2
HDAC11,CBX5
NFKB1,SELL
HCFC1,MECOM
CBX7,PARVG
NUPR1,ALDOC
KLF3,IRF6
HOXA9,WLS
EPOR,TGM2
DACH1,SLCO3A1
TEAD2,CDCA4
VDR,ROBO4
ELL2,FLT3
KLF8,SLC35D3
BATF2,ANO10
KLF3,CD74
YBX1,DCAF4
PBX3,PLEK
KLF8,FADS1
TAF12,ICA1
HIF3A,PNO1
IRF8,ELL2
HNF4A,RNF213
VEZF1,E2F8
HDAC7,GM28875
MCM5,FCHO2
NUPR1,WLS
ZBTB38,P2RX1
MLLT3,STK10
MECOM,ENPP4
NFAT5,KCTD12
XRCC6,ZBTB38
ELL2,DOCK10
MCM4,TES
HLF,CD69
