TF,Target
NFAT5,H1F0
MLLT3,PAQR5
NFAT5,TPST2
MLLT3,GPRASP1
TAF12,NFAM1
H1F0,TCIRG1
KLF10,OBSL1
VEZF1,PACSIN2
HIST1H1C,PIK3CG
KLF10,RCN2
RBL2,UMPS
GATA2,CYBC1
ZBTB38,CASP2
MYCN,SLC28A2
TSC22D3,MSH6
CBX7,CYBC1
KLF10,CD9
NDN,GATA2
MEF2A,SLC2A3
EYA2,RBL2
SATB1,CSF2RB
PRDM5,STXBP4
MYCN,ITSN1
SLA2,ANXA2
MYCN,MYCT1
VEZF1,IL17RA
MEF2A,ART4
MLLT3,PLEK
TAF12,FUT8
MLLT3,GAA
XPC,FUT7
TSC22D3,RNASE6
XPC,PGLYRP2
PRDM5,RNASE6
ZBTB38,DDX4
PRDM5,APLP2
TSC22D3,RCN2
SATB1,PAFAH2
TSC22D3,C030034L19RIK
SLA2,ALDOC
TAF12,IFI27L2A
SATB1,PIP4K2A
NDN,PLEK
NFATC1,SAT1
BTG2,SQOR
SATB1,RASSF5
SLA2,CALCRL
KLF10,CALCRL
MCM2,IL15RA
PML,CTSS
NOTCH1,SHISA8
BTG2,PACSIN2
NFATC1,PRPS2
TAF12,SLA2
ZBTB38,PLCG2
NDN,PRKCQ
H1F0,SQOR
TSC22D3,PRELID3B
PRDM5,MAGED1
MEF2A,SERPINB1A
IRF7,TAF12
NFKBIA,DUSP1
CBFB,TESPA1
