TF,Target
ETS1,MAML2
HNRNPAB,IL1R1
MEF2C,CDT1
NDN,IL1R1
CBFB,BLNK
MCM7,MYC
NAP1L3,HACD4
HIST1H1C,LY9
KLF6,UBL4A
NAP1L3,SLC37A1
NFAT5,UNC119B
TLE2,HDAC7
HNF4A,ARHGAP18
MEIS1,KIF23
TCF19,ELMO3
PML,BLNK
DEK,MAN2A2
PBX3,KLF10
TTF2,MYC
RORA,GIMAP8
RAD51,AC174780.1
NOTCH1,FLNA
NFKB1,AP1G2
BATF2,MYCN
BATF2,CTNNAL1
ZBTB38,SPNS3
REL,RPTOR
NFE2,ALDH1A1
TEAD2,SSH3
GATA2,ELOVL5
REL,SSH2
LDB2,GBP9
MED16,ABCG2
IRF8,UBL4A
ARNTL,ENPP4
PRDM5,CCDC112
NFKB1,DOK2
EPOR,PEA15A
MLLT3,FGD2
NUPR1,HASPIN
SLA2,PRELID3B
IRF7,PSEN1
MYCN,PRMT2
MED16,ANO10
NUPR1,LRRC8C
XPC,TEC
VEZF1,NAGA
RAI14,SLC6A6
VDR,FKBP9
VEZF1,ADORA2A
IRF8,FKBP9
NFE2,TCIRG1
LZTS1,SLC16A10
FOXO1,SUGP2
NR3C2,SPI1
NFKBIA,SLC43A3
MED16,TXNL1
HNRNPAB,SMIM15
MCM7,PGM1
MAPK11,IFI203
PBX3,MPL
RAD51,TFPI
NOTCH1,ABHD4
THRB,LY6A
LZTS1,RAMP1
LDB2,GIMAP1
MLLT3,RGL1
PRDM16,RIPOR2
RAI14,UBA7
REL,DHFR
HDAC7,TSC22D3
TLR4,PRIM1
DACH1,RGS3
LZTS1,YOD1
RAD51,MINDY1
ELF1,SLC18A1
BATF2,AP1G2
APBB1,CBX7
HIST1H1C,HSPH1
RUNX1T1,PRDM16
HCFC1,TMEM206
YBX1,RGL1
E2F8,ARID5A
HLF,ID1
TCF19,MYC
LZTS1,SLC25A37
MAML3,VDR
PGR,SLC5A6
KLF10,MAMDC2
THRB,ADORA2A
XPC,CDC7
MECOM,OAT
CBFB,STRAP
IRF8,TOMM22
MEIS1,4930555A03RIK
CENPK,KCTD12
E2F8,MPZL1
KLF8,CRYZ
PHC1,CCDC112
ZFP111,SLC37A1
MEIS1,STAM2
XRCC6,GNG11
CENPK,CLIP3
EYA2,OSGIN1
PGR,SQLE
MYC,FILIP1L
ZKSCAN4,B230219D22RIK
CTR9,MYCT1
TAF12,SERPINF1
