TF,Target
KLF6,TCL1
ZFPM1,THBD
TCEA3,GM43521
TFCP2L1,ZFP710
ELF3,SLC38A4
HMGA1,TCL1
EGR1,MIR669E
ID1,CDC20
ILK,KDELR3
BMP4,FRRS1
RUNX1,SNORD65
BTG2,ZFP57
KLF4,PROS1
SMARCA2,LGALS3
ETV5,ZFP57
HMGA1,GALK1
NFXL1,CSRP1
ESRRB,AF357399
SOX17,ANP32A
PARP1,SELENOW
RBBP7,BHLHE40
PARP1,GM23542
PHC1,PROS1
EED,TEX264
CREB3L2,MIR1949
PEG3,MARCKS
HIST1H1B,GM25451
TGIF1,DNAJC3
MYBL2,HS3ST1
KPNA2,HIST1H2BN
SUZ12,PGA5
PEG3,RUNX1
EPAS1,EED
CITED2,GM3788
NR0B1,MYMX
KLF4,CLCN5
KLF3,GM44380
NFATC2IP,SNHG5
GATA6,GM43521
BHLHE40,MIR1949
CCND1,CTSD
HMGA1,GM15446
POU5F1,CSRP1
DTX1,RNF157
POU5F1,AURKA
HIST1H1D,CCNB1
CREB3,RPS25-PS1
PHC1,P3H4
DNMT3L,SLC38A4
AKT1,SORD
TAX1BP3,CFC1
EGR1,SNORA73B
EHMT2,CEMIP
BHLHE40,EFEMP2
ID2,GM38009
ELF3,TSPAN9
CREB3,GM44206
BHLHE40,GLDC
KDM5B,AY036118
ZBTB10,SNORD85
BHLHE40,TUBB2B
ZFPM1,GM24494
ZFP42,GM3724
KLF4,GM8818
MYBL2,MOV10
KLF6,GM26491
RBPJ,SLC38A4
KLF3,PATJ
BTG2,EPAS1
ID2,MRAS
SOX7,MIR466C-2
BHLHE40,MDM2
PCBD1,TUBB6
KAT2B,WDFY1
GATA6,ZFP989
TFEB,RSRP1
ID2,SNORD85
EPAS1,PTH1R
RLIM,MYO5B
EED,SLC7A6
CCND1,HSPH1
XBP1,RNPEP
PHC1,DDX21
ELF3,NUSAP1
ELF3,GM3851
TFCP2L1,HDLBP
TAX1BP3,CAR2
MDM2,LY75
TRIM28,TNS4
KDM5B,GM10012
HIST1H1B,GM26992
AKT1,NDRG1
ID1,GM44450
RLIM,SOX2
TGIF1,NXF7
MYCN,NFATC2IP
GATA4,GM22678
CCND1,SNORA43
MSC,HSD17B14
MYBL2,MIR1957A
POU5F1,SNORD72
SUZ12,SNORA62
TCF7L2,MIR466O
EED,KPNA2
RLIM,GM25263
ID2,MIR669J
ELF3,GM43107
EHMT2,GM15421
RBPJ,HIST1H2AN
BHLHE40,CLDN6
CREB3,GM42429
KLF3,P4HA2
CREB3,SLC45A4
BHLHE40,SGK1
XBP1,CARMIL1
GATA4,SERPINH1
TFCP2L1,MIR669I
PARP1,GM23245
MSC,GM25835
PML,SRPRB
TGIF1,MSI2
TFEB,SEC23A
EPAS1,DNMT3B
MYBL2,MSI2
NR0B1,LGMN
CREB3,CTDSPL
DAB2,SPARC
EPAS1,MIR186
ETS1,SNORA31
KDM5B,ZFP989
DTX1,PMM1
HIST1H1B,PODXL
TFCP2L1,GM21860
HSPB1,ITGA3
NFATC2IP,GM10182
FOXQ1,FGF10
FOXH1,KPNA2
JARID2,TENM4
KDM5B,GM26109
BCL3,PIK3R1
GATA6,CHCHD10
KLF3,GM28960
TCEA3,TCL1
ETV5,SNORD70
HMGA1,SNORA65
HMGA1,MIR7005
MCM6,GM10169
TRP53,GM10337
HMGA1,DPPA4
EGR1,GM27640
MYCN,GM4202
SMARCA2,DNAJC10
ZFP42,MCM10
SUZ12,RBMS1
BCL3,CITED2
EGR1,FAM102A
JARID2,SNORA3
HIST1H1B,CSTB
PML,DNMT3L
ZFPM1,FGF3
TRIM28,GM25451
MYCN,NUSAP1
DAB2,GM24523
JARID2,TDGF1
UTF1,LIFR
DAB2,GM23542
JARID2,CCNE1
SMAD7,OBSL1
TGIF1,MKRN1
CBX7,MYCN
PEG3,GM27640
ZFPM1,CARMIL1
EPAS1,SEC23A
PHC1,EDA2R
ELF3,HTRA1
ELF3,GM44335
SOX17,PARP1
ILK,ZFP532
SMAD7,SNORA43
HIST1H1B,ATP13A3
ILK,TMEM9
SMARCA2,SNORD65
JARID2,HIST1H3H
UTF1,GM24201
NFXL1,TFEB
SMARCA2,HS3ST1
KDM5B,XBP1
ETS1,ECT2
HSPB1,KLB
KAT2B,GM22166
RUNX1,GM14567
KLF2,CDKN1A
BMP4,PATJ
TFCP2L1,FRMD4A
DNMT3B,RRAS2
SOX17,SLC26A10
FOXQ1,GM23158
KLF3,GM24315
EHMT2,MIR669D
KLF2,WDFY1
MDM2,GM25636
BMP4,RBMS1
ZBTB10,RPL15-PS3
KLF3,APOE
SOX2,MIR669A-1
EED,KRTCAP2
ID1,GM21860
EHMT2,SPOCK1
JARID2,TDH
MDM2,F2R
TFCP2L1,HIST1H2AL
RBBP7,NUP62CL
HIST1H1B,GM23833
SOX7,TCF7L2
PCBD1,SNORD11
ETV5,THBD
GATA4,PRDX1
BTG2,CHST15
EGR1,GM17545
ZBTB10,MIR1905
ELF3,ITGA3
POU5F1,CLCN5
FOXH1,PCBD1
DAB2,TSPAN9
TCF7L2,RLIM
RBBP7,GM26229
FOXH1,CST3
EGR1,ME1
DNMT3B,MIR763
RBPJ,GM37917
NR0B1,ALG13
MYCN,CDC20
XBP1,EIF4A2
HSPB1,CLCN5
KAT2B,TPX2
EPAS1,GM44390
SOX2,RBPMS2
FOXQ1,GM10925
TCEA3,SMS-PS
EGR1,GLS
HIST1H1D,XBP1
KLF6,GM23130
HIST1H1D,ZFPM1
ETV5,TUBB4B
BHLHE40,SMS
DAB2,GM24339
KLF2,LRRK1
SOX2,ENAH
RUNX1,CLIC1
EED,RBMS1
JARID2,BEND5
FOXH1,RHOX5
SOX2,GCLM
FOXQ1,NUP62CL
MDM2,LDLRAP1
TFCP2L1,HSD17B14
HSPB1,RHOX5
PCBD1,SH3PXD2B
MDM2,RPS27RT
CITED2,ALPL
SUZ12,GM12276
DTX1,HTRA1
TGIF1,MIR669A-3
NR0B1,SNORA62
ZBTB10,GM27743
HNF1B,GM24523
DNMT3B,SNORA65
KLF4,SNORA68
RBBP7,GM10259
DNMT3A,LGMN
TFEB,SNORA31
DNMT3A,BCL3
BHLHE40,GM14870
MDM2,ETV5
KLF4,HK2
DNMT3B,SMARCA2
PEG3,BUB1B
FOXH1,CCNE1
MCM6,SMS-PS
EHMT2,APAF1
ID1,GM26229
HNF1B,SNORD43
NFXL1,HMMR
DTX1,LRPAP1
TFEB,SNHG5
NFATC2IP,ZFP989
NANOG,MYH9
ZBTB10,LAMC1
XBP1,SMS
BTG2,GM3851
DNMT3A,S100A6
CBX7,RLIM
TGIF1,NRG1
KLF6,GM26073
HSPB1,GM45213
KPNA2,TUBB2B
RLIM,SNORD93
EED,SORD
DAB2,GM25472
KLF6,GM43940
ID1,GM28900
KAT2B,GM23571
CREB3,RBPMS2
POU5F1,ATP6V0A1
SOX17,RESF1
EHMT2,GM26491
SOX2,GM27743
EPAS1,EGR1
SOX17,CTSL
NFXL1,GM28900
POU5F1,GM43108
TRIM28,ZYX
TRP53,GM14303
PCBD1,KDELR2
MYCN,MIR467C
RBPJ,CTNNAL1
HIST1H1D,PRDX4
TCEA3,CSTB
HNF1B,CKAP4
ZFP42,SNORA74A
KLF2,GM26060
PCBD1,GLS
NANOG,HKDC1
MCM6,GM44330
RBBP7,GM5616
ZBTB10,CALR
ZBTB10,SOAT1
FOXH1,CRELD2
RBPJ,GM22051
SUZ12,PROS1
EED,GM12350
CCND1,GM24494
POU5F1,CKB
ZFP42,MFGE8
POU5F1,SNHG5
GATA6,CSTB
JARID2,GM25673
MCM6,HIST1H2BF
BHLHE40,PRDX1
KLF2,PLATR14
DNMT3L,LAMA5
DAB2,GM26229
TCEA3,ZFP710
PARP1,DKK1
PEG3,GM20721
RLIM,SERPING1
RBBP7,RRM2
DNMT3L,SRGN
KLF6,MSL3
ETS1,GM27743
DNMT3L,MARCKS
CREB3,MRPL23-PS1
ILK,FRRS1
KLF4,GM43521
NANOG,GM43521
RBPJ,COL27A1
ZFP42,RIAN
ID1,SNORA17
EED,P4HB
TRIM28,CDH1
DAB2,SHKBP1
ZFP42,NFXL1
NANOG,2210409E12RIK
ZFPM1,SRM
ID2,GM12112
TGIF1,ITM2B
SOX17,AKT1
MYCN,SNORD65
TRIM28,APOBEC3
NR0B1,GM28900
JARID2,GM22411
TFEB,GM22091
EHMT2,TCN2
ELF3,HNF1B
TRP53,ASAH1
NR0B1,SOCS2
AKT1,FN1
BMP4,NANOG
TGIF1,LNCENC1
TRIM28,CDCA7
MCM6,KPNA2
CREB3L2,CDH1
MCM6,KDM3A
ILK,GFPT2
NFATC2IP,GM22468
ID2,SH3PXD2B
HIST1H1B,RPL23A-PS3
KLF2,HIST1H2AK
KLF2,LAMA1
ILK,BHLHE40
MYCN,CST3
TCF7L2,CTH
HSPB1,GM25835
TAX1BP3,MDM2
TFEB,SNORD35B
CBX7,ODC1
KPNA2,GM26060
MSC,SLC38A4
POU5F1,GM24201
RBPJ,PATJ
PARP1,RRBP1
RUNX1,SNORA74A
HMGA1,LMF2
UTF1,TGM1
PARP1,HIST1H3H
EGR1,SPINK1
DNMT3A,RNU73B
SUZ12,CUBN
ELF3,STMN1
PARP1,SNORD17
HSPB1,D230025D16RIK
ESRRB,GM25787
SMAD7,FNDC3B
KDM5B,AQP3
ZFP42,PLOD3
ILK,DPP4
ID1,RPS27RT
DNMT3L,FZR1
KAT2B,KLB
RBPJ,COBL
TRP53,MT-TP
TFCP2L1,2210409E12RIK
TCF7L2,2210409E12RIK
MDM2,GM24523
PEG3,GM44170
JARID2,SLCO3A1
POU5F1,GM24044
SMARCA2,UHRF1
RBPJ,LY75
