TF,Target
MYCN,SETX
KLF6,MIR8091
GATA6,CTBP2
ID1,GM26156
RLIM,MID1-PS1
ZFP42,GM26156
BHLHE40,HIST1H1B
RBBP7,SNORA43
PHC1,UTF1
TCF7L2,MIR3535
RBBP7,LY6E
BTG2,PLAUR
PML,DNAJC10
UTF1,MME
NR0B1,GM15446
HNF1B,GM23988
KLF2,GM23833
CBX7,MIR291B
CREB3L2,UNG
DNMT3B,SETX
PML,FST
ZFP42,SNORD32A
DNMT3A,PRSS35
SUZ12,GM23158
SOX2,APOE
NANOG,GPA33
SOX7,KDELR2
CBX7,SNORD93
TGIF1,MIR7063
AKT1,MIR291B
ILK,PROS1
BCL3,GM22051
KAT2B,EVA1A
MDM2,LAMB1
NANOG,HYOU1
ESRRB,MIR669G
SUZ12,SNORD83B
DTX1,DKC1
KDM5B,PDIA3
TAX1BP3,HMGA1B
GATA4,HIRIP3
SOX7,ALPL
AKT1,KLF2
NR0B1,SETX
NANOG,GM22571
TFCP2L1,RAB11A
MYBL2,IL33
CREB3L2,SPARC
TRP53,CTDSPL
TRIM28,GM10039
ZFP42,HIST1H4D
NANOG,CDC42SE2
TFCP2L1,GM3788
JARID2,RSRP1
NFXL1,GM44206
EHMT2,KDM3A
TRIM28,WDR45
SMARCA2,DKC1
SMAD7,NOTUM
DNMT3L,RPP25
CITED2,SNORA68
EGR1,GM10780
XBP1,SHKBP1
GATA6,GM24339
EED,TDGF1-PS1
AKT1,PDCD4
TRP53,GM37917
MSC,VSIR
BCL3,CHCHD10
EPAS1,SNORD35A
BMP4,TUBA4A
MYBL2,GM42413
TCF7L2,PODXL
DNMT3L,KRT42
HSPB1,GM43535
GATA6,KIT
DAB2,PCOLCE
DNMT3A,ISYNA1
DNMT3L,SNORA41
TFEB,MIR6928
MCM6,ZFPM1
DAB2,SNORA73A
GATA6,PEG3
NANOG,AQP3
ZFP42,GM26431
CREB3L2,CEMIP
PCBD1,PTH1R
FOXQ1,AURKA
CBX7,SLC16A1
RBPJ,HIST1H2BL
FOXQ1,SUZ12
MCM6,CSRP1
SOX2,GM22748
ZFPM1,EFEMP2
PHC1,FLRT3
ID2,GM12276
KDM5B,GFPT1
EED,CLCN2
HMGA1,EMB
ZFPM1,GM25673
GATA4,GM23413
RBBP7,2410141K09RIK
HIST1H1B,HIST1H1D
ELF3,ZBTB10
KLF6,SNHG5
DTX1,KRTCAP2
SOX7,RLIM
MCM6,TCF7L2
PHC1,SNORA26
RBPJ,GM44380
SOX7,CAR2
PHC1,GM26229
HIST1H1D,BMP4
HSPB1,SNORD85
RLIM,FLNA
MYBL2,TDGF1-PS1
NFATC2IP,PLSCR1
TFCP2L1,SNORD70
BMP4,GM25195
JARID2,TRH
TRIM28,S100A6
BCL3,F2R
BMP4,ID2
PHC1,VSIR
GATA6,GM14870
