TF,Target
KAT2B,DNMT3B
BCL3,GNAS
SOX17,MIR3535
SOX7,ADAM19
GATA4,TDGF1
PHC1,MIR466O
GATA4,GNPDA1
XBP1,THBD
DNMT3L,FGF4
PEG3,P3H4
TRP53,NID1
TFCP2L1,2810025M15RIK
SOX7,PLA2G1B
SOX7,GM49450
PCBD1,PCOLCE
NANOG,GM6136
TFCP2L1,TMEM144
CREB3L2,HSPB1
ETV5,GM9531
KAT2B,VIM
KLF2,GM22455
ZFPM1,GJB3
MYBL2,SOX2
NFXL1,PCOLCE
PHC1,GM25791
TFCP2L1,GM23632
DNMT3A,GM28900
HIST1H1D,LAMB2
KPNA2,SNORD85
GATA6,DUSP9
DNMT3B,SNORA3
DNMT3L,DPPA2
TRP53,MT1
SOX7,SLC25A5
PEG3,MEG3
KDM5B,GM23413
KLF2,GM25701
HSPB1,PHLDA3
KLF2,GM44206
KAT2B,GM25472
FOXQ1,KAT2B
DNMT3B,GM26073
HIST1H1B,GM15452
CREB3,MIR466B-4
DNMT3B,ITGA6
PEG3,GM23639
PCBD1,SHKBP1
CREB3,POU5F1
XBP1,GM26156
TGIF1,APOE
PEG3,GM22884
DAB2,AMOTL2
BCL3,GRB10
DNMT3B,HKDC1
HMGA1,GM23651
DAB2,FGF10
HMGA1,KAT6B
DNMT3A,SNORD70
ELF3,TAX1BP3
JARID2,DPPA2
DNMT3B,GM44335
CREB3,LEFTY2
BCL3,TRP53
ETV5,PHC1
TRP53,PLOD3
PML,POU5F1
PCBD1,SEC24D
GATA4,GM24916
BHLHE40,GM24916
HMGA1,GM22862
NFXL1,WDR45
PML,GM38312
TAX1BP3,TET1
NANOG,MRPL23-PS1
ZFPM1,TET2
BHLHE40,HSPG2
PML,AKR1B8
TRP53,SNORA81
TFCP2L1,SNORD110
PCBD1,BEX1
HSPB1,ZFPM1
TAX1BP3,HSPA5
RBPJ,GM24761
DNMT3A,GM24044
BCL3,HSPA5
PML,KAT2B
BCL3,SURF4
NFXL1,MIR3473F
GATA4,SDC4
ZFPM1,AURKA
CREB3L2,RPL15-PS3
MYBL2,MEG3
HMGA1,SNORD49A
GATA4,PWWP3B
ESRRB,MEG3
ZFPM1,GM25500
GATA6,SLC7A3
PEG3,MIR466O
DNMT3A,MIR7063
GATA4,TYRO3
JARID2,SNORA41
GATA4,ZFP989
EPAS1,SNORD49A
HMGA1,PTH1R
PML,MYBL2
RBPJ,UTF1
KAT2B,INSIG1
CREB3,JARID2
MYBL2,CDC20
HMGA1,GM37376
SOX7,GM12350
EPAS1,GM4322
KPNA2,RNU73B
SOX7,SNORD34
NR0B1,GM43107
DNMT3B,SNORD33
TRP53,NDRG1
XBP1,MIR677
KDM5B,GM24044
TGIF1,BNIP3
HIST1H1D,2200002D01RIK
SOX7,MIR466B-6
ESRRB,MT-TF
TGIF1,XBP1
FOXQ1,AU018091
CREB3L2,GM14519
DAB2,PCBD1
ZFPM1,DPP4
RBPJ,FN1
ELF3,SOAT1
SOX17,2410141K09RIK
BCL3,FABP3
ETV5,GM10259
DNMT3B,SERPINE2
CCND1,RPL15-PS3
GATA6,GM22455
HMGA1,NDRG1
SOX7,HSPB1
FOXQ1,AY036118
FOXQ1,SHKBP1
GATA6,VSIR
HIST1H1B,COTL1
DNMT3B,BMPER
TGIF1,GM23158
SOX17,WDR45
RBPJ,TGIF1
MYBL2,GM33051
UTF1,GM27743
GATA4,FST
ELF3,XBP1
KLF2,GM23262
PCBD1,GM24761
FOXQ1,SNORD110
GATA4,HMCES
DNMT3A,FAM129B
XBP1,P3H4
KAT2B,GM25835
DNMT3L,TIMP2
FOXQ1,SEC24D
PML,GM25960
PCBD1,DNMT3L
KAT2B,GM25791
CCND1,BCL3
SOX7,GASK1B
KPNA2,PLOD2
TGIF1,P4HA2
PHC1,BEND5
KPNA2,KDM5B
HMGA1,PHLDB2
RBPJ,GM24916
KLF2,WDR45
ZFPM1,HIST1H4K
HIST1H1D,GM27743
BHLHE40,SOX2
BHLHE40,APP
JARID2,GM25535
DNMT3L,GM22678
EPAS1,NUP210
GATA4,CEMIP
HIST1H1D,KPNA2
HMGA1,SPP1
HIST1H1D,GM24564
ZFP42,ITGA3
PML,SURF4
SOX2,NUP210
XBP1,GM47315
GATA4,SNHG5
DAB2,SAT1
SOX2,RPL23A-PS3
KDM5B,FAM129B
CREB3,MIR3473F
EPAS1,GM22571
CCND1,ULK1
CCND1,IFI30
NFXL1,GM28030
KLF2,GM24451
PML,MIR3082
KPNA2,FGF10
DNMT3L,GM2399
HMGA1,UBE2C
HMGA1,EFEMP2
BCL3,F3
EPAS1,EFEMP2
FOXQ1,RPS27RT
NR0B1,GM24315
KAT2B,CAR2
NANOG,GM43107
ESRRB,GM26917
MYBL2,GM26917
PML,BEX1
CREB3L2,GM24488
HSPB1,LY6G6E
PHC1,GM22455
BHLHE40,MARC2
HIST1H1D,SNORD110
CREB3,GM28960
KDM5B,MRPL23-PS1
TAX1BP3,FN1
KDM5B,DNMT3B
CREB3L2,RCN3
PEG3,GM22468
MYBL2,FOLR1
CCND1,GM24455
CREB3,KDELR2
BHLHE40,COL27A1
SOX2,2810025M15RIK
KAT2B,GM2399
KAT2B,HIST1H1A
PML,GM28960
DNMT3A,PEG3
ELF3,HMGA1B
MYBL2,HIST1H1B
CCND1,LTBP4
ZFPM1,PDCD4
DNMT3B,CHST15
DAB2,GM43107
DNMT3L,LAMC1
RBPJ,LRP2
FOXQ1,HIP1
KPNA2,LRP2
DNMT3B,ITGA3
FOXQ1,GM24761
TFCP2L1,LAMA5
KDM5B,VIM
EPAS1,GM27743
TFCP2L1,KDM5B
NR0B1,LAMC1
CCND1,JAM2
CREB3,UAP1L1
SOX7,DNMT3A
EPAS1,KPNA2
NR0B1,ANXA5
TRP53,GM10259
XBP1,SERPINE2
PCBD1,TYRO3
DNMT3A,DPPA2
DNMT3L,CTSZ
PCBD1,AMOTL2
NFXL1,GM22858
ELF3,GM10259
PHC1,GM23158
XBP1,PDPN
GATA4,GM24488
PML,UAP1L1
SOX17,GM28030
TRP53,PMM1
KDM5B,TDGF1-PS1
ELF3,WDR45
HIST1H1B,GM22411
TRP53,MIR3082
DNMT3L,MT-TP
SOX17,GM24497
NR0B1,GM24201
POU5F1,MIR669G
FOXQ1,GM3788
TAX1BP3,SDC4
CCND1,GM22072
PEG3,GM27326
TRP53,MIR3473F
NR0B1,ARHGEF40
KLF2,GM28030
GATA6,HSP90B1
GATA6,COMMD3
HMGA1,SEC24D
DNMT3B,KAT6B
TGIF1,BCAT1
TRP53,ITPK1
PML,GM25451
TRP53,FABP3
TFCP2L1,ANXA2
ZFPM1,GM22455
EPAS1,BEX1
PCBD1,LRP2
DNMT3A,MT-TF
ELF3,HMGA1
GATA6,PSRC1
FOXQ1,THBD
DNMT3L,SOAT1
DAB2,HIST1H4K
DNMT3A,GM43107
CREB3L2,FOLR1
PCBD1,CCN2
GATA6,PATJ
KDM5B,SLC7A6
TRP53,IGF2
FOXQ1,LAMA5
ELF3,KDELR2
PEG3,GM9531
KAT2B,LAMA1
PML,TFRC
ELF3,GM27501
TRP53,GM49450
RBPJ,COL27A1
SOX7,GM22620
ELF3,BCAT1
ELF3,GM49450
NR0B1,GM22455
NFXL1,FST
KDM5B,GM43521
DNMT3L,GM44206
BCL3,RASGRP2
RBPJ,HKDC1
GATA6,GM49450
TFCP2L1,GM10717
KLF2,B2M
PHC1,2410141K09RIK
BCL3,P4HB
KDM5B,LAPTM5
CCND1,ATP6V0A1
DNMT3L,ELF3
PML,TGIF1
NFXL1,ASS1
NANOG,SNORA74A
NFXL1,HIST1H2BN
UTF1,GM10169
FOXQ1,AMOTL2
HSPB1,SGK1
NR0B1,XBP1
TAX1BP3,PML
CCND1,ALG13
KLF2,GM22858
PHC1,NRG1
KPNA2,MIR669J
CCND1,CHCHD10
HIST1H1B,CKB
CCND1,EIF4A-PS4
FOXQ1,MIR8094
CREB3L2,CHST15
NFXL1,CEMIP
ZFPM1,GNAS
PHC1,P4HA1
CREB3L2,ITGA3
POU5F1,SNORD49B
TFCP2L1,LMF2
KDM5B,ATP6V0A1
DNMT3L,TNS4
CREB3L2,PRSS35
HMGA1,CALCOCO2
PHC1,GM43558
ZFPM1,P4HA2
KAT2B,KDELR3
BCL3,LMF2
ELF3,TDGF1
ETV5,NSD2
EPAS1,GM28900
PHC1,GM24451
KDM5B,CHCHD10
UTF1,SEPT1
KAT2B,RPL17-PS10
XBP1,GM14870
NR0B1,RRM2
SOX17,NSD2
CCND1,GM25040
HIST1H1B,GM23988
CREB3L2,TPD52
PHC1,PSRC1
HIST1H1B,INSIG1
TFCP2L1,MARC2
XBP1,BEND5
ETV5,HMCES
HSPB1,GM10169
TAX1BP3,ULK1
BHLHE40,GM23130
BHLHE40,GM44390
GATA6,CALR
PCBD1,MIR7003
RBPJ,PDPN
XBP1,GM25787
FOXQ1,ESRRB
BCL3,TINAGL1
BHLHE40,MIR5121
DAB2,ARHGEF40
ETV5,ASS1
DAB2,APOE
NANOG,GM27326
CCND1,STXBP2
HMGA1,GM3788
RBPJ,BMPER
FOXQ1,PCBD1
FOXQ1,MIR677
NFXL1,HS3ST1
HIST1H1D,MIR8094
EPAS1,AMPD2
PEG3,TET1
XBP1,GM24494
NANOG,MIR3535
KLF2,CCND1
PEG3,GM10259
TFCP2L1,ERP29
ZFP42,GM25960
KLF2,PML
HSPB1,RPL22L1
DNMT3B,BHLHE40
MYBL2,GM13597
ZFPM1,GM23262
HSPB1,HIST1H2AP
ELF3,B2M
BHLHE40,PFKP
FOXQ1,LMF2
KLF2,HIST1H2BN
GATA4,NID1
FOXQ1,GM25472
TGIF1,GASK1B
TRP53,HSPG2
ELF3,HSPB1
TAX1BP3,GM22925
HIST1H1B,STARD8
GATA4,GM24616
TRP53,MOV10
EPAS1,UPP1
BHLHE40,DNAJC10
MYBL2,SOX17
GATA6,HSPB1
DNMT3A,SNORA74A
TAX1BP3,SPARC
NR0B1,GM23262
