TF,Target
TAX1BP3,MARCKS
RBBP7,SETX
AKT1,GM28960
TCEA3,TENM4
ILK,DTX1
TRP53,FXYD3
KDM5B,ADAM19
MYBL2,GM26426
EED,CMKLR1
SOX7,IL33
PML,SLC45A4
MYCN,MT-TF
SMARCA2,GNPDA1
TGIF1,FXYD3
DNMT3A,CREB3
ETV5,RFFL
HIST1H1D,LTBP4
BCL3,SNX1
MCM6,PML
AKT1,ADGRE5
BMP4,SNORD87
MYBL2,GM25835
POU5F1,SNORA73A
KLF2,SOX17
ZBTB10,PML
CITED2,D230025D16RIK
NFXL1,HMMR
POU5F1,GM28010
BHLHE40,SNORA65
CCND1,GM22748
GATA6,CST3
HIST1H1D,GCLM
DAB2,GM25285
NFXL1,MIR466C-2
MSC,GM24761
BTG2,GM27640
CBX7,MIR669G
EED,SLC9A6
EGR1,CMKLR1
BHLHE40,NOTUM
DNMT3L,RPL22L1
TAX1BP3,SLC7A3
ILK,TGM1
GATA4,HIST1H4D
GATA4,MT2
ELF3,SAT1
KLF4,MIR669G
HIST1H1B,ZFP710
PCBD1,DDAH2
HMGA1,GM25316
XBP1,GM37376
EGR1,GM22030
SMAD7,ARHGAP29
SOX2,RANBP17
ILK,2410141K09RIK
HMGA1,VANGL1
NANOG,GM44380
ILK,CCND3
SMARCA2,P4HB
DNMT3B,RCC2
JARID2,UCP2
EPAS1,AF357399
MYBL2,BNIP3
HMGA1,RPL23A-PS3
KAT2B,TXNDC12
TRIM28,GM28030
KDM5B,CREB3
KLF6,PARVA
HSPB1,PML
EPAS1,GM42413
MYCN,BCL3
RBBP7,MIR3091
BMP4,GM23344
SOX7,MAN1A2
ESRRB,GCLM
ILK,PRSS35
CREB3,SELENOW
ID2,GM22051
KPNA2,GM23262
SUZ12,GM10169
RUNX1,GM27326
GATA6,ZFP989
KPNA2,TUBB6
EHMT2,CARHSP1
MYBL2,ETL4
ETS1,SNORD35A
PEG3,SOCS2
NFXL1,DDX21
SMAD7,MFSD1
ETS1,PLOD3
