TF,Target
TFCP2L1,MDN1
PEG3,GM10052
FOXH1,COL4A2
CREB3,SNORA17
ZFP42,ST5
TCF7L2,GM10169
FOXQ1,GM24044
KLF4,MDM2
SOX7,GM44364
XBP1,GM26426
KDM5B,EPS8
CREB3,GM8355
MSC,CRELD2
NFXL1,PML
KLF3,ABCC5
GATA6,GM42429
TET2,GM26109
KLF4,GDPD5
EGR1,ELF3
ZBTB10,SLC20A1
ETV5,ARF4
ZFPM1,TAGLN2
KLF6,CEMIP
SOX2,SLC38A4
FOXH1,SLC20A1
MSC,SNORD72
ZBTB10,GCLM
SOX7,NANOG
HMGA1,PRXL2A
KLF6,TINAGL1
SOX17,TDGF1-PS1
PLSCR1,ADGRE5
TFCP2L1,GM44380
GLMP,EED
HNF1B,SLC38A4
KLF3,GM43107
FOXH1,MIR3082
PLSCR1,GM23245
ZFP42,ERP29
GATA6,MIR6928
KLF6,MIR5117
KLF6,CAR2
BHLHE40,FZR1
RBPJ,ZFAS1
HMGA1,KAT6B
NFXL1,ESRRB
BHLHE40,SLC1A3
ETV5,ADGRE5
FOXQ1,GM15421
SOX17,GM25943
ZFP57,ME1
GATA4,DCXR
GATA4,PROS1
CREB3L2,P4HA2
SOX2,DDAH2
ZFP42,SNHG5
POU5F1,EIF4A2
ELF3,MIR3535
NANOG,DKK1
BNC2,TUBB6
MYBL2,2810025M15RIK
ESRRB,SPSB1
EPAS1,TSPAN9
CREB3,PEG3
HNF1B,GABARAPL2
KLF6,SELENOK
XBP1,GM26491
ESRRB,ENAH
NR0B1,CCND1
TFCP2L1,GM24761
TFCP2L1,COBL
TFCP2L1,TTC7
MYCN,MCM6
NFXL1,VILL
TET1,HIST1H2AC
SOX17,PLK1
FOXQ1,GM17545
EPAS1,GM23497
ZBTB10,GM24616
CREB3,GM10108
BHLHE40,GM15899
GATA6,GM43521
FOXH1,CRELD2
ZBTB10,GM38312
GLMP,SNHG5
BNC2,RNPEP
GATA4,GM26431
KLF4,STARD10
ZFPM1,MID1-PS1
GATA6,PCOLCE
TGIF1,RHOX5
ZFP57,GM44429
TGIF1,CENPV
ZFP42,RPS25-PS1
EGR1,KRT42
ZFP57,MYO1C
TCF7L2,GM22030
ZFP42,GM25193
TFCP2L1,SNORA43
ZFP57,HMGA1
MYCN,GM25451
GATA4,FLNA
EGR1,MCM6
TFEB,RAB11A
SOX7,IFITM2
SOX7,FGFR3
GATA6,SFMBT2
MYCN,ITGAV
MYCN,ST5
BHLHE40,FOXQ1
ZBTB10,RNU73B
ZFPM1,HIST1H2AC
ETV5,ESRRB
KLF3,DPP4
NR0B1,GSR
TFEB,TXNDC5
RBPJ,GM23542
