TF,Target
TLR4,UQCRFS1
PGR,GGT5
TLE2,TOM1L1
TLE2,SLCO3A1
XPC,NCF1
REL,ANGPT1
IRF8,MCM6
PGR,SLC39A13
MAML3,KCTD20
VEZF1,YOD1
DACH1,DOK2
MCM7,OCRL
ELF1,NAGA
GFI1B,NHP2
MCM5,TES
JUN,ANKRD44
NDN,CYTH3
ETS1,CBX7
HDAC7,NCKAP1L
HCFC1,PPIC
RPS6KA5,CSF2RB
TRIB3,ESAM
NDN,PLPPR3
ELF1,CAV2
ETS1,ZFP422
PBX1,BC035044
MED16,CDC7
MYCN,PRDM16
NFATC1,NWD1
CBX7,PEAR1
TSC22D3,CDC7
H1F0,CTPS
ZBTB20,PGM2L1
KLF10,ABLIM1
PRDM5,UAP1L1
HDAC11,DOCK10
MYCN,OSGIN1
CENPK,CD69
GFI1B,H2-OB
RAD51,INPP1
NFAT5,FBXO30
SMARCA2,RASSF5
KLF6,TRIM16
MECOM,IL17RA
KLF6,ARHGEF18
PRDM16,CD33
EGR1,PIK3IP1
JUN,PGM1
MYC,CD48
TAF12,RPA2
CBFB,EPSTI1
H1F0,ITM2A
MEF2C,SYNRG
PBX1,GM10384
IKZF1,SLC12A6
RBL2,IL1R1
MED16,SDF2L1
EYA2,MUC13
GFI1B,CYP51
MCM5,NCEH1
MECOM,TFEC
SATB1,MSH6
RAD51,H2-Q6
MCM6,NDN
MCM6,F11R
NFKBIA,RNF13
PRDM16,SUGP2
TCF19,DENND1C
TRPS1,SDC4
EYA2,RAB11FIP3
MCM7,SP100
JUN,IL10RA
ZFP467,IL15RA
HLF,ALDOC
ETS1,PPIC
TSC22D3,MPZL1
RAI14,ITM2A
HDAC11,ARL11
CBX7,ZFP467
MECOM,C030034L19RIK
H1F0,MOGS
HDAC11,CTSS
IRF8,INPP1
TLR4,KCTD12
XPC,CCRL2
ETS1,JUN
MCM6,OSGIN1
KLF3,RASA4
TCF19,MNDAL
IRF6,PDE12
TLR4,NCKAP1L
MCM5,ACAP1
REL,MSMO1
CLOCK,HDGFL3
ZBTB38,PREP
NDN,NEURL3
NFATC1,CTPS
ELF1,TBC1D10C
H1F0,TBXA2R
CBFB,CAD
PGR,PAQR7
JUN,NAGA
ZBTB38,POMGNT2
RBL2,CD300A
CBFB,GMIP
CTR9,2610307P16RIK
PRDM5,GIMAP1OS
TRIB3,AURKB
MED16,CCNG2
ZBTB38,CTLA2B
NDN,MMP2
XPC,CKAP2
HIST1H1C,NPDC1
CLOCK,MCM4
TTF2,CTSS
PML,ADSSL1
IKZF1,PIK3CG
REL,GBP9
MEF2A,H2-OB
JUN,ORC6
RORA,CD48
SATB1,NUP93
CBFB,CRIP1
XPC,GIMAP8
MEF2C,F11R
HDAC11,FUCA2
VEZF1,DUSP5
ZBTB20,GIMAP1OS
TAF12,TMEM184C
PA2G4,TXN2
SPI1,HSD3B7
SLA2,F11R
SLA2,MAN1A
PGR,CD63-PS
VEZF1,ADSSL1
KLF3,PRR5
TAF12,MUC13
PHC1,MEF2A
TLE2,ZDHHC17
RAD51,ZFP53
