TF,Target
NAP1L3,SQOR
MEF2C,PRNP
CTR9,H2-DMA
THRB,MEIS1
SOX18,SGPL1
ESR1,WFDC18
MLLT3,NEAT1
LZTS1,TOP2A
TEAD2,THBS1
NUPR1,SELPLG
IRF6,PEAR1
MIS18BP1,OAT
MCM4,LGALS1
KLF10,CD274
MYC,SLC25A37
H1F0,MEF2C
MCM6,CHRNB1
HOXA9,MSMO1
EPOR,TNPO1
ID1,ENDOD1
ZBTB38,ESAM
MAPK11,TRIM35
IKZF1,LGALS9
ESR1,SEPT6
H1F0,UQCRFS1
MCM6,QARS
PHC1,RASSF5
CBFB,RNF114
MEIS1,BC005561
PML,ERP29
RARB,SLC44A2
EYA2,CTSC
SLA2,PANX1
MYC,IL7R
NR3C2,CCNG2
RUNX2,GRAMD1A
MAPK11,DUSP1
ELF1,APLP2
SPI1,CCNG2
NAP1L3,SLC29A1
ARNTL,FECH
IRF8,TMEM268
CBX7,CD9
PRDM16,FILIP1L
HDAC7,ROBO4
AEBP1,CYC1
FOXO1,RAG2
SLA2,DUT
NAP1L3,LGALS1
MEF2C,GGT5
ID1,SLFN10-PS
MEF2A,TSPAN6
TEAD2,PRKCD
CENPK,SDF2L1
CREB5,CYP51
MECOM,PCNA
BATF2,ESAM
HOXA9,PRSS57
MCM2,ART4
TLE2,PLAC8
ARNTL,GM973
PGR,KIF23
CD7,FAM171A1
TTF2,SGMS1
H1F0,SLC43A2
SOX18,HSPH1
NOTCH1,BIRC3
TSC22D3,MAD2L1
HMGB2,TMEM65
RAD51,KCTD20
VDR,GM2A
HCFC1,CASP12
NAP1L3,SDF2L1
SATB1,EMCN
HMGB2,SLFN8
RUNX2,CCND3
MCM7,TSPAN2
XPC,PEAR1
RARB,UPP1
MYCN,UMPS
H1F0,ANXA2
AEBP1,GSTT1
MYCN,NUP88
HIF3A,ATP13A2
LDB2,AI504432
NFKBIA,CD52
TEAD2,DENND1C
RPS6KA5,TNPO1
PRDM5,HSPA1A
CTR9,MCM2
KLF8,SQOR
XRCC6,TRMT6
