TF,Target
NDN,TSPAN6
MYCN,PPIC
TSC22D3,TMEM14C
PRDM16,CHRNB1
XPC,ATP10A
IRF7,9530082P21RIK
NFKB1,LRRFIP1
MEF2A,NFKB1
NFATC1,RIN3
MCM6,POLD1
PGR,ZMYM3
IRF6,MPO
VEZF1,PHC1
KLF3,PNO1
HNF4A,ZBTB20
EGR1,DCAF4
NFKB1,CDCA8
NFKBIA,IL1R1
KLF3,RBM18
CLOCK,PIK3R1
XPC,CAV2
CBX7,PAFAH2
HCFC1,LPCAT2
HDAC11,OAT
XRCC6,NAPSA
MCM7,SPI1
SLA2,ICA1
REL,SLC44A2
ARNTL,CDKN1C
CTR9,PLXNC1
ZBTB20,SDC4
CENPK,SLBP
RORA,ARNTL
HNF4A,SHISA8
MAML3,SAMSN1
HIST1H1C,PRSS57
TCF19,OSGIN1
MCM5,GORASP1
MED16,APP
SPI1,TGTP1
MED16,IL17RE
RUNX2,PECAM1
MCM6,KBTBD11
RAD51,CTNNAL1
EYA2,FADS1
TLR4,GORASP1
TSC22D3,TMEM246
PHC1,TNPO1
VDR,CIPC
HDAC11,IDH1
TTF2,AFF3
TCF19,SIGLECG
SMARCA2,SLC25A53
EYA2,PCNA
MEF2A,RASSF5
TLR4,PQLC1
VDR,SESN1
NDN,IL15RA
ZBTB38,ARL8B
XRCC6,BC016579
RAI14,HEXA
MCM2,ITGB2
NFATC1,SMPDL3A
PA2G4,ARRDC4
VDR,TINAGL1
RAD51,MYCN
MCM5,PDE7A
MCM2,ROBO4
TLE2,LIG1
NDN,DUSP6
NFKB1,TBXA2R
BTG2,SNAP23
PBX1,TNPO1
VDR,SELENOP
VEZF1,CLEC12A
IRF6,MOGS
REL,CDCA8
ELF1,NAPRT
TRIB3,ACOX1
DACH1,CDCA4
REL,GM20559
KLF6,AP1S2
ZFP467,9030619P08RIK
MYCN,CTSW
HOXA9,GNG11
ZBTB38,RPTOR
HLF,FKBP9
MEF2C,TAPT1
VDR,DUSP5
MCM2,TRIM47
EYA2,SNAP47
IRF7,ITPR1
MAML3,CKAP5
HOXA9,NCEH1
DACH1,ZFP157
RBL2,RHOH
XPC,SERPINF1
PRDM5,TSPAN2
MED16,PDE12
VEZF1,GM4951
NDN,FHL1
IRF7,PHC1
MCM4,MAP4K2
DACH1,PRKCQ
MAML3,CSGALNACT1
MCM7,CYP2J6
MCM7,PRODH
PBX1,INKA1
MCM5,TESPA1
CENPK,PIP4K2A
MED16,CYP4V3
BTG2,MGAT1
MCM2,RNF13
IRF6,ZFP467
NFKBIA,USP3
PRDM16,DHFR
VDR,SYTL4
RAI14,GFI1B
SMARCA2,CD96
MCM5,NEURL3
PML,CD68
ZBTB38,BCL2
NDN,DENND1C
ZBTB20,AKAP8L
KLF10,TRIM47
KLF10,RIPOR2
MCM6,VDR
TRIB3,B4GALT6
NFKB1,PANX1
TLR4,DDX39
CLOCK,SLC39A13
PML,ABHD4
RAD51,APP
MAML3,BAZ2B
ZBTB20,ZFR
TRIB3,PHF8
HIST1H1C,CYC1
VEZF1,TIPIN
MLLT3,SESN1
MEF2C,CTSB
MCM7,HEATR5A
TRPS1,FRRS1
KLF6,CD68
PRDM16,RBM18
TAF12,B230219D22RIK
TSC22D3,LAX1
HLF,9530082P21RIK
PRDM5,SLC25A53
IRF6,ATP8B4
PGR,PIK3IP1
CBFB,IL4RA
DACH1,PLD4
CBX7,SESN1
NOTCH1,TFR2
NFATC1,NUP93
PBX1,CAV2
MEF2C,RRAS
EGR1,CTSC
HDAC11,CD34
XPC,MYOF
IRF6,CHST11
HDAC11,ELAC1
HNF4A,GM4951
SATB1,CD300A
DACH1,USP42
IRF7,CLEC12A
MLLT3,KLHDC8B
HDAC11,NEAT1
CENPK,ZC2HC1A
SMARCA2,KPNA3
REL,TRP53BP2
XRCC6,SZT2
MLLT3,GALM
MCM5,VSIR
MED16,GMIP
HNF4A,IIGP1
MCM2,P2RY14
RAD51,OAS2
GFI1B,TRPC6
BTG2,P2RY14
TCF19,SERPINB6A
MYCN,ICE1
CENPK,NAPSA
MCM5,ANKRD44
PA2G4,EMB
TRPS1,PEAR1
PRDM16,SH2D3C
CENPK,ICA1
MCM5,MEF2C
HLF,VIPR2
EGR1,RASSF2
ARNTL,GM8995
MECOM,GPRASP2
