TF,Target
HMGB2,KRT18
DACH1,RNF13
BATF2,EZR
TRPS1,SPNS3
RORA,IFI27L2A
NFIA,PSTPIP1
EPAS1,PPP1R15A
MCM6,SOX18
NOTCH1,FES
MCM6,AKNA
RORC,2610307P16RIK
PBX1,ABCF3
MEF2A,ADSSL1
NFE2,CTSS
RORC,RCSD1
HNF4A,MSH6
TEAD2,COPB1
HNF4A,2610307P16RIK
RUNX2,ITPR1
LDB2,MYO1F
HOXA9,PBX1
IRF6,MAP2K1
ID1,SESN1
NFE2,TRIM59
NUPR1,MUC13
PML,ICAM1
TRPS1,MYCN
PBX1,TSPAN6
NFIA,STK17B
ELL2,CDK19
RAI14,PLA2G4A
HDAC11,WBP1L
LZTS1,EMID1
RPS6KA5,VSIR
RBL2,CISH
PRDM5,PHC1
RPS6KA5,MYCN
AEBP1,BATF2
MEF2A,IGKC
TEAD2,MED16
HDAC11,C030034L19RIK
HNF4A,ITM2A
HOXA9,RMND5B
NUPR1,PHC1
NAP1L3,SOX18
NDN,MAN2A2
TRIB3,ALS2CL
CREB5,VAV1
ID1,MECOM
MCM5,REL
ZFP111,MAGED2
CTR9,HOXA9
MCM5,SNX30
RAD51,RNASE6
PML,HEXA
VDR,TFR2
VEZF1,DUSP6
CTR9,QARS
PGR,ULK1
TLE2,IRAK3
HOXA9,GIMAP5
SMARCA2,UBL4A
BTG2,RPS6KA5
VEZF1,MUC13
NFKBIA,GRINA
ZFP111,TIMM50
ELL2,MMRN1
NFATC1,CYP4V3
PGR,NCEH1
CREB5,GBP2
RAD51,PCMTD1
RORA,ULK1
ID1,HLF
MECOM,NAPRT
DEK,RBM18
EYA2,MAP4K2
PGR,FCGRT
ARNTL,NAPRT
MAML3,DHRS3
MED16,VEZF1
H1F0,IRAK3
CREB5,IDH1
NR3C2,GM20559
ZBTB20,CBX5
CD7,RNF213
REL,MECOM
DACH1,RAI14
MCM7,DOCK11
IRF6,CCL9
RBL2,ICE1
EPAS1,TOP3B
TSC22D3,PQLC1
PA2G4,NUPR1
HIST1H1C,CD7
MCM4,4930555A03RIK
ZKSCAN4,PLPPR3
NUPR1,BTG2
RBL2,SPNS3
HIF3A,FCGRT
NFATC1,TFEC
CTR9,PARP8
LDB2,MYO1G
DACH1,CSGALNACT1
PRDM5,ANXA5
HNRNPAB,HLF
CENPK,DUSP5
PRDM16,ITPR1
PBX3,NDOR1
HIST1H1C,TRPS1
GFI1B,ZBTB38
PRDM16,POR
ZFP111,MAPK11
ZFP111,SGPL1
SOX6,CTSL
KLF6,SNX10
CREB5,GEM
MYCN,MLLT3
THRB,GFI1B
NFIA,NAPRT
MEF2A,WFDC17
DEK,FES
EPAS1,TNFRSF13B
H1F0,CD93
MCM4,PPP1R15A
RAD51,RGS2
KLF6,TIE1
MIS18BP1,RNF125
PRDM16,SPO11
HNF4A,GM8995
TLR4,SNAP47
XRCC6,TRIB3
RBL2,ZFP367
MAPK11,PROCR
PBX1,CTR9
CREB5,H2-OB
KLF10,NUDT19
RBL2,IRAK3
XPC,TOMM70A
MLLT3,PLPPR3
HIF3A,MAMDC2
DEK,TPM4
HLF,HNRNPAB
CD7,HSPH1
CTR9,CCL9
PML,FGFR1OP
EPAS1,TIPIN
MEIS1,RPA2
PBX3,GM20559
CTR9,RORC
MCM7,PYGM
CENPK,MYCN
MAPK11,GEM
MEF2A,IFI27L2A
CREB5,NFAT5
SOX6,PDE7A
HIST1H1C,GM1966
NR3C2,ARL8B
DACH1,NCF1
MAPK12,TSPAN6
RUNX1T1,ARHGEF18
PA2G4,HIST1H1C
NUPR1,INKA1
GATA2,CD200R1
MEF2C,ARL6IP6
ZBTB20,IGTP
NFE2,FUT8
LDB2,APBB1
SMARCA2,ATP2B4
HMGB2,SCARF1
RORC,ELOVL5
KLF10,AKAP8L
NR3C2,CNP
CBX7,4930555A03RIK
HMGB2,ABCF3
HDAC7,PAFAH2
KLF3,SESN1
MAPK11,P2RX1
SOX18,ITGA6
TEAD2,EZR
NFKB1,HLF
PBX1,IRAK3
LDB2,SSTR2
FOXO1,CD7
NR3C2,ZFP120
MEF2A,NEAT1
KLF6,RASSF5
MAPK11,TRIM47
KLF6,RPS6KA5
EYA2,RARB
BATF2,PRDM16
EGR1,SDC4
TCF19,ZMIZ1
MCM6,MEIS1
RARB,ZFP120
DEK,SMPDL3A
KLF6,ASAH1
YBX1,DCAF4
KLF8,EMCN
THRB,CCL3
HLF,CD300A
CTR9,F2RL3
SLA2,ICAM1
RUNX2,NFKBIA
ANKRD6,PRDM5
PBX1,BACE1
HNRNPAB,ARL6IP6
KLF10,FCGRT
MCM6,RNF125
REL,ARL6IP6
SATB1,MAP4K2
ZFP111,CD93
XPC,ACOX1
IRF7,CD69
NUPR1,RNF141
TEAD2,UMPS
ZFP111,TRPC6
DEK,OTULINL
CD7,NDEL1
AEBP1,MYC
NFKB1,C030034L19RIK
MAML3,SERPINF1
RORC,KLF8
PML,SNX30
LZTS1,INKA1
MCM5,TREML2
IRF6,LYN
EGR1,FECH
EPOR,GM4759
HNF4A,FECH
PBX3,BCLAF3
TLR4,CTSC
E2F8,TEAD2
KLF10,GIMAP1OS
HNF4A,FGD2
PHC1,TGM2
HDAC11,GMFB
NUPR1,AC174780.1
NFKBIA,AFF3
TSC22D3,DUSP6
RARB,PGR
ZBTB38,LCK
ELF1,NAP1L3
MCM2,TRIM59
KLF8,DUSP2
TCF19,KCNK5
IRF6,PLIN3
RORC,F11R
GATA2,GRINA
FOXO1,GM1966
AEBP1,SSH3
KLF8,NCF1
MAML3,MSH6
TTF2,PGM1
RUNX1T1,RHOH
MAML3,2610307P16RIK
TCF19,SSTR2
MCM4,ELF1
MAML3,RCSD1
VEZF1,NAGA
TLR4,TLE2
TRIB3,ZBTB20
HIST1H1C,ANO10
GFI1B,TRPV2
TTF2,TNFRSF13B
NOTCH1,PBX1
HDAC11,CSF2RB
ZBTB20,CD48
HOXA9,XRCC6
RUNX2,MCM7
BATF2,DHRS3
TCF19,MCM7
ARNTL,NFE2
KLF10,KCNK5
XRCC6,HOXA9
NDN,ARHGAP15
HMGB2,DUSP2
E2F8,NUPR1
TSC22D3,CISH
SOX18,CYP2J6
PGR,CTSC
KLF8,FADS1
RBL2,SERPINB6A
E2F8,9530082P21RIK
EYA2,ARHGEF3
MCM7,PYGL
PRDM5,EFTUD2
PA2G4,POR
BTG2,PGR
KLF8,BACE1
THRB,HOXA9
MCM6,E2F8
ARID3B,KIF23
BTG2,GRAMD1A
MECOM,F2RL3
PHC1,HJURP
KLF3,ANXA4
RORC,GSN
KLF6,PSEN1
RBL2,PPT1
SOX6,CTSS
THRB,QARS
XPC,PECAM1
YBX1,IER3
PRDM16,ROBO4
RAI14,SLC7A4
CLOCK,ZDHHC17
PBX1,SQLE
AEBP1,OBSL1
SATB1,ANXA2
HNRNPAB,TAF12
ARID3B,UBE2L6
GATA2,KLF8
MEF2C,ARL8B
MAPK11,WFDC17
PA2G4,RAD51
TLE2,MAML3
TLR4,GPR65
ZFP467,HELLS
NFIA,FOXO1
MCM5,RAB38
PHC1,PPIC
XRCC6,STXBP4
TLE2,THRB
NFATC1,NUP88
MCM7,IGTP
TLE2,BTK
KLF8,TES
ZBTB20,CREB5
NFKBIA,EZR
CD7,EFTUD2
LDB2,HACD4
HDAC11,ABI1
YBX1,HIF3A
MAPK11,CTLA2B
AEBP1,SNX10
TLE2,CDK19
MECOM,ZFP367
MCM2,MEF2A
HDAC11,MTMR6
TSC22D3,F2RL3
HOXA9,B230219D22RIK
THRB,ABI1
PBX3,HEATR5A
XRCC6,PARVG
CBX7,NUP88
ELF1,ARID3B
HIST1H1C,LYN
RORC,GM4951
REL,CSF2RB
MYCN,SGMS1
RUNX2,POLD1
HDAC11,PRDM16
MEF2A,MN1
HDAC7,KLF3
PBX1,RAB37
NFKB1,UMPS
KLF6,VLDLR
EGR1,AKAP8L
YBX1,TXNDC11
BTG2,PRDM5
IRF6,SERPINA3G
HNF4A,AKAP8L
SOX18,TPM4
SMARCA2,GGT5
LDB2,H1F0
CTR9,NFATC1
KLF8,CYP51
MEIS1,4930555A03RIK
NR3C2,DOCK10
NOTCH1,PAQR5
ZFP467,ARL6IP6
KLF6,HNF4A
CLOCK,IL15RA
PBX3,PIK3CG
ZBTB38,F2RL3
RPS6KA5,SESN1
ID1,DUSP6
E2F8,AP1G2
HDAC7,FLT3
ZBTB38,RUNX1T1
PHC1,PEAR1
APBB1,TES
FOXO1,VSIR
FOXO1,MYCN
MCM2,CTSH
TLR4,1600014C10RIK
ARID3B,RBM18
ARNTL,NAGA
MCM7,ADSSL1
CLOCK,FGGY
PGR,GPR65
XPC,PRODH
MCM5,PA2G4
ARNTL,CDT1
THRB,CCL9
ZFP111,SLC43A2
NR3C2,9030619P08RIK
RARB,TMBIM1
KLF6,SCARF1
SMARCA2,TRIM47
VDR,CDK19
THRB,HEATR5A
RPS6KA5,MECOM
RORC,MYO1G
ANKRD6,GBP2
TCF19,HACD4
MYCN,IRF6
E2F8,TESPA1
CD7,MCM4
AEBP1,ANXA4
NFATC1,GMFB
ZKSCAN4,HIST1H1C
HIST1H1C,IL1R1
MCM2,CD7
APBB1,PLEK
MLLT3,FLNA
HOXA9,CD69
TRIB3,B230219D22RIK
HMGB2,CYP51
PML,HIST1H1C
HDAC7,GMFB
TTF2,CPQ
KLF3,CTSH
KLF10,CEP70
ID1,RAI14
KLF6,STXBP4
IRF8,COQ8A
MAML3,HMGB2
NFKB1,CPQ
HMGB2,ABCG2
MAML3,PRPS2
MECOM,CYP51
TEAD2,AMPD2
MEF2C,EMCN
ZBTB38,BACE1
IRF8,MAN2A2
RPS6KA5,TIE1
HIF3A,ATP2B4
HMGB2,HCFC1
NFKBIA,EMID1
THRB,F2RL3
XRCC6,VSIR
TEAD2,1700017B05RIK
APBB1,SOX18
ELL2,SAT1
NFE2,RBM18
EYA2,AP1G2
TCF19,MAST3
SOX6,FUT8
MYCN,CBX5
HIST1H1C,SMPDL3A
TCF19,PAFAH1B2
ZKSCAN4,IRF7
YBX1,SELENBP1
KLF3,CD7
TCF19,TRIM35
MEF2C,CSF3R
TSC22D3,RNASE6
NFATC1,ARHGEF18
ID1,DENND2D
ARID3B,RPA2
EPOR,PLIN2
HNRNPAB,RAI14
ELL2,RNF213
RAD51,ZFP467
PA2G4,PLA2G4A
HDAC11,SMARCA2
SOX6,TFPI
HMGB2,SQLE
ARID3B,CTSF
E2F8,HNRNPAB
NFE2,LYN
HDAC7,ARHGEF18
NFATC1,CERS4
MEF2A,GATA2
MCM6,ARHGAP15
LZTS1,GM8995
NFATC1,RNF13
H1F0,MED16
MEF2A,PRKAR2B
TAF12,EGR1
LDB2,PPIC
NDN,SLC18A2
MEF2C,ICE1
YBX1,MYCT1
PHC1,MEF2C
HNRNPAB,CSGALNACT1
VEZF1,EPSTI1
VEZF1,BTK
MEF2C,F2RL3
MECOM,SQLE
HIF3A,1600014C10RIK
PBX1,SHISA8
KLF3,MGAT1
NFE2,ZFP945
CREB5,GM20559
PRDM5,PRPS2
PBX3,FES
HOXA9,ASB13
ELL2,NFKB1
XPC,GGT5
HDAC11,BACE1
ANKRD6,MILR1
MYC,IGHM
CENPK,MAGED1
TRIB3,ITGA6
EPAS1,MCM5
MED16,NAPRT
TLE2,PGM1
CBX7,QARS
ESR1,SPNS3
NAP1L3,ROBO4
RAI14,IDH1
APBB1,IL18RAP
SATB1,SH2D3C
CTR9,DNAJC9
IRF6,CYBC1
SOX6,CD274
NUPR1,B4GALT4
PGR,PRODH
PHC1,NFAT5
NFKB1,TMOD3
NDN,SLC7A4
MCM4,IGHM
TSC22D3,RGS2
ARNTL,IL18RAP
HIST1H1C,IIGP1
RORA,FES
TRPS1,NUP88
VDR,E2F8
CBX7,TSPAN6
KLF3,STXBP4
MEF2A,KIF23
ELF1,EZR
ARNTL,MPL
ANKRD6,SLA2
NFATC1,TMOD3
RUNX2,PPIC
MIS18BP1,LRRFIP1
VEZF1,KLF8
MAPK11,MN1
ZBTB20,FUT8
MAML3,FUT7
RORC,KLF6
PBX1,GBP7
TAF12,SUGP2
MAPK12,RCN2
HMGB2,HSD3B7
CLOCK,TRP53INP1
NFAT5,MAN1A
TTF2,SLC6A6
ARID3B,NT5C3
MAML3,GMIP
CD7,F11R
TLE2,NR3C2
EGR1,EPOR
PBX3,SMPDL3A
REL,LONP2
EYA2,GM4759
VEZF1,DCAF4
BATF2,MAML3
ANKRD6,P2RY14
MAPK12,ANKRD6
MECOM,HSD3B7
SPO11,IL15
FOXO1,DACH1
PGR,SLA
LZTS1,B4GALT4
RUNX2,PAQR7
H1F0,HIF3A
BATF2,EPSTI1
RBL2,SLC2A3
NAP1L3,CSAD
EPOR,CEP70
MLLT3,DCAF4
ANKRD6,YOD1
IKZF1,CD200R1
TLE2,ITGAL
MCM2,DUSP5
TLR4,CBX7
CBX7,RAI14
ARNTL,PIP4K2A
KLF8,SLC35D3
MLLT3,TLR4
TLR4,RHOF
MCM5,NFKBIA
SOX6,UBL4A
BATF2,ZDHHC17
IRF6,ARHGAP27
PRDM16,ATP2B4
ZBTB38,PPT1
RUNX2,IL15
YBX1,BTG2
AEBP1,VDR
NFIA,FLNA
MED16,MGAT1
MEF2C,TBC1D5
TLE2,BIRC3
HNRNPAB,IL12A
MCM6,TPST2
HNF4A,POLD1
EGR1,STK10
RPS6KA5,SQOR
BTG2,RELT
TRPS1,UNC93B1
H1F0,CDCA4
TLR4,MILR1
NAP1L3,ICAM1
RORC,MAGED2
KLF6,LYN
ARNTL,MAML3
XPC,SPI1
ELL2,REL
RORC,SOX6
TAF12,HACD4
IRF8,FAAH
EPOR,SLC18A2
NUPR1,FUT7
ARNTL,EPSTI1
E2F8,GM28875
RORA,RELT
MAPK11,TOMM70A
IRF6,HDAC11
GFI1B,CYP2J6
NFATC1,DUSP2
XPC,SPNS2
SLA2,BC005561
RUNX1T1,BTK
SLA2,USP11
ZBTB38,NAP1L3
LDB2,MEF2C
ZFP467,NFAM1
ELF1,NDRG3
CTR9,WBP1L
TAF12,DDX4
EPOR,CHRNB1
FOXO1,ESR1
ZFP111,GM4951
CREB5,GATA2
ELL2,TRPC6
HOXA9,IL1R1
TTF2,MCM5
PHC1,DOK2
NFKBIA,NDEL1
SMARCA2,RASSF5
ZBTB38,HSD3B7
NFATC1,S100A6
SLA2,CTSL
XPC,DENND1C
KLF8,COPB1
HIF3A,SYTL1
TRIB3,LYN
THRB,SERPINB6A
NFKBIA,MCM5
NFATC1,MPRIP
NFE2,ADA
ELL2,NDN
ELL2,USP3
HNRNPAB,PLEK
IRF8,CASP12
MED16,TBXA2R
IRF7,MAGED1
MAPK12,CD52
VEZF1,PGM1
MCM4,CD93
HDAC7,MAPK12
CLOCK,TINAGL1
MED16,PRDM16
TRPS1,CSF2RB
NFAT5,SLA2
RAI14,SPI1
ELL2,METTL7A1
TLR4,SSH3
PBX3,ESR1
YBX1,RNF114
HDAC11,NGLY1
MCM4,TES
XPC,ZBTB38
ZFP467,SLC6A6
TLE2,MYO5A
RBL2,SATB1
MAPK11,CCNG2
CLOCK,MYCT1
TRIB3,ZFP945
TTF2,CD74
NOTCH1,GYPC
TLR4,P2RY14
NAP1L3,CEP70
MEF2A,ZFP945
TEAD2,FLNA
CREB5,PDZK1IP1
HDAC11,JUN
HLF,SGMS1
PRDM16,MAP3K2
CTR9,HDAC11
ZFP111,SLC39A6
XPC,SC5D
NFKBIA,CD74
HNRNPAB,HCFC1
PA2G4,HACD4
ARNTL,ARID3B
SLA2,PDE7A
HIF3A,RHOF
LZTS1,NUDT19
PRDM16,APLP2
IRF8,KCNK5
MIS18BP1,CNN3
HDAC11,NAP1L3
IRF7,HLF
ZBTB20,PRKAR2B
ARID3B,DENND1C
NFAT5,SPNS2
NOTCH1,HEATR5A
KLF3,DOCK10
MYCN,DOK2
NFATC1,IL12A
HLF,1600014C10RIK
SPO11,GEM
HOXA9,TMEM123
