TF,Target
NDN,GATA2
NFAT5,H1F0
H1F0,SQOR
BTG2,SQOR
MCM2,IL15RA
PRDM5,APLP2
TAF12,FUT8
IRF7,TAF12
SLA2,ALDOC
ZBTB38,PLCG2
TAF12,IFI27L2A
ZBTB38,CASP2
XPC,PGLYRP2
NFATC1,PRPS2
ZBTB38,DDX4
TSC22D3,MSH6
RBL2,UMPS
TSC22D3,RCN2
MEF2A,ART4
MLLT3,PLEK
SATB1,PAFAH2
NDN,PLEK
BTG2,PACSIN2
VEZF1,PACSIN2
PML,CTSS
NDN,PRKCQ
KLF10,CD9
KLF10,OBSL1
SLA2,CALCRL
CBX7,CYBC1
HIST1H1C,PIK3CG
H1F0,TCIRG1
NFAT5,TPST2
TAF12,SLA2
MEF2A,SERPINB1A
GATA2,CYBC1
SATB1,CSF2RB
NFATC1,SAT1
NOTCH1,SHISA8
MYCN,SLC28A2
KLF10,CALCRL
KLF10,RCN2
XPC,FUT7
MLLT3,GPRASP1
SATB1,PIP4K2A
MYCN,ITSN1
MLLT3,PAQR5
NFKBIA,DUSP1
MLLT3,GAA
TSC22D3,PRELID3B
TSC22D3,RNASE6
PRDM5,STXBP4
CBFB,TESPA1
MYCN,MYCT1
EYA2,RBL2
MEF2A,SLC2A3
VEZF1,IL17RA
PRDM5,RNASE6
PRDM5,MAGED1
SLA2,ANXA2
TAF12,NFAM1
TSC22D3,C030034L19RIK
SATB1,RASSF5
