TF,Target
MCM5,CD93
HLF,PLBD2
MIS18BP1,STRAP
NUPR1,RGCC
EPOR,ADSSL1
EYA2,SEPT8
IRF7,CASTOR1
HLF,TMEM106A
NFKBIA,SLC43A3
CENPK,OCRL
HIST1H1C,RHOF
ESR1,SLFN2
TCF19,CAD
CTR9,TLR7
ARID3B,PLXNC1
NOTCH1,SNX10
ZFP111,ARHGAP15
RUNX2,INSL6
CD7,INPP5K
SMARCA2,SLC12A2
PRDM5,CCDC112
HNRNPAB,TGM2
HNF4A,PLCG2
FOXO1,PAG1
TAF12,IGHV1-81
RAD51,CD7
NAP1L3,EPB41L4B
RARB,FUCA2
ARNTL,ZFP248
VEZF1,NAGA
HIST1H1C,CDCA5
E2F8,RASA4
TAF12,RAG2
KLF6,UBL4A
SOX6,LONP2
RAD51,NUP88
MAML3,VDR
PHC1,BTG2
PBX3,SERPINB6A
LDB2,NFKBIA
APBB1,MAP2K1
RBL2,JCHAIN
MCM2,TBXA2R
TAF12,UPP1
TLR4,PRIM1
IKZF1,ADSSL1
TCF19,PKIB
RUNX1T1,PRDM16
TAF12,SERPINF1
CD7,PPP1R9A
HIST1H1C,MAN1A
CREB5,GATA2
PBX3,KLF10
FOXO1,DUSP2
ELF1,TIPIN
MCM4,GP9
ANKRD6,S100A6
VEZF1,ADORA2A
LZTS1,E430014B02RIK
ZBTB38,AP1S2
GFI1B,IGHM
MECOM,LYN
TRPS1,RGS2
E2F8,MAML2
PGR,NDRG3
MAPK11,ASNS
TEAD2,PGM1
VDR,FKBP9
NFIA,MYO5A
PBX1,PLD4
LZTS1,P2RX1
KLF8,ARHGAP18
EPOR,TYMS
HNRNPAB,RORA
RORC,CSGALNACT1
SATB1,GMFB
SLA2,PRELID3B
PGR,SQLE
BATF2,MYCN
HLF,NDST2
ARNTL,PBX1
GATA2,CD200R1
MYCN,GGT5
ZKSCAN4,B230219D22RIK
PHC1,ARL8B
MCM6,VEGFC
JUN,F2R
NOTCH1,FAM111A
E2F8,NAV1
ANKRD6,CSF3R
SLA2,2810468N07RIK
NFKB1,DOK2
HMGB2,ARID3B
AEBP1,NEAT1
MEF2C,OASL2
MED16,TXNL1
TCF19,PSEN1
PHC1,CCDC112
XRCC6,MTMR6
TRIB3,CSGALNACT1
HIF3A,TMEM147
RORA,CD63-PS
RORC,HNRNPAB
IRF8,TSPAN14
HMGB2,TSPAN6
HLF,HNMT
EYA2,STRAP
PHC1,CLIP3
CTR9,MYCT1
NR3C2,SPI1
IRF6,RHOF
LDB2,TSPAN3
HDAC7,TSC22D3
HMGB2,TSPAN3
MED16,ANO10
MEF2A,FTX
ZFP111,MINDY1
KLF3,VEGFC
JUN,PIK3IP1
MLLT3,RGL1
SOX6,POLA2
MYC,EIF2S1
TSC22D3,CORO2B
H1F0,TFEC
ZBTB20,SLA
RORA,PHKB
RUNX1T1,IGHV1-81
CD7,SATB1
KLF3,LACTB
KLF8,SSH2
CBFB,THBS1
E2F8,ARID5A
ARID3B,CCNA2
MAPK12,MAP3K2
MCM4,AZIN1
MED16,UBE2L6
HDAC11,SNN
HCFC1,PAFAH2
MED16,ABCG2
ESR1,RPTOR
APBB1,IPCEF1
HDAC11,MGAT1
MYC,ARL11
RAD51,PROCR
SLA2,UBA7
KLF8,BTK
ID1,PRODH
PA2G4,SEPT8
HLF,ID1
REL,RPTOR
E2F8,ARHGEF39
GATA2,GBP5
TLE2,PCLAF
LZTS1,PA2G4
HIF3A,NASP
IRF7,ATAD2
HOXA9,SPNS3
XRCC6,PYGM
E2F8,SMPDL3A
ZFP111,SLC37A1
SPI1,FGFR1OP
CENPK,RNF114
TAF12,CASP12
THRB,SERPINB6A
TTF2,YOD1
SPI1,H2-AA
ZFP467,GCNT1
TCF19,GATA2
THRB,LY6A
E2F8,TPM4
ZBTB38,TAPT1
MCM2,CD93
CBFB,STRAP
ARNTL,GSTM1
TRPS1,SLC2A1
SOX18,RASAL3
MED16,HSPA1A
SPI1,MAML3
KLF3,DIP2B
XPC,MMRN1
ID1,TXNRD3
PBX3,STAM2
MECOM,MYO1F
MEIS1,4930555A03RIK
MCM6,PLBD2
MEF2C,DEK
MLLT3,FAM111A
CBFB,PYGM
IRF6,SLC12A6
ELL2,ST8SIA4
NOTCH1,GM1966
JUN,ATP8B4
MYC,ITGB2
NDN,EPOR
SPO11,DUSP5
RAI14,GP9
ARNTL,HAT1
TLE2,HDAC7
HNRNPAB,DDX39
ELF1,PRKCD
IRF7,NFAT5
YBX1,OTUB2
RARB,SLC22A3
ZKSCAN4,CD34
RAI14,SLC6A6
LDB2,IMPACT
HIST1H1C,NFKBIA
SOX6,CYTH3
NUPR1,PCLAF
NOTCH1,ABHD4
EPAS1,PIK3R1
GFI1B,AFDN
IRF6,MAP4K2
ESR1,ZKSCAN4
RARB,CTNNAL1
MCM2,MCTP1
TEAD2,RNF38
RUNX2,GM10384
CD7,PLXNA4OS1
ID1,HDAC7
ID1,RUNX1T1
E2F8,MPZL1
RORC,DTL
MIS18BP1,OAT
EPAS1,SELENBP1
YBX1,PLEKHA1
SOX18,PTGS1
EGR1,MCM4
PML,ICA1
ARID3B,IER2
DEK,MAN2A2
TLE2,CDC45
ELF1,RAB27B
PRDM5,ABCF3
GFI1B,PLA2G4A
RORA,PDE4B
HDAC7,IL1R1
NR3C2,MAPK11
SPO11,TCF19
ID1,DUSP6
REL,DHFR
ETS1,MAML2
RUNX2,UQCRFS1
MEF2A,FLNA
XPC,PLPP2
EGR1,FLNA
KLF8,TEX10
YBX1,STARD4
EPOR,PEA15A
RAI14,MEF2A
RPS6KA5,RNF13
ZBTB20,IGHV1-81
ARID3B,NUBP2
ZBTB38,SPNS3
NDN,CTSB
TLR4,ELL2
BATF2,CTNNAL1
RAD51,AC174780.1
ID1,PIRB
HIST1H1C,LY9
PGR,ALS2CL
LZTS1,YOD1
HDAC7,TM6SF1
PBX3,MPL
RBL2,RIPOR2
CBX7,QARS
NR3C2,DCAF4
MYCN,GMIP
HIST1H1C,SLCO3A1
ARID3B,PA2G4
MEF2C,TTC39B
CLOCK,GEM
THRB,LDLR
TTF2,NDN
MAML3,ECE1
ZBTB20,CBX7
NR3C2,EEPD1
THRB,IRF6
PA2G4,KLF6
PML,BLNK
ANKRD6,F2RL3
HOXA9,RASSF2
HIF3A,AZIN1
NOTCH1,ME2
ESR1,THBS1
ARID3B,DUSP6
MAML3,GPR160
TRIB3,GSAP
HMGB2,PAG1
EYA2,RUNX2
NFKB1,PRKCQ
BTG2,LY9
KLF6,PLCG2
PBX1,SPO11
MAPK12,PRKCD
NFIA,SLC26A11
HMGB2,FAM169B
PRDM5,MICAL1
PRDM5,GBP2
MEF2C,CDT1
PRDM16,ENDOD1
RARB,EIF3G
IRF8,UBL4A
RORA,GIMAP8
MCM7,MYC
ARID3B,GUCY1A1
TRIB3,THBS1
ZFP111,CIPC
VEZF1,ZBTB20
IRF7,PSEN1
ZFP111,LYZ2
APBB1,SELL
