TF,Target
PEG3,GM20721
DAB2,SHKBP1
TRIM28,TNS4
ID1,RPS27RT
KLF6,MIR669A-1
SMAD7,PLOD3
SOX2,GCLM
PCBD1,SNORA44
PHC1,EDA2R
TCEA3,SMS-PS
KLF2,HIST1H2AK
ILK,GFPT2
TGIF1,LNCENC1
BMP4,PATJ
BCL3,FOLR1
NR0B1,SOCS2
HSPB1,RHOX5
TRP53,LAMB1
KLF2,L1TD1
CCND1,CTSD
TFCP2L1,MYO7A
MCM6,SMS-PS
ZFP42,NFXL1
KPNA2,LRRC2
TCEA3,GM23569
TCF7L2,SNHG3
SOX7,ITGA3
POU5F1,CLCN5
RBBP7,KLF6
AKT1,FN1
PEG3,BUB1B
POU5F1,AURKA
FOXH1,PTPN14
ESRRB,AF357399
MYBL2,GM25057
PEG3,GM27640
CBX7,GHR
TRIM28,APOBEC3
SMARCA2,HS3ST1
MSC,SLC38A4
MYBL2,MIR467C
MYCN,MIR467C
MYCN,NUSAP1
HIST1H1B,ATP13A3
PCBD1,GLS
CBX7,HIST1H2AN
TCF7L2,HIST1H4K
MDM2,AY036118
ILK,KDELR3
CREB3L2,CDH1
XBP1,SMS
ZBTB10,MIR1905
POU5F1,SNORD72
PEG3,KDELR2
MCM6,HIST1H2BF
KAT2B,GM22166
EPAS1,GM44390
EGR1,SPINK1
ZFPM1,SRM
EGR1,GM17545
TRP53,MANF
MYBL2,HS3ST1
UTF1,SNHG3
NANOG,GM43521
ZFP42,GM3724
MDM2,GM24523
GATA6,GORASP2
RLIM,GM25263
SMAD7,FNDC3B
KDM5B,TYRO3
KPNA2,GM26060
PARP1,GM9531
HMGA1,GALK1
AKT1,SORD
ILK,SNORA30
ZBTB10,GM27743
TGIF1,ITM2B
ZFP42,MFGE8
CBX7,RLIM
HNF1B,CKAP4
TRIM28,GM25451
TRIM28,CDCA7
HIST1H1D,SMAD7
HSPB1,ITGA3
KLF2,CDKN1A
EHMT2,SPOCK1
JARID2,BEND5
HSPB1,XBP1
DNMT3L,SRGN
ZFPM1,CARMIL1
KAT2B,WDFY1
DTX1,CENPV
ETS1,ANXA2
ZBTB10,RPL15-PS3
TCEA3,TCL1
DTX1,STMN1
ELF3,PLEKHA7
GATA4,SERPINH1
FOXH1,KPNA2
BMP4,EPAS1
DNMT3B,HIST1H3H
DNMT3B,RRAS2
BHLHE40,GM22858
PEG3,MARCKS
ETV5,GM23288
CITED2,UBQLN2
HNF1B,SNORD43
TGIF1,NXF7
DNMT3A,GM24455
TRIM28,CDH1
TCEA3,RENBP
KLF2,GM26060
SOX7,SLC6A6
SOX2,GM43107
NFATC2IP,PNP
ZBTB10,GM10052
PEG3,WDR1
HIST1H1B,PODXL
MSC,PATJ
DAB2,GAS6
PCBD1,SNORD11
RUNX1,GM10012
ID2,MRAS
TCF7L2,TINAGL1
SOX17,PIPOX
DTX1,HTRA1
BTG2,PHC1
ZFP42,ARHGAP29
TCF7L2,RLIM
TFEB,GM22091
HSPB1,GM37784
NR0B1,MYMX
PEG3,RUNX1
FOXH1,GM7993
SOX17,SLC26A10
RLIM,HSP90B1
CREB3,MRPL23-PS1
MYCN,NFATC2IP
RBBP7,RRM2
TRP53,ASAH1
NFATC2IP,GM22468
NFXL1,GM28900
ILK,TMEM9
RBPJ,GM37917
MSC,FAM102A
ELF3,SETX
MDM2,LDLRAP1
BMP4,FRRS1
XBP1,EIF4A2
TGIF1,GM44450
ZFPM1,GM15899
NFATC2IP,GM10182
MYCN,CCND2
ZBTB10,LAMC1
TCEA3,CKB
BHLHE40,SGK1
ZFPM1,GM24494
PARP1,SNORD17
DNMT3B,CTDSPL
NR0B1,ENAH
ELF3,HTRA1
TAX1BP3,MIR3082
ETV5,SNORD70
SMARCA2,LGALS3
RBBP7,GM5616
TGIF1,DNAJC3
ELF3,ITGA3
ETS1,ECT2
EPAS1,EGR1
BHLHE40,SOX2
TAX1BP3,CAR2
TFCP2L1,MIR669I
