TF,Target
KLF2,GM25943
XBP1,GM43107
KPNA2,MIR466O
PEG3,SLC26A10
NFXL1,PHLDB2
JARID2,GM25673
PEG3,DPP4
GATA6,ERP29
CREB3L2,GM13597
BHLHE40,MT2
ZFP42,GM10052
HMGA1,GM26156
ZFP42,HIST1H1A
CREB3,IFITM2
ESRRB,MIR5121
NR0B1,MARC2
HSPB1,PDPN
PHC1,MYBL2
ELF3,NUTF2-PS2
TAX1BP3,PHC1
POU5F1,MT-TF
JARID2,AU018091
HIST1H1D,RPL15-PS3
BHLHE40,SLC7A6
SOX2,GM42429
GATA6,GM14870
HIST1H1B,COTL1
FOXQ1,DPPA4
DNMT3A,RHOX5
KLF2,RRM2
NANOG,GM44335
DAB2,GM22858
HSPB1,RPL22L1
BHLHE40,FDPS
NFXL1,GM24761
FOXQ1,PHLDB2
FOXQ1,GM27501
SOX17,GM10052
SOX17,CEMIP
NFXL1,LY6G6E
PCBD1,2410141K09RIK
HIST1H1D,GM25451
DNMT3B,HIST1H2AH
BCL3,TXNDC5
CCND1,CALCOCO2
CREB3,SNORD32A
GATA6,AU018091
NR0B1,GM27406
DNMT3L,HKDC1
PHC1,NFXL1
RBPJ,GM44335
PML,PHLDA3
ELF3,GM26287
DNMT3L,GM28900
SOX17,ZFP42
TGIF1,MORF4L2
NANOG,PDCD4
BHLHE40,BNIP3
PCBD1,SLC2A1
HSPB1,CTSL
KDM5B,FAM234A
PCBD1,GM44390
HMGA1,SNORA81
SOX17,RNU73B
KDM5B,SNORA74A
HIST1H1B,TYRO3
NR0B1,SRGN
BHLHE40,GM24289
MYBL2,CD63
RBPJ,ETV5
NANOG,TRH
PEG3,SERPINE2
SOX2,HMGA1B
PHC1,FLRT3
HIST1H1D,AY036118
DNMT3B,GM23413
GATA6,CEMIP
DNMT3L,PLK1
CCND1,IFITM3
POU5F1,GM42429
ZFP42,GLIPR2
DNMT3A,TNS4
HMGA1,GM27406
KPNA2,HIST1H3I
ESRRB,HIST1H2BN
SOX7,GM22862
GATA6,LRPAP1
SOX7,IFITM2
MYBL2,PLOD2
HIST1H1B,RPL15-PS3
POU5F1,NSD2
JARID2,GM26073
RBPJ,GM27406
NANOG,JAM2
BCL3,CREB3L2
TGIF1,DAB2
CREB3,CDC20
XBP1,PEG3
ZFPM1,APOE
CCND1,PSRC1
HMGA1,GM6136
KPNA2,GM21962
ESRRB,CTSL
DNMT3B,RAB11A
HIST1H1D,GM26491
NFXL1,SPINK1
PEG3,GM24494
HSPB1,GM24761
POU5F1,HIST1H2AF
KAT2B,GM25040
HIST1H1D,CAR2
KPNA2,SNORD49A
HIST1H1D,P4HA1
XBP1,GM25451
DNMT3B,TAX1BP3
XBP1,GM43521
DNMT3B,MIR466O
JARID2,SPP1
GATA6,FGF10
FOXQ1,GM27406
ETV5,SNORD65
EPAS1,TIMP2
RBPJ,HSPA5
BHLHE40,MIR7005
HSPB1,ZFP989
GATA6,GM28960
GATA6,SNORD32A
RBPJ,MIR5117
MYBL2,COL27A1
BCL3,BNIP3
HSPB1,KPNA2
KLF2,GM7329
TRP53,GM23413
ZFPM1,ERP29
ZFP42,OPLAH
RBPJ,MEG3
GATA6,FGF4
HMGA1,GM43535
CCND1,LRPAP1
KDM5B,TPD52
KAT2B,TFCP2L1
CREB3,CTSZ
FOXQ1,MIR669A-3
DAB2,GM25535
NFXL1,MIR7005
HMGA1,CALU
JARID2,SRGN
PCBD1,MARC2
KPNA2,PGAM1-PS2
FOXQ1,MIR466B-4
POU5F1,MIR669A-3
TFCP2L1,ADAM19
MYBL2,MOV10
EPAS1,RHOX5
SOX2,TDH
ETV5,RNF157
GATA4,TENM4
ESRRB,GM15452
BHLHE40,AY036118
JARID2,LNCENC1
UTF1,GM38312
CREB3,SERPINE2
RBPJ,ZFAS1
MYBL2,MEG3
CREB3L2,SDC4
FOXQ1,SURF4
CREB3,HIST1H3H
KDM5B,PTH1R
ZFPM1,GM29397
TGIF1,PCOLCE
TAX1BP3,SNORD70
HIST1H1B,HIST1H3I
CREB3,MEG3
SOX7,DPP4
ZFP42,DKC1
DNMT3B,TPD52
NANOG,HIST1H4N
MYBL2,PRXL2A
DNMT3B,APOBEC3
TRP53,TAX1BP3
PEG3,FGFR3
UTF1,GM28030
JARID2,MT1
BHLHE40,IFITM1
HIST1H1B,GM22858
DAB2,SOX2
FOXQ1,CTSA
DNMT3L,BNIP3
DNMT3A,NUTF2-PS2
DNMT3B,GASK1B
EPAS1,MYBL2
TAX1BP3,MIR466B-4
PML,NUP210
NANOG,GM14870
TFCP2L1,DPPA4
XBP1,SGK1
RBPJ,KAT6B
DNMT3L,GM27406
ESRRB,FGFR3
EPAS1,CALU
PEG3,CREB3L2
KPNA2,FDPS
POU5F1,HIST1H2AP
NR0B1,SNORD49A
JARID2,LAMC1
GATA4,CLDN6
SOX17,TDH
HMGA1,DAB2
TGIF1,ZFPM1
DAB2,CAR2
DAB2,GM25835
HIST1H1B,GM22884
HMGA1,NDRG1
SOX17,DNMT3L
NANOG,OPLAH
MYBL2,GM9531
CREB3,BCL3
NANOG,LAMB1
TAX1BP3,FST
MYBL2,HIST1H3H
HIST1H1D,SRGN
PML,HIST1H2AP
CCND1,DUSP9
SOX17,COL4A2
