TF,Target
RBPJ,ALPL
BCL3,GM44310
EPAS1,PNRC2
TRP53,SEPT1
TRP53,SLC45A4
TGIF1,NUSAP1
MCM6,MAGED1
PHC1,LAMA1
HNF1B,STARD8
NFXL1,GM43521
CREB3,GM27406
ETV5,MIR291B
HNF1B,CTSZ
PML,GNPTAB
PARP1,TMEM9
KLF2,HIST1H4K
ETS1,HKDC1
NFXL1,RBBP7
SOX7,PSRC1
ELF3,GM24451
DAB2,ARFGAP1
ETS1,DUSP9
PARP1,SNORD49B
ID1,PRPS2
TGIF1,STAG3
DAB2,CALD1
PEG3,ZFP989
NR0B1,GM24201
MYCN,F2R
EHMT2,SLC7A3
ZFP42,MYO18A
MDM2,SLC6A8
ID1,GM23368
ZBTB10,PHC1
EGR1,DPPA2
ELF3,ASAH1
TCEA3,VIM
HSPB1,LEFTY1
KLF6,GM22455
BCL3,GM38009
ID2,MIR1192
RBPJ,RASGRP2
SMARCA2,SLC20A1
ID2,TRIM2
CREB3,IFITM1
BTG2,AU018091
CREB3L2,SNORD43
KLF2,GM10337
DTX1,SNORD83B
MYCN,TDGF1-PS1
TGIF1,PTH1R
TRIM28,STMN1
CITED2,ALG13
XBP1,GM8355
SMARCA2,L1TD1
CCND1,CCNE1
SOX17,GM43558
TGIF1,GM22200
EHMT2,GSTA4
KLF3,GPA33
TCF7L2,GM21962
TFEB,P3H2
JARID2,CTH
CITED2,GM23569
SMARCA2,GM23569
NFATC2IP,GM26229
KDM5B,LRRC8D
KLF2,SNURF
AKT1,FDPS
ILK,PDCD4
PML,SPRY4
EGR1,DNMT3B
MCM6,FGFR3
TAX1BP3,CCND2
TGIF1,MIR3091
KLF3,ENO1B
CREB3L2,DPP4
BTG2,GJB3
TCF7L2,HIST1H2AK
RBBP7,ZFP42
TRIM28,CRYBG2
KLF2,TSPAN9
FOXH1,WDR45
TGIF1,GM22862
HSPB1,ZFP532
ZFPM1,MIR466L
HMGA1,GM9385
FOXQ1,GATA6
SMARCA2,APOBEC3
NR0B1,RAB11A
ID2,GM26426
RBPJ,VANGL1
TRP53,GM23651
RUNX1,GM26426
CBX7,CALM1
TRP53,TFCP2L1
TGIF1,IGFBP2
FOXQ1,DNMT3A
KLF3,MIR6357
PEG3,GM10169
KDM5B,CST3
HIST1H1D,GM44346
BTG2,ECT2
NFATC2IP,PNP
MSC,SGK1
ZFPM1,STAG3
KLF2,OPLAH
CCND1,MIR466L
CITED2,COTL1
KPNA2,SNORD35A
DTX1,ARF4
TRP53,ANXA5
EED,MIR1949
BMP4,EHMT2
ILK,GM4617
SUZ12,NXF7
ID1,GM23600
GATA4,CBX7
KLF6,OBSL1
BMP4,ABHD5
BMP4,PHLDB2
BTG2,CARMIL1
ID1,ALPL
PARP1,PRDX1
ELF3,GM15181
SMARCA2,GM9531
TRIM28,CARHSP1
PARP1,CRYBG2
PEG3,SNHG3
TFEB,CDIPT
SOX2,SNORD49B
BCL3,COL4A1
PML,HIST1H2AP
CREB3,CTSZ
KDM5B,GM25316
ID1,SMS-PS
ZBTB10,GM22620
DNMT3L,PLTP
ETS1,ZFAS1
DAB2,GM23344
TCEA3,SLC20A1
FOXQ1,RFFL
PCBD1,GM43002
TRP53,GM22677
KLF6,VEGFA
SMAD7,TDGF1-PS1
NFXL1,PLXNA1
BHLHE40,GM23632
MYCN,TXNDC5
DNMT3A,GM29397
RBBP7,MIR186
SOX17,MT-TP
TFEB,CCND3
PEG3,FLRT3
UTF1,GJA1
ETV5,CENPV
MYBL2,RRAS2
BMP4,RPL22L1
CITED2,SELENOW
FOXH1,MORF4L2
EED,MIR5121
NFXL1,ENO1B
EPAS1,DNMT3A
EHMT2,GM49347
RBPJ,MIR669A-1
BCL3,MIR466L
NFXL1,HK2
NR0B1,PLA2G1B
PML,KRT8
EED,RPL15-PS3
ID2,MAN1A2
SOX7,TPM4
GATA4,LGALS3
EED,TNK2
ZFPM1,GM22862
PARP1,LAMB1
CBX7,MIR297A-2
KAT2B,RAB3IL1
SMAD7,CSRP1
KLF6,IGF2
MYBL2,GM6158
SMAD7,ODC1
GATA4,IL6
EHMT2,GM14303
ZFP42,TIMP3
KPNA2,PLXNB2
PEG3,DTX1
DNMT3A,GM28439
DTX1,GM44364
RBPJ,NUSAP1
ZFPM1,FST
TAX1BP3,PTPN14
NR0B1,SPSB1
RUNX1,NFATC2IP
EHMT2,STMN1
DNMT3A,GSN
CCND1,PDK1
BTG2,MIR1957A
MSC,MARCKS
NR0B1,GM23497
EGR1,PARVA
ID1,GATA6
PARP1,TRH
KAT2B,CLCN2
CITED2,GM21748
HSPB1,AHCY
EGR1,FXYD3
XBP1,DCXR
HIST1H1D,OBSL1
MDM2,PLAT
NFXL1,LAD1
KPNA2,BCAT1
ZBTB10,DAB2
XBP1,RCC2
