TF,Target
HIST1H1B,DPP4
PEG3,HSPA5
MYBL2,UBE2C
KPNA2,GLIPR2
TAX1BP3,GM25500
UTF1,GM26318
PCBD1,TDGF1-PS1
DNMT3B,BCL3
DNMT3L,MEG3
KAT2B,GM9385
DAB2,RRM2
DNMT3L,GM23344
TFCP2L1,IGF2
TRP53,PDGFRA
SOX7,GM37746
DNMT3A,HIST1H3H
RBPJ,GM6136
SOX7,OPLAH
NR0B1,P4HB
ETV5,RRBP1
HMGA1,GATA4
NFXL1,PLAT
HIST1H1B,GNPDA1
RBPJ,SNORD110
DNMT3B,LMF2
HSPB1,SEC24D
KDM5B,GM23158
TFCP2L1,TMEM150A
CREB3L2,RCC2
CCND1,CTSD
FOXQ1,GM26092
PML,PLTP
KPNA2,SNORA65
KAT2B,HIST2H2BB
TAX1BP3,SLC16A1
KPNA2,PHLDA3
FOXQ1,HIST1H2BF
DNMT3L,RNF157
PHC1,GM26447
CREB3,GM23262
CCND1,SOX17
DAB2,JARID2
NR0B1,NFXL1
SOX7,ERP29
HIST1H1B,KAT6B
ZFPM1,EPS8
DNMT3L,TCL1
KPNA2,BHLHE40
BHLHE40,SLC16A1
DNMT3B,SEPT1
FOXQ1,LOXL2
SOX17,TRP53
TGIF1,HIST1H2BN
DNMT3B,EIF4A-PS4
DAB2,ATP6V0A1
RBPJ,GLDC
KPNA2,GM44346
POU5F1,2210409E12RIK
GATA4,TFCP2L1
XBP1,GM15459
XBP1,NANOG
GATA6,CREB3
TAX1BP3,ERP29
PEG3,KDELR2
ETV5,GM9385
TGIF1,P3H4
FOXQ1,HSPG2
RBPJ,MT-TF
HIST1H1D,GM44335
MYBL2,GM22455
HSPB1,FAM25C
DNMT3A,NSD2
SOX7,AF357399
PHC1,TOP2A
HMGA1,MIR8094
UTF1,GM9385
SOX7,GM22678
KAT2B,TINAGL1
KLF2,BCAT1
ELF3,SNHG12
DNMT3A,TAX1BP3
TGIF1,GM22072
DAB2,ALG13
CCND1,GM24761
TFCP2L1,PDGFRA
BCL3,ASS1
NR0B1,SNORD93
ZFP42,SNORD93
TGIF1,RCN3
KAT2B,GM25943
HIST1H1B,TNS4
ESRRB,AKR1B8
ETV5,LDHB
ZFPM1,DKC1
TFCP2L1,SPRY2
KAT2B,NDRG1
BHLHE40,GM25943
KLF2,B2M
TRP53,FAM25C
PEG3,P3H1
XBP1,GM49347
PCBD1,MIR7003
NR0B1,GM15459
BHLHE40,ME1
EPAS1,UPP1
PML,FAM129B
PCBD1,GM38312
PCBD1,GM44429
GATA6,GM37376
HSPB1,GM27743
KLF2,SNORA26
HSPB1,GLIPR2
DNMT3L,SOX7
NANOG,GM22925
ELF3,GM25673
NFXL1,GM24488
DNMT3L,P4HA2
KPNA2,APOE
PHC1,INSIG1
SOX2,APOBEC3
FOXQ1,ZFP987
PEG3,LTBP4
RBPJ,HIST1H2AN
BCL3,HIST1H2AI
TAX1BP3,GM22455
JARID2,GM28439
BCL3,FGF10
SOX7,MANF
ETV5,F3
MYBL2,PDK1
JARID2,FOLR1
UTF1,MIR8091
NFXL1,BEND5
NFXL1,CKB
FOXQ1,GM20721
PML,BNIP3
XBP1,GM10717
HIST1H1B,GM23344
NFXL1,MME
HSPB1,KDM5B
CREB3L2,DPPA2
KLF2,GM28900
NFXL1,GM25753
CREB3L2,PCOLCE
TAX1BP3,MRPL23-PS1
FOXQ1,GSTA4
JARID2,MIR8091
BHLHE40,GM10052
TAX1BP3,DNMT3A
HMGA1,MIR466B-6
KDM5B,CTSD
KAT2B,HKDC1
CREB3,COL4A2
CREB3L2,PODXL
KPNA2,APOBEC3
HIST1H1D,GM24916
ESRRB,GM23344
HIST1H1D,SOX7
DAB2,GM7329
KPNA2,DNMT3B
HMGA1,IGFBP2
KPNA2,GM24315
DNMT3L,KAT2B
XBP1,MT1
ETV5,SOAT1
FOXQ1,GM26318
ETV5,ME1
NFXL1,GM22411
GATA6,SLC26A10
ETV5,HSPB1
UTF1,GM25943
RBPJ,STARD8
TAX1BP3,ITPK1
HIST1H1B,FGFR3
KLF2,NDRG1
SOX2,MIR669G
BCL3,BNIP3
DNMT3L,HSPA5
KLF2,STARD8
KPNA2,GM25451
TRP53,P3H1
CCND1,SNORA65
KPNA2,CDC20
XBP1,HIST1H1B
CREB3L2,LGMN
PHC1,GM23571
TRP53,PHLDA3
XBP1,DNMT3L
CREB3,CUBN
TRP53,CHCHD10
EPAS1,PLK1
CREB3L2,BASP1
SOX7,GM10259
KAT2B,HIST1H4D
KPNA2,GM47315
ELF3,FRMD4A
JARID2,NR0B1
PML,GM26491
KDM5B,HSPA5
GATA4,MIR1949
HMGA1,GM24488
PEG3,GM13597
EPAS1,GM26156
CREB3L2,LEFTY2
POU5F1,GM15452
KLF2,CUBN
KAT2B,PDK1
ZFPM1,GM22925
SOX2,SNORD93
SOX17,TFCP2L1
NFXL1,TXNDC5
MYBL2,PGAM1-PS2
FOXQ1,ANXA2
RBPJ,PCBD1
SOX17,TPM4
TRP53,GM44346
HIST1H1B,MIR677
PCBD1,CDC20
MYBL2,EIF4A-PS4
HIST1H1B,PGAM1-PS2
HIST1H1D,SLC2A1
RBPJ,KDELR2
ETV5,TNS4
FOXQ1,MYLPF
SOX2,GM15459
MYBL2,GLDC
EPAS1,EPS8
KLF2,GM8355
ZFPM1,GM23569
