TF,Target
EPAS1,SERPINE2
RUNX1,PDCD6IP
ZFPM1,TAGLN2
NFXL1,CCN2
PEG3,RPL23A-PS3
BHLHE40,FLNA
BHLHE40,JAM2
NR0B1,GSR
HMGA1,MRPL23-PS1
ZBTB10,GM47315
RUNX1,LRPAP1
KDM5B,TXNIP
FOXH1,CRELD2
SOX17,SPSB1
EGR1,ZFPM1
EGR1,MCM6
TET2,GM10259
RUNX1,SNORA81
BHLHE40,LY6G6E
TET2,GM4617
ETV5,GM44346
BNC2,SLC25A5
MYCN,FBXO5
NFXL1,PML
ZFP42,GM25193
GATA6,GLMP
POU5F1,PTH1R
ESRRB,EPHA4
BHLHE40,ARHGEF40
TFEB,MIR6357
ZFPM1,CTNNAL1
BNC2,HIST1H2AL
ETS1,SERPINE2
GATA4,AMFR
ZFP57,ID1
TET1,PDE4DIP
XBP1,GM26447
SOX2,MIR669K
NR0B1,GJB5
PLSCR1,HIST1H2AC
BNC2,ARHGEF40
NR0B1,LRRC8D
FOXH1,COL4A2
PEG3,SLC25A5
ESRRB,TPD52
KLF2,APAF1
PLSCR1,GM23245
HNF1B,SNX1
TET1,EDA2R
KLF6,LOXL2
ELF3,HSP25-PS1
ETS1,SNORA73B
EGR1,ELF3
RBPJ,HIST1H1B
NANOG,HIST1H4N
PEG3,GM10052
KDM5B,MIR669A-1
FOXQ1,TFEB
GATA6,SFMBT2
HNF1B,ABCC5
XBP1,TYRO3
BHLHE40,GM22030
GATA6,PDIA4
ETV5,MFSD1
CREB3L2,NR0B1
POU5F1,BCAM
KLF4,TTC7
KLF3,FGF10
SOX17,PLK1
NFXL1,VILL
ZFP57,HIST1H4K
KLF3,GM42413
TFEB,GM26287
KLF6,IDI1
ELF3,MIR3535
MYCN,EHD1
ZBTB10,ANP32A
NFXL1,LEFTY1
FOXQ1,NEU1
EPAS1,ZC3H7A
TGIF1,GLIPR1
GLMP,SNORD93
TCF7L2,GM22030
TET2,TDH
ELF3,GM23571
XBP1,GM2399
XBP1,GM26426
MYBL2,PATJ
ETV5,GFPT2
GATA6,MIR6928
TCF7L2,GJB5
SOX17,TCN2
SOX2,GM22677
HNF1B,KDELR2
PEG3,LGALS3
TGIF1,RIAN
SOX2,GM43108
TET1,BNIP3
SOX2,TMEM9
ETV5,ADGRE5
TFEB,RAB11A
ETS1,MSMO1
BHLHE40,HSPG2
ETS1,WDR45
KLF6,FRRS1
GATA4,GM26431
FOXH1,MIR3082
HNF1B,HIST1H2AP
NFXL1,POU5F1
GLMP,SERPINE2
TCF7L2,ADAM19
CREB3,GM22353
MYBL2,TOP2A
ZFPM1,HSP90AA1
ETV5,DNMT3L
ETS1,STAG3
KLF6,MIR5117
CREB3L2,ZFP532
ZFPM1,MID1-PS1
FOXQ1,CD63
KLF3,PNRC2
SOX7,NANOG
TET2,GDPD5
MYBL2,RPS25-PS1
ZFP42,CCN2
ZFP57,GM15247
TET2,MIR466B-6
ETS1,KLF6
MSC,GM23566
GATA4,RNU73B
TFCP2L1,AF357399
ESRRB,ENAH
KDM5B,LRRC8D
KLF6,CEMIP
ZFP57,GM22571
MYBL2,RFFL
ZFP42,CTSD
TCF7L2,SLC1A5
SOX17,RESF1
PLSCR1,GM8355
EPAS1,GM10012
FOXQ1,IFRD1
MYBL2,IDI1
BHLHE40,PHC1
NFXL1,ESRRB
FOXQ1,GM17545
SOX2,COTL1
MYBL2,GM25117
TET2,RPL17-PS10
HNF1B,HELLS
SOX2,SLC38A4
NANOG,GM22571
FOXQ1,GM15421
KDM5B,EPS8
TFCP2L1,GM24761
KLF3,ABCC5
POU5F1,P4HA2
MSC,GLIPR2
MSC,RRAS2
ZBTB10,CAR2
TFEB,CDC42SE2
SOX2,AGPAT4
BHLHE40,FZR1
KLF4,PDE4DIP
TFEB,MIR291B
TET1,SLC38A4
EPAS1,GM22620
CREB3,MIR297A-2
FOXH1,GRB10
CREB3L2,FOXQ1
MYCN,ST5
TCF7L2,GM24523
KLF6,GM5616
KLF2,SSR3
TFEB,ADGRE5
KLF2,GM27624
EPAS1,FRRS1
ETV5,LDLRAP1
BNC2,GM44429
TFEB,NUTF2-PS2
EPAS1,MIR669E
NANOG,ADAMTS9
GATA6,RAB3IL1
KLF3,GM15452
SOX17,GM25943
EPAS1,MYO18A
BNC2,SNORD110
ETS1,SNORD110
KLF6,CAR2
MYBL2,TPM4
RBPJ,PLK2
MSC,SNORD33
MYBL2,GM14303
RBPJ,PMM1
KLF2,UCP2
ESRRB,SPSB1
TCF7L2,GM44429
ZFPM1,GNPDA1
SOX2,DDAH2
GATA4,GM26156
PEG3,CTSD
SOX2,TPX2
KLF4,CDCA7
CREB3,GM10108
ZFPM1,HIST1H2AC
KLF6,STAG3
TCF7L2,GM10169
KLF3,GM24339
CREB3,GM25057
PLSCR1,ADGRE5
TET2,CYP26A1
KLF4,GDPD5
XBP1,MIR3091
ELF3,PML
CREB3L2,RRM2
TFEB,GM24761
BNC2,TUBB6
EGR1,RCC2
FOXH1,SLC20A1
EPAS1,TSPAN9
TGIF1,GM49369
PEG3,ABCC5
RBPJ,GM23566
KLF3,RBBP7
TFEB,MSI2
TGIF1,MKRN1
SOX17,SNORD93
ETV5,ARF4
HMGA1,VSIR
MYCN,PLXNB2
TFCP2L1,FN1
ESRRB,ABHD5
SOX7,MIR763
TCF7L2,MIR669E
ZFPM1,MAN1A2
TET1,HIST1H2AL
NANOG,JAM2
RBPJ,IL6
GATA6,FGF4
SOX17,FLNA
KLF4,RPS25-PS1
TGIF1,CENPV
ZBTB10,GM24616
TET2,GM26109
SOX2,KRT8
PLSCR1,LY6E
TFEB,GM15181
KLF6,UHRF1
TGIF1,RHOX5
ETV5,GM4322
CREB3,FRMD4A
RUNX1,P4HA1
XBP1,BHLHE40
TGIF1,ZFP987
ZFPM1,GM37746
TGIF1,SNHG5
KLF4,HNF1B
ESRRB,LAD1
CREB3,FN1
TET1,LGMN
BHLHE40,FOXQ1
SOX2,PARVB
HMGA1,GM26073
GLMP,EED
TFEB,TXNDC5
MYCN,GM24289
ZBTB10,GM22620
SOX2,DKK1
BNC2,RNPEP
SOX2,UBALD2
MYCN,SNORA21
TFCP2L1,ZFP989
TFCP2L1,COBL
KLF6,HS3ST1
POU5F1,GM43558
KLF6,GM22281
SOX2,GM47315
KLF4,STARD10
CREB3,GM8355
PLSCR1,MEG3
ETS1,GM8818
BHLHE40,ZYX
SOX2,F2R
TFEB,MIR7003
KLF4,CCNB1
ZBTB10,GCLM
GATA4,CENPV
ZFP57,SOCS2
POU5F1,GAS6
RUNX1,RRM2
GATA6,UBQLN2
BHLHE40,NRG1
ZFP42,GM27743
MYCN,ITGAV
PEG3,MT2
SOX7,GM21860
GATA4,FLNA
SOX7,ZFPM1
ZFP42,ASAH1
KLF2,ZFP42
POU5F1,ADGRE5
TFEB,GM7993
TET2,LRRK1
SOX17,MPP1
CREB3,SURF4
HMGA1,FOLR1
RUNX1,KLF6
ELF3,GM38009
EPAS1,CALR
ESRRB,RRBP1
KDM5B,RIF1
HMGA1,KAT6B
KLF6,SNHG12
ZBTB10,PLXNA1
KLF6,SPP1
FOXH1,GM25316
HNF1B,STAG3
TGIF1,VANGL1
KLF3,GM43107
TGIF1,KANK3
FOXQ1,MIR466B-6
RBPJ,GM21860
SOX17,GM23632
KLF2,2410141K09RIK
NANOG,LRRC2
GATA4,SNORA73B
KLF6,GHR
ZFP57,VKORC1
BNC2,SNORD72
GATA6,NDRG1
KLF3,RAB11A
RUNX1,HIST1H1A
ZFP42,SNHG5
GATA6,GM25500
TET2,GASK1B
ETV5,IFITM1
KLF3,SLC6A8
ZBTB10,GM38312
GATA6,GM25636
GATA6,GM43521
FOXQ1,GM43110
ZFP42,ABHD5
KLF3,FXYD3
MYBL2,COTL1
RBPJ,CCND3
MYCN,MCM6
TFCP2L1,GM22914
TET2,UBE2C
KDM5B,GM44170
NR0B1,GM23344
MYCN,GM25451
PLSCR1,CCND2
ELF3,VKORC1
TET2,HYOU1
HNF1B,STARD10
ESRRB,GM27326
TFEB,ZFP979
TET2,GM22677
TCF7L2,GM33051
KLF3,MIR3070B
ESRRB,GM10718
NANOG,GM23639
HMGA1,PRXL2A
CREB3,PEG3
TCF7L2,LDLRAP1
SOX17,IFITM1
ETV5,PNRC2
ZFPM1,GM43558
HNF1B,GM22051
GATA6,TPM4
ZFP42,SNHG12
KLF3,GM22468
PLSCR1,LRRK1
KLF6,HIST1H2AH
KLF2,GM24523
FOXH1,FAT1
SOX17,TDGF1-PS1
SOX7,IFITM2
GLMP,GM25316
MYBL2,FOXH1
POU5F1,EIF4A2
RBPJ,LIFR
KLF4,SNORD33
HNF1B,SLC38A4
RBPJ,AKR1B3
XBP1,GM26229
TFEB,MSMO1
RUNX1,ZBTB10
TGIF1,SEMA4C
HNF1B,RUNX1
TCF7L2,TINAGL1
TET1,GM2399
ZFP57,GM44429
ELF3,COMMD3
KLF2,ECHDC2
FOXQ1,MYBL2
ZFPM1,GM22925
EPAS1,GM23497
TFCP2L1,MDN1
NANOG,SNORA17
PEG3,HIST1H3I
XBP1,PLTP
BHLHE40,GM15899
KLF4,ZFP989
PLSCR1,PARVB
