TF,Target
ELF3,CLDN6
NFXL1,TRH
MYCN,GM44170
CREB3,GM45213
PML,SNORA73B
SOX7,GM44170
EPAS1,OAT
ETV5,GM22455
ZBTB10,SNORD87
TCEA3,AGPAT4
KDM5B,SNORD17
SUZ12,CALM1
KLF4,ETS1
KLF3,FN1
HNF1B,HIST1H2BN
SMARCA2,MYLPF
CITED2,GM43002
ID2,DNAJC10
CREB3L2,SLC38A4
BCL3,F2R
ELF3,LGMN
ESRRB,RBPJ
KLF6,MAN1A2
TRIM28,GSR
SOX2,SELENOW
DNMT3B,PDIA6
BCL3,GGTA1
KAT2B,UBQLN2
KLF3,TINAGL1
KLF6,AMOTL2
ETS1,VSIR
MSC,SNORA41
ETV5,PLOD2
SMARCA2,MIR7003
GATA6,GM10719
ELF3,GM4202
ETV5,RLIM
KDM5B,ULK1
KLF3,GM5616
PARP1,ARHGAP29
ZFPM1,MRAS
PHC1,GM21860
KLF6,SNURF
DNMT3L,SNORA26
PML,GM26992
RUNX1,RIAN
RUNX1,ADAM15
KAT2B,GM25753
KAT2B,GM43002
PHC1,ELF3
TFEB,CCNE1
AKT1,SNORD73A
MSC,GM26447
ESRRB,MSMO1
BCL3,GM26109
ID2,EPHA4
EPAS1,BEND5
HIST1H1B,SURF4
ID2,GM23497
KPNA2,GM24201
PCBD1,ZFP989
ZFP42,GM37784
SMAD7,EHMT2
KLF3,GM27326
GATA6,SNORA44
FOXH1,BNIP3
KLF2,SNORA74A
KLF4,EED
MCM6,PHLDA3
HSPB1,GM17035
CREB3,MIR6928
KAT2B,BNIP3
EHMT2,GM25960
EPAS1,TUBB4B
TGIF1,SRGN
ESRRB,GM14870
ETS1,RPL15-PS3
CCND1,GM3724
DAB2,SPSB1
ETV5,SNORD73A
HNF1B,PTPN14
RBPJ,P3H4
FOXQ1,GM24315
RLIM,GM22353
DNMT3B,OAT
NFATC2IP,CENPF
ESRRB,SNX1
ESRRB,NDRG4
DNMT3L,GLDC
PML,GJA1
TFCP2L1,CDIPT
SOX17,MFGE8
TRP53,BCAT1
PHC1,GM28010
KDM5B,GM26109
DNMT3B,CENPV
CBX7,PLXNB2
FOXQ1,GM6136
HIST1H1D,MGST3
ZFP42,TMED2
ZFPM1,CYP26A1
EED,TUBB6
DNMT3B,AKR1B3
RBBP7,GM26109
PML,HOOK1
CITED2,GM22030
EED,GM4322
ELF3,GM10718
ESRRB,LRRK1
ELF3,GM26318
HSPB1,D230025D16RIK
TFEB,LY6E
RUNX1,MIR3070B
TFEB,MOV10
HIST1H1B,MKRN1
NANOG,GM13502
CREB3L2,HIST1H2BN
CCND1,MRPL23-PS1
FOXH1,GM37784
PARP1,MIR3070A
SUZ12,LRRK1
HIST1H1D,TCN2
DNMT3A,GLMP
KLF3,APOBEC3
TGIF1,HMMR
MCM6,MDM2
ZBTB10,CENPF
HNF1B,SLC25A4
HIST1H1D,GM26156
MCM6,CSTB
TRP53,GM44429
CITED2,2200002D01RIK
PEG3,SEC24D
DNMT3L,MAGED1
ZBTB10,LY75
TGIF1,TMEM150A
XBP1,TET1
GATA6,ANXA2
ETS1,AARS
EHMT2,TINAGL1
PCBD1,GM25680
PHC1,CTDSPL
CBX7,MIR466B-6
JARID2,DPPA4
SOX2,GM25500
MDM2,PLXNA1
BCL3,CCN2
DAB2,TRIM2
BHLHE40,LAD1
FOXQ1,P3H1
RLIM,AQP8
EPAS1,D230025D16RIK
ETV5,COL27A1
GATA4,GM22858
DNMT3L,GM24523
CITED2,SNORD93
PHC1,UAP1L1
EED,ASNS
BCL3,FZR1
GATA6,FRMD4A
PHC1,TET1
TFEB,GM24330
EPAS1,LAMA1
KLF6,GM7993
DNMT3L,MAN1A2
MSC,P3H1
RLIM,P4HA2
CREB3,HNF1B
SOX2,EHMT2
SMARCA2,GM26287
KLF6,MCM6
RBBP7,SH3PXD2B
MYCN,UCHL1
MDM2,HNF1B
RBBP7,UCHL1
ILK,ITM2B
TAX1BP3,SETX
MYCN,GM23158
CREB3,GM28900
DTX1,2410141K09RIK
SMARCA2,KHDC3
FOXH1,GM44364
MYBL2,TUBB2B
KLF6,GM26083
GATA4,SNORD33
NFATC2IP,SOX7
NANOG,GM27640
KLF6,GLS
KAT2B,NANOG
ZFPM1,SOCS2
KAT2B,PCOLCE
KPNA2,GM15421
GATA4,PARVA
KAT2B,GM43110
EGR1,GM25673
TFEB,RHPN1
