TF,Target
RUNX2,ITGB7
CBX7,RAB37
MECOM,IL17RA
RAD51,CCL9
RAD51,H2-Q6
PBX1,PDE12
REL,STAM2
HCFC1,LDHB
ARNTL,NUP93
GFI1B,HEXA
ETS1,ZFP422
TAF12,RPA2
ELF1,MYCT1
TSC22D3,PDE1B
TTF2,SGCE
HDAC11,SLFN2
SATB1,RPTOR
DACH1,SLCO3A1
PRDM5,ENG
NOTCH1,OAT
CENPK,PDE7A
PRDM5,RBPMS
ZFP467,MAP2K1
CBX7,PEAR1
CENPK,TTF2
SLA2,GOLM1
RBL2,SLC41A3
PA2G4,KNSTRN
MLLT3,HNF4A
XPC,MMP2
PRDM16,MEF2A
IRF8,MCM6
MCM6,F11R
TCF19,NDOR1
MCM6,ARHGEF18
IKZF1,IL15
RUNX2,GGTA1
TAF12,GM7694
IKZF1,CD74
RBL2,LHCGR
NFATC1,TOP3B
DACH1,PKIB
XRCC6,PEAR1
XRCC6,HSD3B7
TLR4,THBS1
VEZF1,PA2G4
PRDM16,MCM5
ARNTL,IL17RE
RORA,MTCH2
ETS1,FLT3
MED16,SDF2L1
PGR,SSH2
PRDM5,AP1G2
PML,TTC39B
VEZF1,HACD4
ZFP467,SLC26A11
REL,ANGPT1
JUN,PGM1
GATA2,ARFGEF2
MCM4,SERPINA3G
REL,CTNNAL1
PGR,GGT5
PHC1,RGL1
ESR1,HSPA1A
SPI1,IGTP
HIST1H1C,NPDC1
PA2G4,ITGA5
VEZF1,DUT
MCM7,SP100
EGR1,GM5111
XPC,SLC37A1
GATA2,ACSS2
SLA2,PARD3B
MEF2C,SYNRG
HNF4A,TBXA2R
TCF19,ECT2
RAI14,SNAP47
HOXA9,RAD51
CLOCK,RAI14
ETS1,CBX7
HDAC11,DOCK10
SATB1,ZFP422
MCM4,ATP2B4
MCM5,NCEH1
ARNTL,LCP2
PA2G4,VDR
NFKBIA,MMP2
CTR9,VLDLR
MYC,GNG11
REL,STXBP1
MCM5,SPI1
TRPS1,IER2
PBX1,BC035044
MCM4,EIF2S1
PGR,CD63-PS
XPC,SLC25A53
IKZF1,RASAL3
MAML3,CENPA
SPI1,GALM
H1F0,TTF2
RPS6KA5,CSF2RB
XRCC6,JPT1
HDAC11,HEATR5A
TTF2,ALDH1A1
NFATC1,RFTN1
TLE2,SLCO3A1
ZFP467,LPCAT2
CENPK,RAD51AP1
TSC22D3,CDC7
HDAC7,NCKAP1L
GFI1B,TXNL1
CLOCK,HID1
XPC,NCF1
NDN,PLPPR3
KLF3,TRIM35
SMARCA2,RASSF5
PRDM5,PWWP3A
KLF3,RNF38
NFATC1,MECOM
XRCC6,STAM2
TRPS1,SDC4
KLF10,TRMT6
KLF10,CD63-PS
PBX1,CNP
HLF,ALDOC
NOTCH1,STOM
EGR1,RBM18
IRF6,PDE12
TRIB3,ESR1
IKZF1,SLC12A6
MEF2C,PML
IRF6,ATP2B4
CLOCK,CCNB2
PBX1,PCNA
MECOM,SPC24
EGR1,ANXA4
RUNX2,GORASP1
MYCN,OSGIN1
NFKB1,ACSS2
KLF10,FILIP1L
DACH1,STK17B
RBL2,H1F0
MYCN,ZFP367
PRDM16,PDIA4
H1F0,SC5D
TTF2,USP3
SLA2,SSH2
ESR1,ELF1
MYCN,TOMM22
KLF10,IGKV14-126
MED16,MC5R
EYA2,CCNA2
JUN,NAGA
ELF1,TFEC
SATB1,NUP93
MED16,CD68
IRF8,FPGT
HNF4A,B3GNT5
PRDM5,SPNS2
VDR,BIRC5
NDN,RRM2
HNF4A,H2-OB
RORA,ZFP62
SATB1,MSH6
MECOM,ACSS2
XRCC6,HLF
MYCN,MILR1
PGR,SLC39A13
MCM7,SERPINA3G
SLA2,NFKBIA
TRPS1,RBM18
VEZF1,PARVG
HCFC1,PPIC
HNF4A,ZC2HC1A
PRDM16,CD33
BTG2,PARP8
GATA2,WDFY3
NDN,CDK18
CENPK,COPB1
KLF10,MPO
NOTCH1,ENPP4
PML,ZNRF2
TLR4,APLP2
TAF12,SLC7A4
TLR4,PRIM1
ZBTB20,COQ8A
PHC1,GM7694
GFI1B,NHP2
NFAT5,LYZ2
MEF2C,ITPK1
CLOCK,SP100
PBX1,GM10384
JUN,ORC6
ZFP467,IL15RA
SPI1,GNG2
CBFB,GMIP
PRDM16,TMEM176A
IRF6,USP3
DACH1,SLA
DACH1,NEURL3
CLOCK,HDGFL3
PA2G4,CDCP1
RORA,PGM1
NOTCH1,CDK1
MEF2A,PRODH
TAF12,CDT1
REL,CBX7
CENPK,FGD2
PBX1,DENND1C
PRDM5,FHL1
MCM6,PAFAH1B2
EGR1,SNAP47
MECOM,CCNA2
NOTCH1,SEPT6
SPI1,CDKN1C
SPI1,TXNRD3
XPC,NFATC1
PA2G4,PTP4A3
HIST1H1C,TMEM176A
REL,MSMO1
KLF6,UBA7
TCF19,TIMP2
PGR,GPR65
JUN,MAPKAPK3
CENPK,IDH1
VDR,HEXA
MLLT3,HSPH1
ESR1,SLA2
H1F0,CDK6
MYC,CD48
MEF2A,C130089K02RIK
ETS1,SLC37A1
MCM6,NUBP2
GFI1B,SLFN2
ETS1,KLHL4
