TF,Target
GATA2,OCRL
ID1,TMEM123
MYCN,CCNG2
PA2G4,SCARF1
PBX3,MAP4K2
MCM2,RNF13
MCM2,ZBTB20
HIST1H1C,TRIM35
RBL2,RASSF5
KLF3,TOMM70A
MECOM,STXBP4
BTG2,OBSL1
PA2G4,SHISA8
FOXO1,4833407H14RIK
KLF6,AMPD2
MED16,NAPRT
APBB1,TFEC
SOX6,VEZF1
NFKBIA,MAN1A
PA2G4,RARB
EYA2,STXBP4
TCF19,PIP4K2A
FOXO1,SERPINB6A
TCF19,JUN
PHC1,LDB2
RARB,OTULINL
XPC,USP11
XRCC6,PARVG
HOXA9,GBP7
NUPR1,PYGL
HNF4A,SLC6A6
MAPK11,CTSH
MCM6,PDK3
NFIA,GATA2
TTF2,RELT
DACH1,ZFP120
MCM7,RELT
TAF12,KRT18
SOX6,FECH
ZBTB20,OCRL
SLA2,FOXO1
CBX7,EZR
SATB1,9030619P08RIK
ARNTL,RCSD1
CREB5,KCNK5
NFE2,CENPK
MAPK12,HAAO
MCM5,AC174780.1
IRF8,SELL
ETS1,ZDHHC17
PRDM16,CERS5
HLF,SLC7A4
EYA2,B4GALT4
PHC1,TMBIM1
TSC22D3,BCLAF3
MLLT3,ZFP157
SATB1,SSTR2
APBB1,OAT
RPS6KA5,PBX3
ZKSCAN4,DOK2
TAF12,PRPS2
ARID3B,PANX1
EPOR,CNN3
CTR9,GPR65
CBX7,CBFB
EYA2,VAV1
DACH1,CYP51
TEAD2,EZR
NDN,MSH6
PA2G4,NCF1
HLF,CYP2J6
MLLT3,MED16
KLF6,ZMYM3
REL,ARL6IP6
TLR4,CD69
MED16,FDFT1
ZKSCAN4,LZTS1
ETS1,PACSIN2
MEIS1,TFPI
BATF2,SLC18A2
NUPR1,EYA2
NAP1L3,RHOF
VEZF1,IFI27L2A
PHC1,PLEK
DEK,ITGAL
ESR1,RARB
EYA2,PIK3CG
HMGB2,MAML3
MEF2C,TRPC6
H1F0,RCSD1
NFE2,FAM76B
MAPK11,SDC1
ZFP467,ZBTB20
KLF3,INPP5K
AEBP1,BCL2
THRB,PLIN3
VDR,PIK3CG
TEAD2,SERPINF1
SOX6,SAT1
KLF8,LCP2
IRF8,FRRS1
YBX1,RNASE6
TCF19,IRF6
DEK,MMRN1
PHC1,ZBTB38
ARNTL,FUCA2
EGR1,TBXAS1
VDR,RCN2
FOXO1,BTK
MCM6,IKZF1
EGR1,CYBC1
SPI1,EMCN
PBX1,IL1R1
FOXO1,ADGRG3
RUNX1T1,SGPL1
H1F0,VEZF1
CD7,RNF213
MEIS1,ZFP111
CTR9,EZR
TRIB3,ZBTB20
MYC,CTSF
KLF6,ZFP120
LDB2,CTSH
EPAS1,ZMYM3
MAML3,PRKCQ
MEIS1,FADS1
RARB,TCF19
MEF2A,IFI27L2A
KLF10,PA2G4
IRF7,FUT7
RPS6KA5,SSTR2
MEF2A,FUT7
ELF1,CHRNB1
RAD51,PPCDC
ANKRD6,MAGED2
MECOM,TTF2
TLR4,CD53
IRF6,UNC93B1
KLF6,FECH
MCM5,FCHO2
HIST1H1C,TEX10
MAPK12,SERPINB1A
CBX7,ITPR1
NR3C2,ZBTB20
NDN,SPTBN1
PBX3,ICA1
MAPK12,COPB1
PBX1,PRKAR2B
ZKSCAN4,TSPAN6
MLLT3,TESPA1
AEBP1,KCTD20
TRIB3,TRPV2
XRCC6,HLF
ZBTB38,NDOR1
CBX7,YBX1
FOXO1,PAFAH2
PBX1,HDAC11
BTG2,TSPAN6
ZBTB38,DUSP5
MCM6,NT5C3
TSC22D3,ZBTB20
RAI14,CD300A
CBFB,FAM76B
IRF6,GRAMD1A
RPS6KA5,IGKC
H1F0,TESPA1
SATB1,SNX30
NFAT5,XRCC6
NOTCH1,CSAD
ARID3B,SMIM15
RPS6KA5,MCM4
TLE2,PYGM
TLR4,SMIM15
PGR,RELT
GFI1B,DUSP2
KLF6,SLC2A3
ZBTB20,IKZF1
SOX18,SLC7A4
BATF2,4833407H14RIK
MAPK11,NCF1
YBX1,MYCT1
MED16,XRCC6
CBX7,MSMO1
HCFC1,PYGL
HNF4A,NGLY1
MAML3,PDZK1IP1
NFKBIA,WLS
SOX18,1600014C10RIK
TRPS1,IL15RA
ZBTB38,MYCT1
RAI14,MED16
YBX1,LCP2
PHC1,POR
CENPK,VAV1
TSC22D3,ULK1
MAPK11,CD7
MAPK11,PSTPIP1
RUNX2,USP11
PRDM16,POMGNT2
EPOR,1600014C10RIK
RUNX1T1,CERS5
RARB,2610307P16RIK
RUNX1T1,FAAH
HNF4A,PPP1R15A
IRF8,SLA2
DACH1,PLA2G4A
ETS1,VDR
EGR1,GBP7
HMGB2,GRINA
PBX3,UBE2L6
MCM4,PSEN1
CTR9,KCTD12
PHC1,DEK
FOXO1,HEATR5A
NUPR1,QARS
HIF3A,LRRC8C
ETS1,STARD4
ID1,USP3
TAF12,FGFR1OP
TRIB3,EPOR
NFKBIA,F2RL3
MCM7,SLC35D3
BTG2,CTR9
GFI1B,NOTCH1
IRF6,SNX30
BATF2,HIST1H1C
IRF7,RBL2
RAI14,XPC
PBX3,GYPC
ZBTB38,ASAH1
HDAC11,IL1R1
MCM2,SLFN8
DEK,DOCK11
PHC1,PPT1
CLOCK,E2F8
SOX6,FES
ELF1,NUPR1
TEAD2,CSGALNACT1
NFAT5,ITGB7
PA2G4,SLC37A1
CD7,CD74
HDAC11,PGM1
NFE2,MMRN1
MYC,GFI1B
PGR,SQLE
ARID3B,MCM2
HMGB2,RORC
RAI14,MCM7
NUPR1,CNP
IRF8,UNC93B1
FOXO1,P2RY14
SOX18,BC005561
HIST1H1C,C030034L19RIK
NOTCH1,NAIP5
MAPK12,TRIB3
PBX3,TSPAN6
TEAD2,RGS2
MEF2C,MILR1
XRCC6,PSEN1
NFATC1,DEF8
RUNX1T1,UBE2L6
IRF8,KLF3
HNRNPAB,MEIS1
MAPK11,BC035044
NFE2,FUCA2
HDAC11,ICAM1
SMARCA2,TAF12
PBX1,NDOR1
ARNTL,WBP1L
HDAC7,GMFB
MED16,GGT5
KLF6,SQOR
NFE2,TESPA1
RORA,AMPD2
IRF7,RCC1
CREB5,TRP53INP1
ARNTL,OCRL
MCM2,OTULINL
IRF8,MGAT1
ELL2,PREP
NFKBIA,BCL2
RUNX1T1,ABCD3
PGR,PANX1
HNF4A,HSPH1
EYA2,UBE2L6
RBL2,KLF6
MCM2,IRGM2
BATF2,FOXO1
KLF3,ADA
IKZF1,TMEM123
SLA2,ID1
MAPK11,IL1R1
HIF3A,TPM4
SOX18,CBX5
ARID3B,PREP
SOX6,PAQR7
CENPK,TRPS1
MIS18BP1,VEZF1
XRCC6,TXNDC11
SMARCA2,GSN
HDAC11,VDR
HDAC7,UBL4A
ESR1,AKAP8L
CLOCK,CD53
PML,GLB1
PA2G4,GGT5
PGR,ARHGAP27
PML,CBFB
DACH1,CTR9
ZKSCAN4,CD200R1
NFKBIA,PCMTD1
DACH1,PGLYRP2
HOXA9,COQ8A
LDB2,KCNK5
MCM5,VDR
MCM5,IGHM
HNRNPAB,NEAT1
FOXO1,JUN
MLLT3,9530082P21RIK
AEBP1,EFTUD2
H1F0,MYO1F
CLOCK,FUT7
SATB1,CDK17
CBFB,ZBTB20
MYC,DENND1C
XPC,CD93
CENPK,EPAS1
NFE2,PLEK
ZKSCAN4,PTTG1IP
DEK,GEM
TSC22D3,H2-AA
TAF12,ABCF3
NAP1L3,ZBTB38
HCFC1,SCARF1
NR3C2,DCAF4
THRB,DDX4
XRCC6,ANXA4
ZKSCAN4,4833439L19RIK
PGR,SQOR
NDN,FGFR1OP
MEIS1,ABHD17B
ARNTL,TPM4
ARNTL,PAQR7
TTF2,SLC37A1
MCM2,SLC35D3
EGR1,CD74
NUPR1,FAM76B
YBX1,STK17B
ETS1,VSIR
TSC22D3,PBX3
JUN,MMRN1
MCM5,FAAH
TRPS1,GFI1B
ZBTB38,ZFP367
ELF1,KLF3
ID1,SQOR
NUPR1,SPNS3
TRPS1,TRP53INP1
MCM7,PAFAH1B2
ZBTB38,ANO10
PBX3,IER3
DACH1,PHC1
HLF,DPP4
REL,GIMAP5
ELL2,TMBIM1
NOTCH1,SLA
FOXO1,UBL4A
HIF3A,TEAD2
BATF2,SERPINB1A
HDAC11,SLA2
KLF3,ADSSL1
RORC,OCRL
NFIA,EBI3
MIS18BP1,SSTR2
NAP1L3,IKZF1
ESR1,FADS1
MLLT3,METTL7A1
RUNX1T1,CSGALNACT1
KLF3,SP100
AEBP1,MAMDC2
MEF2A,INKA1
MYCN,METTL7A1
RUNX1T1,SLC2A1
IKZF1,ICE1
VDR,RAD51
SLA2,PRPS2
MCM6,RFTN1
ZBTB38,TBXAS1
NFIA,H2-OB
H1F0,NAIP5
NR3C2,SSTR2
SOX18,EPAS1
THRB,CTSS
CD7,PARP8
JUN,KLF10
SPO11,PQLC1
SOX6,IRF6
KLF8,AC174780.1
MEF2C,FDFT1
CLOCK,CISH
GATA2,IRF7
FOXO1,OAT
MYCN,PIP4K2A
NFKBIA,ZKSCAN4
EPOR,TEX10
TRIB3,TBXA2R
RBL2,KCTD20
MEF2A,RHOH
ZBTB20,PROCR
FOXO1,NUP88
RORA,EBI3
HIST1H1C,SPNS3
KLF3,PPCDC
RPS6KA5,DEF8
HNRNPAB,GSN
MEIS1,TAF12
NFE2,MYCN
NR3C2,HAAO
DEK,NEURL3
EPAS1,ABI1
NR3C2,IGKC
RAD51,TFPI
SOX6,MAML3
RORC,PEAR1
MCM2,ZFP367
PGR,GIMAP5
CTR9,CD53
NDN,CREB5
HDAC7,NKG7
CBFB,MSH6
RUNX1T1,SCARF1
SLA2,CNP
RUNX1T1,PDZK1IP1
KLF6,PA2G4
HIF3A,ELF1
ESR1,SSTR2
VEZF1,PA2G4
TRIB3,MIS18BP1
HOXA9,PEAR1
VDR,ROBO4
EPAS1,DOCK10
SOX6,RBBP9
NFIA,ZBTB38
MEF2A,TXNDC11
EGR1,PANX1
VEZF1,PBX1
CD7,TRP53INP1
MAML3,CTSS
CLOCK,JUN
ELL2,RNF38
CENPK,DOCK10
HDAC7,MAN2A2
MEIS1,CD53
ZFP467,SLA
NFE2,PROCR
MIS18BP1,ARL6IP6
PA2G4,PLCG2
TLE2,FRRS1
REL,HIF3A
MAPK12,CTLA2B
ZKSCAN4,APBB1
MCM6,TMEM173
RUNX1T1,EFTUD2
DACH1,ABCD3
ELL2,DHRS3
RORA,OTULINL
EPAS1,CAPN5
RARB,CSGALNACT1
MCM6,ZFP467
ANKRD6,NUPR1
TRPS1,PREP
CREB5,TMBIM1
APBB1,TMOD3
TSC22D3,CYP2J6
H1F0,ZFP111
H1F0,FAAH
BATF2,ZBTB38
ARNTL,RASA4
RUNX1T1,UNC93B1
NFAT5,PECAM1
SPI1,CD69
GFI1B,FLT3
RAD51,NFKBIA
MAPK11,SELENBP1
APBB1,VAV3
NFKB1,ABCF3
MEF2C,CD274
TLE2,CDCA4
ZBTB20,RMND5B
IRF8,PDE7A
MAML3,OASL2
NFIA,MAMDC2
SOX18,CPQ
TRPS1,NUDT19
EYA2,TAPT1
PBX1,MYCT1
HLF,DUSP6
MCM6,ZKSCAN4
NFE2,MAP3K2
EPOR,RASSF2
TLE2,KLF6
PA2G4,SERPINB6A
ZBTB38,NUBP2
HNF4A,CTSC
MCM6,MMRN1
BTG2,DENND2D
PGR,ANXA4
HOXA9,CBX7
MCM4,FES
ZBTB20,S100A6
NOTCH1,LIG1
HNRNPAB,RCN2
E2F8,PANX1
MCM6,NR3C2
MAML3,PRODH
HOXA9,PHC1
MEF2A,F2RL3
E2F8,ATP2B4
NAP1L3,HNF4A
JUN,KCNK5
HCFC1,NFE2
CBFB,CD52
MCM4,RGS2
APBB1,TRIB3
MCM4,MAP2K1
YBX1,ADGRG3
IRF7,MAP2K1
ZFP111,NDN
LDB2,NUP88
RORA,ID1
ESR1,MAN2A2
VDR,GRAMD1A
THRB,PLIN2
DEK,GATA2
EPAS1,DEF8
