TF,Target
TCF19,GBP2
NDN,CLEC12A
MECOM,SDC4
PRDM16,IMPACT
TTF2,DHFR
PML,PHC1
HDAC7,NECAP2
TAF12,THBS1
NDN,ART4
VDR,MGAT1
HDAC11,RNASE6
VEZF1,ABI1
TTF2,D930016D06RIK
EGR1,IL10RA
NFATC1,HSPA1A
HDAC7,SLA
CBX7,EMB
HLF,PRELID3B
VEZF1,NT5C3
MAML3,STXBP1
PBX1,CDK19
IRF7,FUT10
PBX1,RNF38
PHC1,CDCP1
MAML3,CKAP5
RUNX2,HNMT
TRPS1,TYROBP
NFATC1,PAG1
PA2G4,EPB41L3
MCM4,PLBD2
NOTCH1,PLSCR4
CENPK,NCAPD2
MEF2A,SESN1
TLR4,PKIB
TLE2,ULK1
CTR9,GLRX5
MECOM,NPR2
TTF2,TMOD3
MAML3,ENG
TAF12,CDK1
RAI14,PPP1R15A
CTR9,FGFR1OP
PRDM5,EFTUD2
TRIB3,TBXAS1
MEF2A,PARVG
ZBTB38,GM20559
HNF4A,ESR1
PML,ORC6
TAF12,ICAM1
VDR,ART4
ZBTB38,CBFB
NFKB1,HNMT
IRF7,CTNNAL1
TSC22D3,FAAH
NFATC1,RNF13
TCF19,TNPO1
REL,ZBTB4
RAD51,STOM
IRF8,GATA2
PBX1,PTP4A3
NFKBIA,SELPLG
TTF2,ZFP945
IRF6,RBL2
REL,CTSH
CLOCK,TRIM47
RAI14,CDK17
PA2G4,AI504432
CLOCK,CCL4
MECOM,ARL11
IRF8,ULK1
REL,LYZ2
IRF7,RNF38
KLF3,SMIM15
NFAT5,MAGED2
JUN,WFDC2
SLA2,RALGPS1
SLA2,PAQR7
EGR1,CORO2B
PGR,DPP4
RUNX2,CISH
TCF19,CISH
HIST1H1C,MTCH2
PML,ABHD4
HDAC11,CTSL
PBX1,EEPD1
TAF12,EGR1
IRF7,TMEM246
VDR,ICA1
MCM6,IKZF1
HIST1H1C,TNFRSF13B
CLOCK,NDOR1
TRPS1,ARHGEF3
EYA2,MYCN
XPC,DOCK11
PML,RCSD1
PML,TRPC6
IRF8,MAGED2
MED16,SEC14L1
CTR9,PLSCR4
PA2G4,MOGS
PHC1,NAPRT
SMARCA2,ABCG2
ELF1,TXNRD3
NFAT5,GMFB
HOXA9,ZFP367
IRF7,PTP4A3
H1F0,PDIA4
IRF6,SLC2A3
EGR1,EFTUD2
KLF10,CD300A
GFI1B,FGD2
MCM5,EIF2S1
PML,F2RL3
TAF12,BIRC5
ZBTB38,ALDOC
PRDM16,MORC3
BTG2,TFPI
RUNX2,LYN
NDN,DUSP6
BTG2,SERPINB9
ESR1,TK1
RUNX2,LGALS1
XPC,NDEL1
MCM4,CPQ
TTF2,SFXN1
HDAC7,GP9
CLOCK,KIF17
RBL2,GBP7
MLLT3,CHRNB1
PRDM16,RBM18
PBX1,GIMAP1OS
KLF6,MAML3
VDR,BC035044
TLE2,PIK3IP1
REL,SQOR
EGR1,HLF
MECOM,UNC119B
XRCC6,ADGRL4
HDAC11,NEAT1
MLLT3,SLC28A2
ZBTB20,PDE1B
RBL2,CDCA3
PGR,SERPINB6A
MYCN,PPCDC
KLF3,TESPA1
MCM2,NAV1
IRF7,CAD
RORA,PF4
ZBTB38,CD300A
PRDM16,ALDH1A1
PHC1,KLF6
MCM2,ITGA5
TRIB3,UBA7
MEF2A,GNG11
MLLT3,H2-Q6
MECOM,ULK1
TTF2,PLXNA4OS1
IRF8,PRR5
MYCN,POMGNT2
EYA2,INSL6
MAML3,BTK
MEF2A,SLC44A2
NFATC1,LGALS1
SMARCA2,MTMR6
MCM2,FECH
HOXA9,STK17B
PA2G4,1700017B05RIK
RAI14,SLC43A2
ARNTL,ELOVL6
CENPK,IL15
NFATC1,COL4A1
PML,SDC1
ZBTB38,PITPNC1
MEF2C,ARHGAP18
CTR9,GCLM
MEF2C,ERP29
MCM5,SELPLG
CTR9,MYO5A
ARNTL,AFF3
DACH1,VIPR2
TAF12,ROBO4
CBX7,TOMM70A
HLF,FCGRT
TRPS1,CTSS
MED16,NCAPD2
TAF12,PYGM
MECOM,MAGED2
XPC,PLXDC2
PHC1,CAPG
MCM2,SMIM15
PGR,PIK3IP1
MAML3,GM28875
TTF2,SDC4
HOXA9,LAG3
EGR1,KDM7A
MED16,NAV1
HIST1H1C,SLC41A3
H1F0,SGMS1
IRF8,DACH1
ELF1,CYP51
CBX7,DIP2B
SLA2,UAP1L1
EGR1,TLR4
MCM2,TMBIM1
TLR4,FAM111A
PRDM16,CHRNB1
MCM5,TESPA1
PBX1,MMRN1
ESR1,CYFIP2
GATA2,GM5111
ARNTL,IL27RA
XRCC6,ITGA5
RORA,1600014C10RIK
KLF10,GNG2
TSC22D3,SLA
TTF2,UBA7
MCM7,MPZL1
XRCC6,FECH
HIST1H1C,ADORA2A
MCM5,IL15
HDAC11,SNAP23
CLOCK,RNASE6
RPS6KA5,ICA1
MCM5,SPNS2
NFKBIA,TBXAS1
MYCN,PTGS1
CTR9,UBL4A
HNF4A,NASP
RAD51,NDN
HOXA9,CDT1
TCF19,ARHGAP15
HDAC7,ADGRG3
KLF10,PLPP2
MCM7,PHC1
TSC22D3,ZFP120
VEZF1,MAP2K1
HIST1H1C,RNF122
HDAC7,HK3
NFATC1,FUT8
HLF,ZNRF2
MCM6,GPRASP1
TAF12,MAP2K1
MYC,9530082P21RIK
REL,TOM1L1
EGR1,HAT1
NFKBIA,ALDH1A1
TRPS1,NPC1
ARNTL,BC016579
SLA2,TSC22D3
NDN,RBBP9
CLOCK,GM1966
MCM7,CSAD
DACH1,ANXA5
PRDM16,NOTCH1
CBX7,RTP4
NFATC1,ARHGAP15
CTR9,CORO7
TRIB3,ELOVL5
NDN,TBC1D10C
HLF,9530082P21RIK
PGR,KCTD12
ETS1,MYLK
DACH1,CDCA4
MLLT3,TNPO1
PGR,RGCC
HDAC7,BC005561
NDN,KLF6
ZFP467,RCN2
HNF4A,EFTUD2
SATB1,CASP12
VDR,IFI213
TRPS1,DUSP1
MAML3,DNTT
RAD51,MCM7
RAD51,PKIB
KLF6,TXN2
HDAC11,PRDM16
ZBTB20,RP2
HNF4A,TMEM37
TLE2,ARRDC4
MCM7,LAG3
RORA,FAM169B
ZBTB38,TOP3B
PBX1,TTF2
MEF2A,DDX4
MCM6,PIK3CG
TRIB3,PRDM5
CBFB,PLXNA4OS1
RAD51,NRROS
IRF6,KLF10
RAI14,PAG1
MCM4,NAV1
NDN,BIRC3
EGR1,MGST2
RBL2,KIF20B
REL,NDOR1
KLF10,CAMK1D
HDAC11,ELAC1
PBX1,UHRF1
MCM4,FECH
ZBTB20,ETS1
TLR4,GRAMD1A
SLA2,MAP2K1
NOTCH1,H2-OB
NFKB1,NFATC1
PRDM5,HAAO
MCM5,PPCDC
REL,ASB13
PML,CD68
PHC1,ZBTB4
TLR4,CYP4V3
TLE2,PDE7A
VDR,TMEM206
