TF,Target
KLF3,FCGRT
MEF2A,GATA2
PRDM5,PIP4K2A
TRIB3,ZFP945
ARNTL,PLBD2
SPO11,HCFC1
SMARCA2,NUP88
MEF2A,TAPT1
TEAD2,SMIM15
MECOM,ARL8B
SMARCA2,GM10384
MCM2,PYGM
SMARCA2,MINDY1
KLF3,C030034L19RIK
CREB5,MAP4K2
TEAD2,CDCA4
NFATC1,HEXA
ZBTB20,GRINA
ZBTB38,GIMAP1OS
EYA2,AEBP1
HNRNPAB,EPB41L4B
ELL2,GMIP
PGR,DUSP2
HMGB2,IL15RA
NFATC1,TES
E2F8,MSMO1
CTR9,MAN2A2
RBL2,RMND5A
LDB2,MYO1G
HIF3A,ARHGAP27
KLF6,ASB13
EPAS1,CD274
RUNX2,TOMM70A
E2F8,ZFP945
DACH1,SATB1
NAP1L3,MSMO1
HIF3A,AC174780.1
NR3C2,SNX10
PHC1,MCM4
RARB,PNO1
ARID3B,IL17RA
HDAC7,KLF3
SPO11,TCIRG1
IRF6,CREB5
KLF3,PAFAH1B2
TRPS1,PAQR7
HNRNPAB,DPP4
ZBTB20,CYP2J6
ZBTB38,MUC13
CREB5,FCHO2
TAF12,FUT8
ZBTB38,P2RX1
HNF4A,MUC13
APBB1,SOX18
LZTS1,HDAC11
SLA2,PARVG
XRCC6,BC035044
SPO11,CSF3R
TEAD2,H1F0
ARNTL,AKNA
HNRNPAB,SATB1
BTG2,PDE7A
MED16,PAFAH1B2
ARNTL,FGFR1OP
TRIB3,IRF8
NFKB1,AKNA
IRF7,HLF
TSC22D3,CAPN5
TRPS1,PGM2L1
ZFP467,FRRS1
SOX6,ARNTL
TRIB3,LYN
BATF2,WBP1L
NFATC1,TRIM47
CENPK,DUSP5
HDAC7,TFEC
MCM5,CBX7
RORA,IFI27L2A
RPS6KA5,LONP2
TRIB3,SLC6A6
MCM7,PDZK1IP1
EYA2,ARHGEF3
PML,ARHGAP15
E2F8,TRPC6
MCM6,EMCN
MLLT3,ATP13A2
ZFP467,ARHGEF3
NFAT5,SLA2
HIST1H1C,MPRIP
MAML3,TBXA2R
RARB,ZFP157
SOX18,TEAD2
TRPS1,GAA
ZBTB20,KRT18
PRDM16,PTTG1IP
HDAC7,FAAH
RPS6KA5,TESPA1
THRB,GFI1B
ZBTB20,DDX4
ZFP111,TBXAS1
PGR,PRELID3B
EPOR,MAPK11
HMGB2,ABCF3
HIF3A,FCGRT
TTF2,ABCF3
HDAC7,USP3
MCM4,TFEC
TEAD2,MED16
LZTS1,ARHGAP18
TLE2,AKNA
E2F8,BCLAF3
XRCC6,EZR
PGR,SMPDL3A
FOXO1,ZMIZ1
BTG2,CBX5
DACH1,SLCO3A1
MCM7,CDCA4
RPS6KA5,STXBP4
CLOCK,SNX30
EYA2,MAP4K2
SOX6,TFEC
MCM6,SLC37A1
RPS6KA5,LCP2
CBX7,CCNG2
NDN,PLEK
MECOM,NEAT1
XRCC6,RASAL3
MCM4,BCLAF3
XRCC6,MAPK11
NOTCH1,HEATR5A
MEF2A,SLC35B4
RAI14,MCM5
HMGB2,SQLE
KLF10,PGR
EPOR,RNF38
MCM5,MSMO1
THRB,SLCO3A1
IRF7,ZFP367
MCM4,SLC2A3
KLF8,RMND5B
BATF2,CBFB
AEBP1,ZBTB20
HOXA9,CD9
RARB,GM4759
ID1,F11R
PHC1,SHISA8
ZFP467,NFAM1
HDAC11,ARHGAP18
CREB5,FGGY
BATF2,SDC4
SOX6,BCLAF3
XPC,GM5111
RBL2,PPT1
XPC,INPP5K
ELL2,RCC1
KLF10,RBL2
CLOCK,RORA
KLF8,LRRFIP1
ARID3B,PIP4K2A
RBL2,RARB
MAPK12,KRT18
MEF2C,DUSP5
MCM4,4833407H14RIK
XRCC6,RNF38
NDN,INPP5K
NUPR1,PHC1
HDAC7,ARHGAP18
PBX1,PRDM5
ID1,ITGAL
NFKBIA,TFR2
GATA2,CD200R1
HDAC11,TBXAS1
PBX1,CCL4
MECOM,TAPT1
NFKB1,UMPS
LZTS1,ROBO4
HIF3A,MILR1
LDB2,LONP2
NOTCH1,P2RY14
LDB2,HMGB2
HIF3A,MN1
EGR1,BIRC3
YBX1,IER3
SLA2,TAPT1
NUPR1,PPIC
EPOR,C030034L19RIK
ZBTB20,P2RY14
KLF10,GIMAP1OS
ZFP467,ETS1
H1F0,CD9
RUNX1T1,2610307P16RIK
RUNX2,PPIC
IKZF1,HK3
CREB5,TEAD2
CREB5,GBP2
SMARCA2,GBP7
LZTS1,PAQR5
TCF19,LCK
ZFP467,PRKCQ
HNRNPAB,GPR65
HIST1H1C,APOE
RORA,SH2D5
DACH1,CSGALNACT1
PRDM16,LIG1
DACH1,ID1
PBX1,PBX3
ANKRD6,BACE1
HDAC11,CSF2RB
IRF6,TAF12
PA2G4,YBX1
BTG2,GM5111
PHC1,RUNX1T1
VEZF1,RAD51
ANKRD6,ADSSL1
PRDM5,PGLYRP2
RUNX2,NCF1
NFAT5,PML
NUPR1,GM5111
ARID3B,NAGA
ZBTB20,SGPL1
BTG2,SDC1
RBL2,HMGB2
MEF2C,SELL
RARB,TRIM35
XPC,CNP
HIF3A,GIMAP5
RAD51,PLXNC1
