TF,Target
ZBTB20,IL17RE
VDR,DNTT
ETS1,NFKBIA
IRF8,S100A6
PRDM5,HSPA1A
IRF8,PAFAH2
VEZF1,ZFR
VEZF1,MAPKAPK3
ZFP62,PHC1
BAZ2B,TOP2A
RUNX2,NT5C3
MEF2C,DENND1C
VDR,SPTBN1
CLOCK,FHL1
CENPA,HELLS
TRPS1,SNAP23
ELF1,PPP1R15A
NFKB1,IFI203
PRDM16,ASNS
NFATC1,TK1
BAZ2B,ADSSL1
IRF6,STAM2
DACH1,TMEM173
CLOCK,MYOF
MYC,MAML3
GFI1B,SP100
PGR,NT5C3
GATA2,ASB13
CLOCK,4833439L19RIK
CENPA,CDK17
CENPA,TOP3B
GFI1B,TM6SF1
PRDM16,CENPK
NFAT5,PLD4
PBX1,PLBD2
KLF6,GM4759
HNF4A,IL27RA
NFAT5,SLC2A1
VDR,DENND2D
IRF8,AFF3
ZBTB4,PHF8
HOXA9,TEX10
KLF10,MMRN1
ETS1,ROBO4
PBX1,GBP4
DACH1,HNMT
MYCN,DPP4
AKAP8L,YBX3
MECOM,EIF2S1
MYC,CD300A
CENPA,BTG2
ELF1,CDK18
MEF2C,CD63-PS
GFI1B,HEATR5A
PBX1,2810468N07RIK
PRDM16,GP9
DACH1,TES
CENPA,OASL2
MEF2C,PITPNC1
HLF,IKZF1
NFATC1,LAG3
IRF8,TRPV2
RUNX2,CAPN5
MECOM,CSAD
CLOCK,GIMAP1OS
NFKB1,CTSB
ETS1,SEPT6
MYC,TOP2A
MEF2A,TRMT6
TRPS1,RNF141
IRF7,GM1966
NFKB1,BTG2
HNF4A,FCGRT
AKNA,XRCC6
CENPA,RTP4
RORA,ANXA2
NFKB1,DUSP1
TFEC,CYP2J6
MEF2A,FCGRT
TFEC,PIP4K2A
ZBTB4,IDH1
CENPA,GYPC
SATB1,IGFBP4
DACH1,GATA2
IRF6,ME2
ZFP62,MYO1F
TRPS1,CAD
VEZF1,TIMM50
NFKB1,ARL11
RUNX2,CKAP5
ZBTB4,SAT1
EGR1,MGAT1
KLF10,FLT3
TFEC,NSMF
MEF2C,SHISA8
REL,SLC12A2
IRF8,GIMAP8
GATA2,NUP88
HNF4A,PTTG1IP
SATB1,PAG1
ZBTB38,ENPP4
DACH1,IL17RA
BAZ2B,H1F0
GATA2,TYROBP
ZBTB20,GPSM1
IKZF1,GBP7
PBX1,COL4A1
ARNTL,RGS2
MEF2A,PLEK
PGR,TRP53BP2
HLF,SLC37A1
ETS1,H1F0
RUNX2,CTSH
HNF4A,CD53
KLF6,SEC14L1
ELF1,RPTOR
SP100,AP1S2
PGR,SARAF
KLF3,ZFP157
PBX1,POLD1
EGR1,MYLK
IRF8,CORO7
SP100,STAM2
PRDM16,GM4759
AKNA,TGFBR1
VEZF1,RAB27B
ZBTB4,AKNA
NFKB1,SYNRG
KLF10,CD34
VDR,TSPAN3
HNF4A,CCL4
PRDM5,KLF6
YBX3,CTNNAL1
PRDM16,F2R
MECOM,IL27RA
KLF6,RAB27B
ARNTL,TIMM50
SATB1,DCAF4
MYC,EFTUD2
IRF6,GIMAP5
HOXA9,FRRS1
VDR,H2AFX
ARID5A,PLPPR3
PRDM5,HID1
ESR1,WDSUB1
GFI1B,GP9
HOXA9,CBFB
PBX1,FBXO30
ETS1,OAS2
SP100,ARHGAP15
IKZF1,RPS6KA5
NFAT5,DUSP2
MYC,FCHO2
NFATC1,ACOX1
TFEC,MGAT1
CLOCK,RMND5B
MYCN,GGT5
RORA,TOMM22
IRF6,AMPD2
SPI1,MPL
GFI1B,INSL6
NFAT5,ELOVL6
IRF8,TCF19
PBX1,CIPC
ZBTB4,SYK
CLOCK,TMEM65
HNF4A,GPRASP1
BAZ2B,TMEM173
AKAP8L,ZC2HC1A
ELF1,MCM4
KLF10,SZT2
