TF,Target
MCM2,LAX1
HCFC1,PAFAH2
CREB5,GATA2
IRF8,KCNK5
CENPK,SFXN1
ETS1,CSAD
NFKB1,ABHD4
SATB1,GMFB
GFI1B,PLA2G4A
TAF12,SERPINF1
ID1,PIRB
MEF2A,FLNA
ARID3B,GUCY1A1
TEAD2,CKS1B
ARNTL,ENPP4
IRF8,TSPAN14
TRPS1,RGS2
NR3C2,SPI1
HMGB2,FAM169B
NFKB1,RASSF2
SATB1,HGFAC
ZBTB38,SPNS3
RORA,GIMAP8
NFIA,MYO5A
SOX18,PTGS1
XRCC6,PYGM
SPO11,DUSP5
MAPK11,FUT8
MIS18BP1,STRAP
TTF2,MYC
NFKBIA,CCRL2
HIST1H1C,CDCA5
TEAD2,PGM1
GATA2,ELOVL5
SPO11,CCNG2
MCM7,MYC
EGR1,FLNA
MYC,RPTOR
E2F8,NAV1
ZKSCAN4,FDFT1
PHC1,BTG2
MYCN,GMIP
SLA2,DENND1C
NOTCH1,ABHD4
THRB,FCHO2
TSC22D3,VEZF1
LZTS1,YOD1
YBX1,OTUB2
HIF3A,TMEM147
ZBTB20,SLA
HNRNPAB,FNDC3A
NUPR1,RGCC
ANKRD6,GM4951
EYA2,RUNX2
EPOR,GSTT1
HDAC11,MGAT1
LZTS1,SLC25A37
TLE2,HDAC7
FOXO1,SUGP2
RAD51,IFT88
APBB1,MAP2K1
PBX1,PLD4
DEK,SLC2A1
MAPK12,PRKCD
XPC,CD33
PML,BLNK
DEK,MAN2A2
RBL2,ELANE
PGR,SLC5A6
MECOM,OAT
EYA2,OSGIN1
SPI1,FGFR1OP
JUN,ATP8B4
ID1,RUNX1T1
MEF2A,LIG1
YBX1,STARD4
ZBTB20,IGHV1-81
MYC,MCM7
APBB1,HSD3B7
SLA2,SERPINB6A
SLA2,2810468N07RIK
SPO11,ERP29
SPO11,TOM1L1
NUPR1,RGS3
KLF8,ARHGAP18
RAD51,AC174780.1
HIST1H1C,MAN1A
ZKSCAN4,CD9
TRPS1,SLC2A1
IRF8,ZMIZ1
MCM5,PPIC
MCM6,MYO5C
E2F8,ARID5A
RUNX2,GM10384
RORA,PHKB
XRCC6,GNG11
PML,MEF2C
MIS18BP1,OAT
EPAS1,SELENBP1
NFE2,KDM7A
MEIS1,STAM2
TLE2,CDC45
KLF3,VEGFC
HNF4A,ARHGAP18
NOTCH1,ME2
XPC,TEC
HMGB2,ARID3B
TAF12,CASP12
CBFB,PSMC4
HLF,CHST11
NFAT5,UNC119B
JUN,ADORA2A
MLLT3,PGM2L1
PHC1,CLIP3
CTR9,POMGNT2
PRDM16,NFAM1
