dataset,method,auroc,aupr
(unknown),CNNC,0.4679487179487179,0.3424250368526551
(unknown),GNE,0.8447281946117916,0.0074730483878896
(unknown),GNNLink,0.8456820324164376,0.0285160558065577
(unknown),GRNFormer,0.748896096984694,0.0133649819824038
(unknown),STGRNS,0.3220820588526842,0.0017176818640907
(unknown),all_methods,0.3220820588526842,0.0017176818640907
(unknown),scGREAT,0.9500562005403066,0.0848697229097627
mESC_nonspecific_chipseq_1000,GNE,0.7605351988050194,0.0006732151607095
mESC_nonspecific_chipseq_1000,GNNLink,0.940187745413927,0.0165697230913891
mESC_nonspecific_chipseq_1000,GRNFormer,0.9655199620245994,0.0027428030613617
mESC_nonspecific_chipseq_1000,STGRNS,0.4001183566860366,9.654779981105816e-05
mESC_nonspecific_chipseq_1000,all_methods,0.940187745413927,0.0165697230913891
mESC_nonspecific_chipseq_1000,scGREAT,0.4718825836130544,0.0001157796736364
mESC_nonspecific_chipseq_500,CNNC,0.5711538461538461,0.4019391901528477
mESC_nonspecific_chipseq_500,GNE,0.7146897539074423,0.0004417494673877
mESC_nonspecific_chipseq_500,GNNLink,0.9616680621817424,0.0044236955740055
mESC_nonspecific_chipseq_500,GRNFormer,0.967136021557194,0.0040251149915129
mESC_nonspecific_chipseq_500,STGRNS,0.7213062021107417,0.0003793094204643
mESC_nonspecific_chipseq_500,all_methods,0.9616680621817424,0.0044236955740055
mESC_nonspecific_chipseq_500,scGREAT,0.3942470643985029,0.0001230488136081
mESC_nonspecific_chipseq_tf1000,GNE,0.7077387614645557,0.0004036107376583
mESC_nonspecific_chipseq_tf1000,GNNLink,0.9333830270687832,0.0111942206661961
mESC_nonspecific_chipseq_tf1000,GRNFormer,0.9640946743517288,0.0019485118913345
mESC_nonspecific_chipseq_tf1000,STGRNS,0.5263380870885142,0.0001288558005495
mESC_nonspecific_chipseq_tf1000,all_methods,0.7077387614645557,0.0004036107376583
mESC_nonspecific_chipseq_tf1000,scGREAT,0.5468470647015506,0.0002655778938115
mESC_nonspecific_chipseq_tf500,GNE,0.830873963905354,0.0015566596449174
mESC_nonspecific_chipseq_tf500,GNNLink,0.917718824795592,0.0626195879825476
mESC_nonspecific_chipseq_tf500,GRNFormer,0.9606887921064046,0.0022851257803652
mESC_nonspecific_chipseq_tf500,STGRNS,0.45317665413715,0.0001459231456076
mESC_nonspecific_chipseq_tf500,all_methods,0.830873963905354,0.0015566596449174
mESC_nonspecific_chipseq_tf500,scGREAT,0.4771978358472684,0.0001498052921885
mESC_specific_chipseq_1000,GNE,0.8329247973070177,0.0106692739022278
mESC_specific_chipseq_1000,GNNLink,0.9229288072632612,0.0583326140218024
mESC_specific_chipseq_1000,GRNFormer,0.8190868266367617,0.0112226356238103
mESC_specific_chipseq_1000,STGRNS,0.5895581101170244,0.0015292905884454
mESC_specific_chipseq_1000,all_methods,0.8329247973070177,0.0106692739022278
mESC_specific_chipseq_1000,scGREAT,0.5720791958270548,0.0016007810703589
mESC_specific_chipseq_500,GNE,0.8613819350654204,0.0164504547812482
mESC_specific_chipseq_500,GNNLink,0.9353316347383186,0.0753244404399049
mESC_specific_chipseq_500,GRNFormer,0.8287011148953435,0.0157037009835027
mESC_specific_chipseq_500,STGRNS,0.5709685219562582,0.0018706174016668
mESC_specific_chipseq_500,all_methods,0.8613819350654204,0.0164504547812482
mESC_specific_chipseq_500,scGREAT,0.8290660922728037,0.0063683072639741
mESC_specific_chipseq_tf1000,GNE,0.8527127626672881,0.0134316569638795
mESC_specific_chipseq_tf1000,GNNLink,0.9358542492823728,0.0624142402664159
mESC_specific_chipseq_tf1000,GRNFormer,0.812406061652151,0.0102920785969305
mESC_specific_chipseq_tf1000,STGRNS,0.5174770299897334,0.0011783382550515
mESC_specific_chipseq_tf1000,all_methods,0.8527127626672881,0.0134316569638795
mESC_specific_chipseq_tf1000,scGREAT,0.4469088842917345,0.001028326367004
mESC_specific_chipseq_tf500,GNE,0.8148251349078083,0.016734996912046
mESC_specific_chipseq_tf500,GNNLink,0.9343920907690828,0.0684619858234367
mESC_specific_chipseq_tf500,GRNFormer,0.8396250429980062,0.0169217905624602
mESC_specific_chipseq_tf500,STGRNS,0.4518956156880748,0.001313986830126
mESC_specific_chipseq_tf500,all_methods,0.8148251349078083,0.016734996912046
mESC_specific_chipseq_tf500,scGREAT,0.2693834834523988,0.0009851665722975
mESC_string_500,GNE,0.7834289612548793,0.0010621185262363
mESC_string_500,GNNLink,0.9433931396880472,0.0290868849744639
mESC_string_500,GRNFormer,0.9587660434035308,0.0025334605936727
mESC_string_500,STGRNS,0.4222642884680256,0.0001370435202831
mESC_string_500,all_methods,0.7834289612548793,0.0010621185262363
