TF,Target
BTG2,NFATC2IP
EGR1,GM27501
PEG3,SLC5A11
DNMT3B,FAM102A
KLF2,MSH6
DTX1,GM25117
SMARCA2,RRM2
HSPB1,MIR466L
SOX7,SNORA28
RLIM,PDCD6IP
PML,EFEMP2
EED,PRSS35
MSC,ARF4
ID2,GM15899
DNMT3B,GM10259
DNMT3A,GM23833
KLF3,VAMP8
TRIM28,SNORD83B
ESRRB,GM26060
DTX1,PHLDB2
FOXH1,GABARAP
PCBD1,MIR5121
DNMT3L,CBX7
ELF3,TAX1BP3
DNMT3L,MKRN1
UTF1,MIR669K
RUNX1,GM4202
RUNX1,MIR1192
HSPB1,MYO7A
PML,MIR3535
NR0B1,MIR1949
TCF7L2,ZBTB10
XBP1,HIST1H4N
EED,TCN2
RBBP7,PDGFRA
ETV5,ADAM23
TRP53,GM10012
TFCP2L1,SNHG3
PARP1,GM10012
CITED2,RHPN1
ID1,NSD2
ESRRB,ADAM19
BHLHE40,GM28960
RBPJ,KLF3
ZFPM1,XBP1
TGIF1,PNP
EHMT2,GM15446
DNMT3A,GM21962
MDM2,ZFP532
ID2,HIST1H2AI
MSC,GM27640
FOXQ1,GM24451
AKT1,RBBP7
SUZ12,BMP4
ZFP42,APP
BHLHE40,AF357399
DNMT3B,GM14567
XBP1,CITED2
TCEA3,AHCY
FOXH1,MYO18A
ID2,HSD17B14
TAX1BP3,SNX2
BCL3,IFI30
KPNA2,GM22281
PHC1,ETL4
PARP1,MIR3082
SUZ12,GM25680
GATA4,CCND3
ESRRB,GM49369
MYCN,SEC23A
ID2,TET2
CITED2,DPPA4
HIST1H1B,ANXA2
RBPJ,RHOX5
PHC1,SNORD34
CITED2,OBSL1
DNMT3A,JPT1
POU5F1,BEX1
GATA4,RCN3
FOXH1,FAT1
PEG3,MIR669I
EHMT2,NUP210
ETV5,IL6
MYCN,NRG1
SMAD7,IFRD1
KAT2B,CDKN1A
NFXL1,GM10182
DAB2,GM24289
JARID2,CTH
PEG3,HIST1H2AF
EPAS1,SNHG3
ELF3,GM24564
NANOG,MSI2
TFEB,GM8818
SOX17,GM15452
DNMT3A,LY6G6E
MYBL2,FN1
MYBL2,GM3724
MYCN,LAMB1
TAX1BP3,SLC16A1
TGIF1,WDR45
PEG3,GM17538
DTX1,PDPN
FOXH1,COL4A2
PHC1,HMCES
DNMT3L,ZC3H7A
KPNA2,GM12112
MYCN,SPRY2
BTG2,SLC5A11
RUNX1,RPL15-PS3
NFXL1,GM23946
PHC1,MID1-PS1
HIST1H1B,MYO5B
ZFP42,CTBP2
DAB2,APAF1
JARID2,GM22468
DAB2,GM14519
ZBTB10,GM8818
CBX7,GM17035
ZFP42,MIR466C-2
SMARCA2,SNORA26
TRP53,GM26109
CBX7,MARC2
KAT2B,ALPL
TGIF1,EIF4A2
PARP1,GM26109
SMARCA2,GM43940
TRP53,GM10039
TFEB,GM23262
TGIF1,VKORC1
FOXQ1,EHMT2
ELF3,HOOK1
EGR1,BEND5
KDM5B,VEGFA
PARP1,GM10039
ZFP42,MAGED1
DTX1,SNHG3
ID1,GATA4
MCM6,ADAM19
BCL3,SNORD110
HSPB1,SNORA41
BMP4,RPL23A-PS3
KLF2,RETREG1
RBBP7,LGALS3
DNMT3A,GM43558
HSPB1,PDIA3
SUZ12,TMEM9
TFCP2L1,MIR3070B
TAX1BP3,GM43238
ESRRB,EVA1A
TFCP2L1,ISYNA1
HIST1H1B,GM27501
KPNA2,TTC7
ZFP42,SNORA68
HMGA1,KRTCAP2
KPNA2,GM24201
SMARCA2,MOV10
ZBTB10,GM23262
CCND1,GM22858
DNMT3B,DPPA2
MCM6,GM49369
RBPJ,SNORD65
BMP4,LRPAP1
ID2,SLC25A4
CCND1,PLK1
EHMT2,IFRD1
TAX1BP3,CREB3
NFXL1,CCNF
TGIF1,GM26447
SUZ12,CD81
BCL3,FRMD4A
KLF2,TUBB2B
ETS1,KDELR2
NR0B1,GATA4
BCL3,AMFR
BMP4,BCAM
NFXL1,GM23632
ZFPM1,GM22094
DNMT3L,SAT1
DNMT3A,LAMC1
PCBD1,SELENOK
SOX17,ZFP57
HIST1H1B,KANK3
HMGA1,KDM5B
ZFP42,GM24488
BTG2,MIR669I
SOX17,GM23268
RBBP7,ATP6V0B
BCL3,SNORD49A
DNMT3L,GDPD5
SOX7,GM23639
CITED2,GM6136
SOX7,GM23651
SOX17,TINAGL1
HNF1B,MORC4
MSC,GM22678
AKT1,ADAM19
PEG3,GJA1
ETV5,CCND3
MYBL2,SMAD7
BHLHE40,CSRP1
ILK,NEU1
ZFPM1,PWWP3B
HSPB1,SPP1
KLF2,GM29397
BCL3,GM26917
BTG2,HIST1H2AF
