TF,Target
NUP210,KDELR3
TOP2A,GM25753
GM10780,AF357399
RPL15-PS3,GM10259
BNIP3,ANXA2
PLOD3,HIST1H2AN
MIR466B-6,GM22455
GM29397,STXBP2
ADAMTS9,GM24564
GM44310,KPNA2
GM22858,COL4A2
SERPINH1,ZFP987
COMMD3,GM4322
GM14303,GM15459
GPX3,GM23651
KDM5B,MYMX
P4HA1,P4HB
GM24616,GM27743
MIR669A-1,TCL1
TOP2A,GM43107
PRSS35,FBLIM1
GM24494,LOXL2
GM25753,SHKBP1
MARC2,ARHGEF40
GM25835,PATJ
HIST1H2BL,GM44346
MIR466O,PSRC1
LEFTY1,GM12350
TMEM144,BEX1
CST3,SNORA74A
GM20721,HIST1H2AP
FDPS,GM22091
MEG3,GM23988
GM24916,GM25040
APOBEC3,BASP1
SNORD34,TDGF1
BASP1,RPL22L1
GM22411,THBD
TGIF1,TNS4
PFKP,RBPJ
HIST1H3I,GM22455
COTL1,HIST1H2BG
GM23158,MT2
HIST1H4N,FBLIM1
SLC26A10,GM43558
DUSP9,SRGN
GM28439,ABHD5
GASK1B,CTSZ
DNAJC10,IGF2
ABHD5,VSIR
DPPA4,SNURF
MIR8094,LEFTY2
SOX7,GM44335
NDRG1,SNHG5
LMF2,GM44429
P4HA1,GM26156
CRIP2,ADAM23
EPAS1,HIST1H4N
DNAJC10,XBP1
ITGA3,SHKBP1
SLC6A8,GM23569
PLAT,GM27501
GM24488,ZFP57
MIR3535,GM22858
SAT1,SERPINE2
GM24564,APOE
GM25040,GM12350
CTSD,GM21962
TSPAN9,GM24044
PDGFRA,ZFPM1
EPAS1,IFITM3
UTF1,ULK1
MIR466O,GM43521
GM25960,GM26073
AU018091,LRP2
PDGFRA,AQP8
GM28960,BCAT1
CALCOCO2,GM44310
GSTA4,CALR
GM24455,ME1
ZFP987,LEFTY1
GM27592,SNORD49B
AQP8,GM24289
NID1,MIR5117
GM20721,LMF2
CST3,ERP29
BCL3,SLC2A1
PDK1,TPM4
MYMX,DKC1
HIST1H2BF,GM15452
SLC16A1,GM26073
PDCD4,DPPA2
GM26287,GM27501
NXF7,MIR8091
RPL22L1,GM14519
HIST2H2BB,SURF4
MIR7063,STARD8
SNORA81,GM47315
SNORD93,FOLR1
STARD8,GSTA4
GM38312,HIST1H3I
NUP210,GM12350
TFCP2L1,ITPK1
AMPD2,RRM2
LAMA5,VSIR
PODXL,GM23639
TINAGL1,RCN3
TNS4,GM27501
SNORA65,HSPA5
GM24616,RAB3IL1
ATP6V0A1,GM22468
GJB3,SNORD35A
RNU73B,GM37746
FOLR1,FOXQ1
MT2,GLDC
SLC6A8,SNORD34
MIR466O,TGIF1
GM27406,TENM4
FAM129B,CST3
NPHS1,SNORA65
RPS27RT,SNORA3
GNAS,FXYD3
SNORA81,MIR7005
CALU,GM23632
GM49450,PLA2G1B
2810025M15RIK,SLC5A11
GATA6,PLOD1
ZFP42,GATA4
NDRG1,MIR677
NID1,DNAJC10
LAMA1,SNHG5
HIST1H3H,COL4A2
GM43558,MKRN1
P4HA2,SOX17
CTSA,GM10259
ETV5,FXYD3
DUSP9,GM28900
ITGA3,SNORD35A
ULK1,TDH
GM24451,GM12350
FGF4,ADAMTS9
SERPINE2,SPRY2
FOLR1,MOV10
MME,SDC4
GM23262,SNORD32A
RCC2,IFI30
GM26491,GM44429
TPM4,VSIR
FN1,RRM2
CCNB1,ETV5
GM22925,AMPD2
FN1,SLC25A5
GM24916,CAR2
ITGA6,FLRT3
GM7329,SNORA41
OPLAH,DNMT3L
CTSZ,TRH
MYLPF,RIAN
GM23130,SNORD32A
SEC24D,GM28439
OPLAH,AY036118
GM14870,HIST1H3I
GM23569,EPS8
BHLHE40,MIR3082
MARC2,GM26092
GM22091,BNIP3
SNHG12,GM25673
TCL1,GM42845
PODXL,NUTF2-PS2
ME1,SNORA65
PWWP3B,GM7329
FOLR1,UTF1
IGF2,GM23632
TIMP2,GM24494
GM12350,GSTA4
MEG3,SOX17
TSPAN9,GM24455
NXF7,RCC2
AY036118,GM26917
PRC1,GM20721
LAPTM5,LAMA1
DNAJC10,PCBD1
PTH1R,SERPINE2
HIST1H2BN,MYMX
GM3788,HIST1H2BG
GSTA4,GM38312
HSPG2,HSP90AA1
DNMT3A,OPLAH
CTSZ,GM43535
PLA2G1B,DPPA4
2200002D01RIK,GM10259
AMPD2,FN1
AURKA,PDCD4
P3H4,MANF
SURF4,COL4A1
GM14519,CREB3
GM49347,GM49450
CTSD,NDRG1
GM27326,CALR
GM28439,BEX1
SLC16A1,FGF10
P4HA2,GM28960
ZFP989,SNORD70
FAM25C,COL4A1
MIR466B-4,SOAT1
NPHS1,MYMX
MIR466B-6,PML
MKRN1,GM7329
GRB10,GM14870
FGF4,HIST1H4N
ITGA6,MEG3
NUP210,TET2
SAT1,AF357399
MARC2,KAT2B
TDH,NPHS1
GM26156,RAB11A
TMEM150A,GM26287
GM22620,PLK1
SPARC,GM42429
MOV10,MIR1949
CKB,LAMA5
KLF2,GM28010
TCL1,GM23639
FGF4,IFITM3
POU5F1,SNORD33
TFCP2L1,HMGA1B
GM23988,LEFTY1
NSD2,GM24201
GNAS,CREB3L2
HTRA1,MT1
ZFP987,NXF7
CTSZ,GM25316
IL33,GM3788
GSTA4,ASS1
GM24315,LEFTY1
TMEM150A,MIR7003
CALR,GM24488
KHDC3,SNORD70
MIR677,FBLIM1
BMPER,BCL3
AQP8,NANOG
ETV5,CREB3L2
ADAM19,LAMA5
2410141K09RIK,GM25673
GM49347,RPS27RT
GM23632,GM10052
DAB2,GM24201
SNORD33,SLC5A11
AMPD2,RHOX5
LNCENC1,SLC7A6
PLK1,SNORD70
POU5F1,HMCES
MEG3,GM28960
AMPD2,GDPD5
P4HA2,PRXL2A
BCL3,PSRC1
UCHL1,ADAM19
2810025M15RIK,GM9531
SNHG5,PRC1
ITPK1,ARHGAP29
COL4A1,NDRG1
KLF2,KIT
ME1,MYMX
TDGF1-PS1,P4HB
GM23639,AMOTL2
TPD52,DNMT3A
GM44310,MIR669A-3
SDC4,SERPINH1
OPLAH,TRP53
SRGN,TCL1
UAP1L1,SOX17
GM23158,AURKA
BCAT1,HIST1H2BF
SHKBP1,CALCOCO2
MIR3473F,HIST2H2BB
GM22925,HIST1H4D
PHLDB2,AMOTL2
RNF157,PHLDB2
NDRG4,CTSA
ITGA6,HIST1H4K
CSRP2,TFRC
GM38312,BNIP3
FOXQ1,HSP90B1
SNORD35A,LDHB
HMGA1B,SPP1
TET2,SOX7
GM2399,SNURF
GNAS,SLC7A3
TAX1BP3,SNORD49B
UAP1L1,PLOD1
BCL3,GM43521
GM26156,UAP1L1
SGK1,GM25791
GM47315,CCNB1
SOAT1,LAMB1
FST,GM23413
LAPTM5,DKC1
TDGF1-PS1,GM26156
GM23651,RRM2
PGAM1-PS2,PLAT
RRM2,VSIR
DUSP9,DPPA4
MEG3,PRXL2A
MORF4L2,SRGN
SNORA74A,GM44206
KHDC3,FXYD3
GM6136,SNHG12
P3H4,SAT1
CEMIP,GM24761
SPINK1,P4HB
ZFP42,MAGED1
HMCES,KRT8
SEC24D,HTRA1
AMOTL2,TDGF1-PS1
SNORD35A,NID1
RCN3,FLRT3
GM28439,GM26318
GM20721,HSP90AA1
ARHGAP29,TDGF1-PS1
FST,FDPS
GM23639,GM25960
CEMIP,GM25701
UPP1,GM22884
GM7329,SNORA26
MAGED1,2810025M15RIK
KIT,ANXA2
SNORD35A,P3H1
GM37917,SOX7
PLOD3,GM33051
PRXL2A,CTSZ
SPRY2,RCN3
GM24761,TET1
TENM4,GM25787
APP,DNMT3B
OPLAH,SNORD85
GM43558,DNAJC10
HSPB1,GM15452
PHLDB2,GM25960
SDC4,PATJ
GM24044,SRGN
SPINK1,GM26156
RASGRP2,GM14519
NRG1,GM25673
BCL3,TGIF1
KDM5B,LY6G6E
UCHL1,SFI1
MIR5117,GM8355
GM14870,BNIP3
PDGFRA,MORF4L2
SNORA74A,GM6136
GM10719,DPP4
PLTP,HIST1H2BN
GM4322,NDRG1
RPL17-PS10,NUTF2-PS2
GM43535,ESRRB
GM24455,ALG13
PTH1R,AF357399
GM23833,CRIP2
CDC20,OPLAH
LMF2,HIST1H2AN
HIST1H4K,RAB11A
MRPL23-PS1,GM10925
HIST1H2BN,IFITM1
DNMT3A,GM14519
TRH,ZFP42
GM22988,HIST1H2AF
GM23262,GM10780
SNORA41,PDPN
TINAGL1,KDM5B
HIP1,GM22072
IFI30,SNORD35A
GM8355,GM22571
HIST1H1A,GM22988
RCC2,AKR1B8
POU5F1,UCHL1
AU018091,GM2399
LAMB2,OPLAH
TRH,RHOX5
HIST1H1B,GNPDA1
FRMD4A,HSPB1
BCAT1,PHC1
TDH,2810025M15RIK
RAB3IL1,TUBB2B
SNORD85,SRGN
HIST1H2AP,GM44429
LRPAP1,OPLAH
HIST1H2AL,GM25040
PEG3,SNORD85
MIR3473F,HIST1H2AI
P3H1,PHC1
RCN3,MEG3
CALR,GM22455
INSIG1,HIP1
SOAT1,PTPN14
GM15452,PRC1
SNORD33,GM9531
GM23651,FN1
HIST1H4K,MIR669A-1
GM23988,NXF7
VIM,GNPDA1
P4HA2,GATA6
GM27743,CTSZ
GM43535,CMKLR1
GLIPR2,GM22571
GM21962,GJB3
GM29397,SNHG5
CSRP2,LGMN
GM24315,NXF7
GM49347,GM28900
B2M,ZFP42
UAP1L1,PRXL2A
PRC1,B2M
HSP90B1,GM25500
MIR669J,PRSS35
UCHL1,CCNG1
GM26917,CTSA
SNORA65,GM44310
IGFBP2,SPP1
PML,HIST1H2BG
LRP2,PODXL
ERP29,GM49450
NANOG,STARD10
HIST1H2AF,ME1
AMPD2,SNORA3
MIR3473F,KHDC3
CREB3L2,INSIG1
PMM1,PCBD1
CSRP2,GM27326
BEX1,MT-TF
ELF3,GM21962
PTPN14,GM10925
SDC4,GM8355
GM24044,GM28900
MIR466B-6,CD63
B2M,RHOX5
GLDC,FRMD4A
GM43535,GM25535
IFITM2,OPLAH
MIR3535,P4HA1
GM22468,F3
BMPER,FBLIM1
NDRG1,GM22858
UBE2C,RIAN
GM24201,GM22571
HIST1H4K,UAP1L1
DKC1,ZFP42
SOAT1,UNG
MAN1A2,SLC6A8
GM23569,GM20721
MIR1949,RNU73B
TFRC,MANF
TFCP2L1,CHCHD10
PHC1,GM24488
STARD10,MME
GM23632,TET2
HSP90AA1,GSTA4
HIST1H2AI,TNS4
PLOD3,SNORA74A
RPS27RT,HIST1H2AP
INSIG1,GM10719
GM26491,HIST1H2AN
HIST1H2BK,GM22988
SNORD65,ZFP42
PLAT,MRAS
STXBP2,TNS4
MEG3,GATA6
GM24564,ITGA3
KDELR2,GM22925
XBP1,HIP1
AQP8,APOBEC3
GATA4,ZFAS1
KDELR3,TDH
SLC7A3,GM25673
NR0B1,GM3788
GM26447,BMPER
HTRA1,SLC25A5
CTSD,FAM129B
HIST1H2AP,CCND1
PDGFRA,GM24044
HIST1H3I,CD63
GM23651,GDPD5
RPL15-PS3,COL4A2
SNHG12,HIST2H2BB
CST3,GNAS
MARC2,DAB2
SOX17,F3
SNORD32A,GNPDA1
FABP3,SERPINE2
TINAGL1,GM27743
2210409E12RIK,GASK1B
OPLAH,GM26917
SNORD85,GM28900
CTSD,GM43558
CHCHD10,SPARC
FAM25C,SPARC
MIR466B-4,NXF7
MIR669A-3,RIAN
GM44346,AMOTL2
NFXL1,ANXA2
CAR2,ZFP42
PMM1,SOAT1
FAM234A,LNCENC1
GM27326,EPAS1
KHDC3,SLC7A3
TET2,KDELR2
LAPTM5,GM24497
PLOD3,ERP29
RPS27RT,LMF2
PRSS35,FLRT3
PSRC1,PDGFRA
GDPD5,CALCOCO2
TIMP2,SNORD49B
HTRA1,GM22862
HIST1H2AL,CAR2
NUTF2-PS2,GM49450
STARD8,TCL1
HIST1H2BG,HIST1H2BN
PHC1,GM23130
GM22988,MARC2
GM24455,MIR8091
GM28030,DNMT3L
GM28439,SNORA74A
HSP90B1,PSRC1
SFI1,TOP2A
FXYD3,SOAT1
SNORD110,TYRO3
HSPA5,RNU73B
LAMA1,GM22858
SNORD70,CTSZ
GM22925,P4HA1
GM28030,AY036118
SERPINH1,MYBL2
HIST1H4N,FLRT3
HIST1H2BN,LY6G6E
NXF7,GM44206
MIR7063,GLIPR2
GATA4,SDC4
MARC2,ITGA6
CDC20,GM14519
GM37917,KDELR2
CD63,GM23268
AQP8,HSPG2
PHLDA3,GM12350
GM26447,RPL15-PS3
GM44346,GM25960
COL4A1,GM43558
ASS1,HIST1H2BG
ERP29,SRGN
GM44206,SNORA65
TGIF1,SHKBP1
CREB3L2,FST
CREB3L2,GM24616
TENM4,WDR45
NPHS1,LY6G6E
FXYD3,GM44390
GM23639,PGAM1-PS2
MME,SNORD34
BNIP3,CTSZ
TFRC,SAT1
P4HA1,SLC6A8
LAMB1,HIST1H2AI
PWWP3B,GM22091
GM22571,SPP1
SNORA41,GM44310
AQP8,PDK1
HMGA1,PLA2G1B
