TF,Target
P3H1,GM28439
ADAM23,GM10052
RHOX5,ANXA5
HIST1H2BG,GM22411
CTSA,KAT6B
GM44346,ITGA6
MANF,ZFAS1
SNORD35A,SPRY2
XBP1,GM37376
SLC2A1,GM22620
ABHD5,GM20721
HIST1H2BF,SLC7A6
PLOD1,PHLDA3
GM44206,FAM234A
GM22455,SNORA41
HIST1H2AN,LAMB2
XBP1,AQP8
LAMB2,AMOTL2
NANOG,SLC7A3
LAMC1,GATA4
GASK1B,RNF157
GATA6,GM24451
GPX3,ETV5
SNORD49B,LAMB2
UNG,CD63
GM37746,KDELR2
ADAM23,FABP3
GM10719,SNORD110
SNORA81,GM47315
CHST15,GM10719
SLC6A8,NDRG1
GM22862,GLDC
GM25701,ERP29
PGAM1-PS2,XBP1
GM26318,HIST1H2AI
HIST1H1B,SNORD49B
GM38312,IL33
CUBN,GM37746
SNORD49B,ETV5
RIAN,NID1
BNIP3,SPP1
TDH,CCND1
KAT6B,APOBEC3
GM26073,GM28030
DNAJC10,GM22091
DKC1,GM44206
KAT6B,SRGN
CDC20,FOXQ1
STARD8,TET1
CD63,COTL1
SNORA3,LAPTM5
UTF1,GM6136
HIST1H2AP,FGFR3
PTPN14,SOAT1
TFCP2L1,GATA4
SLC6A8,GM25535
PGAM1-PS2,RNF157
ARHGEF40,FDPS
2210409E12RIK,RPL22L1
2210409E12RIK,ME1
CTSD,SOAT1
GM25960,GASK1B
ZFAS1,FGF4
HIST1H4K,GM10169
GM22620,COTL1
GM24488,GM44310
ULK1,HIST1H2AP
IL33,CST3
UAP1L1,HSPB1
P4HA1,HIST1H2BG
GM25535,PTPN14
GM14870,GM26073
CAR2,HIST1H3I
MT-TF,GASK1B
DNAJC10,RPS27RT
PTPN14,MT2
P3H4,EPS8
DAB2,DNMT3L
GM15452,GDPD5
SLC2A1,KAT6B
SNURF,PLAT
UNG,GM26447
TNS4,HSPB1
CTSD,MT2
GM23632,NPHS1
GM24916,FST
GM13597,LRPAP1
TENM4,LAMC1
MAGED1,MOV10
ATP6V0A1,2410141K09RIK
SLC7A6,MIR5121
SLC7A3,SNORA74A
ZFP989,RCC2
MIR669A-3,PDPN
GM23268,ADAM23
CEMIP,FAM25C
LRP2,GM22455
P3H4,ADAM19
GM27501,FOXQ1
GM15459,GM24494
TFRC,RNU73B
SNORD49B,SLC7A6
GM26073,SLC6A8
TIMP2,SOAT1
ANXA2,GM43521
RPL22L1,ASS1
TXNDC5,GM8355
GM2399,RBPJ
TFRC,P4HB
HIST1H2BL,GM49347
UAP1L1,HIST1H2BN
GM29397,CD63
HIST1H4K,NR0B1
HIST1H2BL,TOP2A
ZFP989,CREB3L2
PDCD4,SNORA26
GM44346,HIST1H2AL
SNORD70,CD63
FN1,SFI1
EFEMP2,HIST1H2BL
GM22571,RPL15-PS3
ZFPM1,ETV5
TNS4,HIST1H2BN
TIMP2,MT2
OPLAH,GM42845
PEG3,KAT6B
GM25753,GM43558
GM37376,GM25673
PLOD1,CSRP2
SNORA3,GM9531
MT1,PRXL2A
SEPT1,PTPN14
CLDN6,VIM
APOE,GJB3
DKC1,HIST1H2AN
GM37376,GM25753
LGMN,GLIPR2
P4HB,DNAJC10
GM6136,GM14519
RPS27RT,GM27406
2410141K09RIK,PTPN14
GM28030,LNCENC1
MIR1949,ULK1
DAB2,SHKBP1
LGMN,MIR677
RPL23A-PS3,NR0B1
GM21962,GM7329
FABP3,PRC1
ZFP987,HIST1H1B
HIST1H2BN,GM23262
MME,GM22925
SNORD35A,GM25943
RASGRP2,TFRC
KDELR2,HIST1H1A
FAM234A,SPP1
GM28030,IGF2
GM23158,GM23988
THBD,CTSD
HS3ST1,STARD10
