TF,Target
RBPJ,SNORD93
NUTF2-PS2,GM28439
CHCHD10,MIR7063
P4HA2,KRT8
GM25673,GM21962
FDPS,KPNA2
ATP6V0A1,GM24201
GM23632,CST3
GM28010,GJB3
LNCENC1,GM22862
CLDN6,POU5F1
GM23413,IFITM3
NXF7,ALG13
2810025M15RIK,SLC2A1
RAB11A,GM24201
SNORA26,LNCENC1
UNG,LGMN
GM25673,LAMB2
COL27A1,CCNG1
ME1,DNAJC10
SNORA26,CHST15
BNIP3,FXYD3
GM27743,SPP1
GLIPR2,MIR7003
TFRC,CLDN6
MIR669J,NPHS1
GM23833,GM24289
RPL15-PS3,KRT8
KRT8,ALG13
CD63,RNF157
PLOD3,VSIR
MIR8094,GM44390
GM25753,GM22858
GM26287,ETV5
GM25835,PTH1R
ZFPM1,ATP6V0A1
SOX17,GM29397
APOE,NDRG4
GM28960,POU5F1
PODXL,GM28960
ATP6V0A1,CALU
CLDN6,GM25753
GM14519,SOX17
WDR45,GM23988
TPM4,GM26287
RAB11A,CALU
MIR5117,GM22620
GM25451,CDC20
TMEM150A,FAM25C
GM24494,LTBP4
FDPS,CKB
EIF4A-PS4,HIST1H2AI
PDGFRA,MIR466O
GM25500,SNORD49B
HIST1H2BK,ZFAS1
BASP1,GM25535
GM23639,GM26491
GM26917,HIST1H2BF
TPD52,LEFTY2
TXNDC5,SNURF
GM22862,GM24455
LTBP4,GM37784
SPINK1,MEG3
GM21962,GATA4
LAMA1,SLC7A6
BMPER,SNORA81
ETV5,LRPAP1
GM24761,ZFP989
MIR8094,GM14303
GM24289,IFITM2
GM25960,GM10925
GM25451,GM9531
GM26447,XBP1
TXNDC5,HIST1H2BG
PWWP3B,SNORD34
MANF,PHLDA3
EIF4A-PS4,STARD8
GM28960,GM25753
MAN1A2,GM26287
SRGN,XBP1
RAB3IL1,KIT
HIST1H2AN,NUTF2-PS2
TPM4,GM24451
CUBN,ETV5
MOV10,ABHD5
GM25791,UAP1L1
LDHB,GM27743
GM8355,2810025M15RIK
GM24916,HMGA1B
IFITM3,FAM234A
PLK1,ADAMTS9
MIR466B-6,CREB3L2
TET2,FAM234A
NUTF2-PS2,HSP90B1
SNORA81,ADAM19
LDHB,SNORD110
NRG1,MOV10
IFITM1,SDC4
IGF2,GM25787
MYBL2,2200002D01RIK
NDRG4,MT1
GM25753,CTSL
AU018091,TFRC
MARC2,KDM5B
DNAJC10,GM6136
SDC4,ARHGEF40
GM3788,ZFAS1
GM22858,PLOD3
HIST1H2AL,CMKLR1
KAT6B,SEC24D
FN1,GM25701
MYBL2,BEND5
DNMT3L,GM24044
FGFR3,GM24616
PLK1,CDC20
STARD10,MIR5121
MAN1A2,GM24451
PRC1,MEG3
HIST1H2AH,ME1
GM44346,PTH1R
SOX2,GM28960
UAP1L1,FN1
CLDN6,HIST1H2BK
GM14870,GM10169
PLOD3,PLTP
RHOX5,GM13597
ADAMTS9,POU5F1
TET1,GM25535
IFITM2,CEMIP
RCN3,AU018091
ME1,GM10052
SNORD34,PSRC1
HIST1H2AL,NR0B1
HMCES,IFI30
MT-TF,HS3ST1
AURKA,CALCOCO2
PODXL,GM25943
ANXA2,FAM129B
GM25701,AF357399
PLOD3,GM23639
GM9531,GM24488
TRH,MAGED1
PODXL,GM10259
DNAJC10,SLC26A10
GM27592,FGF4
HSP90B1,KDELR2
2410141K09RIK,HMCES
ALG13,HTRA1
P4HA2,MIR669A-1
GM37784,FRMD4A
GM28960,HIST1H2BK
MIR7003,SNORA65
GM20721,SNORD49B
TYRO3,GM44335
GM9531,GM14519
DNAJC10,KDELR3
GM24616,HIST1H4K
P3H4,GM22858
SNORD49A,JARID2
CCN2,GM23130
RPS27RT,GM12350
MOV10,PTPN14
SNORD35A,GM23988
FDPS,AKR1B8
SLC2A1,UNG
ADAMTS9,GM25753
PLOD2,NRG1
GM10925,FGFR3
HSPA5,SNORA26
MRAS,MIR466B-4
PLOD1,JARID2
P4HA1,MRAS
GM4322,CREB3
PFKP,HIST1H2AL
RPL15-PS3,MIR669A-1
SNORD34,SPINK1
LAMC1,NDRG4
GM43107,GM20721
PGAM1-PS2,PRC1
GM4322,MIR7063
KLF2,SEC24D
GM24315,AKR1B8
EPAS1,ANXA2
GM22455,ALG13
GLDC,GM22091
GM23632,CD63
EPS8,GATA6
TIMP2,PCBD1
UPP1,B2M
NUP210,RPS27RT
LEFTY1,ADAMTS9
GM22411,SNORD33
CTSA,CMKLR1
ABHD5,SLC5A11
GM10052,UNG
SNHG5,SLC5A11
RASGRP2,GM22678
APP,SLC5A11
CAR2,KAT2B
SOAT1,FOLR1
HMCES,MIR5117
SOX2,GM25943
GM25753,POU5F1
KHDC3,BNIP3
SOX2,GM10259
RAB3IL1,UTF1
LEFTY1,CDC20
PDCD4,MT-TP
MYBL2,GM44390
NUP210,BEX1
MIR5121,PML
GSTA4,COL4A1
PLOD2,NANOG
CTSA,NR0B1
GM28900,GM25835
GM29397,CCND1
PFKP,NFXL1
GM22988,AQP8
CTSL,TCL1
MIR7003,GM12350
PRXL2A,GM23651
CALR,NDRG1
B2M,GPX3
TFRC,GM25451
P3H4,CTSL
PLTP,GM23988
GM14519,TMEM150A
ADAMTS9,HIST1H2BK
GM43535,GM25943
GM22468,ETV5
HMGA1,PML
HIST1H2BN,GATA6
SNORD85,HTRA1
WDR45,SOX7
GM10719,GM44346
MME,SNORA65
GM24201,SNORA74A
NDRG4,HSPA5
FGFR3,PDCD4
SNORA3,TPD52
SLC16A1,PLAT
KDM5B,CMKLR1
GM22411,MT2
GM47315,HSP90AA1
CKB,KIT
GM28010,SNORD93
GM26491,GM25472
LAMA5,FAM129B
TCL1,2210409E12RIK
SLC26A10,KDELR3
GM26092,SNORA26
HMCES,MYBL2
TINAGL1,SNURF
TFRC,NPHS1
GM44310,SLC16A1
GLDC,PRXL2A
MYBL2,GM14303
FBLIM1,GM47315
PDCD4,DUSP9
MORF4L2,GM42845
TSPAN9,HIST1H3H
GJB3,LAMC1
DUSP9,NDRG1
GM22620,CLDN6
GM43107,GM22862
TINAGL1,HIST1H2BG
MIR3473F,GNAS
SNORD93,GM25791
GLDC,MIR669A-3
MIR466O,SLC6A8
GM43521,GM27326
CTSL,GM38312
GM22925,SNORA3
GM25040,CCN2
PWWP3B,IFI30
FAM234A,HSPB1
ASS1,ELF3
TPM4,GM26092
LMF2,GM43558
MIR7063,OPLAH
MOV10,ADAM19
FN1,BHLHE40
GM22571,PHC1
CDC20,DNMT3B
2810025M15RIK,CHCHD10
COL4A1,CCND1
FBLIM1,HIST1H4K
SLC7A3,MIR669G
FXYD3,SNORA3
MIR669A-1,GM26156
CSRP2,AF357399
SNORA3,FBLIM1
NFXL1,TMEM144
SNURF,MIR669G
FABP3,RBPJ
GM26073,TDGF1
GM23632,HIP1
PDCD4,CCNB1
MAN1A2,GM26092
APOBEC3,SGK1
GM24289,GM23651
GM28439,STARD8
PFKP,MANF
GM25753,HIST1H2BK
PRSS35,GM22411
GM21962,P3H1
GPX3,GM22571
LEFTY2,HIST2H2BB
RBPJ,FXYD3
MIR669G,PMM1
HSPG2,LAMC1
SNORD33,GM22411
SLC7A3,DAB2
P3H1,CEMIP
MAGED1,FOXQ1
GM25500,P4HA2
P3H4,POU5F1
NID1,KAT6B
RRM2,MAGED1
PRSS35,SERPINE2
SNURF,DAB2
SPRY2,NDRG4
SEC24D,GM22884
GM22884,GM23571
GM24455,GM43558
SNORD33,SERPINE2
PLOD2,MYLPF
BNIP3,GM14870
F3,LY6G6E
IGF2,HIST1H2BL
LMF2,ZFP57
