TF,Target
KDM5B,HIST1H4D
HIST1H4K,GM43107
ITGA3,CST3
GM24564,GM49450
GRB10,COL4A2
BEX1,GM22884
2210409E12RIK,CALCOCO2
GM23268,GM14519
ASS1,SNORD32A
GATA4,WDR45
LEFTY1,TMEM144
B2M,GM22858
SNURF,APP
LAPTM5,DPP4
ADAMTS9,STARD10
EFEMP2,CALCOCO2
GM44429,NUTF2-PS2
EPAS1,PLOD1
GM22571,GM23639
SRGN,GM25500
GDPD5,GM25753
RBPJ,MYBL2
2210409E12RIK,GM10719
GM10925,ZFP987
HIST1H2AP,GM43107
GM44390,GM25835
GM26092,RCC2
DNMT3L,HSPB1
P4HB,GM22858
MIR3082,GM7329
GM29397,GM25753
AF357399,RAB3IL1
GM2399,HMGA1B
PEG3,NANOG
KLF2,SNORD32A
MIR7005,GM7329
FDPS,GM37917
EFEMP2,GM10719
PRXL2A,CLDN6
PML,HIST1H2AI
GM33051,UBE2C
SURF4,MME
HMGA1,ABHD5
SNORD85,GM27406
FST,GM20721
NANOG,LAMC1
HIST2H2BB,HMCES
TXNDC5,LAMA5
ELF3,MIR3473F
AF357399,ARHGEF40
NUP210,SNORA41
GM26318,RPS27RT
HIST1H4D,HIST1H2AL
SNORD33,HSPB1
LAMB1,GNPDA1
TRH,MT-TP
GM24044,MEG3
GM28960,GM12350
TMEM150A,FLRT3
GM43107,PTH1R
SNORA41,GM24289
TDGF1-PS1,GM13597
SNORD70,GM43521
GM22468,RPL15-PS3
PCOLCE,DPPA4
VSIR,TYRO3
GM23632,GM23413
HIST1H2BF,HIP1
KAT6B,GPX3
SLC7A3,KIT
SLC7A6,SNORD93
GM25960,HIP1
PHC1,PLTP
GM25791,LOXL2
GRB10,PCBD1
MORF4L2,CSRP2
HIST1H2AI,TRP53
GM4322,LEFTY2
LMF2,AKR1B8
HIST1H2BL,FOLR1
GM6136,THBD
GM24451,MRPL23-PS1
SERPINH1,PRSS35
DNMT3L,SOX2
LAMA5,F3
CEMIP,PCOLCE
PMM1,RASGRP2
PCOLCE,SNORA3
HKDC1,BMPER
POU5F1,CCNB1
GM20721,WDR45
GRB10,GM15459
MIR466B-6,MIR466B-4
MORF4L2,CRIP2
RRM2,GM24761
TMEM144,GM25040
FLRT3,HIST1H3I
UBE2C,PLK1
GM22925,MIR677
IL33,SNORA41
ATP6V0A1,PTH1R
MIR5121,BEX1
MYMX,GM23344
P4HA2,MIR466O
SNHG12,GM47315
MT-TF,GM25753
FGF10,GM25701
SLC7A6,GM24455
GM44429,RHOX5
CLDN6,SPARC
GM26092,DNAJC10
KAT2B,CREB3L2
CCND1,FBLIM1
CEMIP,GM27743
GM27592,SLC6A8
PHC1,HIST1H4D
HIST1H2BG,SNHG5
SNORD33,SOX2
GM26092,MYMX
RPL23A-PS3,PDPN
FRMD4A,ITGA6
GM22571,ZFP989
PLA2G1B,VIM
ANXA2,NID1
PODXL,AMPD2
2210409E12RIK,STXBP2
BCAT1,2410141K09RIK
GM25451,GM43558
HIST1H4N,CD63
TPM4,PLAT
APP,SNHG5
ZFP57,GM43558
2200002D01RIK,SNORD85
NR0B1,LY6G6E
HIST1H2BN,HMGA1
ZFP987,GM24616
NDRG1,AU018091
HIST1H2AH,HSP90B1
SERPINH1,GPX3
HIST1H2AH,B2M
HSPB1,COL27A1
PRSS35,TAX1BP3
EPS8,DNMT3L
GM23639,MIR8094
B2M,GM22411
EFEMP2,STXBP2
MEG3,GM26156
GM24916,SNORA3
TFCP2L1,COTL1
EIF4A-PS4,PRSS35
RHOX5,MT2
HIST1H1D,PLOD2
GNPDA1,ADAM19
DPP4,PRXL2A
HIST2H2BB,RNU73B
COL4A2,MYBL2
HIST1H4K,FOLR1
GM25787,GM44429
GM23569,GM37746
CUBN,ITGA3
GM26092,GRB10
GM26287,NID1
MIR3082,BEND5
HIP1,MIR466O
GM2399,TIMP2
ASS1,DPPA4
P4HA1,BASP1
UNG,TFCP2L1
UAP1L1,HIST1H2BF
STARD10,GM10259
GM37784,GM24761
GM23639,HIST1H2BL
PFKP,SNORD65
MIR7005,BEND5
PWWP3B,GM27501
P4HA1,GM29397
DPPA2,SERPINH1
RRM2,HMCES
TET2,LEFTY1
TINAGL1,HMCES
GM27592,IFITM1
LAMA5,SPRY2
TPM4,GATA4
BNIP3,HMGA1B
PLAT,FRMD4A
MIR466O,TXNDC5
AY036118,PEG3
GM22884,GM20721
HIST1H2BF,GM26156
CRIP2,GM47315
PLTP,NANOG
GM27592,RASGRP2
MAGED1,KRT8
GM25960,GM26156
ASS1,SNORA3
HIST1H2AP,FOLR1
MIR8091,TAX1BP3
VIM,ZFPM1
SNORD49A,ANXA5
GM44429,TDH
ABHD5,GM22884
LGMN,GM24761
TET2,HIST1H2BK
P3H4,CTSZ
SNORD93,TDGF1-PS1
PDGFRA,PLK1
GM27743,PDGFRA
P4HA1,MIR669G
DNAJC10,SNORD34
HIST1H2AN,MIR7003
LAMB1,AQP8
SLC2A1,GM22678
CLDN6,SNORA74A
PCOLCE,HSPB1
GM24315,MYLPF
KLF2,DPPA4
EIF4A-PS4,GPX3
GM23262,PDPN
PLAT,GM25535
RPS27RT,GM8355
GM10780,GM22884
PGAM1-PS2,SNORD85
GDPD5,GM27592
SLC25A5,PWWP3B
GM47315,FLRT3
SNORD34,PTH1R
SHKBP1,GLIPR2
MAN1A2,MKRN1
CTSL,HIST1H2AH
CKB,IGFBP2
VSIR,GM24289
GM26287,HIST1H1D
LAMC1,ME1
GM38312,GPX3
DKC1,PHLDB2
LAPTM5,SOX17
SRGN,GM23632
CTSL,HSP90B1
CTSL,B2M
SNORD85,GM33051
GM10717,LEFTY1
2410141K09RIK,2210409E12RIK
HIST1H2AI,CTSL
GM29397,GM27592
PHLDA3,HIST1H2BN
KLF2,SNORA3
TAX1BP3,GM24451
GM26092,GM9385
CREB3,GM44310
LEFTY1,FOXQ1
MIR7003,RPL23A-PS3
LAMA1,TPD52
PLOD1,LY6G6E
GM13597,CCND1
GM23833,UPP1
RPL22L1,GM24564
PTPN14,GM44346
SLC7A6,GM24564
GM15459,JAM2
GM25472,MKRN1
GM25753,GM22988
MIR5117,HIST1H3H
GM24315,SLC7A3
ELF3,MIR3082
HIST1H2AN,HIST1H1A
TPM4,GM25943
ZFPM1,ANXA2
FABP3,DPPA2
HIST1H2BL,RRM2
SPRY2,ITGA6
GM43535,RIAN
NDRG4,HIST1H2AI
GM14519,BCL3
AU018091,GM44346
NPHS1,GM28439
RPL22L1,GM21962
NDRG1,CD63
GM24616,GM25472
SLC7A6,GM21962
BMPER,GM37917
GM6136,GM23262
UNG,MME
GNAS,DNMT3B
UBE2C,DNMT3B
TET1,HIST1H2AI
PCOLCE,SOX2
PCBD1,ULK1
GM15452,FOXQ1
SNORA26,F3
GM26447,SNORD33
UPP1,KPNA2
CLDN6,PFKP
SNORD65,SERPINE2
XBP1,THBD
NFXL1,GM12350
ZFP987,GM22862
P4HA1,SNURF
FGF4,HIST1H2BF
CTSA,SNORD34
LRP2,LAMA5
DNMT3B,LAPTM5
TXNDC5,BASP1
AMPD2,GDPD5
DNMT3A,MIR3535
TINAGL1,RNU73B
FRMD4A,HSP90AA1
TFCP2L1,SDC4
AF357399,SLC7A6
GM27743,LNCENC1
TXNDC5,GM29397
LAPTM5,TMEM150A
FN1,SPARC
GM43558,MIR466B-4
MIR466O,ASS1
FST,MAGED1
LAMB1,NRG1
2210409E12RIK,GM2399
GM25787,UCHL1
SOX17,TXNDC5
GM10717,TDGF1
KDELR3,MYMX
SNORD85,GM37376
IFITM3,UBE2C
PEG3,GM3788
MT-TF,GM27592
SURF4,GM8355
GM8355,GM43535
P3H4,RCC2
MIR669A-3,GM7329
MARC2,RPL23A-PS3
ASS1,HSPB1
LNCENC1,HMGA1
GLDC,CREB3
GM10717,FRMD4A
LTBP4,PGAM1-PS2
GM23639,GM25835
COTL1,TDGF1-PS1
GM44346,SNORD70
PSRC1,IGFBP2
SPARC,ERP29
MIR3535,GLDC
NPHS1,GM25787
GM27406,PDPN
CALU,TDGF1-PS1
BNIP3,TIMP2
RAB3IL1,SLC6A8
TXNDC5,MIR669G
EFEMP2,GM2399
LEFTY1,MT2
CUBN,P4HA2
GM24455,MIR677
LRPAP1,SPARC
GM23569,OPLAH
HMCES,STARD10
TYRO3,MIR466O
RPL17-PS10,HIST1H2AI
HMGA1,ITGA3
SNURF,HIST2H2BB
CTSD,GM24497
MAN1A2,SERPINH1
HIST1H2BL,KDM5B
IFITM1,ITGA3
GM22925,GM38312
THBD,IFI30
GM22468,PSRC1
SNORD93,LTBP4
SOX2,SEC24D
SRGN,SLC5A11
GM28010,ITGA6
PLA2G1B,GM10052
TFCP2L1,GM26491
KRT8,ITGA6
SNORA3,UTF1
SNORD35A,PRXL2A
KDELR3,GRB10
SNORD85,UTF1
TPM4,MANF
KLF2,HSPB1
HIST1H2BK,HIST1H4K
SDC4,PWWP3B
2810025M15RIK,RAB3IL1
SNORD32A,IFI30
HIST1H1B,CALR
SNORD70,RPL22L1
HIST1H2AF,GM25701
SNORA26,SPRY2
RRBP1,GM37784
SNHG12,GM23158
GM23569,GATA4
PDGFRA,DNMT3B
ASS1,SOX2
MIR669A-1,PDGFRA
HIST1H3H,LAMB2
IFI30,F3
2810025M15RIK,ARHGEF40
GM26917,SNORD93
GM10184,MKRN1
TDGF1,F3
ABHD5,SNHG12
KIT,GM26287
RAB3IL1,IFITM1
SNURF,FXYD3
GM44429,GM49347
IFITM2,STARD10
GM37746,LGMN
GM4322,GM10717
P3H4,DNAJC10
GM14303,GM12350
GM14519,GLIPR2
GM23632,TPD52
SNORD85,GM23988
HIST1H2BG,CSRP2
CUBN,GM22925
COMMD3,RAB3IL1
FN1,SNORA74A
GM28960,GM23571
RAB3IL1,RASGRP2
MRPL23-PS1,KPNA2
PRXL2A,HS3ST1
IGF2,NANOG
MT1,CTSA
PLOD3,GM24761
FOXQ1,GM24497
CD63,MYLPF
BCAT1,SOAT1
CUBN,EPS8
GM22925,JARID2
PLOD2,TAX1BP3
TPD52,UBE2C
FRMD4A,PHC1
COMMD3,ARHGEF40
HIST1H4K,KDM5B
HIST1H2BG,CRIP2
ITGA6,CALR
HIST1H2BN,SLC26A10
PLK1,DNMT3B
APP,CSRP2
UCHL1,GM28960
SNORA81,GM26073
LGMN,DPPA4
KDELR3,GM9385
LTBP4,PCOLCE
CKB,APOE
HSPG2,AKR1B8
GM26917,GM24455
RCN3,TPM4
PHLDB2,LGMN
GM26318,TET1
MIR466B-6,KAT6B
SERPINE2,GNAS
SERPINE2,MARC2
APOBEC3,GM22455
2410141K09RIK,FABP3
GM37376,RRBP1
TMEM144,F3
EPS8,RRBP1
GM24201,GM25451
ZFP987,AF357399
CALR,CLDN6
CTSD,TET2
MEG3,PEG3
APP,CRIP2
GM14870,HKDC1
GM23569,GM25943
RPL15-PS3,GM25040
FBLIM1,BNIP3
MIR5117,AY036118
PWWP3B,NFXL1
TAX1BP3,TCL1
AF357399,AMPD2
LTBP4,GM27743
SHKBP1,NUTF2-PS2
GM22884,MAGED1
LGMN,SNORA3
HIST1H2AP,KDM5B
MIR669A-3,BEND5
CAR2,GM22678
CRIP2,GATA6
SURF4,MIR466B-6
GM37917,VSIR
HIST1H2AN,CREB3L2
CD63,SLC7A3
TDH,DNMT3B
GM10259,GM24616
MIR466O,FDPS
MIR3535,PRXL2A
GM10169,GM28030
SOX2,GM25791
XBP1,GM23262
COTL1,LTBP4
ERP29,SOAT1
SDC4,HIP1
2410141K09RIK,MIR7005
PMM1,GM23651
CALU,LTBP4
GM25943,HIST1H3I
ESRRB,MKRN1
GM22468,GM26491
FN1,PFKP
MIR669A-1,LNCENC1
CREB3,SLC16A1
INSIG1,GSTA4
PLTP,GM3788
DKC1,GM44206
DNMT3A,BCAT1
IFI30,SPRY2
SNORD93,STARD8
SNHG12,GNPDA1
RNU73B,GM43535
PCBD1,HIST1H2BN
GM4322,DAB2
GRB10,GJB3
VIM,GM44429
GM2399,SNORD35A
KDELR2,NPHS1
HIST1H2BF,PEG3
TDGF1,SPRY2
GM25960,PEG3
GM22925,MT1
HKDC1,MIR5121
GM43521,DNMT3B
CCN2,GM24289
BHLHE40,CCNG1
GM25451,MIR8094
DNMT3A,KDELR3
SERPINE2,SNHG12
SEC24D,COTL1
GM25791,GM9531
GM9531,GM25040
MIR669G,CTSD
CRIP2,KHDC3
HIST1H2AL,RPS27RT
HIST1H1A,MIR1949
GM23833,COL4A2
FXYD3,HMCES
KDELR2,CCN2
GM24494,MIR677
FABP3,GM42429
P3H1,MIR7063
LAMB1,DUSP9
NR0B1,TGIF1
IGFBP2,CTSZ
IFITM1,P4HA2
UAP1L1,TDH
CSRP2,SNORD33
FOXQ1,TET2
GM43535,MT-TF
SLC5A11,GM26287
CHST15,KPNA2
LAMC1,GM22678
GM22858,FAM25C
DNMT3A,ANXA5
HSPB1,GM37917
AKR1B8,GM28960
TIMP2,GM25960
MOV10,GM22620
GM25451,HIST1H2BL
GM28010,HSP90AA1
PDPN,MIR466B-4
APOBEC3,CTSZ
ZFP57,HIST1H2BL
PSRC1,APOE
GM22411,FOXQ1
LRP2,BASP1
RPL23A-PS3,MRAS
TMEM144,SPRY2
FLRT3,GM8355
GM6136,LEFTY1
GM25943,TFCP2L1
ETV5,TRH
LRP2,GM29397
PCBD1,GM13597
STARD10,NID1
GM23569,MANF
GM26447,PTPN14
NANOG,GM25787
GM26491,HIST1H2AP
MIR3535,NR0B1
GM27501,SLC26A10
