TF,Target
COL27A1,GM25500
HIST1H2BL,KAT2B
FOXQ1,IFITM3
COL27A1,GM22858
COTL1,P4HB
GM6136,HTRA1
GM25316,TINAGL1
SOX17,TPM4
THBD,SLC26A10
MIR669A-3,GJB3
PLOD3,ERP29
TSPAN9,TGIF1
GM23988,MRAS
FST,FAM234A
HMGA1B,PTPN14
GM24044,PSRC1
MIR5121,CHST15
NDRG4,RRBP1
WDR45,SLC26A10
TINAGL1,MT2
KIT,GM14870
DNMT3L,CREB3L2
LY6G6E,GM22925
MRAS,GM37376
GM26156,KAT6B
GM10259,SNORA41
FGF4,POU5F1
VSIR,UNG
LAMB2,GM47315
APP,GM25673
MIR669J,GSTA4
GM12350,GM26092
ADAMTS9,CKB
HTRA1,LY6G6E
GM25753,ELF3
IFITM1,ESRRB
P4HA2,ME1
SNORA74A,MIR7063
PDCD4,RRBP1
STARD10,EFEMP2
GM10184,UNG
GM10719,SNORD93
RPS27RT,GM27326
GM22988,PRXL2A
DNAJC10,BASP1
SLC7A6,POU5F1
GM25451,IFI30
OPLAH,2200002D01RIK
SNORA26,LAMC1
LAMA5,SOX17
GM28010,P3H4
GM24044,MYLPF
ESRRB,SLC5A11
IL33,GM25673
MARC2,ANXA5
MAGED1,ANXA5
MYBL2,SPINK1
MAN1A2,TDGF1-PS1
SOX2,AMOTL2
MANF,PRXL2A
LAMC1,RCC2
GSTA4,LAMA1
MIR7005,HMCES
TPD52,B2M
TDH,GM9385
GM4322,GM27501
LGMN,OPLAH
GM37746,COTL1
CLDN6,PLTP
IFITM2,GM14870
NDRG1,XBP1
MKRN1,GM22468
GASK1B,PRC1
HSPB1,ETV5
HIST1H3I,SNORD49A
GM43535,HSP90AA1
ANXA2,MT2
GM25040,MYBL2
MAN1A2,P4HB
MT-TP,FGF10
HIST1H1B,ALG13
FST,GM28010
GSTA4,SNHG5
MME,SLC7A3
RPL15-PS3,GM21962
KAT6B,RNF157
CST3,NPHS1
CALU,WDR45
LAMC1,GM24616
LEFTY1,PDGFRA
SPINK1,MT1
GM22862,SNORD34
HSP90AA1,GM22571
LRPAP1,HSPG2
GM22925,GM25535
SNORD93,ADAM19
HIST1H2AI,GM26287
GM8355,CEMIP
IFITM3,NR0B1
GM22925,JAM2
GM24497,GM33051
