TF,Target
HSD3B7,RCSD1
CSGALNACT1,CTSC
CYP51,PLCG2
SNX30,PLIN3
TOP3B,MAPKAPK3
PLCG2,IL15
MCM5,NEAT1
DPP4,CASP12
NAIP5,CDCA4
ARHGAP18,RFTN1
ZFP945,NKG7
STARD4,RNF114
PTGS1,PAQR7
NCEH1,4833407H14RIK
CYP51,MCM4
LCP2,IMPACT
RASA4,MCM5
IL27RA,GM5111
MTMR6,NCEH1
NCF1,RNASE6
4833439L19RIK,MINDY1
FADS1,SLC12A6
FLNA,NFKBIA
MPRIP,GM20559
CBX7,ARL8B
TSPAN6,PECAM1
IIGP1,LRRC8C
INPP5K,CSF2RB
CSF3R,MCM4
MTMR6,ARHGAP18
RBPMS,NDEL1
GMIP,POLD1
PAFAH1B2,BC005561
TNFRSF13B,CEP70
TFR2,ITSN1
NCF1,KCNK5
PRKCQ,KPNA3
COPB1,PREP
RAB37,CALCRL
SLC7A4,PAFAH1B2
ARHGAP27,UMPS
FUT8,F11R
RASA4,ARL6IP6
1700017B05RIK,IL12A
BC035044,PSTPIP1
NUBP2,SNAP47
RNF213,MED16
GLB1,QARS
SH2D3C,LCP2
SLC6A6,AMPD2
CAPN5,TESPA1
ATP2B4,CBX7
LONP2,CD69
C030034L19RIK,LCP2
PLCB2,USP11
PLA2G4A,ATP13A2
GNG11,GYPC
TFPI,NFATC1
MAP2K1,KCTD12
ABHD4,ARHGAP15
CERS5,PQLC1
CD9,SGMS1
IL15RA,ABI1
GNG11,GPRASP1
BC005561,ASAH1
ZMIZ1,IGHM
RNF38,IL17RA
IGTP,SERPINA3G
NCEH1,OAS2
MSH6,SLC35D3
LCK,IER2
FUT8,MN1
ARHGAP18,BTK
NFAM1,ICAM1
TPM4,LTB
ROBO4,NGLY1
SNX30,GMIP
GM20559,CTSF
JUN,POMGNT2
DCAF4,SH2D5
IGHM,SERPINA3G
PEAR1,KCTD20
TNPO1,SPTBN1
STK17B,IDH1
NGLY1,ITPR1
RASAL3,BCLAF3
CTLA2B,FRRS1
UBL4A,GSN
OASL2,H1F0
1600014C10RIK,CTLA2B
ABCF3,SLC2A3
SNX30,TRPV2
MAP4K2,PLPPR3
ZBTB38,TSPAN14
ITGA6,NUDT19
ALDOC,PLCG2
SDC1,FNDC3A
MCM4,QARS
SYK,NDN
NFATC1,PCMTD1
UBL4A,TIMM50
TGM2,ABCG2
CCL4,UMPS
OASL2,RHOF
OAS2,CDK19
HSD3B7,FADS1
ADA,FCGRT
MYO5A,FLNA
B4GALT4,SC5D
SDC4,PYGL
KCNK5,SLC39A6
ARHGEF3,FUT8
MLLT3,OTULINL
MILR1,STK17B
ZFP367,9030619P08RIK
BTG2,DEF8
CDCA4,RHOH
KLF10,UBE2L6
PGLYRP2,HEXA
VEZF1,FLNA
GBP7,MEF2A
IGHM,ATP2B4
IER3,SNAP23
SPNS3,DENND2D
PLCG2,POR
RBM18,IMPACT
KCTD12,SGMS1
PIK3CG,PECAM1
ART4,SERPINB1A
FLNA,TSC22D3
PLIN3,NFAT5
RELT,NFKBIA
FUT8,RBPMS
ITGA6,B230219D22RIK
LCP2,SERPINA3G
CD48,WLS
ARHGEF18,HIST1H1C
IL18RAP,LONP2
SLA2,CD274
DUSP2,IRGM2
PLPPR3,LYN
TBC1D5,SSH3
NDEL1,LONP2
CBX7,ITM2A
CHRNB1,GSN
FUT7,MINDY1
ADSSL1,IGKC
NOTCH1,ZFP157
CISH,PARP8
SMIM15,P2RY14
IER2,PDK3
MILR1,PWWP3A
GYPC,TGM2
ZFP467,SLC2A3
ARL6IP6,PLPPR3
PSEN1,EPB41L4B
PGM1,MGAT1
OAT,GM20559
SYTL1,HK3
MN1,ZFP62
CHRNB1,TIMM50
APLP2,UNC93B1
TGM2,IFI27L2A
SNAP23,PRDM5
PDZK1IP1,SLC44A2
CDK19,NFKBIA
MAP4K2,KCTD20
GLB1,PYGL
CBFB,NEAT1
BC035044,2610307P16RIK
KCNK5,SELL
UMPS,ASAH1
IGTP,PTTG1IP
LCP2,ATP2B4
CPQ,SLFN8
ZFR,GM45837
ZFP120,RNF13
H2-AA,1700017B05RIK
PYGL,ITSN1
MYCN,ABHD17B
CAPN5,UNC93B1
SPNS3,ALDOC
DHRS3,ITPK1
GNG11,SH2D3C
MAN2A2,VEZF1
SLA,EIF1AD
HSD3B7,COPB1
CD9,PRIM1
LAX1,AP1G2
WBP1L,MCM2
ITSN1,ARHGEF18
ZFP945,ANXA2
IDH1,AMPD2
NEURL3,FRRS1
PDE7A,RASAL3
TYROBP,TIE1
TMOD3,CDCA4
MCM2,RNASE6
SGPL1,CD9
SCARF1,MAGED2
ARHGEF3,IL1R1
4833407H14RIK,RMND5B
NDOR1,4930555A03RIK
MCM4,PYGL
GNG11,CTSL
