TF,Target
USP3,GYPC
METTL7A1,SELL
PECAM1,ZDHHC17
GNG11,ICE1
PYGL,STXBP4
ART4,FUT8
SYK,FGD2
GIMAP8,SPNS2
ANO10,DOCK10
BTK,EMCN
NKG7,ARID5A
SSTR2,DNTT
IL15RA,SLA
BTK,AC174780.1
ART4,DCAF4
DCAF4,SLC44A2
METTL7A1,UBE2L6
DOK2,SLC44A2
TRPC6,RNF13
RMND5A,DNAJC9
SYK,MCM5
GPRASP1,SLC43A2
PML,SLC18A2
ARL8B,VEZF1
PREP,ABCD3
SH2D3C,EPSTI1
2610307P16RIK,F2RL3
GRINA,PPT1
FECH,NOTCH1
VAV1,ZFP62
ELOVL6,ICAM1
IGHM,IRF7
CSF3R,CSAD
PRIM1,GMFB
ADSSL1,NAPRT
TES,BCLAF3
INKA1,RMND5A
LYN,1600014C10RIK
CTSC,SDC4
4833439L19RIK,ABI1
BTK,COQ8A
CTSL,PPIC
IGTP,P2RY14
IL18RAP,GPRASP1
NKG7,F2RL3
LONP2,IGTP
MCM2,RCSD1
PNO1,P2RY14
ABLIM1,PRPS2
ATP13A2,PGLYRP2
DENND1C,FGD2
SNAP23,COPB1
SNX30,CERS5
BC005561,TYROBP
PLCB2,TRPC6
SP100,ABCG3
HSD3B7,SPNS3
ATP13A2,BC005561
SHISA8,SPTBN1
RAB38,EZR
EBI3,ABLIM1
OCRL,LYN
TIMM50,CCNG2
NCF1,UNC93B1
MED16,CEP70
PSEN1,APOE
PYGL,ST8SIA4
DOCK10,HACD4
STK10,DUSP5
CD300A,ALDOC
PCMTD1,GBP7
ZFP945,SATB1
SERPINB1A,ANO10
SLC12A6,UNC93B1
AC174780.1,ARL8B
LAX1,DNAJC9
SLCO3A1,RMND5B
ATP13A2,H2-OB
BCLAF3,HIST1H1C
FUT8,PRODH
RNF213,MAST3
RHOF,LONP2
TESPA1,TIE1
SC5D,LONP2
SERPINF1,CD9
MCM2,OASL2
IL4RA,UBE2L6
IMPACT,PGM1
NAGA,TINAGL1
CSAD,IER2
GM4951,TFR2
CCL3,CASP12
GATA2,EPSTI1
CCL9,STXBP4
PAQR5,PRODH
QARS,GM8995
XRCC6,SLC7A4
PQLC1,RBBP9
GIMAP5,PQLC1
SDC1,SAT1
9030619P08RIK,PLA2G4A
MAST3,GIMAP1
LTB,GPR65
ZFP120,TAPT1
ICE1,LAX1
ABCG2,OBSL1
ZFP945,CPQ
ADGRG3,MEF2A
UAP1L1,PRDM5
SQLE,RHOF
SLC18A2,SERPINF1
IL17RA,SDC1
PLIN2,WLS
