TF,Target
PYGL,CNN3
RASSF5,MSH6
HEXA,SLC43A2
NT5C3,IMPACT
VSIR,ACOX1
TNFRSF13B,BC035044
FRRS1,NOTCH1
SELL,PDE7A
MMRN1,PGRMC1
STXBP4,PLBD2
PLIN2,CDCA4
PPT1,POR
KPNA3,PANX1
BC035044,CDK19
PYGM,ARID5A
STK10,CDCA4
DDX4,IMPACT
MAPKAPK3,SAT1
TMEM173,SPNS2
KPNA3,ALDOC
ITGB7,STK10
CD274,EMID1
DNTT,2610307P16RIK
IL27RA,EBI3
F11R,NFAT5
EZR,SLC18A2
POLD1,OTULINL
PQLC1,RHOH
CTSF,MAP2K1
NDEL1,PARP8
MAP4K2,SAT1
DUSP5,CAPN5
SLC43A2,MAN1A
MAGED2,RPA2
RNF141,IDH1
MPRIP,INKA1
F11R,CTSC
DNAJC9,RASSF5
SLC35B4,SSH3
EPB41L4B,METTL7A1
TBC1D5,IDH1
ZFP945,FCGRT
4833407H14RIK,IL27RA
CCL4,ADGRG3
AMPD2,SERPINF1
RBPMS,ANO10
PLEK,ZFR
GM5111,CTLA2B
TGM2,4930555A03RIK
SP100,FLNA
RNF213,SLC2A3
EFTUD2,LONP2
FES,STARD4
CD300A,KRT18
RASSF5,GEM
TBXA2R,TIMM50
SLC7A4,LCP2
ASAH1,TIPIN
FUT7,SATB1
TESPA1,MYCT1
DUSP5,NFAM1
RMND5B,UAP1L1
VEZF1,APLP2
GYPC,NUP88
ANO10,PLCG2
NKG7,FCHO2
FDFT1,RASSF5
EZR,XRCC6
LDHB,NEURL3
GATA2,ARID5A
POR,NOTCH1
SLC43A2,BTG2
FADS1,IL4RA
CTSC,TBXAS1
IRF7,1700017B05RIK
DOK2,SSH3
NKG7,UBL4A
SSH3,STK10
ABCD3,IFI27L2A
MAPKAPK3,XPC
ITGA6,FAM76B
ITM2A,RNF141
RAB38,CASP12
FNDC3A,SERPINA3G
AKNA,RGS2
MAP4K2,XPC
MAST3,IL12A
ADGRG3,RBBP9
4930555A03RIK,PRKCQ
EIF1AD,MLLT3
FCHO2,SH2D3C
PGLYRP2,ARHGAP27
TGM2,HACD4
PLA2G4A,TFEC
NDOR1,P2RY14
NFKBIA,TRPC6
CERS4,SMIM15
INPP5K,SELENBP1
H1F0,PAFAH2
IRF7,PIK3CG
OAT,CD300A
MLLT3,MILR1
CYP4V3,EIF1AD
4833407H14RIK,PGM1
TRPV2,AKAP8L
NFKBIA,CYBC1
POMGNT2,GBP2
GM8995,IL15
FGD2,NGLY1
AKAP8L,SLA2
DUSP5,ZFP120
LAX1,STXBP4
IGHM,PAFAH1B2
AC174780.1,TAF12
IGHM,CISH
AKNA,CSGALNACT1
TRIM59,FLNA
4833407H14RIK,SNAP47
MYCT1,MPRIP
SHISA8,KIF23
CYBC1,MYO1G
LAX1,SLFN8
ANXA4,FRRS1
ICA1,HEXA
TESPA1,RBPMS
KCNK5,GAA
ARHGAP27,SLC6A6
LDHB,CDCA4
APOE,FLNA
MUC13,TMOD3
CTR9,ITGB7
RMND5A,GNG11
FAM76B,UMPS
ABHD17B,KCTD12
FGGY,NOTCH1
SLA,IGKC
TSPAN6,ANXA4
PLBD2,SLC28A2
RAB38,DUSP2
FUCA2,SLC7A4
SQOR,DNAJC9
NFKBIA,CHRNB1
PECAM1,CNN3
TAF12,SERPINA3G
PLA2G4A,KRT18
ZMIZ1,ZFR
UBL4A,RCN2
PAQR7,PPCDC
SQOR,APLP2
ARHGAP18,ICA1
HEXA,TRIM47
CD48,CPQ
CBX7,MAST3
SMIM15,GMIP
H2-OB,IL15RA
CD274,VAV1
SMPDL3A,TIMM50
4930555A03RIK,PLIN3
ICA1,SESN1
SLC43A2,OCRL
ADGRG3,TSPAN6
DUSP1,NEURL3
PRPS2,RMND5A
ARHGAP18,B230219D22RIK
FUT8,AMPD2
PYGM,PIP4K2A
PGRMC1,PML
SMPDL3A,TFEC
PDZK1IP1,STARD4
MAGED1,NCEH1
ART4,RGS2
EYA2,GMFB
4833439L19RIK,PRPS2
H2-OB,TOP3B
4833407H14RIK,RASSF2
RAB38,ITSN1
MN1,UAP1L1
ALDOC,LONP2
SLA,H2-OB
2610307P16RIK,CSAD
TIPIN,RMND5B
TBXA2R,PWWP3A
ROBO4,GM45837
NEAT1,MCTP1
PANX1,ITM2A
CYP4V3,MAP4K2
SERPINB9,ARHGAP18
CCL3,TNPO1
ARNTL,ANO10
FRRS1,PEAR1
SLA2,NEAT1
RNF13,SLA
CTSF,SHISA8
NCEH1,NCF1
PML,RGS2
ABHD17B,P2RY14
PRPS2,2610307P16RIK
NUBP2,KCTD20
MILR1,IRGM2
PRELID3B,LCK
NUBP2,TRPV2
TES,YOD1
RNF125,PLA2G4A
ABHD17B,SDC4
RHOF,ALDOC
PLXNC1,SYTL1
CISH,NAPRT
OTULINL,CBX7
LAX1,PTTG1IP
KLF10,PCMTD1
PPCDC,SNAP23
DEF8,MCM2
ARHGEF3,CSAD
PTGS1,ESAM
PTTG1IP,9030619P08RIK
POR,NFATC1
PRDM5,GM45837
GSN,IGKC
RMND5B,H1F0
VSIR,MCTP1
TMEM123,TNPO1
SLC6A6,KIF23
SHISA8,CTSL
PLPPR3,VAV1
TMOD3,CSF2RB
IGKC,NDOR1
IRGM2,PDK3
SGMS1,NEAT1
SERPINA3G,VAV3
PML,CSGALNACT1
PLBD2,SSTR2
RMND5B,ZFP62
USP11,GAA
CSGALNACT1,MPRIP
MAN2A2,PARP8
MPL,TCIRG1
STK17B,IGHM
NDN,GAA
ADGRG3,ITGB7
CHRNB1,DENND1C
DUSP2,CYP4V3
MGAT1,XPC
SNX30,FLNA
CD48,ARHGAP27
CYP2J6,QARS
GBP2,MCM4
NUBP2,CCL4
APLP2,ZFP467
IL12A,HEXA
VEZF1,SLA2
PTGS1,CNN3
TIMM50,1600014C10RIK
RBM18,GRINA
IRF7,PAQR7
RHOH,SP100
PQLC1,OTULINL
MYO5A,ABCD3
UBE2L6,AKAP8L
EYA2,NDEL1
MAP2K1,MAN2A2
MCM4,PGM1
CERS4,ABCG3
POR,PEAR1
SLC7A4,CD74
TMOD3,TAPT1
GM20559,PRKCH
MYCT1,RHOH
CTSF,SERPINB1A
RCSD1,SSH3
RP2,ZDHHC17
ST8SIA4,APLP2
TFR2,1600014C10RIK
GIMAP1OS,SDC1
INKA1,IRF7
PLCB2,CSF2RB
ITPK1,RGS2
MYO1G,ELOVL6
MAGED1,EFTUD2
ABCD3,TGM2
B4GALT4,ARHGAP27
PAQR5,IL12A
NKG7,AP1G2
SP100,BTK
TIMM50,RBM18
GM20559,SDC1
SAT1,LCK
SSTR2,RFTN1
MTMR6,FADS1
CYP51,SPNS2
GM28875,DOCK10
HJURP,DENND2D
HEXA,HELLS
IL12A,SESN1
PGLYRP2,KCNK5
FGGY,NFATC1
P2RY14,GPR65
POLD1,ZFP467
IL1R1,9530082P21RIK
MCM2,CTSL
EMCN,HK3
TSPAN6,MYCT1
TSC22D3,4930555A03RIK
ITGA6,ADSSL1
GRINA,KIF23
VEZF1,LRRC8C
CD53,GIMAP5
SLC39A6,PWWP3A
ABCG2,MPL
FUT7,PPCDC
SMIM15,MCM5
CYP4V3,RASA4
SDC1,MORC3
C030034L19RIK,NDEL1
ZFP157,QARS
DPP4,CTR9
FCGRT,GNG11
4930555A03RIK,HJURP
DUSP2,ZFR
AC174780.1,UNC93B1
CD69,PPCDC
FUT7,RP2
AC174780.1,IGHM
SLC6A6,CTSL
RELT,VLDLR
SLA,IL15
SPNS2,MYO1G
9530082P21RIK,TNFRSF13B
CBX7,IL1R1
SLC37A1,CSAD
ABCG2,ROBO4
EPSTI1,FES
CD274,NOTCH1
NFAM1,JUN
ZFP120,OBSL1
CTSC,CAPN5
FGGY,PEAR1
GPRASP1,SELL
CTSS,AKAP8L
RBL2,FCHO2
TRIM59,FNDC3A
MCM4,RASSF2
INPP1,DUSP1
SLC18A2,ACOX1
FUT7,CD53
TSC22D3,HACD4
H1F0,HSD3B7
MN1,H1F0
NAGA,ABHD4
TIPIN,SMPDL3A
RBL2,UBL4A
PRELID3B,SLC37A1
KPNA3,CASP2
SQOR,SLA2
TBXAS1,EMCN
TRIM59,BTK
GM45837,ABHD4
CSF2RB,SGMS1
MPL,SATB1
PACSIN2,TFEC
PRODH,SELL
EMID1,ZFP157
MYCN,OAS2
ABHD4,USP3
RCN2,IER2
WFDC17,MYCT1
EYA2,TFR2
ADSSL1,RCN2
CTSC,NFAM1
XPC,DNAJC9
TSPAN6,RBPMS
APOE,BTK
MSMO1,PARP8
SELL,GM4951
KPNA3,MN1
IL27RA,ABHD17B
MLLT3,MAP2K1
STARD4,RTP4
IDH1,FGFR1OP
CSGALNACT1,RHOH
MPRIP,CNP
AKNA,PNO1
PPP1R15A,ARNTL
XPC,APLP2
ATP13A2,TPM4
CD9,MPRIP
QARS,ESAM
PRKCQ,SLC12A6
FRRS1,MINDY1
ZDHHC17,PQLC1
PLPPR3,NOTCH1
BC005561,TIPIN
DHRS3,EIF1AD
RNF13,NEURL3
MCM5,TSC22D3
SERPINB9,CYP2J6
ITSN1,GIMAP8
ITPK1,LCK
CTSF,SGPL1
EMID1,PRODH
FECH,MYO1F
MSH6,QARS
ELOVL5,RCSD1
PAFAH1B2,APLP2
GM4759,TIPIN
FLNA,CHRNB1
MYCN,NT5C3
EIF1AD,DPP4
PARP8,WLS
SQOR,LRRC8C
PPIC,SLC12A6
IL4RA,GPRASP1
ESAM,VLDLR
GRINA,CD9
NCF1,GIMAP1OS
GIMAP1,TIPIN
2610307P16RIK,SERPINA3G
DOCK10,RNF13
EMID1,POMGNT2
DPP4,GMIP
SCARF1,SERPINB9
NUBP2,SC5D
AKAP8L,EYA2
CCL4,RMND5B
CTR9,POLD1
MCTP1,NGLY1
MILR1,METTL7A1
PDK3,PTGS1
CASP12,TPM4
PPP1R15A,EFTUD2
NOTCH1,ELOVL5
INPP5K,INKA1
TES,MYO5A
FADS1,NKG7
B230219D22RIK,CBX7
EMCN,ARL6IP6
HK3,ZMYM3
MAN1A,NFAM1
NGLY1,SNX30
HJURP,IL27RA
CTSC,ZFP120
CSF3R,JUN
PACSIN2,KRT18
SELL,PANX1
BIRC3,XPC
CERS4,ART4
DUSP6,ARHGEF18
HIST1H1C,IL12A
PRELID3B,KLF10
RNF213,SLC35B4
SELL,ALDOC
RFTN1,ANXA4
NEAT1,DNTT
ATP2B4,ANXA2
IGKC,NCF1
CD48,NCF1
ARHGEF3,SERPINA3G
XRCC6,SERPINF1
PYGM,IL18RAP
CCL3,PSTPIP1
PRELID3B,CTSF
CD48,KCNK5
CNP,NFAM1
METTL7A1,SERPINF1
SC5D,PML
NFAM1,SPNS2
ICE1,RHOH
PARP8,GIMAP1
GMIP,ABHD17B
SLFN8,TNPO1
TAPT1,WLS
RBM18,SQLE
CCL3,NFKBIA
AC174780.1,BCLAF3
ZFP467,TIPIN
FCGRT,HK3
MYO5A,METTL7A1
MMRN1,NT5C3
ADGRG3,PACSIN2
RNF13,CDCA4
RAB37,OAT
VSIR,DNTT
RBBP9,RNF213
TRPV2,CD48
SDC1,FLT3
FUT7,IFI27L2A
ST8SIA4,SLA2
PLIN3,RMND5A
GNG11,USP3
CTSH,TPST2
MAGED1,ARID5A
SYTL1,ARHGAP27
PRKAR2B,TRIM59
TCIRG1,PREP
GNG11,ATP13A2
ITGB7,CNP
SGPL1,FNDC3A
IGTP,IL17RA
ART4,PNO1
B4GALT4,KCNK5
1600014C10RIK,CASP2
CSAD,SLA
MAN1A,SDC4
ANO10,ICE1
MORC3,LAX1
DHRS3,MAP4K2
TMEM123,NFKBIA
CD274,NFATC1
ARL8B,GPR65
SNX30,BTK
AMPD2,TAF12
CALCRL,GM28875
RAB38,PLCG2
SLC7A4,TREML2
SYK,IGTP
IRF7,MAN2A2
CSF2RB,NUBP2
PAQR7,NEAT1
DNTT,STK17B
PML,PNO1
RMND5A,DUSP6
ZDHHC17,FGGY
NFAT5,MPL
APLP2,CPQ
PLIN3,2610307P16RIK
RASA4,DENND2D
ITGA6,ABI1
OASL2,DUSP5
