TF,Target
POU5F1,JARID2
SOX17,DNMT3L
ZFPM1,RAB3IL1
XBP1,EFEMP2
UTF1,COL27A1
DNMT3B,GM10925
SOX17,DNMT3B
TFCP2L1,GM10719
NR0B1,GM25791
CCND1,GM37376
DNMT3A,HKDC1
BCL3,LY6G6E
KAT2B,SNORA41
PCBD1,FRMD4A
PML,GM25960
EPAS1,GM6136
HIST1H1D,TDH
JARID2,LRPAP1
PEG3,CALR
ZFPM1,HIST1H2BK
HIST1H1B,PRC1
KPNA2,VIM
SOX2,SPRY2
FOXQ1,HIST1H2AF
DNMT3B,GM29397
GATA6,COL4A1
SOX17,DPPA2
PML,MIR5121
CREB3,ZFP57
EPAS1,LAMA5
ZFP42,GM44429
KAT2B,TSPAN9
PEG3,GM10052
CREB3,MKRN1
TAX1BP3,ANXA2
TAX1BP3,MYLPF
ELF3,HSP90B1
XBP1,MAN1A2
PML,GM23639
ZFP42,GM26491
TFCP2L1,CTSL
RBPJ,LRP2
PHC1,GDPD5
HIST1H1B,FN1
EPAS1,ITPK1
BHLHE40,ALG13
NR0B1,GM23268
KPNA2,PMM1
TGIF1,MT2
ESRRB,PLA2G1B
POU5F1,FST
KPNA2,RRM2
DNMT3L,COTL1
TAX1BP3,MT-TF
CCND1,CHST15
SOX17,CTSZ
TAX1BP3,GM33051
RBPJ,GM23651
ETV5,PLOD3
DAB2,TPM4
KLF2,HIST1H4D
KLF2,PLK1
PEG3,PDGFRA
DNMT3A,PLA2G1B
TFCP2L1,GM22884
KDM5B,SLC16A1
ESRRB,HMGA1B
TRP53,GM14870
SOX17,GM28439
HMGA1,GDPD5
DNMT3L,LEFTY1
NFXL1,GM24201
HSPB1,GM23413
KAT2B,AU018091
EPAS1,FGFR3
ELF3,GATA6
DNMT3A,HMGA1B
TRP53,GM38312
HIST1H1B,KDELR3
CCND1,SLC7A6
GATA6,NXF7
GATA4,RNU73B
PML,MKRN1
FOXQ1,IL33
BCL3,DNMT3A
JARID2,CREB3L2
HIST1H1B,MRAS
PHC1,RNF157
SOX2,CRIP2
UTF1,GM23569
ELF3,CCNB1
TGIF1,MYBL2
FOXQ1,PLTP
NFXL1,TDH
PHC1,PCBD1
GATA6,NPHS1
DAB2,COL4A2
NFXL1,GM49450
TFCP2L1,NDRG1
KAT2B,UAP1L1
PEG3,KAT2B
SOX17,GM24488
BCL3,UTF1
FOXQ1,RCC2
FOXQ1,HSPB1
GATA4,CREB3
PEG3,GM25835
ETV5,HIST1H4N
PCBD1,GM22411
KLF2,CREB3L2
HMGA1,RNF157
TAX1BP3,WDR45
NANOG,EPS8
POU5F1,ADAMTS9
ETV5,PML
HMGA1,PCBD1
ETV5,CTSA
DNMT3B,EPAS1
TGIF1,GM27743
BHLHE40,GM47315
MYBL2,P3H4
POU5F1,COMMD3
HSPB1,DNAJC10
DNMT3L,NUTF2-PS2
DNMT3L,PTPN14
TRP53,TMEM144
HSPB1,GM22620
DAB2,CLDN6
SOX7,GM28010
PHC1,CEMIP
SOX2,GM14303
TRP53,GM10925
UTF1,LRPAP1
MYBL2,GM22468
KAT2B,MIR1949
SOX17,GM23988
ZFPM1,MIR8094
BCL3,TDGF1
ZFPM1,2210409E12RIK
EPAS1,GJB3
CREB3L2,GM28030
SOX7,GM9385
XBP1,CTSA
HIST1H1B,ERP29
EPAS1,NFXL1
DNMT3L,GM10169
ETV5,2200002D01RIK
HMGA1,CEMIP
DNMT3B,MIR466B-4
SOX17,MORF4L2
GATA4,HTRA1
MYBL2,P3H1
RBPJ,GM23632
POU5F1,ANXA5
HSPB1,LTBP4
SOX17,JARID2
SOX7,GM24616
KAT2B,SPRY2
BCL3,ULK1
DAB2,AMOTL2
KDM5B,GM14870
NR0B1,ARHGEF40
RBPJ,HIST1H2BN
PCBD1,PGAM1-PS2
PHC1,PHLDA3
KPNA2,AKR1B8
CREB3L2,PFKP
KDM5B,GM38312
CCND1,SNORD32A
PML,RNU73B
SOX7,CALU
TAX1BP3,SLC26A10
RBPJ,SNHG12
BHLHE40,HIP1
BCL3,GM10925
ZFP42,GM43521
CREB3,GM28030
HSPB1,SPINK1
SOX2,PHLDB2
DNMT3B,IGFBP2
GATA6,RPL17-PS10
DNMT3B,PLOD2
HIST1H1D,HIST1H2BF
DAB2,RBPJ
UTF1,CREB3L2
NFXL1,GM4322
TGIF1,GM42429
ZFPM1,MIR8091
HMGA1,PHLDA3
EPAS1,LAMB2
PCBD1,GM27501
PML,CREB3
GATA6,SRGN
BCL3,GM29397
DAB2,GM22925
PHC1,PWWP3B
BHLHE40,NID1
NR0B1,LRP2
TFCP2L1,KIT
TFCP2L1,GM25787
ESRRB,SNORA26
ZFP42,GM26318
PCBD1,GM44429
ETV5,MYMX
UTF1,SNORA41
NR0B1,GM23651
PCBD1,GM26491
TFCP2L1,GM24455
CREB3L2,LDHB
DNMT3A,SNORA26
KAT2B,CRIP2
SOX2,KLF2
KDM5B,TMEM144
TFCP2L1,DAB2
SOX2,RPL15-PS3
JARID2,THBD
HMGA1,PWWP3B
DNMT3B,SURF4
PML,GM28030
PHC1,GM22988
UTF1,TSPAN9
DNMT3A,NDRG4
BHLHE40,RAB3IL1
TRP53,EPAS1
EPAS1,KAT6B
TAX1BP3,SNORD49A
TFCP2L1,MIR669J
DNMT3L,CCNG1
GATA6,APP
ETV5,MT-TP
HSPB1,FAM129B
KLF2,LEFTY2
FOXQ1,PLOD3
POU5F1,ADAM23
SOX7,MT2
ZFPM1,VIM
MYBL2,GM25040
TGIF1,PTH1R
XBP1,MYMX
RBPJ,GM15452
JARID2,SPRY2
PHC1,TUBB2B
TRP53,GM24916
RBPJ,MEG3
CREB3,POU5F1
BHLHE40,HIST1H2BK
KPNA2,CALR
HMGA1,GM22988
EPAS1,TAX1BP3
CCND1,MT1
CREB3L2,SLC7A3
DNMT3L,GM20721
HSPB1,HIST1H1D
NANOG,GLDC
ELF3,GM24616
KPNA2,GM10052
ZFPM1,PMM1
UTF1,AU018091
PHC1,MIR669A-3
KAT2B,GM14303
ZFPM1,RRM2
CREB3L2,TINAGL1
DAB2,FDPS
EPAS1,KRT8
DNMT3L,IFITM3
XBP1,MT-TP
ESRRB,GM23130
HMGA1,TUBB2B
BCL3,GM7329
HIST1H1D,SPP1
HSPB1,LAMA1
TRP53,MIR466B-4
DNMT3B,HIST1H1B
PEG3,GLDC
TGIF1,GM6136
SOX2,ZFAS1
MYBL2,GM26447
JARID2,BHLHE40
SOX17,BCAT1
SOX7,MYBL2
HIST1H1B,GDPD5
KPNA2,PDGFRA
SOX2,GM24564
DNMT3A,GM23130
TFCP2L1,PSRC1
HIST1H1D,BNIP3
UTF1,UAP1L1
CREB3L2,APOE
HMGA1,MIR669A-3
FOXQ1,HIST1H4N
EPAS1,GM44206
TGIF1,LAMA5
NR0B1,GM15459
BCL3,MIR466B-6
HIST1H1D,GM2399
FOXQ1,PML
SOX17,LAMB1
DNMT3L,SNORA3
HIST1H1D,GM10184
FOXQ1,CTSA
CREB3,SLC7A3
GATA6,CHCHD10
DAB2,PATJ
TGIF1,ITPK1
DNMT3L,VSIR
KLF2,BHLHE40
NANOG,TPD52
ZFP42,HIST1H2BG
JARID2,CRIP2
CREB3,TINAGL1
NANOG,GNPDA1
ETV5,HSP90AA1
TRP53,PLOD2
SOX7,GM27743
ZFP42,ZFP989
TAX1BP3,MIR669A-1
NR0B1,GM23632
KPNA2,KAT2B
RBPJ,P4HA2
CCND1,HIST1H2AN
RBPJ,TRH
PHC1,LMF2
NFXL1,IFI30
SOX2,B2M
ETV5,GM23268
KAT2B,PHLDB2
HIST1H1B,RNF157
TAX1BP3,HIST1H3H
ESRRB,GM22571
CREB3,APOE
KPNA2,GM25835
TGIF1,FGFR3
TGIF1,UBE2C
HIST1H1D,GM25960
DNMT3B,SNORD93
HIST1H1B,PCBD1
CREB3L2,DKC1
RBPJ,CKB
KLF2,GM44335
UTF1,MIR1949
NR0B1,HIST1H2BN
TFCP2L1,GM22411
FOXQ1,2200002D01RIK
SOX2,GM26092
SOX2,RHOX5
DNMT3A,GM22571
PML,SLC7A3
DNMT3L,GLIPR2
NR0B1,SNHG12
ELF3,MT2
HMGA1,LMF2
TAX1BP3,STARD8
DNMT3L,CHST15
NFXL1,BNIP3
GATA4,SNORD70
PHC1,DNAJC10
PML,TINAGL1
JARID2,GM21962
KDM5B,GM24916
POU5F1,HIST1H4D
PHC1,GM22620
TAX1BP3,TIMP2
XBP1,GM23268
NFXL1,GM2399
JARID2,GM22455
CCND1,P4HA1
UTF1,SPRY2
PCBD1,GM43521
NFXL1,GM10184
KAT2B,KLF2
BCL3,IGFBP2
KAT2B,RPL15-PS3
BHLHE40,MIR8094
SOX2,GM28900
ELF3,HIST1H2AL
BHLHE40,2210409E12RIK
NR0B1,GM25451
DNMT3L,GM49347
GATA4,TGIF1
HIST1H1B,CEMIP
CREB3,DKC1
PML,APOE
KLF2,GM21962
DNMT3L,SLC7A6
HMGA1,GM22620
MYBL2,SNORD33
KLF2,GM22455
ZFP42,TOP2A
PHC1,ABHD5
HIST1H1D,SNORA74A
HIST1H1D,MKRN1
SOX7,GM42429
GATA6,BEX1
DNMT3B,FGF10
NFXL1,GM25960
SOX17,MIR7003
ETV5,SOAT1
PHC1,LAMC1
HSPB1,SLC5A11
TGIF1,GJB3
FOXQ1,MYMX
BCL3,SURF4
TGIF1,NFXL1
ELF3,GASK1B
HSPB1,HSPG2
HMGA1,ABHD5
CREB3,SNORD70
ETV5,GM26156
NR0B1,GM15452
JARID2,PHLDB2
CCND1,NANOG
KLF2,GM49450
NR0B1,MEG3
HIST1H1B,PHLDA3
ELF3,GM27743
PML,DKC1
DNMT3L,ASS1
KAT2B,ZFAS1
PHC1,SPINK1
UTF1,CRIP2
TAX1BP3,HMCES
HMGA1,LAMC1
HSPB1,GM25316
CCND1,AF357399
KAT2B,GM24564
JARID2,LOXL2
TFCP2L1,GM27501
SOX17,KDM5B
NANOG,HIST1H3I
HSPB1,GM23344
DAB2,CDC20
TFCP2L1,GM44429
XBP1,GM26156
GATA4,TPM4
SOX7,PTH1R
MYBL2,FOXQ1
RBPJ,LY6G6E
PHC1,GM25701
HIST1H1B,PWWP3B
TFCP2L1,GM26491
ETV5,ARHGEF40
BCL3,HIST1H1B
KLF2,LOXL2
TRP53,SNORD93
PEG3,HIST1H3I
PML,SNORD70
SOX2,PRSS35
ESRRB,TENM4
NFXL1,SNORA74A
DNMT3L,SAT1
TGIF1,LAMB2
NR0B1,SNORD110
HMGA1,TFRC
CREB3L2,TPM4
GATA6,GM22858
GATA6,FDPS
KAT2B,B2M
UTF1,GM14303
TAX1BP3,CD63
DNMT3A,TENM4
TAX1BP3,SNORD35A
HMGA1,GM25701
PHC1,FAM129B
ZFPM1,CALR
TFCP2L1,GM25943
BHLHE40,VIM
ZFP42,ADAM19
HIST1H1B,GM22988
