TF,Target
EPAS1,ANXA5
KLF2,ZFAS1
FOXQ1,LAPTM5
FOXQ1,RASGRP2
PCBD1,GM44346
NANOG,PLA2G1B
KDM5B,HIST1H2BG
UTF1,DNMT3L
DNMT3B,FRMD4A
TFCP2L1,GRB10
POU5F1,GM33051
ESRRB,GM12350
EPAS1,MME
DNMT3A,GM22455
NFXL1,FOXQ1
NANOG,DPPA2
XBP1,RBPJ
KDM5B,CMKLR1
KPNA2,NXF7
ESRRB,LRPAP1
ETV5,GM25835
MYBL2,TMEM150A
EPAS1,GM23571
DAB2,FN1
XBP1,GJB3
XBP1,ADAM23
SOX2,FLRT3
TGIF1,TRP53
POU5F1,SPARC
SOX17,MRAS
ELF3,TPD52
HMGA1,RCC2
NANOG,GM44390
ETV5,VIM
PML,GM42845
DNMT3A,GM10259
BCL3,CSRP2
CCND1,MIR466B-4
EPAS1,GATA4
CREB3L2,GM24201
KPNA2,PHLDB2
SOX7,PEG3
HIST1H1B,FBLIM1
PCBD1,NANOG
TAX1BP3,GM13597
UTF1,HIST1H4N
DNMT3L,FAM234A
XBP1,GM28960
HSPB1,GM43107
KAT2B,CTSZ
DNMT3A,MT-TP
TRP53,KDELR2
CCND1,SHKBP1
XBP1,MIR7005
NR0B1,MANF
FOXQ1,PHC1
PCBD1,GM22468
ZFP42,UTF1
NFXL1,HIST1H2BG
PCBD1,UBE2C
SOX2,CRIP2
PML,CCND1
PCBD1,GM37917
FOXQ1,GM24044
TFCP2L1,FXYD3
DNMT3A,SGK1
NR0B1,CCNB1
NFXL1,ULK1
PCBD1,IFITM2
POU5F1,PLOD3
KPNA2,SNURF
SOX7,IFI30
POU5F1,HIST1H1B
ETV5,AMPD2
KDM5B,RPL15-PS3
PML,HIP1
NR0B1,GM24494
POU5F1,SNORD32A
TAX1BP3,COL4A1
UTF1,GDPD5
TAX1BP3,LAMA1
HSPB1,COMMD3
BHLHE40,PDGFRA
KLF2,IGF2
SOX2,NR0B1
BCL3,PCBD1
PML,PDPN
ZFP42,MEG3
PHC1,MIR7063
ZFP42,JARID2
DNMT3L,ELF3
CREB3,CSRP2
RBPJ,SNORD85
ELF3,PDGFRA
ESRRB,PLK1
HMGA1,RPL23A-PS3
SOX17,DPP4
BHLHE40,APOBEC3
DAB2,CTSZ
CCND1,PODXL
DNMT3L,EPS8
ELF3,GM25451
MYBL2,TFRC
PML,DAB2
TFCP2L1,RASGRP2
KDM5B,FN1
HIST1H1D,MIR3473F
BHLHE40,HIST1H2AL
NANOG,UTF1
UTF1,GM25500
EPAS1,GM23988
UTF1,PRSS35
DAB2,PMM1
POU5F1,NUP210
DNMT3L,RAB11A
SOX2,NRG1
ZFPM1,HMGA1B
ESRRB,MORF4L2
HIST1H1D,GM25791
SOX7,GM44206
ZFPM1,GM22862
UTF1,MIR1949
DAB2,NDRG4
SOX2,SLC7A3
CREB3L2,STARD8
PML,TSPAN9
PHC1,GM24201
NFXL1,PWWP3B
PHC1,MIR669A-3
NFXL1,GM24916
EPAS1,GM24488
TGIF1,MYMX
ZFPM1,HSPA5
CREB3,PCBD1
HIST1H1B,KDELR2
HIST1H1D,UAP1L1
PEG3,PRXL2A
BHLHE40,FLRT3
PML,ETV5
HSPB1,2210409E12RIK
MYBL2,BEND5
PML,MIR3535
NANOG,MEG3
UTF1,GM37784
CREB3L2,RIAN
TGIF1,HIST1H3I
NANOG,JARID2
TAX1BP3,GM25535
GATA6,PML
ELF3,FLRT3
HIST1H1D,GM27501
GATA6,BCL3
MYBL2,THBD
DNMT3B,PDGFRA
FOXQ1,GM23833
SOX2,CCNG1
JARID2,GM26287
TFCP2L1,GM24044
DAB2,ITGA6
JARID2,GM43521
PHC1,MRAS
TAX1BP3,GM22455
BHLHE40,CRIP2
CREB3L2,SERPINH1
SOX7,GM21962
PCBD1,ESRRB
EPAS1,GJB3
GATA4,GM42845
KAT2B,GM4322
JARID2,HIST1H2BK
KAT2B,MAGED1
HMGA1,ZFP42
UTF1,CST3
MYBL2,TCL1
ELF3,CRIP2
KDM5B,CTSZ
DNMT3L,FST
HIST1H1B,GM10169
PEG3,BCL3
JARID2,LTBP4
NFXL1,GM26447
HIST1H1D,PTPN14
JARID2,HSP90AA1
DNMT3B,HIST1H2AL
GATA6,SNORA81
SOX2,HIST1H2BF
XBP1,CHCHD10
TAX1BP3,GM10259
XBP1,SNORD35A
SOX17,GM15459
GATA4,CCND1
PEG3,GATA6
BHLHE40,NR0B1
RBPJ,FOXQ1
TAX1BP3,MT-TP
KDM5B,PMM1
EPAS1,PATJ
KLF2,GM24315
ELF3,VSIR
SOX17,SLC6A8
SOX2,SOX7
KDM5B,NDRG4
CCND1,SNORD33
NFXL1,SLC26A10
KPNA2,EFEMP2
KPNA2,TIMP2
TAX1BP3,SGK1
PEG3,SNORA81
BCL3,UTF1
DNMT3B,FLRT3
ZFP42,TNS4
SOX2,HSPB1
UTF1,HIST1H4K
HMGA1,GM23268
NFXL1,CTSZ
GATA4,PDPN
DNMT3A,GM10052
DAB2,GM4322
ESRRB,ZFP989
PHC1,DPP4
KLF2,GM26491
XBP1,COL4A2
BHLHE40,SPRY2
BHLHE40,NRG1
HIST1H1B,KIT
CREB3L2,SOX2
RBPJ,HIST1H2BG
KPNA2,SLC5A11
ZFP42,ERP29
HIST1H1D,HIST1H2BL
HMGA1,COTL1
ETV5,IL33
UTF1,BHLHE40
DNMT3L,RNU73B
NR0B1,CD63
DNMT3A,SLC2A1
DNMT3B,CRIP2
HIST1H1D,HIST2H2BB
RBPJ,ULK1
KDM5B,ITGA6
TRP53,MIR7003
ELF3,SLC7A3
BCL3,MEG3
XBP1,HIST1H4D
FOXQ1,GM26156
SOX2,GM10925
KLF2,GM44310
FOXQ1,GM27743
TFCP2L1,GM23833
PCBD1,PML
GATA4,TSPAN9
DAB2,P4HA1
SOX7,GM15452
DNMT3L,GM14519
CREB3,UTF1
ESRRB,GM23130
PML,GM26073
EPAS1,PEG3
ETV5,HIST1H2AI
DNMT3B,NR0B1
SOX17,DUSP9
DNMT3L,GM20721
PHC1,AMPD2
NR0B1,AURKA
NANOG,TNS4
PCBD1,GATA6
GATA4,MIR3535
ELF3,CCNG1
ETV5,KLF2
POU5F1,MARC2
CCND1,GM23344
ETV5,TFCP2L1
POU5F1,ALG13
KAT2B,SURF4
NANOG,ERP29
TRP53,APOBEC3
XBP1,SAT1
DNMT3L,GM22988
ESRRB,TDGF1-PS1
KPNA2,GASK1B
HSPB1,NFXL1
BHLHE40,HIST1H2BF
FOXQ1,ITGA3
SOX17,CTSL
ETV5,KAT2B
DNMT3L,GM23651
KDM5B,GM4322
DNMT3A,EIF4A-PS4
DNMT3B,SPRY2
DNMT3B,NRG1
HMGA1,CCNB1
TRP53,HIST1H2AL
ELF3,HIST1H2BF
HSPB1,SNORD33
RBPJ,PWWP3B
HIST1H1D,BMPER
XBP1,PDCD4
KPNA2,HIST1H2AH
GATA4,LAMA1
HMGA1,GM24494
ZFPM1,STARD8
DNMT3B,SLC7A3
BHLHE40,SOX7
NR0B1,BASP1
ZFPM1,ZFP987
POU5F1,P4HA2
DNMT3L,IL33
JARID2,GM49450
HIST1H1D,PLOD2
ZFP42,ANXA5
PML,GM14303
BHLHE40,HIST1H1D
DAB2,RCN3
HSPB1,MIR5121
PHC1,GM15459
RBPJ,FN1
FOXQ1,HIST1H2AN
KAT2B,ADAM19
EPAS1,CHCHD10
FOXQ1,GM27326
NFXL1,NDRG1
MYBL2,BEX1
ETV5,GM28439
SOX7,AF357399
PHC1,SLC6A8
ELF3,HSPB1
DNMT3L,KAT6B
DAB2,SURF4
CCND1,GM25040
JARID2,AQP8
KDM5B,P4HA1
CCND1,DKC1
NFXL1,MAGED1
SOX7,MIR669A-1
CREB3L2,GM9531
HIST1H1D,GSTA4
PML,CTSA
HIST1H1D,AKR1B8
ZFP42,GATA4
TFCP2L1,GM26156
GATA6,EPAS1
TFCP2L1,GM27743
GATA6,GM22411
NR0B1,FGFR3
PML,GM22884
SOX7,ASS1
KPNA2,LAMB2
FOXQ1,GM43535
TRP53,HIST1H1A
POU5F1,GM26917
BHLHE40,GM10925
GATA6,POU5F1
